date,open,high,low,close,volume
2017-06-06,12.5,12.5,12.5,12.5,0.0
2017-06-07,12.5,12.5,12.5,12.5,0.0
2017-06-08,12.5,12.5,12.5,12.5,0.0
2017-06-09,12.5,12.5,12.5,12.5,0.0
2017-06-12,12.5,12.5,12.5,12.5,0.0
2017-06-13,12.5,12.5,12.5,12.5,0.0
2017-06-14,12.5,12.5,12.5,12.5,0.0
2017-06-15,12.5,12.5,12.5,12.5,0.0
2017-06-16,12.5,12.5,12.5,12.5,0.0
2017-06-19,12.5,12.5,12.5,12.5,0.0
2017-06-20,12.5,12.5,12.5,12.5,0.0
2017-06-21,12.5,12.5,12.5,12.5,0.0
2017-06-22,12.5,12.5,12.5,12.5,0.0
2017-06-23,12.5,12.5,12.5,12.5,0.0
2017-06-26,12.5,12.5,12.5,12.5,0.0
2017-06-27,12.5,12.5,12.5,12.5,0.0
2017-06-28,12.5,12.5,12.5,12.5,0.0
2017-06-29,12.5,12.5,12.5,12.5,0.0
2017-06-30,12.5,12.5,12.5,12.5,0.0
2017-07-03,12.5,12.5,12.5,12.5,0.0
2017-07-04,12.5,12.5,12.5,12.5,0.0
2017-07-05,12.5,12.5,12.5,12.5,0.0
2017-07-06,12.5,12.5,12.5,12.5,0.0
2017-07-07,12.5,12.5,12.5,12.5,0.0
2017-07-10,12.5,12.5,12.5,12.5,0.0
2017-07-11,12.5,12.5,12.5,12.5,0.0
2017-07-12,12.5,12.5,12.5,12.5,0.0
2017-07-13,12.5,12.5,12.5,12.5,0.0
2017-07-14,12.5,12.5,12.5,12.5,0.0
2017-07-17,12.5,12.5,12.5,12.5,0.0
2017-07-18,12.5,12.5,12.5,12.5,0.0
2017-07-19,12.5,12.5,12.5,12.5,0.0
