date,open,high,low,close,volume
2017-07-21,11.3,11.3,11.3,11.3,137800
2017-07-20,11.2,11.3,11.2,11.3,33200
2017-07-19,11.0,11.4,11.0,11.4,163150
2017-07-18,10.8,11.2,10.8,10.9,13400
2017-07-17,11.0,11.0,11.0,11.0,61300
2017-07-14,11.2,11.2,11.0,11.2,32000
2017-07-13,10.6,11.4,10.6,11.1,27000
2017-07-12,10.3,11.2,10.3,11.0,28700
2017-07-11,11.5,11.5,11.0,11.0,62100
2017-07-10,11.2,11.4,11.2,11.3,154100
2017-07-07,11.2,11.3,11.2,11.3,112150
2017-07-06,11.4,11.4,11.2,11.3,120210
2017-07-05,11.5,11.5,11.3,11.3,113300
2017-07-04,11.6,11.6,11.5,11.5,272400
2017-07-03,11.3,11.6,11.3,11.5,316060
2017-06-30,11.3,11.5,11.0,11.4,123900
2017-06-29,11.0,11.5,11.0,11.4,268200
2017-06-28,10.0,11.2,10.0,11.2,32940
2017-06-27,11.4,11.5,10.8,11.1,130310
2017-06-26,11.2,11.6,11.2,11.4,212990
2017-06-23,10.9,11.4,10.9,11.3,302810
2017-06-22,10.9,11.1,10.9,11.0,112900
2017-06-21,11.0,11.0,10.9,11.0,115400
2017-06-20,11.3,11.3,10.9,11.0,204400
2017-06-19,10.7,11.6,10.7,11.1,231910
2017-06-16,10.7,10.9,10.7,10.8,142000
2017-06-15,10.7,10.7,10.7,10.7,73800
2017-06-14,10.7,10.8,10.7,10.7,185040
2017-06-13,10.7,10.8,10.7,10.7,58200
2017-06-12,10.7,11.0,10.7,10.7,66800
2017-06-09,10.7,10.7,10.7,10.7,211210
2017-06-08,10.8,10.8,10.6,10.7,185100
2017-06-07,10.6,10.8,10.6,10.7,55800
2017-06-06,10.8,10.8,10.6,10.6,24600
2017-06-05,10.6,10.8,10.6,10.8,25900
2017-06-02,10.6,10.6,10.6,10.6,700
2017-06-01,10.9,10.9,10.6,10.6,60700
2017-05-31,10.5,10.8,10.5,10.8,37100
2017-05-30,10.7,10.9,10.6,10.6,30500
2017-05-29,10.8,10.8,10.6,10.7,25200
2017-05-26,10.8,10.8,10.8,10.8,33500
2017-05-25,11.0,11.0,10.8,10.9,72000
2017-05-24,10.8,11.1,10.7,11.0,411600
2017-05-23,10.9,10.9,10.5,10.7,17800
2017-05-22,10.5,10.8,10.0,10.6,232500
2017-05-19,10.6,10.7,10.5,10.6,33800
2017-05-18,10.7,10.8,10.5,10.6,51200
2017-05-17,10.5,10.8,10.5,10.7,66200
2017-05-16,11.0,11.0,10.7,10.8,215500
2017-05-15,11.1,11.1,10.9,11.0,181400
2017-05-12,11.1,11.1,11.0,11.1,213200
2017-05-11,11.0,11.2,11.0,11.1,146800
2017-05-10,11.0,11.1,10.9,11.1,466410
2017-05-09,11.1,11.1,10.9,10.9,207300
2017-05-08,10.8,11.1,10.8,11.0,268900
2017-05-05,10.9,11.0,10.8,10.8,299030
2017-05-04,11.1,11.1,10.7,10.9,236700
2017-05-03,11.4,11.6,10.9,11.1,553600
2017-04-28,10.8,11.0,10.5,10.9,1278120
2017-04-27,10.6,10.8,10.2,10.5,455300
2017-04-26,9.3,10.2,9.3,10.1,390400
2017-04-25,9.3,9.4,9.1,9.4,372000
2017-04-24,9.4,9.8,9.3,9.3,387420
2017-04-21,10.3,10.3,9.2,9.5,526100
2017-04-20,10.6,10.7,10.2,10.2,1519710
2017-04-19,10.7,10.7,10.5,10.7,183300
2017-04-18,10.5,10.7,10.4,10.6,246300
2017-04-17,10.7,10.7,10.4,10.6,612800
2017-04-14,10.8,10.8,10.5,10.7,570600
2017-04-13,10.9,10.9,10.7,10.8,331820
2017-04-12,11.1,11.2,10.8,10.9,410100
2017-04-11,11.1,11.3,11.0,11.1,545500
2017-04-10,10.9,11.2,10.9,11.2,297840
2017-04-07,10.9,11.1,10.9,11.1,258510
2017-04-05,11.0,11.1,10.9,11.1,218400
2017-04-04,12.0,12.0,10.9,11.1,328500
2017-04-03,10.2,10.8,10.2,10.7,251450
2017-03-31,10.6,10.8,10.6,10.6,437900
