date,open,high,low,close,volume
2017-05-26,16.0,16.0,16.0,16.0,0.0
2017-05-29,16.0,16.0,16.0,16.0,0.0
2017-05-30,16.0,16.0,16.0,16.0,0.0
2017-05-31,16.0,16.0,16.0,16.0,0.0
2017-06-01,16.0,16.0,16.0,16.0,0.0
2017-06-02,16.0,16.0,16.0,16.0,0.0
2017-06-05,16.0,16.0,16.0,16.0,0.0
2017-06-06,10.0,10.0,10.0,10.0,100.0
2017-06-07,10.0,10.0,10.0,10.0,1300.0
2017-06-08,10.0,10.0,10.0,10.0,0.0
2017-06-09,8.5,8.5,8.5,8.5,100.0
2017-06-12,8.5,8.5,8.5,8.5,0.0
2017-06-13,8.5,8.5,8.5,8.5,0.0
2017-06-14,8.5,8.5,8.5,8.5,0.0
2017-06-15,8.5,8.5,8.5,8.5,0.0
2017-06-16,8.5,8.5,8.5,8.5,0.0
2017-06-19,7.3,7.3,7.3,7.3,100.0
2017-06-20,7.3,7.3,7.3,7.3,0.0
2017-06-21,7.3,7.3,7.3,7.3,0.0
2017-06-22,7.3,7.3,7.3,7.3,0.0
2017-06-23,7.3,7.3,7.3,7.3,0.0
2017-06-26,7.3,7.3,7.3,7.3,0.0
2017-06-27,7.3,7.3,7.3,7.3,0.0
2017-06-28,7.3,7.3,7.3,7.3,0.0
2017-06-29,7.3,7.3,7.3,7.3,0.0
2017-06-30,6.3,6.3,6.3,6.3,100.0
2017-07-03,6.3,6.3,6.3,6.3,0.0
2017-07-04,6.3,6.3,6.3,6.3,0.0
2017-07-05,5.4,5.4,5.4,5.4,100.0
2017-07-06,5.4,5.4,5.4,5.4,0.0
2017-07-07,5.4,5.4,5.4,5.4,0.0
2017-07-10,6.2,6.2,6.2,6.2,700.0
2017-07-11,6.2,6.2,6.2,6.2,0.0
2017-07-12,6.2,6.2,6.2,6.2,0.0
2017-07-13,6.2,6.2,6.2,6.2,0.0
2017-07-14,6.2,6.2,6.2,6.2,0.0
2017-07-17,6.2,6.2,6.2,6.2,0.0
2017-07-18,6.2,6.2,6.2,6.2,0.0
2017-07-19,6.2,6.2,6.2,6.2,0.0
