date,open,high,low,close,volume
2017-07-21,2.1,2.3,2.1,2.2,1508100
2017-07-20,2.0,2.1,1.9,2.0,202600
2017-07-19,1.9,2.1,1.9,2.0,571400
2017-07-18,1.9,2.0,1.9,2.0,219700
2017-07-17,1.9,2.0,1.9,2.0,389700
2017-07-14,1.9,2.0,1.9,1.9,263520
2017-07-13,1.9,2.0,1.9,1.9,156600
2017-07-12,1.9,2.0,1.8,2.0,304825
2017-07-11,1.9,2.0,1.9,1.9,360600
2017-07-10,2.1,2.1,1.9,1.9,913100
2017-07-07,2.2,2.3,2.0,2.1,1072150
2017-07-06,2.1,2.3,2.1,2.2,1504605
2017-07-05,2.0,2.1,1.9,2.1,1231110
2017-07-04,1.8,2.0,1.8,1.9,1532520
2017-07-03,1.8,1.9,1.7,1.9,464510
2017-06-30,1.8,1.8,1.7,1.7,29505
2017-06-29,1.8,1.8,1.7,1.8,141200
2017-06-28,1.8,1.9,1.8,1.9,187100
2017-06-27,1.8,1.9,1.7,1.8,319100
2017-06-26,1.8,1.8,1.7,1.8,88300
2017-06-23,1.8,1.8,1.7,1.8,512325
2017-06-22,1.8,1.9,1.7,1.8,137400
2017-06-21,1.7,1.8,1.7,1.8,257400
2017-06-20,1.8,1.8,1.7,1.7,583500
2017-06-19,1.8,1.9,1.8,1.8,423000
2017-06-16,1.7,1.8,1.7,1.7,208400
2017-06-15,1.9,1.9,1.7,1.9,959800
2017-06-14,2.0,2.0,1.8,1.9,886310
2017-06-13,2.0,2.1,1.9,2.0,568400
2017-06-12,1.8,2.0,1.8,2.0,1543900
2017-06-09,1.9,1.9,1.8,1.9,571900
2017-06-08,1.8,1.9,1.8,1.9,856700
2017-06-07,1.6,1.9,1.6,1.8,1393900
2017-06-06,1.7,1.8,1.6,1.8,195600
2017-06-05,1.7,1.7,1.6,1.7,216300
2017-06-02,1.7,1.8,1.7,1.8,213900
2017-06-01,1.7,1.8,1.6,1.8,297300
2017-05-31,1.7,1.8,1.7,1.7,231600
2017-05-30,1.9,1.9,1.7,1.7,696300
2017-05-29,1.7,1.8,1.7,1.8,1341900
2017-05-26,1.6,1.6,1.5,1.6,341300
2017-05-25,1.6,1.7,1.6,1.6,265200
2017-05-24,1.6,1.7,1.5,1.6,263400
2017-05-23,1.6,1.6,1.6,1.6,537100
2017-05-22,1.7,1.7,1.6,1.7,378520
2017-05-19,1.7,1.7,1.6,1.6,45300
2017-05-18,1.8,1.8,1.7,1.7,260400
2017-05-17,1.6,1.8,1.6,1.8,518805
2017-05-16,1.7,1.7,1.6,1.7,131500
2017-05-15,1.6,1.7,1.6,1.6,214600
2017-05-12,1.7,1.7,1.6,1.7,69800
2017-05-11,1.6,1.7,1.6,1.7,60400
2017-05-10,1.6,1.7,1.6,1.6,266425
2017-05-09,1.6,1.7,1.6,1.7,32500
2017-05-08,1.6,1.7,1.6,1.6,215500
2017-05-05,1.6,1.7,1.6,1.7,190400
2017-05-04,1.6,1.7,1.6,1.7,227000
2017-05-03,1.6,1.7,1.6,1.6,129500
2017-04-28,1.6,1.7,1.6,1.7,149800
2017-04-27,1.6,1.7,1.6,1.6,267200
2017-04-26,1.7,1.7,1.6,1.7,149400
2017-04-25,1.8,1.8,1.7,1.8,136200
2017-04-24,1.7,1.8,1.7,1.8,448000
2017-04-21,1.7,1.7,1.5,1.6,1185500
2017-04-20,1.7,1.7,1.7,1.7,139700
2017-04-19,1.7,1.7,1.7,1.7,67400
2017-04-18,1.8,1.8,1.7,1.7,50800
2017-04-17,1.7,1.8,1.7,1.8,102100
2017-04-14,1.8,1.8,1.7,1.7,331700
2017-04-13,1.8,1.8,1.7,1.8,84700
2017-04-12,1.8,1.9,1.7,1.7,190200
2017-04-11,1.8,1.9,1.7,1.9,249800
2017-04-10,1.8,1.9,1.8,1.8,240300
2017-04-07,1.8,1.9,1.7,1.8,485300
2017-04-05,1.8,1.9,1.8,1.8,154900
2017-04-04,1.8,1.9,1.8,1.8,288900
2017-04-03,1.9,1.9,1.8,1.8,658600
2017-03-31,1.9,1.9,1.8,1.9,222600
2017-03-30,1.9,2.0,1.8,1.9,227700
2017-03-29,1.9,2.0,1.8,2.0,263400
2017-03-28,1.8,2.0,1.7,2.0,518200
2017-03-27,1.9,1.9,1.7,1.8,734100
2017-03-24,2.0,2.0,1.8,1.9,946800
2017-03-23,2.0,2.0,1.9,1.9,355500
2017-03-22,2.0,2.1,1.9,2.1,321300
2017-03-21,2.0,2.1,1.9,2.1,521400
2017-03-20,2.0,2.0,1.9,2.0,370500
2017-03-17,2.0,2.0,2.0,2.0,190200
2017-03-16,2.0,2.1,2.0,2.0,409100
2017-03-15,2.1,2.1,2.0,2.0,284810
2017-03-14,2.0,2.1,1.9,2.1,236400
2017-03-13,2.1,2.1,1.9,2.0,904000
2017-03-10,2.0,2.2,2.0,2.1,466300
2017-03-09,2.1,2.2,2.0,2.1,628620
2017-03-08,2.1,2.2,2.1,2.2,476260
2017-03-07,2.2,2.2,2.0,2.2,1530200
2017-03-06,2.3,2.3,2.1,2.2,1543525
2017-03-03,2.4,2.5,2.2,2.3,1387890
2017-03-02,2.1,2.3,2.1,2.3,1764300
2017-03-01,1.9,2.1,1.9,2.1,1078300
2017-02-28,2.1,2.1,1.8,2.0,1285000
2017-02-27,2.2,2.2,2.0,2.0,563800
2017-02-24,2.1,2.3,2.0,2.2,1433600
2017-02-23,2.1,2.2,2.0,2.1,891170
2017-02-22,2.3,2.4,2.1,2.1,787900
2017-02-21,2.3,2.4,2.1,2.3,2303400
2017-02-20,2.0,2.1,1.9,2.1,2512500
2017-02-17,2.1,2.1,1.8,1.9,1754900
2017-02-16,2.1,2.2,1.9,2.1,1677210
2017-02-15,2.2,2.3,2.1,2.1,2438400
2017-02-14,2.1,2.3,1.9,2.2,2005600
2017-02-13,2.1,2.3,2.1,2.2,1554800
2017-02-10,1.9,2.0,1.8,2.0,753700
2017-02-09,1.6,1.8,1.6,1.8,1140925
2017-02-08,1.6,1.7,1.6,1.6,96700
2017-02-07,1.6,1.7,1.6,1.6,34200
2017-02-06,1.7,1.7,1.6,1.7,45900
2017-02-03,1.7,1.7,1.6,1.7,4100
2017-02-02,1.6,1.7,1.6,1.7,7510
2017-01-25,1.6,1.7,1.6,1.6,53000
2017-01-24,1.6,1.7,1.6,1.7,101500
2017-01-23,1.6,1.7,1.5,1.5,21100
2017-01-20,1.6,1.7,1.6,1.6,27600
2017-01-19,1.6,1.7,1.6,1.7,88100
2017-01-18,1.7,1.8,1.7,1.7,64600
2017-01-17,1.6,1.8,1.6,1.8,500000
2017-01-16,1.4,1.6,1.4,1.6,247600
2017-01-13,1.5,1.6,1.3,1.6,257000
2017-01-12,1.5,1.5,1.4,1.5,52100
2017-01-11,1.5,1.6,1.5,1.5,52700
2017-01-10,1.6,1.6,1.5,1.5,128800
2017-01-09,1.6,1.6,1.5,1.5,28500
2017-01-06,1.6,1.6,1.5,1.6,23000
2017-01-05,1.5,1.6,1.5,1.6,138900
2017-01-04,1.6,1.7,1.5,1.5,155100
2017-01-03,1.7,1.7,1.5,1.6,25300
2016-12-30,1.6,1.7,1.5,1.5,207300
2016-12-29,1.7,1.7,1.7,1.7,53200
2016-12-28,1.8,1.8,1.7,1.7,56600
2016-12-27,1.7,1.8,1.6,1.7,202800
2016-12-26,1.7,1.8,1.7,1.8,84600
2016-12-23,1.7,1.8,1.7,1.8,100300
2016-12-22,1.7,1.8,1.7,1.8,44400
2016-12-21,1.8,1.8,1.7,1.8,88900
2016-12-20,1.8,1.8,1.7,1.8,108700
2016-12-19,1.8,1.8,1.7,1.8,148400
2016-12-16,1.8,1.8,1.7,1.7,65450
2016-12-15,1.9,1.9,1.7,1.8,161500
2016-12-14,1.7,1.9,1.7,1.9,160350
2016-12-13,1.8,1.9,1.7,1.8,256300
2016-12-12,1.9,1.9,1.8,1.8,202300
2016-12-09,1.9,2.0,1.9,2.0,77600
2016-12-08,2.0,2.0,1.9,2.0,306100
2016-12-07,2.0,2.0,1.9,2.0,67900
2016-12-06,2.1,2.1,2.0,2.1,247600
2016-12-05,2.0,2.1,2.0,2.1,237425
2016-12-02,2.1,2.2,2.0,2.1,620200
2016-12-01,2.2,2.2,2.0,2.1,553600
2016-11-30,2.1,2.2,2.0,2.0,302100
2016-11-29,2.0,2.1,1.9,2.1,536500
2016-11-28,2.0,2.0,1.9,1.9,72500
2016-11-25,2.1,2.1,1.9,2.0,553200
2016-11-24,2.1,2.2,2.0,2.0,806200
2016-11-23,2.1,2.2,2.0,2.0,174500
2016-11-22,2.1,2.3,2.0,2.1,858900
2016-11-21,2.3,2.3,2.0,2.1,1758600
2016-11-18,2.3,2.4,2.2,2.4,240300
2016-11-17,2.2,2.4,2.1,2.4,1012800
2016-11-16,2.4,2.5,2.1,2.1,2333900
2016-11-15,2.6,2.7,2.4,2.4,410400
2016-11-14,2.6,2.8,2.5,2.7,1157700
2016-11-11,2.2,2.5,2.2,2.5,2757500
2016-11-10,2.0,2.3,1.9,2.3,353800
2016-11-09,2.2,2.2,2.0,2.0,568608
2016-11-08,2.4,2.4,2.1,2.3,675300
2016-11-07,2.5,2.5,2.3,2.4,403400
2016-11-04,2.4,2.5,2.3,2.5,184000
2016-11-03,2.7,2.8,2.3,2.4,773300
2016-11-02,2.53,2.61,2.45,2.45,1490000
2016-11-01,2.53,2.53,2.37,2.53,1167600
2016-10-31,2.53,2.62,2.37,2.45,990900
2016-10-28,2.79,2.79,2.45,2.45,2572500
2016-10-27,2.61,2.95,2.61,2.79,654700
2016-10-26,2.96,3.04,2.53,2.53,2148400
2016-10-25,3.21,3.37,2.87,3.04,2254900
2016-10-24,3.47,3.55,3.13,3.29,837200
2016-10-21,2.96,3.13,2.87,3.13,1085200
2016-10-20,3.13,3.3,2.79,2.79,1133400
2016-10-19,3.55,3.63,3.13,3.13,1415500
2016-10-18,3.55,3.63,3.38,3.38,179800
2016-10-17,3.54,3.71,3.46,3.55,388600
2016-10-14,3.38,3.63,3.38,3.46,298400
2016-10-13,4.05,4.05,3.38,3.38,139600
2016-10-12,3.63,4.05,3.12,3.97,1187500
2016-10-11,3.29,3.63,3.29,3.63,1079500
2016-10-10,3.04,3.29,2.79,3.29,177600
2016-10-07,3.3,3.38,3.05,3.04,207000
2016-10-06,3.13,3.21,3.05,3.13,28900
2016-10-05,3.21,3.3,3.04,3.13,261300
2016-10-04,3.37,3.37,2.95,3.38,570000
2016-10-03,3.46,3.46,3.29,3.29,143700
2016-09-30,3.38,3.46,3.21,3.21,109400
2016-09-29,3.38,3.46,3.38,3.38,142700
2016-09-28,3.46,3.54,3.38,3.46,313200
2016-09-27,3.21,3.63,3.21,3.46,587500
2016-09-26,3.38,3.46,3.3,3.46,563000
2016-09-23,3.13,3.38,2.96,3.38,114800
2016-09-22,2.96,2.96,2.88,2.96,11000
2016-09-21,3.21,3.21,2.96,2.96,125100
2016-09-20,3.21,3.21,3.13,3.13,103400
2016-09-19,3.21,3.21,3.13,3.13,118700
2016-09-16,3.21,3.21,3.21,3.21,106400
2016-09-15,2.96,3.21,2.96,3.21,120100
2016-09-14,3.05,3.38,2.96,3.21,181800
2016-09-13,3.29,3.55,3.04,3.13,340000
2016-09-12,3.29,3.54,3.12,3.21,265600
2016-09-09,3.29,3.55,3.21,3.29,402800
2016-09-08,2.96,3.46,2.96,3.21,261000
2016-09-07,3.04,3.04,3.04,3.04,16700
2016-09-06,3.21,3.29,3.04,3.21,296400
2016-09-05,3.12,3.21,2.95,3.21,268400
2016-09-01,3.04,3.29,3.04,3.29,104300
2016-08-31,2.96,3.38,2.88,3.21,397100
2016-08-30,2.96,3.21,2.88,2.96,576200
2016-08-29,3.63,3.72,3.13,3.13,366300
2016-08-26,3.55,3.63,3.47,3.55,296900
2016-08-25,3.37,3.63,3.29,3.55,256200
2016-08-24,3.63,3.63,3.21,3.29,328700
2016-08-23,3.63,3.88,3.21,3.46,352800
2016-08-22,3.21,3.72,2.96,3.63,291500
2016-08-19,3.54,3.54,2.87,3.13,376200
2016-08-18,3.29,3.46,3.21,3.46,331600
2016-08-17,2.96,3.04,2.96,3.04,189225
2016-08-16,2.54,2.96,2.54,2.96,264600
2016-08-15,2.62,2.62,2.54,2.62,20100
2016-08-12,2.53,2.7,2.53,2.62,74200
2016-08-11,2.53,2.53,2.45,2.53,72400
2016-08-10,2.45,2.61,2.45,2.53,20400
2016-08-09,2.53,2.53,2.45,2.53,56000
2016-08-08,2.62,2.62,2.54,2.53,6600
2016-08-05,2.61,2.61,2.45,2.62,8200
2016-08-04,2.61,2.7,2.53,2.53,16700
2016-08-03,2.61,2.61,2.45,2.53,13500
2016-08-02,2.62,2.62,2.53,2.53,87700
2016-08-01,2.53,2.7,2.53,2.7,16000
2016-07-29,2.7,2.7,2.62,2.7,13200
2016-07-28,2.71,2.79,2.71,2.7,6000
2016-07-27,2.79,2.79,2.71,2.79,39500
2016-07-26,2.78,2.87,2.78,2.79,13300
2016-07-25,2.78,2.95,2.7,2.7,25000
2016-07-22,2.87,2.95,2.62,2.7,71800
2016-07-21,2.7,3.04,2.7,2.7,19100
2016-07-20,2.62,2.7,2.62,2.7,38500
2016-07-19,2.78,2.78,2.7,2.7,37100
2016-07-18,2.71,2.79,2.54,2.7,31900
2016-07-15,2.87,2.87,2.7,2.79,66825
2016-07-14,2.95,2.95,2.79,2.87,12000
2016-07-13,2.96,3.13,2.79,2.87,124600
2016-07-12,2.87,2.95,2.62,2.96,89700
2016-07-11,2.96,2.96,2.79,2.87,73500
2016-07-08,2.96,2.96,2.88,2.96,71600
2016-07-07,2.87,3.04,2.87,2.96,50300
2016-07-06,2.88,2.96,2.88,2.87,40260
2016-07-05,2.96,2.96,2.88,2.96,75000
2016-07-04,2.96,2.96,2.88,2.96,77100
2016-07-01,3.04,3.04,2.96,2.96,59600
2016-06-30,3.05,3.13,3.05,3.04,4600
2016-06-29,3.13,3.13,3.05,3.13,64800
2016-06-28,3.13,3.13,2.96,3.13,72700
2016-06-27,3.05,3.13,2.96,3.13,12600
2016-06-24,3.21,3.21,3.04,3.13,293300
2016-06-23,3.21,3.3,3.05,3.21,79200
2016-06-22,3.13,3.13,3.04,3.13,102700
2016-06-21,3.13,3.21,3.13,3.21,39400
2016-06-20,3.13,3.38,3.13,3.21,97200
2016-06-17,3.21,3.29,3.12,3.13,65505
2016-06-16,3.46,3.46,3.3,3.29,7600
2016-06-15,3.13,3.55,3.13,3.38,197900
2016-06-14,3.13,3.21,3.05,3.21,53300
2016-06-13,3.21,3.21,3.13,3.13,35900
2016-06-10,3.29,3.29,3.21,3.21,62800
2016-06-09,3.21,3.21,3.12,3.21,56900
2016-06-08,3.21,3.29,3.21,3.29,30800
2016-06-07,3.21,3.29,3.21,3.21,62500
2016-06-06,3.46,3.54,3.21,3.21,119800
2016-06-03,3.21,3.37,3.12,3.29,85900
2016-06-02,3.3,3.3,3.13,3.29,97600
2016-06-01,3.55,3.55,3.38,3.38,128900
2016-05-31,3.04,3.38,3.04,3.38,199010
2016-05-30,3.04,3.04,2.87,3.04,101300
2016-05-27,3.21,3.21,2.96,3.04,54800
2016-05-26,3.13,3.21,3.05,3.21,67900
2016-05-25,3.21,3.29,3.13,3.13,20600
2016-05-24,3.29,3.29,3.21,3.21,29900
2016-05-23,3.29,3.29,3.21,3.29,40200
2016-05-20,3.21,3.29,3.13,3.21,97100
2016-05-19,3.13,3.3,3.13,3.21,91200
2016-05-18,3.3,3.38,3.13,3.13,136700
2016-05-17,3.46,3.46,3.3,3.38,146000
2016-05-16,3.54,3.54,3.38,3.38,76200
2016-05-13,3.71,3.71,3.38,3.46,215300
2016-05-12,3.63,3.63,3.55,3.63,67700
2016-05-11,3.55,3.72,3.55,3.63,17300
2016-05-10,3.46,3.54,3.46,3.55,19400
2016-05-09,3.63,3.63,3.47,3.46,62600
2016-05-06,3.64,3.64,3.55,3.55,153500
2016-05-05,3.72,3.8,3.64,3.72,123300
2016-05-04,3.63,3.71,3.63,3.72,108200
2016-04-29,3.63,3.72,3.55,3.63,94400
2016-04-28,3.97,3.97,3.47,3.55,266700
2016-04-27,3.63,4.05,3.63,3.89,96700
2016-04-26,3.55,3.8,3.46,3.63,172000
2016-04-25,4.22,4.22,3.8,3.8,320500
