date,open,high,low,close,volume
2017-07-20,60.5,60.5,60.5,60.5,2037
2017-07-18,61.0,62.0,61.0,62.0,800
2017-07-11,59.0,59.0,58.5,58.5,800
2017-07-03,58.01,58.5,58.01,58.5,300
2017-06-27,58.01,58.01,58.01,58.01,500
2017-06-23,58.11,58.11,57.52,57.52,1100
2017-06-14,57.91,58.5,57.91,58.5,1400
2017-06-08,54.6,54.6,54.6,54.6,1200
2017-06-06,57.72,57.72,57.72,57.72,3
2017-06-05,57.72,57.72,57.72,57.72,7
2017-05-31,57.52,59.96,57.52,59.96,1100
2017-05-25,57.52,57.52,57.52,57.52,1000
2017-05-18,56.55,56.55,56.55,56.55,15
2017-05-17,56.55,56.55,56.55,56.55,1
2017-05-16,56.55,56.55,56.55,56.55,2024
2017-05-15,57.52,57.52,57.52,57.52,10
2017-05-11,57.52,57.52,57.52,57.52,700
2017-04-26,57.52,57.52,57.52,57.52,900
2017-04-21,57.52,57.52,57.52,57.52,50
2017-04-17,57.52,57.52,57.52,57.52,700
2017-04-14,57.91,57.91,57.91,57.91,500
2017-04-12,58.5,60.45,58.5,60.45,2700
2017-04-11,60.44,60.44,58.49,58.5,5500
2017-04-07,54.41,54.41,54.41,54.4,1000
2017-04-04,54.99,54.99,54.99,54.99,700
2017-03-22,55.57,55.57,55.57,55.57,1000
2017-03-21,56.06,56.06,55.57,55.57,1400
2017-03-20,56.06,56.06,56.06,56.06,802
2017-03-17,55.57,56.54,55.57,56.55,1500
2017-03-15,53.62,53.62,53.62,53.62,1100
2017-03-14,55.58,55.58,55.58,55.57,300
2017-03-13,55.58,56.55,55.58,56.55,200
2017-03-10,56.55,56.55,56.55,56.55,100
2017-02-09,60.45,60.45,60.45,60.45,300
2017-02-02,60.44,60.44,60.44,60.45,100
2017-01-25,58.3,58.3,58.3,58.3,1200
2017-01-20,58.4,58.4,58.4,58.4,100
2017-01-18,53.23,53.33,53.23,53.33,1000
2017-01-17,52.65,54.6,52.65,54.6,2500
2017-01-16,53.62,56.54,53.62,56.55,1400
2017-01-11,53.62,53.62,53.62,53.62,1400
2017-01-06,55.67,55.67,55.67,55.67,100
2016-12-21,58.21,58.21,53.72,53.72,200
2016-12-20,58.01,58.5,58.01,58.5,500
2016-12-19,58.4,58.4,54.6,54.6,2000
2016-12-16,58.4,58.4,58.4,58.4,100
2016-12-14,57.32,57.32,57.32,57.33,100
2016-12-09,54.6,54.6,54.11,54.11,300
2016-11-18,58.49,58.49,58.49,58.5,100
2016-11-15,53.62,53.62,53.62,53.62,500
2016-11-09,54.21,54.21,54.21,54.21,500
2016-11-08,54.59,54.59,54.59,54.6,200
2016-11-04,55.09,55.09,55.09,55.08,400
2016-11-03,54.59,54.59,54.59,54.6,300
2016-11-02,55.08,55.08,55.08,55.08,200
2016-10-25,55.08,55.08,55.08,55.08,500
2016-10-17,55.57,55.57,54.6,54.6,200
2016-09-26,58.79,58.79,58.79,58.79,500
2016-09-22,58.5,62.3,58.4,62.3,2300
2016-09-21,57.13,57.23,57.13,57.23,1000
2016-09-20,57.42,57.42,57.42,57.42,100
2016-09-15,57.42,57.42,57.42,57.42,600
2016-09-07,55.18,55.18,55.18,55.18,300
2016-09-01,53.72,53.72,53.62,53.62,800
2016-08-31,58.5,58.5,53.72,53.72,300
2016-08-30,57.43,58.5,57.43,58.5,700
2016-08-26,57.42,58.49,57.42,58.5,800
2016-08-24,51.67,52.65,51.67,52.65,400
2016-08-17,60.45,60.45,60.45,60.45,500
2016-08-15,58.49,58.49,58.49,58.5,200
2016-08-11,52.55,52.55,52.45,52.45,1000
2016-08-10,58.4,58.4,58.4,58.4,100
2016-08-08,58.79,58.79,58.79,58.79,100
2016-08-02,51.77,52.16,51.67,52.16,6300
2016-07-29,59.48,59.48,59.48,59.47,1000
2016-07-27,53.62,59.47,53.62,59.47,3400
2016-07-22,59.96,59.96,59.96,59.96,1800
2016-07-12,57.1,57.1,57.1,57.1,800
2016-07-07,57.1,57.1,57.1,57.1,2000
2016-07-06,57.1,57.1,57.1,57.1,2500
2016-07-05,57.11,57.11,57.11,57.1,1000
2016-07-04,58.5,58.5,58.5,58.5,600
2016-06-30,58.5,58.5,58.5,58.5,600
2016-06-28,56.92,56.92,56.92,56.92,3000
2016-06-27,56.92,56.92,56.92,56.92,2800
2016-06-24,56.92,56.92,56.92,56.92,300
2016-06-22,56.92,56.92,56.92,56.92,100
