date,open,high,low,close,volume
2017-07-21,46.0,46.0,46.0,46.0,40000
2017-07-06,46.0,46.0,46.0,46.0,900
2017-07-05,46.0,46.0,46.0,46.0,2000
2017-06-30,48.0,48.0,48.0,48.0,1000
2017-06-28,49.0,49.0,49.0,49.0,1500
2017-06-27,49.0,49.0,49.0,49.0,1000
2017-06-26,49.0,49.0,49.0,49.0,1400
2017-06-22,48.0,48.1,48.0,48.1,5900
2017-06-21,48.0,48.0,48.0,48.0,600
2017-06-20,48.0,48.0,48.0,48.0,1000
2017-06-19,49.3,49.3,49.3,49.3,500
2017-06-16,45.0,47.0,45.0,47.0,400
2017-06-14,45.0,49.0,45.0,49.0,1200
2017-06-12,45.0,45.0,45.0,45.0,1000
2017-06-09,45.0,45.0,45.0,45.0,300
2017-06-08,47.0,50.0,47.0,50.0,9200
2017-06-07,47.0,47.0,47.0,47.0,100
2017-06-06,43.0,49.0,43.0,49.0,3200
2017-06-05,50.0,50.0,50.0,50.0,2200
2017-06-02,49.7,49.7,49.5,49.5,1300
2017-06-01,50.0,50.0,49.0,49.0,1500
2017-05-30,49.9,50.0,49.9,50.0,800
2017-05-26,50.0,50.0,50.0,50.0,500
2017-05-24,50.0,50.0,50.0,50.0,500
2017-05-23,50.0,50.5,50.0,50.5,1400
2017-05-18,48.5,48.5,48.5,48.5,500
2017-05-04,48.9,48.9,48.7,48.7,1000
2017-04-28,49.39,49.39,49.39,49.39,200
2017-04-26,49.0,49.0,48.9,48.9,1000
2017-04-17,48.5,48.5,48.5,48.51,100
2017-04-10,46.75,46.75,46.75,46.74,100
2017-04-07,40.67,40.67,40.67,40.67,200
2017-04-04,47.33,47.33,47.33,47.33,100
2017-03-30,49.0,49.0,49.0,49.0,700
2017-03-29,47.91,47.91,47.91,47.92,1000
2017-03-24,41.75,41.75,41.75,41.74,100
2017-03-22,48.99,48.99,48.99,49.0,800
2017-03-21,45.66,45.66,45.66,45.66,200
2017-03-20,39.79,39.79,39.79,39.78,200
2017-03-17,41.65,41.65,41.65,41.65,100
2017-03-14,48.99,48.99,48.99,49.0,100
2017-03-07,45.27,45.27,39.39,39.39,3300
2017-03-06,39.39,39.39,39.39,39.39,100
2017-02-28,43.99,43.99,32.63,44.0,4800
2017-02-27,38.31,38.31,38.31,38.31,200
2017-02-23,44.1,45.57,44.1,45.57,2500
2017-02-20,41.65,41.65,41.65,41.65,1500
2017-02-17,40.67,46.06,40.67,46.06,4000
2017-02-15,44.09,44.09,44.09,44.1,100
2017-02-09,49.39,49.39,38.32,38.31,10000
