date,open,high,low,close,volume
2017-06-02,80.3,80.3,62.0,62.0,5300.0
2017-06-05,68.0,68.0,62.0,66.0,8500.0
2017-06-06,72.6,72.6,65.0,71.0,4300.0
2017-06-07,67.0,70.0,67.0,67.1,5800.0
2017-06-08,67.1,73.5,67.1,69.0,4800.0
2017-06-09,67.3,71.8,67.1,71.8,5200.0
2017-06-12,72.0,72.0,70.0,71.8,3200.0
2017-06-13,70.0,70.0,69.5,69.5,7500.0
2017-06-14,68.9,68.9,68.9,68.9,900.0
2017-06-15,65.0,67.5,62.1,67.5,1200.0
2017-06-16,60.8,60.8,60.8,60.8,7200.0
2017-06-19,60.8,66.8,60.0,64.1,2200.0
2017-06-20,64.1,64.1,64.1,64.1,0.0
2017-06-21,65.0,66.0,65.0,66.0,4800.0
2017-06-22,66.0,68.0,66.0,68.0,800.0
2017-06-23,69.0,69.0,69.0,69.0,100.0
2017-06-26,62.2,62.2,62.2,62.2,2000.0
2017-06-27,62.3,62.3,62.2,62.2,4000.0
2017-06-28,63.0,65.0,63.0,65.0,2100.0
2017-06-29,60.0,63.5,60.0,63.5,3300.0
2017-06-30,60.0,62.0,58.0,62.0,9800.0
2017-07-03,62.0,62.0,58.5,59.9,2500.0
2017-07-04,59.0,59.5,59.0,59.3,2600.0
2017-07-05,59.0,59.2,57.0,59.2,4500.0
2017-07-06,58.0,58.4,58.0,58.4,2300.0
2017-07-07,57.5,57.9,56.0,56.0,12400.0
2017-07-10,56.0,56.0,56.0,56.0,2300.0
2017-07-11,54.0,55.0,54.0,54.9,14300.0
2017-07-12,54.0,55.0,53.0,55.0,32200.0
2017-07-13,57.0,57.0,57.0,57.0,100.0
2017-07-14,55.0,55.0,55.0,55.0,2500.0
2017-07-17,54.5,54.9,53.5,54.9,600.0
2017-07-18,54.9,54.9,54.9,54.9,100.0
2017-07-19,54.0,54.0,52.3,52.3,900.0
