date,open,high,low,close,volume
2017-07-07,10.2,10.2,10.2,10.2,11
2017-07-05,10.2,10.2,10.2,10.2,200
2017-06-30,8.9,8.9,8.9,8.9,3000
2017-06-29,9.0,9.0,8.9,8.9,3100
2017-06-28,9.9,9.9,9.9,9.9,1100
2017-06-22,11.6,11.6,11.6,11.6,100
2017-06-20,10.3,10.3,10.3,10.3,100
2017-06-16,9.2,9.2,9.2,9.2,100
2017-06-13,8.9,8.9,8.9,8.9,100
2017-06-12,10.7,10.7,8.5,8.5,1011
2017-06-08,9.4,9.4,9.4,9.4,100
2017-06-02,8.3,8.3,8.3,8.3,2000
2017-05-25,9.5,9.5,9.5,9.5,200
2017-05-24,8.6,9.3,8.5,9.3,3900
2017-05-22,8.5,9.6,8.5,9.6,600
2017-05-19,9.3,9.3,9.3,9.3,100
2017-05-18,9.0,9.0,8.2,8.2,2100
2017-05-17,9.2,9.2,9.2,9.2,100
2017-05-16,8.0,9.2,8.0,9.2,2000
2017-05-15,8.2,8.2,8.1,8.1,1600
2017-05-11,9.5,9.5,9.5,9.5,100
2017-05-10,9.6,9.6,8.5,9.5,1900
2017-04-27,10.0,10.0,10.0,10.0,11
2017-04-25,10.0,10.0,10.0,10.0,100
2017-04-19,9.1,9.1,9.1,9.1,600
2017-04-13,9.8,9.8,9.8,9.8,1000
2017-04-12,9.8,9.8,9.8,9.8,400
2017-04-11,10.0,10.0,10.0,10.0,1200
2017-04-05,10.0,10.0,10.0,10.0,3900
2017-04-04,10.0,10.3,10.0,10.3,3400
2017-04-03,10.1,10.4,10.1,10.1,1500
2017-03-31,10.1,10.1,10.1,10.1,600
2017-03-29,9.9,10.0,9.9,10.0,1700
2017-03-27,9.8,9.8,9.8,9.8,3600
2017-03-24,9.8,9.8,9.8,9.8,1400
2017-03-23,9.8,9.8,9.8,9.8,2400
2017-03-22,9.8,9.8,9.8,9.8,330
2017-03-21,9.8,9.8,9.8,9.8,400
2017-03-20,9.7,9.8,9.7,9.8,9170
2017-03-17,9.8,9.8,9.8,9.8,1000
2017-03-16,9.7,9.8,9.5,9.5,3600
2017-03-15,9.5,9.5,9.5,9.5,1400
2017-03-14,9.5,9.8,9.5,9.8,4600
2017-03-13,9.8,9.8,9.8,9.8,1000
2017-03-10,9.5,9.5,9.5,9.5,400
2017-03-09,9.5,9.5,9.5,9.5,1100
2017-03-06,9.5,9.5,9.5,9.5,1700
2017-03-02,9.5,9.5,9.5,9.5,100
2017-02-27,9.0,9.0,9.0,9.0,6541
2017-02-23,9.0,9.0,9.0,9.0,4500
