date,open,high,low,close,volume
2017-08-07,14.4,14.4,14.4,14.4,100
2017-08-04,14.5,15.0,14.3,14.3,19031
2017-08-03,15.0,15.4,14.3,14.3,18200
2017-08-02,15.8,15.8,15.8,15.8,62
2017-08-01,15.0,15.8,14.4,15.8,22600
2017-07-31,14.6,15.9,14.6,15.9,19233
2017-07-28,17.0,17.0,14.5,16.2,8400
2017-07-27,14.5,15.7,14.4,15.7,6500
2017-07-26,15.6,15.6,15.6,15.6,100
2017-07-25,14.6,15.1,14.4,15.1,9100
2017-07-24,14.6,14.6,14.6,14.6,2000
2017-07-21,15.5,15.7,14.4,15.7,4467
2017-07-20,14.7,14.8,14.5,14.5,4500
2017-07-19,15.5,16.0,15.0,16.0,16200
2017-07-18,14.5,15.5,14.5,15.5,600
2017-07-13,16.0,16.0,15.2,15.3,2700
2017-07-12,15.4,15.4,15.4,15.4,900
2017-07-11,15.5,15.5,15.4,15.5,5000
2017-07-07,15.8,15.8,15.6,15.6,14100
2017-07-05,15.6,16.0,15.2,16.0,5800
2017-07-04,15.7,15.8,15.5,15.5,4600
2017-07-03,15.8,15.8,15.7,15.7,10500
2017-06-29,16.0,16.0,16.0,16.0,100
2017-06-28,16.0,16.0,15.7,15.7,7300
2017-06-27,15.8,16.0,15.8,16.0,5300
2017-06-26,16.1,16.1,16.0,16.0,6500
2017-06-23,16.2,16.2,16.2,16.2,2500
2017-06-22,16.2,16.2,16.2,16.2,300
2017-06-20,15.7,16.1,15.7,16.1,4530
2017-06-19,16.1,16.1,16.1,16.1,6385
2017-06-16,16.0,16.0,16.0,16.0,1200
2017-06-14,15.8,15.8,15.8,15.8,300
2017-06-13,16.0,16.0,15.7,15.7,1285
2017-06-09,15.7,16.1,15.7,16.1,3100
2017-06-08,17.0,17.0,16.8,16.8,300
2017-06-07,17.0,17.0,17.0,17.0,100
2017-06-06,15.5,17.1,15.5,16.8,7200
2017-06-02,15.6,15.6,15.6,15.6,300
2017-06-01,15.6,15.6,15.5,15.5,2000
2017-05-31,15.5,15.5,15.5,15.5,400
2017-05-30,15.6,15.7,15.6,15.7,600
2017-05-29,16.0,16.0,15.5,15.5,200
2017-05-26,15.5,17.1,15.5,17.1,27800
2017-05-25,17.2,17.2,17.2,17.2,400
2017-05-23,15.8,16.8,15.8,16.8,3114
2017-05-22,15.8,15.8,15.8,15.8,100
2017-05-19,15.8,17.5,15.8,17.5,1300
2017-05-18,15.3,17.5,15.3,17.5,2500
2017-05-17,16.8,16.8,16.8,16.8,7
2017-05-15,15.5,16.8,15.0,16.8,1000
2017-05-12,15.5,15.5,15.5,15.5,1200
