date,open,high,low,close,volume
2017-06-12,10.0,10.9,9.5,10.5,3300
2017-06-13,10.5,10.9,9.5,10.6,9000
2017-06-14,10.5,11.0,10.5,11.0,1400
2017-06-15,9.9,11.0,9.9,11.0,7200
2017-06-16,9.9,10.0,9.9,10.0,1800
2017-06-19,10.5,10.5,10.5,10.5,100
2017-06-20,10.3,10.9,10.0,10.6,1800
2017-06-21,10.3,10.6,10.3,10.3,4100
2017-06-22,10.0,10.0,10.0,10.0,100
2017-06-23,10.5,10.5,9.6,10.0,700
2017-06-26,10.4,10.4,9.5,10.2,12100
2017-06-27,10.0,10.2,10.0,10.0,9800
2017-06-28,10.5,10.9,10.5,10.9,700
2017-06-29,10.4,10.5,10.4,10.4,1300
2017-06-30,10.7,11.4,10.5,11.4,8500
2017-07-03,11.7,11.7,11.0,11.4,2000
2017-07-04,11.7,11.7,11.0,11.0,250
2017-07-05,11.6,11.9,11.0,11.4,1400
2017-07-06,11.7,11.7,11.0,11.4,1000
2017-07-07,11.2,11.8,11.2,11.5,11500
2017-07-10,11.8,12.5,11.8,12.5,900
2017-07-11,12.7,12.7,11.3,12.0,1300
2017-07-12,12.5,12.5,12.0,12.0,700
2017-07-13,12.4,12.4,10.8,12.0,1200
2017-07-14,10.8,11.9,10.8,11.9,1112
2017-07-17,12.3,12.3,12.3,12.3,100
2017-07-18,12.1,12.1,12.1,12.1,100
2017-07-19,12.4,13.0,12.4,13.0,500
2017-07-20,13.3,14.0,11.7,11.7,2112
2017-07-21,11.9,11.9,10.1,11.9,442
2017-07-24,12.5,12.5,12.5,12.5,100
