date,open,high,low,close,volume
2015-10-07,10.17,10.17,10.17,10.17,2000
2015-10-19,8.95,8.95,8.95,8.95,100
2015-10-22,8.14,8.14,8.14,8.14,100
2015-11-25,7.16,7.16,7.16,7.16,10000
2015-12-14,8.14,8.14,8.14,8.14,1000
2016-02-03,8.14,8.14,8.14,8.14,100
2016-03-23,11.4,11.4,11.4,11.39,100
2016-04-26,9.68,9.68,9.68,9.68,100
2016-04-29,11.06,11.06,8.3,8.3,200
2016-05-05,11.06,11.06,11.06,11.07,100
2016-05-06,9.44,12.7,9.44,12.69,200
2016-05-18,9.44,9.44,9.44,9.44,100
2016-05-24,9.44,9.44,9.44,9.44,1000
2016-07-08,8.46,8.46,8.46,8.46,100
2016-07-20,7.21,8.46,7.21,7.21,8800
2016-10-14,7.57,7.57,7.57,7.57,100
2016-10-17,8.46,8.46,8.46,8.46,100
2016-10-18,8.46,8.46,8.46,8.46,400
2016-12-02,8.46,8.46,8.46,8.46,100
2017-04-11,8.01,8.01,7.57,7.57,18600
2017-04-17,6.5,6.5,6.5,6.5,277
2017-05-26,9.0,9.0,9.0,9.0,100
2017-07-10,10.0,10.2,10.0,10.2,200
2017-07-11,11.5,11.5,11.5,11.5,100
2017-07-12,12.0,13.0,12.0,13.0,300
2017-07-13,14.1,14.1,14.1,14.1,100
2017-07-14,16.1,16.1,16.1,16.1,100
2017-07-17,18.4,18.4,18.4,18.4,100
2017-07-19,21.1,21.1,21.1,21.1,100
