date,open,high,low,close,volume
2009-12-17,15.96,15.96,9.67,10.38,115600
2009-12-18,10.83,11.42,10.7,11.28,54800
2009-12-21,11.86,11.99,11.22,12.0,156000
2009-12-22,11.68,12.39,11.68,12.0,31400
2009-12-23,12.06,12.19,11.29,11.67,30400
2009-12-24,11.93,12.45,11.02,12.06,73600
2009-12-25,11.93,12.71,11.93,12.71,135100
2009-12-28,13.16,13.49,12.84,13.29,68800
2009-12-29,13.87,13.87,12.51,13.1,27400
2009-12-30,13.1,14.07,12.45,13.49,132100
2009-12-31,14.14,14.14,14.14,14.14,216500
2010-01-04,15.11,15.11,14.98,15.11,11300
2010-01-05,16.15,16.15,16.15,16.15,12200
2010-01-06,17.25,17.25,16.41,17.25,178100
2010-01-07,17.83,17.83,16.02,16.15,193900
2010-01-08,16.86,17.71,15.5,15.5,50600
2010-01-11,16.73,16.73,15.24,15.24,55400
2010-01-12,15.5,15.5,14.53,14.53,42400
2010-01-13,13.62,14.92,13.62,14.27,104300
2010-01-14,14.85,14.92,14.27,14.92,70000
2010-01-15,15.7,15.7,13.95,15.11,39600
2010-01-18,14.27,14.72,13.88,13.88,19500
2010-01-19,14.27,14.27,13.43,13.42,29600
2010-01-20,12.97,14.2,12.9,12.91,60800
2010-01-21,13.1,13.49,12.2,12.19,40200
2010-01-22,12.84,12.84,11.74,12.52,42800
2010-01-25,12.65,12.78,12.33,12.78,42500
2010-01-26,13.23,13.36,13.17,13.36,56600
2010-01-27,13.62,13.81,12.39,12.39,31400
2010-01-28,12.84,12.91,12.2,12.19,48400
2010-01-29,12.9,12.9,11.74,12.32,35500
2010-02-01,12.84,12.84,12.32,12.32,12800
2010-02-02,12.9,12.9,12.32,12.32,28200
2010-02-03,12.77,12.77,12.32,12.32,20000
2010-02-04,12.64,12.64,12.32,12.58,33600
2010-02-05,12.19,12.26,11.74,12.19,17500
2010-02-08,12.51,12.51,11.67,12.0,8800
2010-02-09,12.32,12.32,11.55,11.54,33500
2010-02-10,12.25,12.25,11.73,12.0,14700
2010-02-11,11.81,12.26,11.68,12.26,16700
2010-02-12,12.32,12.45,12.13,12.45,20200
2010-02-22,12.97,12.97,12.06,12.06,9700
2010-02-23,12.0,12.38,11.87,11.87,9300
2010-02-24,12.13,12.13,11.93,12.06,9300
2010-02-25,12.45,12.45,12.0,12.06,10800
2010-02-26,12.45,12.45,11.93,12.13,16300
2010-03-01,12.71,12.71,12.07,12.26,19200
2010-03-02,12.32,12.32,11.94,12.32,17900
2010-03-03,12.32,13.03,12.26,13.04,108400
2010-03-04,13.49,13.56,13.36,13.55,201800
2010-03-05,14.26,14.46,14.26,14.46,164100
2010-03-08,15.37,15.37,15.24,15.37,42600
2010-03-09,16.41,16.41,16.21,16.41,652400
2010-03-10,17.19,17.19,15.5,16.47,267400
2010-03-11,16.41,17.38,16.28,17.38,128300
2010-03-12,18.29,18.42,18.29,18.42,61000
2010-03-15,19.65,19.65,19.13,19.13,510100
2010-03-16,19.58,19.58,18.22,18.22,271900
2010-03-17,17.25,18.22,17.18,17.19,364300
2010-03-18,18.16,18.23,16.54,17.96,133900
2010-03-19,18.48,18.67,18.15,18.68,260200
2010-03-22,19.91,19.91,19.13,19.91,361200
2010-03-23,20.1,20.1,18.81,18.87,179300
2010-03-24,18.87,19.45,18.42,18.55,202100
2010-03-25,18.55,18.55,17.51,17.58,193500
2010-03-26,17.58,18.03,16.87,17.96,155000
2010-03-29,17.96,18.48,17.51,18.22,141500
2010-03-30,18.48,18.48,17.38,17.51,84200
2010-03-31,17.51,18.16,16.86,16.99,92100
2010-04-01,17.31,17.7,16.86,17.58,74500
2010-04-02,17.71,17.71,16.87,17.51,151600
2010-04-05,17.51,18.16,17.51,18.16,175500
2010-04-06,18.81,19.33,18.42,18.81,343100
2010-04-07,19.07,19.2,18.16,18.81,142400
2010-04-08,18.68,20.04,18.49,19.97,574200
2010-04-09,20.03,21.07,19.0,19.46,396000
2010-04-12,19.78,19.91,18.42,18.81,155900
2010-04-13,18.16,18.55,17.9,17.96,177200
2010-04-14,17.57,19.32,17.57,19.33,249800
2010-04-15,20.43,20.43,19.59,19.59,472900
2010-04-16,19.78,21.34,19.78,21.34,497200
2010-04-19,21.92,22.51,20.24,20.49,224200
2010-04-20,20.75,21.4,20.3,20.62,219900
2010-04-21,20.43,22.05,20.17,21.27,488700
2010-04-22,21.27,21.27,19.52,19.78,315000
2010-04-26,19.46,20.23,18.87,19.13,83100
2010-04-27,19.0,19.45,18.81,19.0,127700
2010-04-28,19.19,20.36,18.94,19.78,303600
2010-04-29,21.21,21.34,20.75,21.34,197600
2010-05-04,21.34,22.83,21.34,22.83,549100
2010-05-05,24.06,24.06,24.06,24.06,212100
2010-05-06,25.62,25.68,25.29,25.68,164100
2010-05-07,26.78,27.24,23.99,25.94,516900
2010-05-10,23.74,25.29,23.54,24.64,424400
2010-05-11,24.96,25.42,24.12,25.42,374600
2010-05-12,25.61,25.61,23.41,23.41,159700
2010-05-13,23.02,24.64,22.7,22.7,127100
2010-05-14,23.41,23.67,22.44,23.67,133200
2010-05-17,23.22,23.8,22.7,23.09,74800
2010-05-18,23.22,23.28,22.7,22.7,85000
2010-05-19,22.7,23.02,21.4,21.4,69200
2010-05-20,20.56,22.44,20.56,21.86,173600
2010-05-21,19.52,20.76,19.52,19.52,44200
2010-05-24,19.78,20.95,18.81,20.49,101100
2010-05-25,20.36,21.2,19.65,19.97,76700
2010-05-26,21.33,22.17,20.94,21.4,99700
2010-05-27,22.5,22.5,21.14,22.31,39100
2010-05-28,23.41,23.41,23.35,23.41,176600
2010-05-31,22.7,23.99,22.05,23.93,138100
2010-06-01,22.7,24.64,22.7,24.64,402500
