date,open,high,low,close,volume
2010-07-15,40.0,40.0,40.0,40.0,100.0
2010-07-16,40.0,40.0,40.0,40.0,0.0
2010-07-19,36.0,36.0,36.0,36.0,2000.0
2010-07-20,32.4,32.4,32.4,32.4,1500.0
2010-07-21,29.5,29.5,29.2,29.2,2100.0
2010-07-22,26.3,26.3,26.3,26.3,1100.0
2010-07-23,23.7,24.1,23.7,23.7,15000.0
2010-07-26,22.0,22.0,21.5,21.5,5400.0
2010-07-27,21.5,21.5,21.4,21.4,1400.0
2010-07-28,20.0,20.0,20.0,20.0,1200.0
2010-07-29,20.0,20.0,18.5,18.5,4300.0
2010-07-30,20.0,20.0,18.2,18.5,1300.0
2010-08-02,21.4,21.4,18.2,18.6,3900.0
2010-08-03,18.8,18.8,18.8,18.8,100.0
2010-08-04,18.8,18.8,18.8,18.8,0.0
2010-08-05,19.0,19.0,19.0,19.0,1000.0
2010-08-06,19.0,19.0,19.0,19.0,1000.0
2010-08-09,19.0,19.0,19.0,19.0,0.0
2010-08-10,20.0,20.0,20.0,20.0,100.0
2010-08-11,18.0,18.0,18.0,18.0,300.0
2010-08-12,16.2,16.2,16.2,16.2,1000.0
2010-08-13,17.8,17.8,17.8,17.8,100.0
2010-08-16,19.1,19.1,19.1,19.1,100.0
2010-08-17,17.2,17.2,17.2,17.2,300.0
2010-08-18,17.2,17.2,17.2,17.2,0.0
2010-08-19,17.0,17.0,17.0,17.0,500.0
2010-08-20,16.0,16.0,16.0,16.0,700.0
2010-08-23,16.0,16.0,16.0,16.0,0.0
2010-08-24,14.5,14.5,14.5,14.5,400.0
2010-08-25,13.5,13.5,13.5,13.5,500.0
2010-08-26,14.6,14.6,14.6,14.6,100.0
2010-08-27,16.0,16.0,16.0,16.0,100.0
2010-08-30,17.5,17.5,17.5,17.5,100.0
2010-08-31,17.5,17.5,17.5,17.5,0.0
2010-09-01,15.8,15.8,15.8,15.8,1200.0
2010-09-06,15.8,15.8,15.8,15.8,0.0
2010-09-07,15.8,15.8,15.8,15.8,0.0
2010-09-08,15.8,15.8,15.8,15.8,0.0
2010-09-09,15.8,15.8,15.8,15.8,400.0
2010-09-10,15.8,15.8,15.8,15.8,0.0
2010-09-13,15.8,15.8,15.8,15.8,0.0
2010-09-14,15.8,15.8,15.8,15.8,0.0
2010-09-15,15.8,15.8,15.8,15.8,0.0
2010-09-16,15.8,15.8,15.8,15.8,0.0
2010-09-17,15.0,15.0,14.5,14.5,200.0
2010-09-20,14.8,14.8,14.8,14.8,0.0
2010-09-21,15.0,15.0,15.0,15.0,500.0
2010-09-22,15.0,15.0,15.0,15.0,0.0
2010-09-23,15.0,15.0,15.0,15.0,0.0
2010-09-24,15.0,15.0,15.0,15.0,0.0
2010-09-27,13.6,13.6,13.6,13.6,400.0
2010-09-28,13.0,13.0,13.0,13.0,100.0
2010-09-29,14.3,14.3,14.3,14.3,100.0
2010-09-30,14.3,14.3,14.3,14.3,0.0
2010-10-01,14.3,14.3,14.3,14.3,0.0
2010-10-04,15.7,15.7,15.7,15.7,100.0
2010-10-05,17.2,17.2,17.2,17.2,100.0
2010-10-06,17.2,17.2,17.2,17.2,0.0
2010-10-07,15.5,15.5,15.5,15.5,1000.0
2010-10-08,17.0,17.0,17.0,17.0,100.0
2010-10-11,17.0,17.0,17.0,17.0,0.0
2010-10-12,17.0,17.0,17.0,17.0,0.0
2010-10-13,17.0,17.0,17.0,17.0,0.0
2010-10-14,17.0,17.0,17.0,17.0,0.0
2010-10-15,17.0,17.0,17.0,17.0,0.0
2010-10-18,17.0,17.0,17.0,17.0,0.0
2010-10-19,17.0,17.0,17.0,17.0,0.0
2010-10-20,17.0,17.0,17.0,17.0,0.0
2010-10-21,17.0,17.0,17.0,17.0,0.0
2010-10-22,17.0,17.0,17.0,17.0,0.0
2010-10-25,15.3,15.3,15.3,15.3,200.0
2010-10-26,16.8,16.8,16.8,16.8,100.0
2010-10-27,15.2,15.2,15.2,15.2,400.0
2010-10-28,15.2,15.2,15.2,15.2,0.0
2010-10-29,14.0,14.0,14.0,14.0,400.0
2010-11-01,14.0,14.0,14.0,14.0,0.0
2010-11-02,14.0,14.0,14.0,14.0,0.0
2010-11-03,14.0,14.0,14.0,14.0,0.0
2010-11-04,14.0,14.0,14.0,14.0,0.0
2010-11-05,14.0,14.0,14.0,14.0,0.0
2010-11-08,14.0,14.0,14.0,14.0,0.0
2010-11-09,14.0,14.0,14.0,14.0,0.0
2010-11-10,15.4,15.4,15.4,15.4,100.0
2010-11-11,13.9,13.9,13.9,13.9,500.0
2010-11-12,13.9,13.9,13.9,13.9,0.0
2010-11-15,13.9,13.9,13.9,13.9,0.0
2010-11-16,13.9,13.9,13.9,13.9,0.0
2010-11-17,12.6,12.6,12.6,12.6,800.0
2010-11-18,12.6,12.6,12.6,12.6,0.0
2010-11-19,13.8,13.8,13.8,13.8,800.0
2010-11-22,13.8,13.8,13.8,13.8,700.0
2010-11-23,13.8,13.8,13.8,13.8,0.0
2010-11-24,13.8,13.8,13.8,13.8,0.0
2010-11-25,13.8,13.8,13.8,13.8,0.0
2010-11-26,14.9,14.9,14.9,14.9,800.0
2010-11-29,14.9,14.9,14.9,14.9,0.0
2010-11-30,14.9,14.9,14.9,14.9,0.0
2010-12-01,13.5,13.5,13.5,13.5,1000.0
2010-12-02,12.2,12.2,12.2,12.2,200.0
2010-12-03,12.2,12.2,12.2,12.2,0.0
2010-12-06,11.0,11.0,11.0,11.0,500.0
2010-12-07,11.0,11.0,11.0,11.0,0.0
2010-12-08,10.3,10.3,10.3,10.3,500.0
2010-12-09,10.3,10.3,10.3,10.3,0.0
2010-12-10,10.3,10.3,10.3,10.3,0.0
2010-12-13,10.3,10.3,10.3,10.3,0.0
2010-12-14,10.3,10.3,10.3,10.3,0.0
2010-12-15,10.3,10.3,10.3,10.3,0.0
2010-12-16,10.3,10.3,10.3,10.3,0.0
2010-12-17,11.3,11.3,11.3,11.3,100.0
2010-12-20,10.5,10.5,10.5,10.5,700.0
2010-12-21,11.5,11.5,11.5,11.5,100.0
2010-12-22,10.4,10.4,10.4,10.4,100.0
2010-12-23,10.4,10.4,10.4,10.4,0.0
2010-12-24,11.4,11.4,11.4,11.4,300.0
2010-12-27,11.4,11.4,11.4,11.4,0.0
2010-12-28,10.3,10.3,10.3,10.3,200.0
2010-12-29,10.3,10.3,10.3,10.3,0.0
2010-12-30,10.3,10.3,10.3,10.3,0.0
2010-12-31,10.3,10.3,10.3,10.3,0.0
2011-01-04,10.3,10.3,10.3,10.3,0.0
2011-01-05,10.3,10.3,10.3,10.3,0.0
2011-01-06,10.3,10.3,10.3,10.3,0.0
2011-01-07,10.3,10.3,10.3,10.3,0.0
2011-01-10,10.3,10.3,10.3,10.3,0.0
2011-01-11,10.3,10.3,10.3,10.3,0.0
2011-01-12,11.3,11.3,11.3,11.3,100.0
2011-01-13,10.2,12.4,10.2,12.4,200.0
2011-01-14,12.4,12.4,12.4,12.4,100.0
2011-01-17,12.4,12.4,12.4,12.4,0.0
2011-01-18,11.2,11.2,11.2,11.2,100.0
2011-01-19,10.1,12.3,10.1,12.3,200.0
2011-01-20,11.2,11.2,11.2,11.2,0.0
2011-01-21,11.2,11.2,11.2,11.2,0.0
2011-01-24,11.2,11.2,11.2,11.2,0.0
2011-01-25,11.2,11.2,11.2,11.2,1000.0
2011-01-26,11.2,11.2,11.2,11.2,0.0
2011-01-27,11.2,11.2,11.2,11.2,0.0
2011-01-28,11.2,11.2,11.2,11.2,0.0
2011-02-08,11.2,11.2,11.2,11.2,0.0
2011-02-09,11.2,11.2,11.2,11.2,0.0
2011-02-10,11.2,11.2,11.2,11.2,0.0
2011-02-11,11.2,11.2,11.2,11.2,0.0
2011-02-14,11.2,11.2,11.2,11.2,0.0
2011-02-15,11.2,11.2,11.2,11.2,0.0
2011-02-16,11.2,11.2,11.2,11.2,0.0
2011-02-17,10.2,10.2,10.2,10.2,100.0
2011-02-18,10.2,10.2,10.2,10.2,0.0
2011-02-21,10.2,10.2,10.2,10.2,0.0
2011-02-22,10.2,10.2,10.2,10.2,0.0
2011-02-23,10.2,10.2,10.2,10.2,0.0
2011-02-24,10.2,10.2,10.2,10.2,0.0
2011-02-25,10.2,10.2,10.2,10.2,0.0
2011-02-28,10.2,10.2,10.2,10.2,0.0
2011-03-01,10.2,10.2,10.2,10.2,1500.0
2011-03-02,10.2,10.2,10.2,10.2,0.0
2011-03-03,10.2,10.2,10.2,10.2,0.0
2011-03-04,10.2,10.2,10.2,10.2,0.0
2011-03-07,10.2,10.2,10.2,10.2,0.0
2011-03-08,10.2,10.2,10.2,10.2,0.0
2011-03-09,10.2,10.2,10.2,10.2,0.0
2011-03-10,10.2,10.2,10.2,10.2,0.0
2011-03-11,10.2,10.2,10.2,10.2,0.0
2011-03-14,10.2,10.2,10.2,10.2,0.0
2011-03-15,10.2,10.2,10.2,10.2,0.0
2011-03-16,10.2,10.2,10.2,10.2,0.0
2011-03-17,10.2,10.2,10.2,10.2,0.0
2011-03-18,10.2,10.2,10.2,10.2,0.0
2011-03-21,10.2,10.2,10.2,10.2,0.0
2011-03-22,10.2,10.2,10.2,10.2,0.0
2011-03-23,10.2,10.2,10.2,10.2,0.0
2011-03-24,10.2,10.2,10.2,10.2,0.0
2011-03-25,10.2,10.2,10.2,10.2,0.0
2011-03-28,11.2,11.2,11.2,11.2,100.0
2011-03-29,11.2,11.2,11.2,11.2,0.0
2011-03-30,11.0,11.0,11.0,11.0,500.0
2011-03-31,11.0,11.0,11.0,11.0,0.0
2011-04-01,11.0,11.0,11.0,11.0,0.0
2011-04-04,11.0,11.0,11.0,11.0,0.0
2011-04-05,11.0,11.0,11.0,11.0,0.0
2011-04-06,11.0,11.0,11.0,11.0,0.0
2011-04-07,11.0,11.0,11.0,11.0,0.0
2011-04-08,11.0,11.0,11.0,11.0,0.0
2011-04-13,11.0,11.0,11.0,11.0,0.0
2011-04-14,11.0,11.0,11.0,11.0,0.0
2011-04-15,11.0,11.0,11.0,11.0,0.0
2011-04-18,11.0,11.0,11.0,11.0,0.0
2011-04-19,11.0,11.0,11.0,11.0,0.0
2011-04-20,10.0,10.0,10.0,10.0,1000.0
2011-04-21,10.0,10.0,10.0,10.0,0.0
2011-04-22,10.0,10.0,10.0,10.0,0.0
2011-04-25,10.0,10.0,10.0,10.0,0.0
2011-04-26,10.0,10.0,10.0,10.0,0.0
2011-04-27,8.5,8.5,8.5,8.5,0.0
2011-04-28,8.5,8.5,8.5,8.5,0.0
2011-04-29,8.5,8.5,8.5,8.5,0.0
2011-05-04,7.7,7.7,7.7,7.7,200.0
2011-05-05,7.0,7.0,7.0,7.0,300.0
2011-05-06,6.3,6.3,6.3,6.3,500.0
2011-05-09,7.0,7.0,7.0,7.0,0.0
2011-05-10,6.3,6.3,6.3,6.3,0.0
2011-05-11,6.3,6.3,6.3,6.3,0.0
2011-05-12,6.3,6.3,6.3,6.3,0.0
2011-05-13,6.3,6.3,6.3,6.3,0.0
2011-05-16,6.3,6.3,6.3,6.3,0.0
2011-05-17,6.3,6.3,6.3,6.3,0.0
2011-05-18,6.3,6.3,6.3,6.3,0.0
2011-05-19,6.3,6.3,6.3,6.3,0.0
2011-05-20,6.3,6.3,6.3,6.3,0.0
2011-05-23,6.3,6.3,6.3,6.3,0.0
2011-05-24,6.3,6.3,6.3,6.3,0.0
2011-05-25,6.3,6.3,6.3,6.3,0.0
2011-05-26,6.3,6.3,6.3,6.3,0.0
2011-05-27,6.3,6.3,6.3,6.3,0.0
2011-05-30,6.3,6.3,6.3,6.3,0.0
2011-05-31,6.9,6.9,6.9,6.9,3000.0
2011-06-01,6.9,6.9,6.9,6.9,3200.0
2011-06-02,6.9,6.9,6.9,6.9,0.0
2011-06-03,6.9,6.9,6.9,6.9,0.0
2011-06-06,6.5,6.5,6.5,6.5,200.0
2011-06-07,6.5,6.5,6.5,6.5,0.0
2011-06-08,6.5,6.5,6.5,6.5,0.0
2011-06-09,6.5,6.5,6.5,6.5,0.0
2011-06-10,6.5,6.5,6.5,6.5,0.0
2011-06-13,6.5,6.5,6.5,6.5,700.0
2011-06-14,6.5,6.5,6.5,6.5,0.0
2011-06-15,6.5,6.5,6.5,6.5,0.0
2011-06-16,5.9,5.9,5.9,5.9,100.0
2011-06-17,5.9,5.9,5.9,5.9,0.0
2011-06-20,5.9,5.9,5.9,5.9,0.0
2011-06-21,5.9,5.9,5.9,5.9,0.0
2011-06-22,6.4,6.4,6.4,6.4,400.0
2011-06-23,6.4,6.4,6.4,6.4,0.0
2011-06-24,6.4,6.4,6.4,6.4,0.0
2011-06-27,5.8,5.8,5.8,5.8,100.0
2011-06-28,5.8,5.8,5.8,5.8,0.0
2011-06-29,5.8,5.8,5.8,5.8,0.0
2011-06-30,5.8,5.8,5.8,5.8,0.0
2011-07-01,5.8,5.8,5.8,5.8,0.0
2011-07-04,5.8,5.8,5.8,5.8,0.0
2011-07-05,5.8,5.8,5.8,5.8,0.0
2011-07-06,5.8,5.8,5.8,5.8,0.0
2011-07-07,6.3,6.3,6.3,6.3,1000.0
2011-07-08,6.3,6.3,6.3,6.3,0.0
2011-07-11,5.7,5.7,5.7,5.7,100.0
2011-07-12,5.7,5.7,5.7,5.7,0.0
2011-07-13,5.7,5.7,5.7,5.7,0.0
2011-07-14,5.7,5.7,5.7,5.7,0.0
2011-07-15,6.2,6.2,6.2,6.2,100.0
2011-07-18,6.2,6.2,6.2,6.2,0.0
2011-07-19,5.6,5.6,5.6,5.6,100.0
2011-07-20,5.6,5.6,5.6,5.6,0.0
2011-07-21,5.6,5.6,5.6,5.6,0.0
2011-07-22,5.6,5.6,5.6,5.6,0.0
2011-07-25,5.6,5.6,5.6,5.6,0.0
2011-07-26,5.6,5.6,5.6,5.6,0.0
2011-07-27,5.6,5.6,5.6,5.6,0.0
2011-07-28,5.6,5.6,5.6,5.6,0.0
2011-07-29,5.6,5.6,5.6,5.6,0.0
2011-08-01,5.6,5.6,5.6,5.6,0.0
2011-08-02,5.6,5.6,5.6,5.6,0.0
2011-08-03,5.6,5.6,5.6,5.6,0.0
2011-08-04,5.6,5.6,5.6,5.6,0.0
2011-08-05,5.6,5.6,5.6,5.6,0.0
2011-08-08,5.6,5.6,5.6,5.6,0.0
2011-08-09,5.6,5.6,5.6,5.6,0.0
2011-08-10,5.6,5.6,5.6,5.6,0.0
2011-08-11,5.6,5.6,5.6,5.6,0.0
2011-08-12,5.6,5.6,5.6,5.6,0.0
2011-08-15,6.1,6.1,6.1,6.1,100.0
2011-08-16,6.6,6.6,6.6,6.6,100.0
2011-08-17,6.6,6.6,6.6,6.6,0.0
2011-08-18,7.1,7.1,7.1,7.1,100.0
2011-08-19,7.1,7.1,7.1,7.1,0.0
2011-08-22,7.1,7.1,7.1,7.1,0.0
2011-08-23,7.1,7.1,7.1,7.1,0.0
2011-08-24,7.1,7.1,7.1,7.1,0.0
2011-08-25,7.1,7.1,7.1,7.1,0.0
2011-08-26,7.8,7.8,7.8,7.8,100.0
2011-08-29,7.8,7.8,7.8,7.8,0.0
2011-08-30,7.8,7.8,7.8,7.8,0.0
2011-08-31,7.8,7.8,7.8,7.8,0.0
2011-09-01,7.8,7.8,7.8,7.8,0.0
2011-09-05,7.1,7.1,7.1,7.1,5000.0
2011-09-06,7.1,7.1,7.1,7.1,0.0
2011-09-07,7.1,7.1,7.1,7.1,0.0
2011-09-08,6.4,6.4,6.4,6.4,100.0
2011-09-09,6.4,6.4,6.4,6.4,0.0
2011-09-12,6.0,6.0,6.0,6.0,200.0
2011-09-13,6.0,6.0,6.0,6.0,0.0
2011-09-14,6.0,6.0,6.0,6.0,0.0
2011-09-15,6.0,6.0,6.0,6.0,0.0
2011-09-16,6.0,6.0,6.0,6.0,0.0
2011-09-19,6.0,6.0,6.0,6.0,0.0
2011-09-20,6.0,6.0,6.0,6.0,0.0
2011-09-21,6.0,6.0,6.0,6.0,0.0
2011-09-22,6.0,6.0,6.0,6.0,0.0
2011-09-23,6.6,6.6,6.6,6.6,2800.0
2011-09-26,6.6,6.6,6.6,6.6,0.0
2011-09-27,6.6,6.6,6.6,6.6,0.0
2011-09-28,6.6,6.6,6.6,6.6,500.0
2011-09-29,6.6,6.6,6.6,6.6,0.0
2011-09-30,6.6,6.6,6.6,6.6,0.0
2011-10-03,6.6,6.6,6.6,6.6,0.0
2011-10-04,6.6,6.6,6.6,6.6,0.0
2011-10-05,6.6,6.6,6.6,6.6,0.0
