date,open,high,low,close,volume
2017-07-21,6.4,6.4,6.4,6.4,428
2017-07-19,6.3,6.3,6.3,6.3,206
2017-07-18,5.5,5.5,5.5,5.5,100
2017-07-17,6.3,6.3,6.3,6.3,11
2017-07-12,6.3,6.3,6.3,6.3,7
2017-06-28,6.3,6.3,6.3,6.3,63
2017-06-26,6.3,6.3,6.3,6.3,300
2017-06-08,7.4,7.4,7.4,7.4,43
2017-06-05,7.4,7.4,7.4,7.4,100
2017-05-31,6.5,6.5,6.5,6.5,270
2017-05-29,7.5,7.5,7.5,7.5,100
2017-04-14,12.3,12.3,12.3,12.3,100
2017-03-31,10.9,10.9,10.9,10.9,200
2017-03-30,10.9,10.9,10.9,10.9,200
2017-03-23,9.5,9.5,9.5,9.5,10
2017-03-22,9.5,9.5,9.5,9.5,110
2017-03-21,8.5,8.5,8.5,8.5,100
2017-03-16,7.5,7.5,7.5,7.5,200
2017-03-15,7.3,7.3,7.3,7.3,20
2017-03-14,7.3,7.3,7.3,7.3,2200
2017-03-10,6.5,7.8,5.9,6.0,622
2017-03-08,6.9,6.9,6.9,6.9,25
2017-03-02,6.5,7.0,6.5,7.0,487
2017-03-01,7.0,7.0,7.0,7.0,25
2017-02-28,7.0,7.0,7.0,7.0,20
2017-02-24,7.0,7.0,7.0,7.0,25
2017-02-23,7.0,7.0,7.0,7.0,160
2017-02-16,7.0,7.0,7.0,7.0,120
2017-02-14,8.1,8.1,8.1,8.1,300
2017-02-07,8.1,8.1,8.1,8.1,800
2017-01-25,8.1,8.1,8.1,8.1,50
2017-01-20,8.1,8.1,8.1,8.1,400
2017-01-19,8.1,8.1,8.1,8.1,100
2017-01-17,9.4,9.4,9.4,9.4,200
2017-01-12,10.8,10.8,10.8,10.8,100
2016-12-30,12.3,12.7,12.3,12.7,2000
2016-12-29,11.4,11.4,11.4,11.4,800
2016-12-22,10.0,10.0,10.0,10.0,1000
2016-12-12,10.3,10.3,10.3,10.3,100
2016-12-05,12.0,12.0,12.0,12.0,100
2016-12-01,12.5,14.6,12.5,14.6,12200
2016-11-30,12.3,13.4,12.3,13.4,10000
2016-11-29,11.8,12.1,11.8,12.1,5000
2016-11-24,12.0,12.0,12.0,12.0,100
2016-11-23,13.9,14.1,13.9,14.1,6000
2016-11-22,13.1,13.1,12.5,12.5,6000
2016-11-21,11.5,11.5,11.5,11.5,3000
2016-11-17,11.7,11.7,11.7,11.7,100
2016-11-14,13.7,13.7,13.7,13.7,6000
2016-11-03,12.0,12.0,12.0,12.0,200
2016-10-21,12.3,12.3,12.3,12.3,2000
2016-10-12,14.2,14.2,14.2,14.2,4400
2016-10-10,13.7,13.7,13.7,13.7,1900
2016-10-06,14.0,14.1,14.0,14.0,6700
2016-10-05,14.0,14.1,14.0,14.1,3000
2016-09-28,13.8,14.1,13.8,14.1,1100
2016-09-27,13.5,14.0,13.5,14.0,1600
2016-09-26,13.2,13.9,13.2,13.9,3000
2016-09-23,12.1,12.1,12.1,12.1,200
2016-09-22,14.0,14.0,14.0,14.0,500
2016-09-09,14.1,14.1,14.1,14.1,3000
2016-09-08,14.1,14.2,14.1,14.2,1900
2016-09-01,14.2,14.2,14.2,14.2,100
2016-08-31,12.0,13.8,12.0,13.8,200
2016-08-24,12.0,12.0,12.0,12.0,300
2016-08-15,12.0,12.0,12.0,12.0,700
2016-08-12,12.0,12.0,12.0,12.0,300
2016-08-10,12.0,12.0,12.0,12.0,6000
2016-08-05,12.0,12.0,12.0,12.0,500
2016-07-29,12.0,12.0,12.0,12.0,100
2016-07-28,12.0,12.0,12.0,12.0,7000
2016-07-27,11.8,12.0,11.8,12.0,3500
2016-07-25,11.8,12.0,11.8,12.0,3100
2016-07-22,12.0,12.0,12.0,12.0,800
2016-07-21,12.0,12.0,12.0,12.0,1500
2016-07-20,11.5,11.5,11.5,11.5,500
2016-07-19,11.1,11.4,11.1,11.4,7700
2016-07-18,11.5,11.5,11.0,11.0,2000
2016-07-15,11.5,11.5,11.5,11.5,200
2016-07-14,11.0,11.5,11.0,11.5,2000
2016-07-08,11.0,11.0,11.0,11.0,1100
2016-07-07,11.0,11.0,11.0,11.0,7000
2016-07-06,11.0,11.0,11.0,11.0,11100
2016-07-01,11.0,11.0,11.0,11.0,1000
2016-06-30,11.0,11.2,10.6,10.6,5200
2016-06-29,11.0,11.2,10.8,10.8,4100
2016-06-28,11.2,11.3,10.8,10.8,11800
2016-06-27,11.0,11.1,10.9,11.0,16600
2016-06-24,11.0,11.0,11.0,11.0,16000
2016-06-23,11.0,11.0,11.0,11.0,1100
2016-06-22,11.0,11.0,11.0,11.0,2200
2016-06-21,11.0,11.0,11.0,11.0,3900
2016-06-20,11.0,11.0,11.0,11.0,1500
2016-06-15,10.9,11.0,10.9,11.0,4400
2016-06-13,10.5,10.5,10.5,10.5,300
2016-06-10,10.9,10.9,10.9,10.9,300
2016-06-09,11.0,11.0,11.0,11.0,1200
2016-06-07,11.0,11.0,11.0,11.0,8100
2016-06-06,11.0,11.0,11.0,11.0,2400
2016-06-03,11.0,11.0,11.0,11.0,1700
2016-06-02,11.0,11.0,11.0,11.0,500
2016-06-01,11.0,11.0,11.0,11.0,1100
2016-05-31,10.2,11.0,10.2,11.0,1200
2016-05-30,11.9,12.0,11.9,12.0,18500
2016-05-16,13.0,13.0,13.0,13.0,100
2016-05-04,11.6,11.6,11.6,11.6,100
2016-04-29,10.4,10.4,10.4,10.4,100
2016-04-28,10.1,10.1,9.3,9.3,2100
2016-04-20,9.0,9.0,9.0,9.0,2000
2016-04-14,10.0,10.0,10.0,10.0,100
2016-04-11,9.5,9.5,9.5,9.5,100
2016-04-07,11.0,11.0,11.0,11.0,100
2016-04-01,11.5,11.5,11.5,11.5,100
2016-03-31,10.2,10.2,10.2,10.2,1300
2016-03-30,10.1,10.1,10.1,10.1,4600
2016-03-29,10.0,10.0,10.0,10.0,2300
2016-03-22,10.5,10.5,10.5,10.5,100
2016-03-17,9.5,9.5,9.4,9.4,2150
2016-03-15,11.0,11.0,11.0,11.0,2000
2016-03-07,10.3,10.3,10.3,10.3,50
2016-02-22,10.3,10.3,10.3,10.3,1000
2016-02-16,12.1,12.1,12.1,12.1,100
2016-02-01,10.7,10.7,10.5,10.5,5000
2016-01-20,10.2,10.2,10.2,10.2,1200
2016-01-12,11.9,11.9,11.9,11.9,100
2016-01-11,14.0,14.0,13.0,13.0,3200
2016-01-08,12.6,12.6,11.5,11.5,1100
2016-01-07,11.0,11.0,11.0,11.0,100
2016-01-06,11.0,11.0,10.5,10.5,4600
2016-01-05,11.1,11.1,11.0,11.0,4500
2015-12-30,12.1,12.1,12.1,12.1,100
2015-12-17,10.6,10.6,10.6,10.6,1400
2015-11-26,10.6,10.6,10.6,10.6,5010
2015-11-24,10.6,10.6,10.6,10.6,10
2015-11-20,10.6,10.6,10.6,10.6,2000
2015-11-19,10.6,10.6,10.6,10.6,4
2015-11-13,10.6,10.6,10.6,10.6,2200
2015-11-09,10.6,10.6,10.6,10.6,1500
2015-11-06,10.6,10.8,10.6,10.8,600
2015-11-05,10.5,10.5,10.5,10.5,1500
2015-11-03,10.4,10.4,10.4,10.4,1000
2015-10-30,10.4,10.5,10.4,10.5,500
2015-10-29,10.4,10.4,10.4,10.4,10
2015-10-26,9.5,10.9,9.5,10.9,5200
2015-10-23,9.5,9.5,9.5,9.5,120
2015-10-22,10.5,10.5,9.2,9.2,400
2015-10-21,10.5,10.5,10.5,10.5,2000
2015-10-20,10.5,10.5,10.5,10.5,1500
2015-10-19,9.7,9.7,9.7,9.7,700
2015-10-14,9.0,9.0,8.5,8.5,3100
2015-10-13,8.0,8.0,8.0,8.0,100
2015-10-09,7.0,7.0,7.0,7.0,200
2015-10-08,8.0,8.5,8.0,8.5,1100
2015-10-07,7.4,7.4,7.4,7.4,200
2015-10-06,6.5,7.0,6.2,7.0,800
2015-09-29,6.1,6.1,6.1,6.1,100
2015-09-25,6.6,6.6,6.6,6.6,200
2015-09-24,5.8,5.8,5.8,5.8,100
2015-09-21,6.6,6.6,6.6,6.6,100
2015-09-15,7.5,7.5,7.5,7.5,200
