date,open,high,low,close,volume
2017-07-21,2.0,2.0,2.0,2.0,1000
2017-07-20,2.0,2.1,1.9,2.1,2200
2017-07-19,2.0,2.0,1.9,2.0,18200
2017-07-14,1.9,1.9,1.9,1.9,3400
2017-07-13,2.2,2.2,2.2,2.2,100
2017-06-28,2.5,2.5,2.5,2.5,100
2017-06-22,2.9,2.9,2.9,2.9,300
2017-06-21,2.9,2.9,2.9,2.9,100
2017-06-13,3.4,3.4,3.4,3.4,100
2017-06-06,4.0,4.0,4.0,4.0,100
2017-05-19,3.6,3.6,3.6,3.6,100
2017-05-10,3.2,3.2,3.2,3.2,100
2017-05-08,2.8,2.8,2.8,2.8,100
2017-05-03,2.2,2.7,2.2,2.7,300
2017-04-26,2.4,2.4,2.4,2.4,100
2017-04-24,2.1,2.1,2.1,2.1,100
2017-03-28,1.9,1.9,1.9,1.9,100
2017-01-11,1.4,1.4,1.4,1.4,100
2017-01-05,1.6,1.6,1.6,1.6,200
2016-12-21,1.4,1.4,1.4,1.4,100
2016-12-20,1.6,1.6,1.6,1.6,100
2016-12-13,1.8,1.8,1.8,1.8,100
2016-12-12,2.1,2.1,2.1,2.1,200
2016-12-05,2.4,2.4,2.4,2.4,400
2016-10-12,4.3,4.3,3.3,4.2,300
2016-10-11,3.8,3.8,3.8,3.8,100
2016-10-04,3.4,3.4,3.4,3.4,100
2016-10-03,3.1,3.1,3.1,3.1,100
2016-09-30,2.8,2.8,2.8,2.8,500
2016-09-29,2.5,2.5,2.5,2.5,100
2016-09-28,2.3,2.3,2.3,2.3,100
2016-09-27,2.0,2.0,2.0,2.0,100
2016-09-26,1.9,1.9,1.9,1.9,100
2016-09-23,1.7,1.7,1.7,1.7,100
2016-09-22,1.6,1.6,1.6,1.6,100
2016-09-21,1.4,1.4,1.4,1.4,100
2016-09-20,1.3,1.3,1.3,1.3,100
2016-09-12,1.2,1.2,1.2,1.2,400
2016-08-23,1.2,1.2,1.2,1.2,100
2016-07-18,1.1,1.1,1.1,1.1,900
2016-07-08,1.0,1.0,1.0,1.0,100
2016-07-05,1.1,1.1,1.1,1.1,1000
2016-06-16,1.2,1.2,1.2,1.2,1000
2016-06-09,1.3,1.3,1.3,1.3,100
2016-05-24,1.3,1.3,1.3,1.3,100
2016-05-06,1.4,1.4,1.4,1.4,100
2016-05-04,1.4,1.7,1.3,1.3,1000
2016-04-27,1.5,1.5,1.5,1.5,100
2016-04-26,1.7,1.7,1.7,1.7,100
2016-04-22,2.0,2.0,2.0,2.0,150
2016-04-21,2.3,2.3,2.3,2.3,50
2016-04-15,2.3,2.3,2.3,2.3,500
2016-04-06,2.6,2.6,2.0,2.0,200
2016-04-01,2.3,2.3,2.3,2.3,100
2016-03-31,2.0,2.0,2.0,2.0,16300
2016-03-30,1.8,1.8,1.8,1.8,100
2016-03-18,1.6,1.6,1.6,1.6,100
2016-03-16,1.8,1.8,1.8,1.8,100
2016-02-23,2.1,2.1,2.1,2.1,100
2016-02-18,1.9,1.9,1.9,1.9,100
2016-02-03,1.7,1.7,1.7,1.7,100
2016-01-21,2.0,2.0,2.0,2.0,100
2016-01-15,2.3,2.3,2.3,2.3,100
2016-01-14,2.6,2.6,2.6,2.6,500
2016-01-12,2.0,2.6,2.0,2.6,200
2016-01-11,2.3,2.3,2.3,2.3,100
2016-01-08,2.7,2.7,2.7,2.7,200
2016-01-06,2.4,2.4,2.4,2.4,100
2015-12-31,2.8,2.8,2.8,2.8,100
2015-12-30,2.0,2.6,2.0,2.6,400
2015-12-29,2.3,2.3,2.3,2.3,2700
2015-12-28,2.0,2.0,2.0,2.0,100
2015-12-24,1.8,1.8,1.8,1.8,100
2015-12-23,1.6,1.6,1.6,1.6,100
2015-12-22,1.4,1.4,1.4,1.4,100
2015-12-21,1.3,1.3,1.3,1.3,100
2015-12-18,1.2,1.2,1.2,1.2,200
2015-12-14,1.4,1.4,1.4,1.4,100
2015-12-08,1.6,1.6,1.6,1.6,100
2015-12-07,1.8,1.8,1.8,1.8,100
2015-12-04,2.1,2.1,2.1,2.1,100
2015-12-03,2.7,2.7,2.1,2.1,200
2015-12-01,2.1,2.7,2.1,2.7,200
2015-11-26,2.7,2.7,2.1,2.1,200
2015-11-25,2.4,2.4,2.4,2.4,100
2015-11-24,2.1,2.1,2.1,2.1,100
2015-11-19,1.9,1.9,1.9,1.9,6200
2015-11-18,1.7,1.7,1.7,1.7,300
2015-11-16,1.7,1.7,1.7,1.7,1000
2015-11-13,1.5,1.5,1.5,1.5,100
2015-11-06,1.7,1.7,1.7,1.7,100
2015-11-05,2.1,2.1,2.0,2.0,2000
2015-11-03,1.9,1.9,1.9,1.9,500
2015-11-02,1.9,1.9,1.9,1.9,4200
2015-10-30,1.9,1.9,1.9,1.9,500
2015-10-29,1.7,1.7,1.7,1.7,200
2015-10-27,1.5,1.6,1.5,1.5,1100
2015-10-20,1.4,1.4,1.4,1.4,500
2015-10-05,1.3,1.3,1.3,1.3,100
2015-10-02,1.3,1.3,1.3,1.3,600
2015-09-23,1.2,1.2,1.2,1.2,100
2015-09-21,1.4,1.4,1.4,1.4,500
2015-09-18,1.3,1.3,1.3,1.3,100
2015-09-14,1.2,1.2,1.2,1.2,100
2015-09-10,1.4,1.4,1.4,1.4,1000
2015-09-07,1.6,1.6,1.6,1.6,100
2015-09-03,1.8,1.8,1.8,1.8,400
2015-08-27,1.8,1.8,1.8,1.8,100
2015-08-26,1.6,1.6,1.6,1.6,1000
2015-08-21,1.4,1.4,1.4,1.4,100
2015-08-19,1.6,1.6,1.6,1.6,3500
2015-08-17,1.4,1.4,1.4,1.4,100
2015-08-13,1.6,1.6,1.6,1.6,100
2015-08-03,1.8,1.8,1.8,1.8,100
2015-07-30,2.1,2.1,2.1,2.1,500
2015-07-28,1.6,2.0,1.6,2.0,600
2015-07-22,1.6,2.0,1.6,2.0,200
2015-07-13,1.8,1.8,1.8,1.8,100
2015-07-10,2.0,2.0,2.0,2.0,100
2015-07-06,2.0,2.0,2.0,2.0,100
2015-07-03,2.2,2.2,2.2,2.2,700
2015-07-02,2.1,2.1,2.1,2.1,200
2015-06-30,1.9,1.9,1.9,1.9,200
2015-06-17,2.1,2.1,2.1,2.1,100
2015-06-16,2.4,2.4,2.0,2.0,300
2015-06-12,2.2,2.2,2.2,2.2,200
2015-06-08,2.0,2.0,2.0,2.0,100
2015-05-28,2.0,2.0,2.0,2.0,100
2015-05-26,1.9,1.9,1.9,1.9,100
2015-05-20,1.8,1.8,1.8,1.8,1200
2015-05-19,1.8,1.8,1.8,1.8,1300
2015-05-18,1.8,1.8,1.8,1.8,100
2015-05-14,2.0,2.0,2.0,2.0,100
2015-05-13,2.2,2.2,2.2,2.2,200
2015-05-08,2.4,2.4,2.4,2.4,100
2015-04-27,2.2,2.2,2.2,2.2,100
2015-04-20,2.4,2.4,2.4,2.4,100
2015-04-17,2.6,2.6,2.6,2.6,200
2015-04-16,2.8,2.8,2.8,2.8,100
2015-04-15,2.6,2.6,2.6,2.6,100
2015-04-08,2.4,2.4,2.4,2.4,2000
2015-04-07,2.5,2.6,2.5,2.6,300
