date,open,high,low,close,volume
2010-09-01,1.69,1.69,1.69,1.68,500
2010-09-06,1.68,1.68,1.68,1.68,460
2010-09-17,1.68,1.68,1.68,1.68,1560
2010-09-20,1.85,1.85,1.85,1.84,1000
2010-09-27,2.02,2.02,2.02,2.03,500
2010-11-04,2.03,2.03,2.03,2.03,3600
2010-12-08,2.03,2.03,2.03,2.03,1440
2010-12-21,2.03,2.03,2.03,2.03,600
2011-01-05,2.03,2.03,2.03,2.03,1300
2011-03-08,0.84,0.84,0.84,0.84,1000
2011-08-12,0.5,0.5,0.5,0.5,1000
2011-08-30,0.5,0.5,0.5,0.5,1000
2011-10-19,0.45,0.45,0.45,0.45,1800
2012-02-27,0.45,0.45,0.45,0.45,1800
2012-06-21,0.62,0.62,0.62,0.63,1200
2012-08-01,0.88,0.88,0.88,0.87,1800
2012-11-30,1.22,1.22,1.22,1.22,900
2013-03-22,1.7,1.7,1.22,1.7,11000
2013-06-04,2.34,2.34,1.86,1.86,1400
2014-07-15,2.26,2.26,2.26,2.25,100
2015-09-08,3.12,3.12,3.12,3.13,100
2015-09-10,3.59,3.59,3.59,3.59,100
2015-09-11,4.09,4.09,4.09,4.09,100
2015-09-16,4.67,4.67,4.67,4.67,100
2015-09-17,5.34,5.34,5.34,5.34,100
2015-09-21,6.13,6.13,6.13,6.13,100
2015-09-23,7.05,7.05,7.05,7.05,100
2015-09-24,8.09,8.09,8.09,8.09,100
2015-09-28,9.3,9.3,9.3,9.3,100
2015-09-29,10.68,10.68,10.68,10.68,100
2015-09-30,12.27,12.27,12.27,12.26,100
2015-10-01,14.09,14.09,14.09,14.09,100
2015-10-02,16.17,16.17,16.17,16.18,200
2015-10-05,16.18,16.18,16.18,16.18,100
2015-10-06,16.18,16.18,16.18,16.18,10
2015-10-07,16.18,16.18,16.18,16.18,100
2015-10-12,14.6,14.6,13.76,13.76,400
2015-10-14,11.88,11.93,11.88,11.88,10700
2015-10-15,11.88,11.88,11.88,11.88,100
2015-10-19,11.67,11.88,11.67,11.88,700
2015-10-20,11.88,11.88,11.88,11.88,1000
2015-10-22,11.88,11.88,11.88,11.88,100
2015-10-26,11.88,11.88,11.88,11.88,400
2015-10-27,12.51,12.51,12.51,12.51,1200
2015-10-29,13.34,13.34,13.34,13.34,900
2015-10-30,12.13,12.13,12.13,12.13,100
2015-11-02,12.3,12.3,12.3,12.3,100
2015-11-05,12.93,12.93,12.93,12.93,100
2015-11-10,12.72,12.72,12.72,12.72,300
2015-11-11,12.51,12.51,12.51,12.51,500
2015-11-12,12.51,12.51,12.51,12.51,2000
2015-11-13,12.51,12.51,12.51,12.51,1300
2015-11-16,12.51,12.51,12.51,12.51,1200
2015-11-18,12.51,12.51,12.51,12.51,1000
2015-11-20,12.51,12.93,12.51,12.93,300
2015-11-23,14.18,14.18,14.18,14.18,100
2015-11-25,12.09,12.09,12.09,12.09,100
2015-12-01,12.17,12.17,10.42,10.42,1000
2015-12-02,12.09,12.09,12.09,12.09,100
2015-12-03,13.84,13.84,10.3,10.3,3200
2015-12-04,13.55,13.55,12.51,13.55,2200
2015-12-07,13.05,13.05,13.05,13.05,4300
2015-12-10,13.05,13.34,13.05,13.34,2000
2015-12-18,12.09,13.3,11.13,12.93,2900
2015-12-21,12.1,12.1,12.1,12.09,100
2015-12-22,12.09,12.47,12.09,12.47,200
2015-12-23,12.09,12.09,12.09,12.09,100
2015-12-24,12.09,12.09,12.01,12.09,2600
2015-12-28,12.51,13.34,12.51,13.34,200
2016-01-07,12.51,12.51,12.51,12.51,1600
2016-01-11,12.93,12.93,12.93,12.93,400
2016-02-05,14.6,14.6,14.6,14.59,100
2016-03-01,12.51,12.51,12.51,12.51,3300
2016-03-03,12.09,12.09,12.09,12.09,100
2016-03-04,12.09,12.09,12.09,12.09,100
2016-03-07,11.67,11.67,11.67,11.68,100
2016-03-10,12.1,12.1,11.68,11.68,800
2016-03-11,12.1,12.1,12.1,12.09,2100
2016-03-14,12.09,12.09,12.09,12.09,8500
2016-03-15,12.09,12.09,12.09,12.09,500
2016-03-18,12.09,12.09,12.09,12.09,100
2016-03-25,13.67,13.67,13.67,13.68,100
2016-03-31,11.64,11.64,11.64,11.63,400
2016-04-01,11.67,13.3,11.67,13.3,2400
2016-04-07,12.84,12.84,12.84,12.84,100
2016-04-08,13.17,13.26,13.17,13.26,200
2016-04-15,12.09,12.09,12.09,12.09,100
2016-04-20,13.26,13.26,12.09,12.09,1200
2016-04-26,12.09,12.09,12.09,12.09,100
2016-04-27,13.55,13.55,13.55,13.55,100
2016-05-05,13.55,13.55,13.55,13.55,1000
2016-05-09,13.55,13.55,13.55,13.55,1100
2016-05-11,12.51,14.59,12.38,14.14,4000
2016-05-12,13.97,14.1,13.97,14.09,1100
2016-05-13,14.38,14.38,14.38,14.39,100
2016-05-17,14.6,14.6,14.39,14.39,1000
2016-05-20,16.5,16.5,16.5,16.5,100
2016-05-23,18.9,18.9,18.9,18.9,200
2016-05-24,20.0,20.0,20.0,20.0,100
2016-05-25,17.0,17.0,17.0,17.0,1700
2016-05-26,18.0,19.5,18.0,19.5,200
2016-05-27,19.0,21.6,19.0,21.6,200
2016-05-30,21.0,21.0,21.0,21.0,100
2016-06-06,17.9,17.9,17.9,17.9,600
2016-06-07,19.0,19.0,19.0,19.0,100
2016-06-08,19.0,19.0,19.0,19.0,500
2016-06-09,18.0,21.0,18.0,21.0,400
2016-06-10,19.0,19.0,19.0,19.0,200
2016-06-15,19.0,21.8,19.0,21.8,200
2016-06-16,23.4,23.4,23.4,23.4,100
2016-06-17,26.9,26.9,26.9,26.9,100
2016-06-20,29.0,29.0,29.0,29.0,100
2016-07-08,28.0,28.0,28.0,28.0,100
2016-07-14,27.5,32.2,27.5,32.2,300
2016-08-08,30.0,30.0,30.0,30.0,1100
2016-08-10,25.5,25.5,25.5,25.5,100
2016-08-17,22.0,22.0,22.0,22.0,200
2016-08-18,20.0,20.0,20.0,20.0,100
2016-08-19,19.0,19.0,19.0,19.0,100
2016-08-22,16.2,17.0,16.2,17.0,600
2016-08-23,15.5,19.4,14.4,19.4,1800
2016-08-26,16.9,16.9,16.9,16.9,100
2016-08-29,16.9,16.9,16.5,16.5,400
2016-08-31,17.6,19.0,17.6,19.0,200
2016-09-07,21.0,21.0,21.0,21.0,100
2016-09-12,17.9,17.9,17.9,17.9,300
2016-09-19,17.9,18.5,17.9,18.5,300
2016-09-20,20.5,20.5,19.5,19.5,800
2016-09-22,21.5,21.5,21.5,21.5,100
2016-10-04,19.5,19.5,19.5,19.5,200
2016-10-05,22.4,22.4,22.4,22.4,100
2016-10-06,25.0,25.0,22.8,22.8,200
2016-10-28,24.0,25.0,24.0,25.0,400
2016-10-31,28.5,28.5,28.4,28.4,1200
2016-11-14,24.2,24.2,24.2,24.2,5200
2016-11-15,20.6,20.6,20.6,20.6,100
2016-11-16,17.6,20.0,17.6,19.2,9700
2016-11-17,18.9,18.9,16.5,16.6,3200
2016-11-21,16.2,16.2,15.0,15.0,10700
2016-11-22,16.9,16.9,16.6,16.8,2300
2016-11-23,15.0,16.7,15.0,15.8,6100
2016-11-24,15.9,15.9,15.9,15.9,200
2016-11-25,15.9,15.9,15.9,15.9,700
2016-11-28,15.8,15.8,14.5,14.5,1100
2016-11-29,15.7,15.7,15.7,15.7,200
2016-12-01,14.5,17.9,14.5,17.9,3100
2016-12-02,14.7,17.4,14.7,17.4,600
2016-12-05,17.9,17.9,17.9,17.9,200
2016-12-06,20.4,20.4,20.4,20.4,200
2016-12-07,17.4,17.4,17.4,17.4,500
2016-12-09,19.9,19.9,19.9,19.9,200
2016-12-15,17.0,17.0,17.0,17.0,1000
2016-12-19,15.0,16.4,15.0,15.0,1500
2016-12-20,15.0,15.8,14.9,15.0,1500
2016-12-21,15.1,16.0,14.7,15.0,3600
2016-12-22,14.1,15.4,14.1,15.4,600
2016-12-23,14.0,14.8,14.0,14.5,300
2016-12-26,15.8,15.8,14.0,14.0,300
2016-12-27,14.7,15.0,14.7,15.0,200
2016-12-30,15.6,15.6,14.0,14.5,3800
2017-01-04,14.7,14.7,14.5,14.5,1100
2017-01-05,14.5,14.5,14.5,14.5,200
2017-01-09,16.5,16.5,16.5,16.5,100
2017-01-17,14.1,14.1,14.1,14.1,1400
2017-01-18,12.0,14.9,12.0,12.6,14300
2017-01-19,13.0,13.8,13.0,13.8,500
2017-01-23,15.5,15.6,15.5,15.6,500
2017-01-24,13.3,15.9,13.3,15.9,2200
2017-02-02,15.9,15.9,15.9,15.9,200
2017-02-03,13.6,13.6,13.6,13.6,700
2017-02-06,11.7,14.9,11.7,14.9,700
2017-02-08,12.3,14.4,12.3,12.5,9100
2017-02-09,13.9,13.9,13.9,13.9,100
2017-02-10,14.9,14.9,14.0,14.0,2100
2017-02-13,15.0,15.0,15.0,15.0,100
2017-02-14,17.2,17.2,12.8,12.8,2400
2017-02-15,15.5,15.5,14.0,14.0,1300
2017-02-16,16.2,16.2,16.2,16.2,100
2017-02-17,13.8,13.8,13.8,13.8,5300
2017-02-20,14.9,14.9,12.5,12.9,2800
2017-02-22,14.0,14.4,11.0,14.0,9799
2017-02-23,13.0,13.2,12.8,13.2,3600
2017-02-24,14.0,14.0,12.6,13.9,7100
2017-02-27,13.4,14.8,13.4,14.8,2722
2017-03-06,13.5,13.5,13.5,13.5,100
2017-03-07,13.5,15.2,13.5,15.2,600
2017-03-08,12.5,14.2,12.3,12.3,3300
2017-03-09,14.3,14.3,13.9,13.9,650
2017-03-10,12.3,12.3,12.0,12.0,3000
2017-03-13,13.1,13.1,13.1,13.1,500
2017-03-14,14.3,14.3,12.1,13.4,3300
2017-03-15,13.0,13.3,12.5,12.8,1300
2017-03-16,14.0,14.0,14.0,14.0,100
2017-03-17,12.5,13.5,11.9,11.9,4600
2017-03-20,13.4,13.4,12.0,13.0,1500
2017-03-21,12.0,12.2,12.0,12.2,5300
2017-03-22,12.7,12.7,12.2,12.2,300
2017-03-23,12.4,13.3,12.4,12.7,500
2017-03-24,13.1,13.1,12.7,12.7,1030
2017-03-27,13.0,13.6,12.8,12.8,1300
2017-03-28,13.4,13.4,11.9,11.9,1500
2017-03-29,12.0,12.3,11.5,11.5,4450
2017-03-30,13.3,13.3,12.3,12.3,3110
2017-03-31,12.0,12.7,12.0,12.7,1000
2017-04-03,12.3,12.3,12.3,12.3,400
2017-04-04,12.3,12.3,12.0,12.0,420
2017-04-05,12.2,13.5,12.0,13.5,600
2017-04-19,11.0,11.0,11.0,11.0,501
2017-04-20,12.4,12.4,11.0,11.0,200
2017-04-21,11.7,11.7,11.7,11.7,54
2017-04-24,10.5,13.1,10.5,13.1,200
2017-04-25,11.6,11.6,11.6,11.6,300
2017-04-27,11.6,11.6,11.6,11.6,1
2017-04-28,10.5,12.4,10.5,12.4,600
2017-05-03,12.5,12.5,12.5,12.5,150
2017-05-08,12.5,12.5,12.5,12.5,50
2017-05-11,10.8,12.4,10.8,12.4,1300
2017-05-18,11.7,12.4,11.7,12.4,600
2017-05-24,10.7,10.7,10.7,10.7,2000
2017-05-29,10.5,10.5,10.5,10.5,200
2017-06-06,11.9,11.9,11.8,11.9,3300
2017-06-07,11.9,11.9,11.9,11.9,3300
2017-06-08,10.5,10.5,10.5,10.5,500
2017-06-09,11.5,11.5,11.5,11.5,100
2017-06-12,10.1,10.1,10.1,10.1,500
2017-06-16,11.0,11.0,11.0,11.0,300
2017-06-26,11.0,11.0,11.0,11.0,50
2017-06-28,11.0,11.0,11.0,11.0,200
2017-07-05,11.8,11.8,11.5,11.5,200
2017-07-13,10.5,10.5,10.5,10.5,1200
2017-07-14,10.5,10.5,10.5,10.5,800
2017-07-17,10.1,10.1,10.1,10.1,1000
2017-07-18,11.5,11.6,8.8,11.5,5000
2017-07-19,10.0,11.3,10.0,11.3,4500
2017-07-21,11.9,11.9,11.9,11.9,500
