date,open,high,low,close,volume
2006-12-25,70.0,70.0,70.0,70.0,0.0
2006-12-26,70.0,70.0,70.0,70.0,0.0
2006-12-27,70.0,70.0,70.0,70.0,11000.0
2006-12-28,75.0,75.0,75.0,75.0,200.0
2006-12-29,76.0,76.0,75.0,75.0,5000.0
2007-01-02,75.9,75.9,75.9,75.9,0.0
2007-01-03,76.0,76.0,76.0,76.0,300.0
2007-01-04,83.6,83.6,76.0,76.0,2000.0
2007-01-05,80.0,80.0,80.0,80.0,400.0
2007-01-08,80.0,80.0,80.0,80.0,600.0
2007-01-09,80.0,80.0,80.0,80.0,5100.0
2007-01-10,79.0,80.0,79.0,80.0,2300.0
2007-01-11,80.0,80.5,78.5,80.5,9900.0
2007-01-12,88.0,88.0,80.5,88.0,41100.0
2007-01-15,88.7,88.7,88.7,88.7,1100.0
2007-01-16,97.5,97.5,97.5,97.5,11800.0
2007-01-17,107.2,107.2,97.5,106.8,51400.0
2007-01-18,106.0,115.0,104.0,106.0,16700.0
2007-01-19,114.0,116.0,110.0,116.0,14100.0
2007-01-22,106.0,122.6,106.0,122.6,14500.0
2007-01-23,129.0,131.0,127.0,127.0,20000.0
2007-01-24,140.8,140.8,133.0,140.8,7600.0
2007-01-25,141.0,145.0,140.0,140.0,9200.0
2007-01-26,138.0,139.0,138.0,139.0,700.0
2007-01-29,140.0,140.0,137.8,138.0,9500.0
2007-01-30,140.0,140.0,130.0,130.0,5800.0
2007-01-31,130.0,134.5,130.0,133.5,8000.0
2007-02-01,133.3,133.3,130.0,130.5,4500.0
2007-02-02,136.5,136.5,133.0,133.4,16200.0
2007-02-05,142.0,146.7,140.0,141.0,48100.0
2007-02-06,157.3,157.3,150.0,150.0,31000.0
2007-02-07,166.0,169.9,160.0,169.0,24300.0
2007-02-08,183.7,183.7,166.0,170.0,16500.0
2007-02-09,172.0,180.0,158.0,159.0,13700.0
2007-02-12,163.0,169.5,162.0,165.0,15400.0
2007-02-13,170.0,170.0,167.0,169.0,10800.0
2007-02-14,170.0,170.0,167.0,169.0,5100.0
2007-02-15,168.0,169.0,165.0,169.0,4900.0
2007-02-26,185.0,185.0,178.0,185.0,17100.0
2007-02-27,200.0,200.0,182.0,190.0,18800.0
2007-02-28,193.0,200.0,179.5,179.5,4700.0
2007-03-01,185.0,185.0,177.0,178.5,3300.0
2007-03-02,185.4,185.4,170.0,175.0,6400.0
2007-03-05,177.2,180.0,170.0,176.0,10700.0
2007-03-06,176.1,177.0,175.0,175.0,10200.0
2007-03-07,174.0,174.0,171.0,172.0,8900.0
2007-03-08,174.0,180.0,171.0,172.0,12400.0
2007-03-09,172.9,175.0,170.0,170.0,6100.0
2007-03-12,173.5,175.0,172.5,174.9,16500.0
2007-03-13,170.0,172.0,168.5,172.0,1100.0
2007-03-14,180.0,180.0,169.0,170.0,1200.0
2007-03-15,165.0,168.0,161.0,161.0,4700.0
