date,open,high,low,close,volume
2010-04-15,22.0,23.0,22.0,23.0,110.0
2010-04-16,25.1,25.1,25.1,25.1,100.0
2010-04-19,27.6,27.6,27.6,27.6,100.0
2010-04-20,25.0,25.0,25.0,25.0,100.0
2010-04-21,27.5,27.5,27.5,27.5,9900.0
2010-04-22,27.5,27.5,27.5,27.5,0.0
2010-04-26,27.5,27.5,27.5,27.5,0.0
2010-04-27,27.5,27.5,27.5,27.5,0.0
2010-04-28,27.5,27.5,27.5,27.5,100.0
2010-04-29,27.5,27.5,27.5,27.5,0.0
2010-05-04,27.5,27.5,27.5,27.5,0.0
2010-05-05,24.8,27.5,24.8,27.5,1100.0
2010-05-06,25.0,25.0,25.0,25.0,0.0
2010-05-07,25.0,25.0,25.0,25.0,0.0
2010-05-10,24.3,24.3,24.3,24.3,0.0
2010-05-11,24.3,24.3,24.3,24.3,0.0
2010-05-12,24.3,24.3,24.3,24.3,0.0
2010-05-13,24.3,24.3,24.3,24.3,0.0
2010-05-14,24.3,24.3,24.3,24.3,0.0
2010-05-17,24.3,24.3,24.3,24.3,0.0
2010-05-18,24.3,24.3,24.3,24.3,0.0
2010-05-19,24.3,24.3,24.3,24.3,0.0
2010-05-20,24.3,24.3,24.3,24.3,0.0
2010-05-21,24.3,24.3,24.3,24.3,0.0
2010-05-24,22.0,22.0,22.0,22.0,5000.0
2010-05-25,22.0,22.0,22.0,22.0,0.0
2010-05-26,22.0,22.0,22.0,22.0,0.0
2010-05-27,24.2,24.2,24.2,24.2,200.0
2010-05-28,24.2,24.2,24.2,24.2,0.0
2010-05-31,24.2,24.2,24.2,24.2,0.0
2010-06-01,24.2,24.2,24.2,24.2,0.0
2010-06-02,24.2,24.2,24.2,24.2,0.0
2010-06-03,24.2,24.2,24.2,24.2,0.0
2010-06-04,24.2,24.2,24.2,24.2,0.0
2010-06-07,24.2,24.2,24.2,24.2,0.0
2010-06-08,24.2,24.2,24.2,24.2,0.0
2010-06-09,24.2,24.2,24.2,24.2,0.0
2010-06-10,24.2,24.2,24.2,24.2,0.0
2010-06-11,24.2,24.2,24.2,24.2,0.0
2010-06-14,24.2,24.2,24.2,24.2,0.0
2010-06-15,26.6,26.6,26.6,26.6,100.0
2010-06-16,26.6,26.6,26.6,26.6,0.0
2010-06-17,26.6,26.6,26.6,26.6,0.0
2010-06-18,26.6,26.6,26.6,26.6,0.0
2010-06-21,26.6,26.6,26.6,26.6,0.0
2010-06-22,26.6,26.6,26.6,26.6,0.0
2010-06-23,26.6,26.6,26.6,26.6,0.0
2010-06-24,26.6,26.6,26.6,26.6,0.0
2010-06-25,26.6,26.6,26.6,26.6,0.0
2010-06-28,26.6,26.6,26.6,26.6,0.0
2010-06-29,26.6,26.6,26.6,26.6,0.0
2010-06-30,26.6,26.6,26.6,26.6,0.0
2010-07-01,26.6,26.6,26.6,26.6,0.0
2010-07-02,26.6,26.6,26.6,26.6,0.0
2010-07-05,26.6,26.6,26.6,26.6,0.0
2010-07-06,26.6,26.6,26.6,26.6,0.0
2010-07-07,26.6,26.6,26.6,26.6,0.0
2010-07-08,26.6,26.6,26.6,26.6,0.0
2010-07-09,26.6,26.6,26.6,26.6,0.0
2010-07-12,26.6,26.6,26.6,26.6,0.0
2010-07-13,26.6,26.6,26.6,26.6,0.0
2010-07-14,26.6,26.6,26.6,26.6,0.0
2010-07-15,24.0,24.0,24.0,24.0,1000.0
2010-07-16,24.0,24.0,24.0,24.0,0.0
