date,open,high,low,close,volume,adj_close
2018-01-15,,,,,1245940,34.95
2018-01-12,34.5,35.1,34.0,34.5,1283680,34.5
2018-01-11,33.9,35.0,33.6,34.4,1662250,34.4
2018-01-10,34.0,34.15,33.5,34.0,1185410,34.0
2018-01-09,33.6,34.0,33.55,33.95,1641170,33.95
2018-01-08,32.6,33.6,32.25,33.55,2204890,33.55
2018-01-05,32.8,33.0,32.4,32.6,1142150,32.6
2018-01-04,32.95,33.15,32.55,32.8,1533230,32.8
2018-01-03,33.0,33.15,32.5,32.95,1443310,32.95
2018-01-02,33.1,33.15,32.3,32.85,1563900,32.85
2017-12-29,32.8,33.3,32.75,33.1,1562720,33.1
2017-12-28,32.75,32.85,32.5,32.75,1167480,32.75
2017-12-27,33.0,33.0,32.45,32.75,1252510,32.75
2017-12-26,32.9,33.05,32.55,32.8,1144620,32.8
2017-12-25,33.2,33.45,32.5,32.8,1072600,32.8
2017-12-22,32.7,33.2,32.45,33.1,1753490,33.1
2017-12-21,32.8,33.35,32.55,32.7,1232590,32.7
2017-12-20,32.5,33.15,32.3,32.5,2169020,32.5
2017-12-19,32.45,32.85,32.0,32.4,1626770,32.4
2017-12-18,32.25,32.8,32.25,32.45,1234600,32.45
2017-12-15,31.1,32.3,30.6,32.25,3386380,32.25
2017-12-14,30.6,31.25,30.45,31.1,1884030,31.1
2017-12-13,30.9,31.15,30.55,30.55,585260,30.55
2017-12-12,30.6,30.85,29.4,30.75,1476710,30.75
2017-12-11,30.5,30.95,30.2,30.55,955300,30.55
2017-12-08,31.2,31.5,31.05,31.2,1098980,31.2
2017-12-07,31.2,31.7,31.0,31.2,1167670,31.2
2017-12-06,31.8,31.85,31.1,31.15,1145740,31.15
2017-12-05,32.6,32.7,31.9,31.9,1389410,31.9
2017-12-04,32.0,32.8,32.0,32.35,1499280,32.35
2017-12-01,32.1,32.3,31.7,32.0,1443910,32.0
2017-11-30,32.1,32.4,31.85,32.1,992300,32.1
2017-11-29,31.8,32.45,31.6,32.1,1392330,32.1
2017-11-28,32.25,32.6,31.7,31.8,1024090,31.8
2017-11-27,31.5,32.4,31.4,32.2,1795980,32.2
2017-11-24,30.8,31.45,30.7,31.35,1431770,31.35
2017-11-23,30.85,31.25,30.55,31.2,1656670,31.2
2017-11-22,31.4,31.45,30.95,30.95,1013460,30.95
2017-11-21,31.05,31.7,30.6,31.4,2491190,31.4
2017-11-20,30.6,31.6,29.6,31.3,2489610,31.3
2017-11-17,31.0,31.1,30.3,30.4,1492820,30.4
2017-11-16,30.5,31.4,30.4,31.0,1598740,31.0
2017-11-15,30.4,31.15,30.2,31.0,1886210,31.0
2017-11-14,28.6,30.05,28.35,29.75,2434890,29.75
2017-11-13,30.0,30.1,28.1,28.1,2605710,28.1
2017-11-10,30.0,30.4,29.95,30.2,542700,30.2
2017-11-09,30.05,30.4,29.6,30.05,1244080,30.05
2017-11-08,30.9,30.9,30.0,30.0,1339750,30.0
2017-11-07,30.95,31.3,30.6,30.9,1130560,30.9
2017-11-06,30.8,30.9,30.35,30.8,598340,30.8
2017-11-03,29.8,30.5,29.2,30.5,1108710,30.5
2017-11-02,30.45,31.3,29.6,30.0,1156740,30.0
2017-11-01,30.3,31.0,30.3,30.45,674610,30.45
2017-10-31,30.85,31.4,29.1,30.3,1574730,30.3
2017-10-30,32.8,32.95,30.9,30.9,1652030,30.9
2017-10-27,33.25,33.4,32.3,32.8,1381140,32.8
2017-10-26,33.8,33.85,33.1,33.25,754900,33.25
2017-10-25,33.55,33.9,33.55,33.85,355630,33.85
2017-10-24,33.3,33.6,33.25,33.55,772490,33.55
2017-10-23,34.0,34.0,33.2,33.3,1497490,33.3
2017-10-20,34.65,34.9,33.95,34.0,1790670,34.0
2017-10-19,35.0,35.2,34.65,34.65,894650,34.65
2017-10-18,35.3,35.75,34.9,34.9,1654550,34.9
2017-10-17,35.2,35.8,35.2,35.25,3153970,35.25
2017-10-16,34.75,35.0,34.6,34.7,814760,34.7
2017-10-13,34.65,35.2,34.55,34.7,795350,34.7
2017-10-12,34.7,34.95,34.6,34.65,601180,34.65
2017-10-11,35.4,35.4,34.5,34.75,972350,34.75
2017-10-10,34.5,35.15,34.35,35.15,1480900,35.15
2017-10-09,33.95,34.5,33.75,34.35,825000,34.35
2017-10-06,34.0,34.25,33.85,33.95,477280,33.95
2017-10-05,34.1,34.6,33.9,34.0,767740,34.0
2017-10-04,33.35,34.3,33.3,34.3,923540,34.3
2017-10-03,33.75,33.85,33.0,33.4,1435880,33.4
2017-10-02,34.3,34.6,33.75,33.85,619360,33.85
2017-09-29,33.95,34.25,33.5,34.25,1644860,34.25
2017-09-28,34.7,35.0,33.8,33.95,1944230,33.95
2017-09-27,34.8,35.1,34.6,34.7,899140,34.7
2017-09-26,35.1,35.3,34.7,34.7,1396260,34.7
2017-09-25,35.4,36.1,35.1,35.1,1363400,35.1
2017-09-22,35.2,35.75,35.0,35.35,1351350,35.35
2017-09-21,34.95,35.25,34.6,35.0,1315010,35.0
2017-09-20,34.7,35.0,34.35,34.7,1510850,34.7
2017-09-19,34.7,35.4,34.6,34.6,1588240,34.6
2017-09-18,35.7,36.45,34.8,34.8,3144970,34.8
2017-09-15,34.3,35.85,34.3,35.3,2650530,35.3
2017-09-14,35.1,35.3,34.55,34.55,1964360,34.55
2017-09-13,34.95,35.6,34.5,35.1,2577230,35.1
2017-09-12,32.6,34.8,32.6,34.8,3747120,34.8
2017-09-11,32.6,33.05,32.4,32.65,979590,32.65
2017-09-08,33.05,33.35,32.6,32.6,1198900,32.6
2017-09-07,32.6,33.3,32.5,33.05,2443490,33.05
2017-09-06,31.9,32.6,31.8,32.45,1096910,32.45
2017-09-05,32.5,32.5,32.0,32.05,687200,32.05
2017-09-01,32.7,32.75,32.4,32.45,676210,32.45
2017-08-31,32.0,32.6,32.0,32.4,866160,32.4
2017-08-30,32.0,32.35,31.8,32.1,909590,32.1
2017-08-29,32.0,32.9,31.8,32.2,1015900,32.2
