date,open,high,low,close,volume
2018-06-27,8.5,8.89,8.5,8.89,210
2018-06-26,8.39,8.4,8.39,8.4,60
2018-06-25,8.39,8.39,8.39,8.39,10
2018-06-22,8.8,8.8,8.8,8.8,10
2018-06-21,8.42,9.6,8.42,9.4,120
2018-06-20,9.0,9.3,9.0,9.0,520
2018-06-19,9.28,9.3,9.0,9.15,1040
2018-06-18,8.8,8.8,8.43,8.79,3020
2018-06-15,8.43,8.52,8.43,8.52,30
2018-06-14,8.52,8.52,8.52,8.52,1900
2018-06-13,8.52,8.52,8.52,8.52,3530
2018-06-12,8.52,8.52,8.51,8.52,2480
2018-06-11,8.52,9.17,8.45,8.89,6110
2018-06-08,8.52,9.09,8.52,9.08,5020
2018-06-07,8.04,8.5,7.95,8.5,2440
2018-06-06,8.52,8.52,7.95,7.95,2640
2018-06-05,8.52,8.52,8.52,8.52,1330
2018-06-04,8.52,8.52,7.96,8.52,2620
2018-06-01,8.13,8.51,8.13,8.52,5010
2018-05-31,8.71,8.71,8.71,8.7,10
2018-05-30,8.8,8.8,8.8,8.8,10
2018-05-29,8.42,8.61,8.33,8.61,570
2018-05-28,8.23,8.85,8.23,8.24,3340
2018-05-25,8.09,8.79,8.09,8.8,50
2018-05-24,8.7,8.7,8.7,8.7,10
2018-05-23,8.52,8.71,8.52,8.7,16470
2018-05-22,7.75,8.61,7.75,8.52,8150
2018-05-21,8.33,8.33,8.33,8.33,1200
2018-05-18,8.38,8.42,8.33,8.42,2420
2018-05-17,8.33,8.33,8.33,8.33,300
2018-05-16,7.93,7.93,7.93,7.93,10
2018-05-15,8.52,8.52,8.52,8.52,10
2018-05-14,8.52,8.52,8.52,8.52,10
2018-05-11,8.51,8.51,8.51,8.52,10
2018-05-10,8.42,8.42,8.42,8.42,20
2018-05-09,,,,8.42,0
2018-05-08,,,,8.42,0
2018-05-07,8.24,8.43,8.24,8.42,100
2018-05-04,7.86,8.61,7.86,8.52,210
2018-05-03,8.33,8.42,7.76,8.42,360
2018-05-02,7.93,8.33,7.93,8.33,20
2018-04-27,7.93,7.93,7.93,7.93,90
2018-04-26,8.33,8.51,8.32,8.52,1310
2018-04-24,8.05,8.95,7.93,8.94,5620
2018-04-23,7.58,8.51,7.58,8.52,120
2018-04-20,8.06,8.06,8.06,8.05,10
2018-04-19,,,,8.52,0
2018-04-18,7.87,8.52,7.87,8.52,20
2018-04-17,,,,8.34,0
2018-04-16,8.42,8.42,8.33,8.34,2180
2018-04-13,8.42,8.52,8.42,8.42,4100
2018-04-12,8.47,8.47,8.47,8.47,20
2018-04-11,8.52,8.52,7.96,8.47,4590
2018-04-10,8.52,8.52,8.33,8.52,6110
2018-04-09,8.32,8.32,8.32,8.32,10
2018-04-06,8.99,8.99,8.42,8.94,40
2018-04-05,8.99,8.99,8.52,8.99,1170
2018-04-04,8.56,8.93,8.54,8.92,17170
2018-04-03,8.51,8.89,8.27,8.89,13250
2018-04-02,8.89,8.89,7.87,8.88,60
2018-03-30,8.33,8.33,8.33,8.34,10
2018-03-29,8.33,8.71,8.33,8.7,40
2018-03-28,7.57,8.52,7.43,8.52,260
2018-03-27,7.97,7.97,7.97,7.97,10
2018-03-26,8.7,8.7,8.51,8.52,4190
2018-03-23,8.43,8.84,8.43,8.7,6860
2018-03-22,8.61,8.9,8.05,8.89,4250
2018-03-21,8.52,8.89,8.52,8.52,3460
