date,open,high,low,close,volume,adj_close
2018-03-19,,,,,385860,6.14
2018-03-16,6.05,6.1,6.0,6.1,683220,6.1
2018-03-15,6.04,6.05,6.0,6.05,343040,6.05
2018-03-14,6.04,6.05,5.99,6.04,687910,6.04
2018-03-13,6.0,6.04,5.87,6.04,366220,6.04
2018-03-12,6.02,6.04,5.82,6.03,353390,6.03
2018-03-09,6.15,6.15,6.02,6.02,171160,6.02
2018-03-08,6.15,6.15,6.0,6.15,184050,6.15
2018-03-07,6.15,6.19,6.05,6.15,201480,6.15
2018-03-06,6.15,6.18,5.95,6.15,218290,6.15
2018-03-05,6.05,6.2,6.05,6.15,296180,6.15
2018-03-02,6.09,6.1,6.0,6.05,166180,6.05
2018-03-01,5.85,6.1,5.85,6.09,293220,6.09
2018-02-28,6.1,6.1,6.0,6.1,269450,6.1
2018-02-27,6.1,6.12,6.0,6.1,215260,6.1
2018-02-26,6.05,6.12,6.0,6.1,253450,6.1
2018-02-23,6.05,6.09,5.95,6.05,381480,6.05
2018-02-22,6.04,6.1,5.96,6.01,228170,6.01
2018-02-21,5.85,6.06,5.85,6.0,241920,6.0
2018-02-13,5.42,5.9,5.42,5.85,206940,5.85
2018-02-12,5.72,5.78,5.65,5.73,181870,5.73
2018-02-09,5.5,5.72,5.41,5.72,233720,5.72
2018-02-08,5.85,5.89,5.6,5.7,279010,5.7
2018-02-07,5.85,5.9,5.8,5.85,204720,5.85
2018-02-06,5.65,5.85,5.45,5.85,155940,5.85
2018-02-05,6.0,6.05,5.67,5.85,291450,5.85
2018-02-02,6.0,6.08,5.91,6.05,329060,6.05
2018-02-01,5.95,6.0,5.87,6.0,325490,6.0
2018-01-31,5.88,6.2,5.8,5.95,890590,5.95
2018-01-30,5.87,5.88,5.75,5.88,348910,5.88
2018-01-29,5.88,5.9,5.75,5.87,363630,5.87
2018-01-26,5.88,5.96,5.63,5.86,358040,5.86
2018-01-25,5.52,5.9,5.5,5.86,709000,5.86
2018-01-24,,,,,0,5.44
