date,open,high,low,close,volume
2018-08-07,72.0,72.0,71.6,71.6,140
2018-08-06,70.8,72.0,69.7,72.0,810
2018-08-03,70.6,70.6,69.7,69.7,130
2018-08-02,71.4,71.4,65.0,69.9,140
2018-08-01,69.8,69.8,69.0,69.0,120
2018-07-31,69.0,69.8,68.9,68.9,230
2018-07-30,69.4,70.0,69.0,69.0,420
2018-07-27,68.9,69.8,68.9,68.9,280
2018-07-26,70.0,70.0,69.4,69.4,100
2018-07-25,70.5,70.5,67.0,70.4,330
2018-07-24,69.9,69.9,69.9,69.9,30
2018-07-23,69.3,70.6,68.0,69.3,1860
2018-07-20,69.8,73.0,69.5,73.0,420
2018-07-19,69.1,69.8,68.1,69.0,340
2018-07-18,70.0,72.1,68.0,71.9,1390
2018-07-17,72.6,72.6,72.3,72.6,280
2018-07-16,73.0,73.0,72.0,72.9,90
2018-07-13,66.9,74.6,66.9,72.0,1200
2018-07-12,71.7,74.8,71.7,71.7,740
2018-07-11,76.0,77.0,69.4,77.0,200
2018-07-10,74.4,78.0,74.4,74.4,600
2018-07-09,76.2,79.9,76.2,79.9,670
2018-07-06,82.0,82.0,81.9,81.9,20
2018-07-05,71.0,81.1,71.0,79.8,810
2018-07-04,78.0,80.0,71.0,75.8,690
2018-07-03,76.8,76.8,76.3,76.3,110
2018-07-02,84.4,84.4,82.0,82.0,70
2018-06-29,81.0,81.0,75.0,80.9,890
2018-06-28,76.0,76.0,75.0,76.0,1140
2018-06-27,80.0,80.0,80.0,80.0,200
2018-06-26,80.0,80.0,80.0,80.0,1300
2018-06-25,79.5,80.0,79.5,80.0,110
2018-06-22,79.3,81.0,75.1,78.0,150
2018-06-21,80.7,80.7,79.3,79.3,60
2018-06-20,,,,81.0,0
2018-06-19,84.0,84.0,79.0,81.0,40
2018-06-18,79.2,83.9,79.2,81.5,1090
2018-06-15,83.8,84.4,83.8,84.4,50
2018-06-14,84.5,84.5,84.5,84.5,30
2018-06-13,84.5,84.5,84.5,84.5,10
2018-06-12,84.0,84.0,84.0,84.0,10
2018-06-11,84.0,84.0,78.4,83.5,1080
2018-06-08,84.0,84.0,84.0,84.0,280
2018-06-07,84.0,84.0,84.0,84.0,10
2018-06-06,84.0,84.0,84.0,84.0,10
2018-06-05,82.5,82.5,80.0,80.0,80
2018-06-04,84.0,84.0,80.0,80.0,80
2018-06-01,82.0,84.5,80.0,80.0,1030
2018-05-31,84.0,84.0,84.0,84.0,10
2018-05-30,81.3,85.0,81.3,81.3,110
2018-05-29,76.0,81.3,76.0,81.3,170
2018-05-28,74.0,76.0,74.0,76.0,50
2018-05-25,75.0,78.9,75.0,78.9,20
2018-05-24,79.9,79.9,77.1,79.8,40
