date,open,high,low,close,volume,adj_close
2017-11-14,,,,,1976900,24.3
2017-11-13,,,,,1456000,23.95
2017-11-10,,,,,2655350,23.6
2017-11-09,,,,,2328420,23.5
2017-11-08,,,,,3162900,23.8
2017-11-07,,,,,2397470,22.85
2017-11-06,,,,,2248950,22.85
2017-11-03,,,,,2000100,22.4
2017-11-02,,,,,2240060,21.9
2017-11-01,,,,,2540230,22.4
2017-10-31,,,,,2860900,21.85
2017-10-30,,,,,5516030,21.85
2017-10-27,,,,,1525120,21.2
2017-10-26,,,,,1949360,20.7
2017-10-25,,,,,1419710,21.0
2017-10-24,,,,,991780,20.75
2017-10-23,,,,,2104280,20.9
2017-10-20,,,,,2795090,21.4
2017-10-19,,,,,2221120,21.25
2017-10-18,,,,,3877330,21.4
2017-10-17,,,,,5851150,21.5
2017-10-16,,,,,1723790,20.35
2017-10-13,,,,,720350,20.2
2017-10-12,,,,,1237240,20.15
2017-10-11,,,,,2054250,20.3
2017-10-10,,,,,786110,20.0
2017-10-09,,,,,1931480,20.0
2017-10-06,,,,,2512220,19.95
2017-10-05,,,,,1259970,19.9
2017-10-04,,,,,1798560,20.05
2017-10-03,,,,,2747020,19.85
2017-10-02,,,,,1316100,19.7
2017-09-29,,,,,2047180,19.6
2017-09-28,,,,,2620840,19.65
2017-09-27,,,,,1270120,20.2
2017-09-26,,,,,1400280,20.4
2017-09-25,,,,,1296670,20.4
2017-09-22,,,,,1539180,20.6
2017-09-21,,,,,3542580,20.85
2017-09-20,,,,,1165030,20.5
2017-09-19,,,,,1771760,20.65
2017-09-18,,,,,1867500,20.5
2017-09-15,,,,,761660,20.4
2017-09-14,,,,,1630270,20.65
2017-09-13,,,,,865900,20.5
2017-09-12,,,,,1086660,20.5
2017-09-11,,,,,1595410,20.2
2017-09-08,,,,,2150240,20.35
2017-09-07,20.55,21.2,20.55,20.85,2388710,20.85
2017-09-06,20.7,20.9,20.45,20.6,2638220,20.6
2017-09-05,21.0,21.0,20.6,20.95,1769650,20.95
2017-09-01,21.1,21.6,20.75,21.05,3772890,21.05
2017-08-31,19.4,20.7,19.35,20.7,5421350,20.7
2017-08-30,19.7,19.7,19.35,19.35,1728800,19.35
2017-08-29,19.65,19.9,19.6,19.65,1636320,19.65
2017-08-28,19.75,19.9,19.55,19.65,1189610,19.65
2017-08-25,19.9,20.1,19.7,19.75,1774880,19.75
2017-08-24,19.45,19.9,19.4,19.8,2016560,19.8
2017-08-23,19.15,19.5,19.05,19.4,1180060,19.4
2017-08-22,19.6,19.6,19.15,19.15,1799420,19.15
2017-08-21,19.75,19.85,19.2,19.65,1027780,19.65
2017-08-18,19.0,20.0,18.8,19.75,2250620,19.75
2017-08-17,20.0,20.15,19.1,19.2,5639850,19.2
2017-08-16,20.3,20.4,19.8,20.0,2001570,20.0
2017-08-15,20.75,20.8,20.3,20.3,1784120,20.3
2017-08-14,20.3,20.8,20.0,20.8,1736920,20.8
2017-08-11,20.2,20.4,19.8,20.3,2439370,20.3
2017-08-10,20.2,20.8,19.4,20.3,4450650,20.3
2017-08-09,22.1,22.1,20.4,20.4,9682480,20.4
2017-08-08,22.6,22.7,22.4,22.6,2963240,21.9
2017-08-07,22.2,22.55,22.2,22.5,3107320,21.8
2017-08-04,22.9,22.9,22.4,22.4,2565930,21.71
2017-08-03,22.4,23.0,22.4,22.9,4418090,22.19
2017-08-02,21.85,22.95,21.65,22.45,6829100,21.75
2017-08-01,22.0,22.35,21.8,22.2,3554410,21.51
2017-07-31,21.1,22.35,21.1,22.2,6728350,21.51
2017-07-28,20.85,21.2,20.6,21.0,5408060,20.35
2017-07-27,20.6,20.85,20.4,20.7,3954610,20.06
2017-07-26,20.4,20.9,20.35,20.6,4938950,19.96
2017-07-25,19.4,20.5,19.4,20.5,4854620,19.86
2017-07-24,19.2,19.5,18.95,19.4,1521320,18.8
2017-07-21,19.7,19.8,19.25,19.25,2846690,18.65
2017-07-20,19.25,19.6,19.0,19.6,2885390,18.99
2017-07-19,19.15,19.25,19.0,19.05,1785650,18.46
2017-07-18,18.85,19.1,18.7,18.95,1988430,18.36
2017-07-17,19.45,19.5,18.85,18.9,2508150,18.31
2017-07-14,19.7,19.7,19.3,19.3,1615650,18.7
2017-07-13,19.3,19.65,19.25,19.55,1427810,18.94
2017-07-12,19.7,19.7,19.3,19.3,2218530,18.7
2017-07-11,19.7,19.75,19.05,19.7,2406080,19.09
2017-07-10,20.2,20.3,19.7,19.7,4280320,19.09
2017-07-07,20.3,20.6,20.15,20.2,4883780,19.57
2017-07-06,20.5,20.7,20.15,20.3,5082620,19.67
2017-07-05,20.35,20.45,20.2,20.4,3792250,19.77
2017-07-04,20.9,20.9,20.2,20.3,3960190,19.67
2017-07-03,20.4,20.95,20.4,20.7,3702190,20.06
2017-06-30,20.2,20.4,20.2,20.4,2718220,19.77
2017-06-29,20.15,20.6,20.15,20.3,5414500,19.67
2017-06-28,19.85,20.2,19.7,19.95,3584220,19.33
2017-06-27,20.2,20.35,19.9,19.9,3955780,19.28
2017-06-26,19.9,20.35,19.8,20.2,4079030,19.57
2017-06-23,19.7,19.9,19.6,19.9,4067480,19.28
2017-06-22,20.4,20.5,19.85,19.85,4700650,19.23
2017-06-21,20.4,20.6,19.85,20.3,7245070,19.67
2017-06-20,20.3,20.6,20.1,20.55,6648680,19.91
2017-06-19,20.0,20.05,19.8,20.0,4812540,19.38
