date,open,high,low,close,volume,adj_close
2017-11-29,,,,,0,4.3
2017-11-28,,,,,1100,4.3
2017-11-27,,,,,16200,4.6
2017-11-24,,,,,0,4.5
2017-11-23,,,,,400,4.5
2017-11-22,,,,,500,4.6
2017-11-21,,,,,1000,4.5
2017-11-20,,,,,0,4.9
2017-11-17,,,,,0,4.9
2017-11-16,,,,,0,4.9
2017-11-15,,,,,0,4.9
2017-11-14,,,,,0,4.9
2017-11-13,,,,,100,4.9
2017-11-10,,,,,700,4.5
2017-11-09,,,,,0,5.0
2017-11-08,,,,,300,5.0
2017-11-07,,,,,0,4.6
2017-11-06,,,,,0,4.6
2017-11-03,,,,,0,4.6
2017-11-02,,,,,2500,4.6
2017-11-01,,,,,500,4.3
2017-10-31,,,,,400,4.7
2017-10-30,,,,,0,4.3
2017-10-27,,,,,0,4.3
2017-10-26,,,,,1900,4.3
2017-10-25,,,,,7000,4.3
2017-10-24,,,,,1500,4.2
2017-10-23,,,,,2000,4.2
2017-10-20,,,,,800,4.1
2017-10-19,,,,,76300,4.3
2017-10-18,,,,,25600,4.2
2017-10-17,,,,,400,4.3
2017-10-16,,,,,300,4.3
2017-10-13,,,,,47600,4.3
2017-10-12,,,,,0,4.4
2017-10-11,,,,,0,4.4
2017-10-10,,,,,1100,4.4
2017-10-09,,,,,3100,4.4
2017-10-06,,,,,2900,4.2
2017-10-05,,,,,100,4.5
2017-10-04,,,,,0,4.2
2017-10-03,,,,,5100,4.2
2017-10-02,,,,,0,4.5
2017-09-29,,,,,0,4.5
2017-09-28,,,,,0,4.5
2017-09-27,,,,,0,4.5
2017-09-26,,,,,1100,4.5
2017-09-25,,,,,300,4.5
2017-09-22,,,,,0,4.4
2017-09-21,,,,,5700,4.4
2017-09-20,,,,,2600,4.3
2017-09-19,,,,,0,4.5
2017-09-18,,,,,0,4.5
2017-09-15,,,,,0,4.5
2017-09-14,,,,,200,4.5
2017-09-13,,,,,8100,4.2
2017-09-12,,,,,0,4.5
2017-09-11,,,,,400,4.5
2017-09-08,,,,,1600,4.4
2017-09-07,4.4,4.6,4.4,4.4,15600,4.4
2017-09-06,4.8,4.8,4.8,4.8,200,4.8
2017-09-05,4.5,4.8,4.5,4.8,1100,4.8
2017-09-01,4.5,4.5,4.5,4.5,100,4.5
2017-08-31,4.5,4.5,4.5,4.5,500,4.5
2017-08-30,4.5,4.5,4.5,4.5,2000,4.5
2017-08-29,4.5,4.9,4.5,4.9,1040,4.9
2017-08-28,4.7,5.2,4.7,5.0,4200,5.0
2017-08-25,5.2,5.2,5.2,5.2,0,5.2
2017-08-24,5.2,5.2,5.2,5.2,0,5.2
2017-08-23,5.2,5.2,5.2,5.2,0,5.2
2017-08-22,5.2,5.2,5.2,5.2,0,5.2
2017-08-21,5.0,5.2,5.0,5.2,500,5.2
2017-08-18,5.1,5.1,4.4,4.9,1200,4.9
2017-08-17,4.5,4.8,4.5,4.8,900,4.8
2017-08-16,4.8,4.8,4.8,4.8,100,4.8
2017-08-15,4.4,4.7,4.4,4.7,2100,4.7
2017-08-14,4.7,5.1,4.3,4.7,22700,4.7
2017-08-11,4.7,4.7,4.7,4.7,0,4.7
2017-08-10,4.7,4.7,4.7,4.7,100,4.7
2017-08-09,4.5,4.5,4.3,4.5,23100,4.5
2017-08-08,5.0,5.0,4.5,4.7,5800,4.7
2017-08-07,4.6,5.0,4.6,5.0,200,5.0
2017-08-04,4.9,4.9,4.2,4.6,2100,4.6
2017-08-03,4.4,4.7,4.4,4.6,14200,4.6
2017-08-02,4.2,4.7,4.2,4.3,35720,4.3
2017-08-01,4.2,4.3,4.1,4.3,7600,4.3
2017-07-31,4.2,4.6,4.2,4.3,8900,4.3
2017-07-28,4.0,4.2,4.0,4.2,4100,4.2
2017-07-27,4.2,4.2,4.0,4.2,29000,4.2
