date,open,high,low,close,volume
2018-06-27,14.3,14.3,14.3,14.3,1610
2018-06-26,13.0,14.3,13.0,14.3,5010
2018-06-25,13.0,13.5,13.0,13.5,3330
2018-06-22,13.1,13.1,12.8,13.0,1780
2018-06-21,13.8,13.8,12.7,13.1,10330
2018-06-20,12.8,13.6,12.8,13.2,17120
2018-06-19,13.1,13.7,13.05,13.7,1610
2018-06-18,13.4,14.0,12.8,14.0,12820
2018-06-15,13.0,13.5,12.8,13.5,9920
2018-06-14,13.5,13.5,13.5,13.5,300
2018-06-13,12.9,13.5,12.5,13.5,13710
2018-06-12,13.2,13.2,12.6,13.0,26950
2018-06-11,13.7,13.7,13.5,13.5,1960
2018-06-08,13.3,13.7,13.3,13.7,3020
2018-06-07,13.3,13.8,13.3,13.8,4030
2018-06-06,13.8,13.8,13.8,13.8,1450
2018-06-05,13.2,13.8,13.2,13.7,2020
2018-06-04,13.3,13.8,13.2,13.2,4030
2018-06-01,13.5,13.8,13.3,13.8,5750
2018-05-31,14.7,14.7,13.4,13.8,1110
2018-05-30,13.2,13.8,13.2,13.8,4530
2018-05-29,13.4,13.6,13.4,13.6,900
2018-05-28,13.5,13.6,13.0,13.6,9510
2018-05-25,13.6,13.8,13.3,13.8,2510
2018-05-24,13.3,13.8,13.05,13.8,3730
2018-05-23,13.95,14.0,13.95,14.0,660
2018-05-22,14.4,14.5,14.4,14.5,30
2018-05-21,13.9,14.0,13.25,14.0,4490
2018-05-18,14.0,14.4,13.6,14.2,5460
2018-05-17,14.5,14.5,14.5,14.5,100
2018-05-16,13.9,13.9,13.8,13.8,1000
2018-05-15,13.71,13.9,13.61,13.9,8520
2018-05-14,12.85,13.7,12.85,13.71,5670
2018-05-11,13.8,13.8,13.51,13.8,2810
2018-05-10,13.71,13.71,13.09,13.13,60
2018-05-09,12.65,13.51,12.65,13.42,640
2018-05-08,13.51,13.51,12.75,13.51,2170
2018-05-07,13.33,13.61,12.66,13.51,1370
2018-05-04,13.99,13.99,13.47,13.47,4180
2018-05-03,14.09,14.09,13.61,13.66,2060
2018-05-02,14.13,14.13,13.23,13.61,2890
2018-04-27,13.52,13.52,12.47,13.23,3500
2018-04-26,13.23,13.71,12.9,13.23,4090
2018-04-24,12.37,12.89,12.37,12.9,2520
2018-04-23,12.99,12.99,12.37,12.37,1780
2018-04-20,12.99,13.04,12.99,12.99,1850
2018-04-19,12.99,12.99,12.95,12.99,720
2018-04-18,12.52,13.04,12.52,12.85,5350
2018-04-17,12.65,12.89,12.65,12.85,1500
2018-04-16,12.94,13.04,12.94,12.94,1890
2018-04-13,12.75,13.08,12.75,12.94,28110
2018-04-12,12.85,12.85,12.56,12.75,2290
2018-04-11,13.33,13.33,12.56,12.56,3560
2018-04-10,12.94,13.28,12.94,13.04,12310
2018-04-09,12.85,13.04,12.85,13.04,12590
2018-04-06,12.56,12.75,12.46,12.75,4010
2018-04-05,12.57,12.57,12.38,12.56,12010
2018-04-04,12.75,12.75,12.18,12.52,37560
2018-04-03,12.7,12.94,12.37,12.94,9760
2018-04-02,13.13,13.28,12.85,12.94,15260
2018-03-30,13.23,13.32,13.04,13.23,16240
2018-03-29,13.42,13.42,13.32,13.37,5020
2018-03-28,13.32,13.41,13.32,13.42,1920
2018-03-27,13.81,13.81,13.19,13.51,8930
2018-03-26,13.42,13.8,13.23,13.71,9060
2018-03-23,13.32,13.61,13.23,13.47,9560
2018-03-22,13.56,13.56,13.56,13.56,2800
2018-03-21,13.61,13.7,13.32,13.61,7880
2018-03-20,13.32,13.8,13.22,13.8,14550
2018-03-19,13.61,13.61,13.23,13.51,23290
2018-03-16,13.8,13.9,13.61,13.8,13680
2018-03-15,13.9,13.99,13.8,13.8,4530
2018-03-14,13.32,13.8,13.32,13.8,12420
2018-03-13,13.71,13.8,13.33,13.32,8630
2018-03-12,13.99,13.99,13.51,13.9,21530
2018-03-09,14.23,14.23,13.61,13.99,4670
2018-03-08,13.99,14.08,13.7,14.09,8410
2018-03-07,13.7,14.13,13.51,14.13,8950
2018-03-06,13.99,14.18,13.42,14.18,15320
2018-03-05,13.8,13.99,13.51,13.99,10880
2018-03-02,13.99,13.99,13.52,13.51,13490
2018-03-01,14.09,14.23,14.09,14.09,3410
2018-02-28,13.8,14.18,13.8,14.09,5640
2018-02-27,13.8,14.28,13.8,14.28,3730
2018-02-26,14.56,14.56,13.8,14.28,4430
2018-02-23,14.47,14.57,14.38,14.56,2900
2018-02-22,13.85,14.37,13.85,14.28,1310
2018-02-21,14.75,14.94,14.28,14.56,10110
2018-02-13,13.33,14.61,13.33,14.61,16130
2018-02-12,13.42,13.66,12.94,13.66,14840
2018-02-09,12.94,13.41,12.94,13.42,19670
