date,open,high,low,close,volume
2018-05-22,32.0,32.4,30.15,30.15,312970
2018-05-21,32.5,32.7,32.3,32.4,22910
2018-05-18,32.5,32.9,32.5,32.5,30130
2018-05-17,32.1,32.7,32.0,32.5,44430
2018-05-16,32.5,33.0,32.0,32.4,65960
2018-05-15,32.3,33.1,32.0,32.5,48390
2018-05-14,33.15,33.9,32.0,33.1,11120
2018-05-11,32.5,33.2,31.5,32.95,30700
2018-05-10,34.0,34.0,32.5,33.4,25200
2018-05-09,33.3,33.95,33.3,33.5,19680
2018-05-08,34.0,34.4,33.6,33.8,24480
2018-05-07,34.3,35.3,33.5,34.4,15800
2018-05-04,34.0,34.3,33.6,34.3,14560
2018-05-03,33.35,33.8,33.35,33.4,34580
2018-05-02,33.4,34.0,33.0,33.35,78230
2018-04-27,33.0,33.9,33.0,33.4,109360
2018-04-26,33.5,33.9,33.0,33.5,90710
2018-04-24,33.6,33.9,32.5,33.5,90730
2018-04-23,34.2,34.75,32.35,33.5,239170
2018-04-20,36.1,36.1,34.75,34.75,83960
2018-04-19,36.1,36.1,35.0,35.5,35720
2018-04-18,36.45,36.6,35.6,36.1,6390
2018-04-17,36.35,36.35,35.7,36.2,21150
2018-04-16,35.65,36.5,35.5,35.7,12480
2018-04-13,36.5,36.5,35.65,35.65,33940
2018-04-12,36.0,36.3,35.85,35.9,16750
2018-04-11,36.9,36.9,36.0,36.2,86410
2018-04-10,37.1,37.8,36.2,37.0,33790
2018-04-09,36.2,37.6,36.2,37.4,107910
2018-04-06,36.6,37.0,36.0,36.55,83720
2018-04-05,36.6,36.7,36.3,36.6,27250
2018-04-04,36.8,36.9,36.0,36.6,45860
2018-04-03,37.3,37.3,36.25,36.7,33770
2018-04-02,37.3,37.6,37.1,37.3,41200
2018-03-30,37.1,37.4,36.6,37.3,26180
2018-03-29,36.05,37.6,36.0,37.1,112650
2018-03-28,35.3,36.0,35.3,36.0,31820
2018-03-27,35.9,36.4,35.3,35.65,80870
2018-03-26,36.4,36.4,35.2,35.6,38910
2018-03-23,34.45,36.3,34.2,35.6,116040
2018-03-22,35.6,35.8,35.0,35.6,81010
2018-03-21,35.8,35.9,35.0,35.6,102070
2018-03-20,36.2,36.4,35.6,35.7,74900
2018-03-19,37.3,37.3,36.0,36.2,42520
2018-03-16,36.85,36.85,36.15,36.2,76500
2018-03-15,36.85,36.85,36.1,36.2,89200
2018-03-14,37.5,37.5,36.5,36.5,92490
2018-03-13,37.4,37.4,36.8,37.25,38820
2018-03-12,37.35,37.95,37.1,37.1,40350
2018-03-09,37.5,38.1,37.2,37.55,49550
2018-03-08,37.9,37.9,37.3,37.5,32920
2018-03-07,38.2,38.2,37.5,37.7,75090
2018-03-06,37.9,38.3,37.3,38.1,58250
2018-03-05,38.5,38.6,37.9,37.9,116490
2018-03-02,37.8,38.5,37.6,38.5,86900
2018-03-01,37.7,38.4,37.7,37.9,131050
2018-02-28,37.65,38.4,37.15,37.95,101290
2018-02-27,38.4,38.4,37.65,37.65,55330
2018-02-26,38.95,38.95,37.85,37.85,217310
2018-02-23,36.2,39.05,36.2,38.0,127870
2018-02-22,36.5,36.95,36.0,36.5,42040
2018-02-21,35.8,36.9,35.5,36.5,43860
2018-02-13,35.9,35.9,35.45,35.8,35720
2018-02-12,35.2,36.1,35.2,35.3,63070
2018-02-09,34.4,35.5,34.4,35.2,78580
2018-02-08,33.5,36.0,33.5,35.5,38090
2018-02-07,33.65,35.6,33.65,35.2,20650
2018-02-06,34.0,35.0,33.05,33.9,208090
2018-02-05,37.1,37.45,35.5,35.5,112010
2018-02-02,37.6,37.6,37.1,37.1,41810
2018-02-01,37.5,37.9,37.1,37.45,174300
2018-01-31,37.8,38.1,37.2,37.5,119670
2018-01-30,36.8,37.9,36.1,37.8,228520
2018-01-29,37.4,37.9,36.7,36.8,155900
2018-01-26,37.4,37.4,36.9,37.4,156050
2018-01-25,37.55,38.0,37.0,37.5,215890
2018-01-22,38.1,38.1,37.45,37.55,185740
2018-01-19,37.9,38.6,37.9,38.1,160220
2018-01-18,38.0,38.1,37.2,37.9,258760
2018-01-17,39.0,39.6,38.0,38.0,142770
2018-01-16,39.45,39.45,38.7,39.0,181410
2018-01-15,39.0,39.5,39.0,39.45,146910
2018-01-12,40.0,40.9,39.5,39.5,209440
2018-01-11,39.75,40.5,39.4,40.0,205900
2018-01-10,38.0,40.5,38.0,39.75,593580
2018-01-09,38.2,38.4,37.9,38.1,139260
2018-01-08,37.6,38.6,37.6,38.2,153090
2018-01-05,37.9,38.0,37.5,37.55,141140
2018-01-04,38.2,38.65,37.7,37.9,146610
2018-01-03,38.8,38.85,38.05,38.5,231950
2018-01-02,38.6,38.9,38.3,38.75,173600
2017-12-29,38.3,38.6,38.05,38.3,227710
2017-12-28,37.5,38.3,37.5,38.1,212960
2017-12-27,37.0,37.8,37.0,37.5,157430
2017-12-26,36.9,37.0,36.6,36.75,54970
2017-12-25,36.8,37.2,36.5,36.6,43790
2017-12-22,36.9,37.6,36.5,36.8,117350
2017-12-21,37.5,37.6,36.85,36.9,66270
2017-12-20,37.45,37.95,37.4,37.6,87740
2017-12-19,37.3,38.0,37.3,37.4,116330
2017-12-18,37.5,38.0,36.8,37.3,151530
2017-12-15,36.5,37.4,36.5,36.8,58400
2017-12-14,36.05,36.6,36.0,36.6,62850
2017-12-13,36.8,36.8,36.0,36.15,46580
2017-12-12,38.0,38.0,35.35,36.25,166270
2017-12-11,38.6,38.6,37.9,38.0,74460
2017-12-08,38.05,39.0,38.05,38.65,183410
2017-12-07,38.0,38.8,37.9,38.2,94070
2017-12-06,38.15,38.4,37.85,37.9,174420
2017-12-05,39.0,39.2,38.3,38.3,249250
2017-12-04,39.0,39.4,38.5,39.0,144000
2017-12-01,38.2,38.95,38.15,38.5,159670
2017-11-30,39.1,39.2,38.1,38.1,142950
2017-11-29,38.65,39.0,38.6,38.65,142240
2017-11-28,39.4,39.9,38.65,38.65,302710
2017-11-27,37.5,39.4,37.5,39.0,337530
2017-11-24,36.6,37.3,36.3,37.3,142760
2017-11-23,37.3,37.3,36.5,36.55,162100
2017-11-22,36.4,37.0,36.4,36.75,146720
2017-11-21,36.8,37.2,36.3,36.4,257700
2017-11-20,36.8,37.2,36.6,37.0,147140
2017-11-17,37.7,37.7,36.9,37.0,175480
2017-11-16,37.4,38.4,37.2,37.7,258920
2017-11-15,37.4,37.5,36.8,37.5,138330
2017-11-14,36.5,37.8,36.2,37.4,303550
2017-11-13,36.2,37.0,36.2,36.6,334100
2017-11-10,35.0,36.5,34.9,36.1,418090
2017-11-09,34.9,34.9,34.0,34.65,73170
2017-11-08,34.9,35.2,34.5,34.6,74550
2017-11-07,35.1,35.15,34.7,34.9,156650
2017-11-06,34.0,35.1,34.0,35.1,116800
2017-11-03,34.3,34.4,33.0,33.9,79720
2017-11-02,35.0,35.45,33.5,34.0,103980
2017-11-01,34.6,35.0,34.5,34.75,68900
2017-10-31,34.5,35.6,34.1,34.6,157380
2017-10-30,35.5,35.9,34.9,34.9,172420
2017-10-27,35.9,36.3,35.7,35.9,139340
2017-10-26,36.1,36.7,35.8,36.2,285430
2017-10-25,34.5,36.2,34.3,35.85,339420
2017-10-24,33.5,34.7,33.5,34.6,118850
2017-10-23,34.6,34.8,33.6,33.7,154540
2017-10-20,34.7,35.1,34.5,35.0,484540
2017-10-19,35.5,35.8,34.5,34.7,418420
2017-10-18,32.0,33.9,32.0,33.9,249380
2017-10-17,32.15,32.15,31.6,31.7,33090
2017-10-16,31.7,32.2,31.7,32.15,130610
2017-10-13,32.0,32.45,31.5,31.5,79590
