date,open,high,low,close,volume,adj_close
2017-11-13,15.0,15.0,15.0,15.0,0,
2017-11-10,15.0,15.0,15.0,15.0,0,
2017-11-09,15.0,15.0,15.0,15.0,0,
2017-11-08,15.0,15.0,15.0,15.0,0,
2017-11-07,15.0,15.0,15.0,15.0,0,
2017-11-06,15.4,15.4,15.0,15.0,0,
2017-11-03,15.0,15.0,15.0,15.0,0,
2017-11-02,15.0,15.0,15.0,15.0,0,
2017-11-01,15.5,15.5,15.5,15.5,0,
2017-10-31,15.0,15.5,15.0,15.5,0,
2017-10-30,15.0,15.0,15.0,15.0,0,
2017-10-27,15.0,15.0,15.0,15.0,0,
2017-10-26,15.0,15.0,15.0,15.0,0,
2017-10-25,15.5,15.5,15.5,15.5,0,
2017-10-24,16.55,16.55,14.5,14.5,0,
2017-10-23,15.5,15.5,15.0,15.5,0,
2017-10-20,15.1,15.1,15.1,15.1,0,
2017-10-19,15.0,15.2,15.0,15.1,1110,15.1
2017-10-18,15.4,15.4,15.4,15.4,100,15.4
2017-10-17,15.4,15.5,15.4,15.4,12100,15.4
2017-10-16,15.5,15.5,15.5,15.5,25500,15.5
2017-10-13,15.0,15.7,15.0,15.7,4700,15.7
2017-10-12,15.7,15.7,15.6,15.6,4050,15.6
2017-10-11,15.6,15.7,15.6,15.7,9000,15.7
2017-10-10,15.5,15.6,15.5,15.6,3260,15.6
2017-10-09,15.5,15.5,15.5,15.5,3190,15.5
2017-10-06,15.5,15.5,15.5,15.5,1000,15.5
2017-10-05,15.5,15.5,15.5,15.5,230,15.5
2017-10-04,15.05,15.05,15.05,15.05,30,15.05
2017-10-03,15.95,15.95,15.95,15.95,0,
2017-10-02,15.95,15.95,15.95,15.95,80,15.95
2017-09-29,17.1,17.1,17.1,17.1,0,
2017-09-28,17.1,17.1,17.1,17.1,0,
2017-09-27,15.0,17.1,15.0,17.1,20590,17.1
2017-09-26,16.0,16.0,16.0,16.0,10,16.0
2017-09-25,15.4,15.4,15.4,15.4,30,15.4
2017-09-22,14.45,16.55,14.45,16.55,4430,16.55
