date,open,high,low,close,volume,adj_close
2017-11-13,17.0,17.15,16.55,17.15,8110,17.15
2017-11-10,17.1,17.2,17.0,17.0,14020,17.0
2017-11-09,17.0,17.2,17.0,17.0,33160,17.0
2017-11-08,17.1,17.2,16.8,17.0,23020,17.0
2017-11-07,17.0,17.0,17.0,17.0,30380,17.0
2017-11-06,17.0,17.0,17.0,17.0,10,17.0
2017-11-03,17.0,17.0,17.0,17.0,2100,17.0
2017-11-02,16.7,17.0,16.7,16.8,16050,16.8
2017-11-01,16.6,17.5,16.6,17.5,100,17.5
2017-10-31,16.8,16.85,16.8,16.85,1200,16.85
2017-10-30,16.5,16.6,16.5,16.6,1500,16.6
2017-10-27,17.3,17.3,17.2,17.3,1970,17.3
2017-10-26,16.6,17.3,16.6,17.3,15670,17.3
2017-10-25,17.0,17.3,16.6,16.6,41560,16.6
2017-10-24,16.45,16.5,16.45,16.5,6300,16.5
2017-10-23,15.95,16.4,15.95,16.4,160,16.4
2017-10-20,16.8,17.1,16.8,17.1,5100,17.1
2017-10-19,16.0,17.3,16.0,16.4,26870,16.4
2017-10-18,16.7,16.8,16.4,16.4,2880,16.4
2017-10-17,17.3,17.3,16.3,16.3,1660,16.3
2017-10-16,16.0,16.5,16.0,16.5,32050,16.5
2017-10-13,16.0,16.5,16.0,16.5,900,16.5
2017-10-12,17.0,17.0,16.6,16.6,2130,16.6
2017-10-11,17.4,17.4,16.3,16.6,130,16.6
2017-10-10,16.3,16.3,16.3,16.3,50,16.3
2017-10-09,16.3,16.3,16.3,16.3,20,16.3
2017-10-06,16.5,16.5,16.5,16.5,100,16.5
2017-10-05,16.9,17.2,16.25,17.0,51600,17.0
2017-10-04,16.0,17.0,16.0,16.1,2730,16.1
2017-10-03,15.75,17.0,15.7,17.0,1370,17.0
2017-10-02,16.6,16.6,16.1,16.1,1140,16.1
2017-09-29,16.5,17.0,16.5,17.0,6240,17.0
2017-09-28,16.7,16.7,16.7,16.7,30,16.7
2017-09-27,16.5,17.3,16.5,16.55,5110,16.55
2017-09-26,17.5,17.5,16.5,16.5,2160,16.5
2017-09-25,16.75,17.8,16.1,17.5,5190,17.5
2017-09-22,16.8,16.8,16.8,16.8,190,16.8
2017-09-21,17.0,17.5,16.7,16.8,1820,16.8
2017-09-20,18.0,18.0,17.0,17.0,2280,17.0
2017-09-19,18.2,18.2,18.2,18.2,10,17.2
2017-09-18,18.0,18.2,17.5,17.5,42020,16.54
2017-09-15,18.0,18.2,17.4,17.5,64320,16.54
2017-09-14,17.6,17.9,17.5,17.9,1150,16.92
2017-09-13,17.5,18.0,17.5,17.5,22850,16.54
2017-09-12,17.8,17.8,17.8,17.8,26000,16.82
2017-09-11,18.0,18.0,17.6,17.6,70,16.63
2017-09-08,18.0,18.0,17.9,18.0,1160,17.01
2017-09-07,17.3,17.85,17.3,17.6,4220,16.63
2017-09-06,17.2,17.2,17.2,17.2,0,
2017-09-05,17.2,17.2,17.2,17.2,10,16.26
2017-09-01,17.0,17.0,17.0,17.0,1130,16.07
2017-08-31,17.0,17.0,17.0,17.0,130,16.07
2017-08-30,16.5,17.5,16.5,17.5,8750,16.54
2017-08-29,16.5,16.6,16.5,16.5,1930,15.59
2017-08-28,16.5,16.5,16.5,16.5,1000,15.59
2017-08-25,16.5,16.5,16.5,16.5,0,
2017-08-24,16.6,16.6,16.5,16.5,5320,15.59
2017-08-23,16.5,16.5,16.5,16.5,200,15.59
2017-08-22,16.95,16.95,16.7,16.8,36010,15.88
2017-08-21,16.95,16.95,16.6,16.8,22750,15.88
2017-08-18,16.95,16.95,16.9,16.95,3130,16.02
2017-08-17,16.8,16.95,16.7,16.8,11030,15.88
2017-08-16,16.65,16.8,16.65,16.8,2100,15.88
2017-08-15,16.6,17.0,16.6,16.8,46890,15.88
2017-08-14,16.8,16.8,16.6,16.6,4830,15.69
2017-08-11,17.0,17.0,16.5,16.5,11430,15.59
2017-08-10,16.75,16.8,16.5,16.8,32380,15.88
2017-08-09,16.8,16.8,16.7,16.7,32500,15.78
2017-08-08,16.5,17.2,16.5,16.8,5120,15.88
