date,open,high,low,close,volume,adj_close
2018-03-19,,,,,16870,20.2
2018-03-16,21.0,21.0,20.5,20.5,30,20.5
2018-03-15,19.3,20.1,19.3,20.1,69500,20.1
2018-03-14,18.05,20.75,18.05,20.75,249240,20.75
2018-03-13,19.5,19.5,19.0,19.4,12950,19.4
2018-03-12,19.7,20.1,19.5,19.5,5350,19.5
2018-03-09,20.0,20.8,19.7,20.1,73050,20.1
2018-03-08,20.7,20.9,19.8,20.3,121050,20.3
2018-03-07,20.5,20.5,19.9,20.0,55640,20.0
2018-03-06,20.8,21.0,19.8,20.7,71520,20.7
2018-03-05,21.0,21.0,19.8,21.0,69970,21.0
2018-03-02,21.0,21.2,20.7,20.85,275200,20.85
2018-03-01,21.5,21.8,20.4,20.4,174980,20.4
2018-02-28,20.0,21.0,20.0,21.0,15770,21.0
2018-02-27,21.8,21.8,20.9,20.9,15950,20.9
2018-02-26,20.85,20.85,19.5,20.85,26590,20.85
2018-02-23,20.8,21.2,19.5,19.5,19690,19.5
2018-02-22,21.9,21.9,20.8,20.8,25490,20.8
2018-02-21,21.1,22.3,21.0,22.3,31430,22.3
2018-02-13,21.25,21.25,20.9,21.0,20150,21.0
2018-02-12,21.1,21.1,20.4,20.75,3130,20.75
2018-02-09,20.0,20.0,19.6,20.0,9400,20.0
2018-02-08,21.2,21.2,19.5,20.7,14290,20.7
2018-02-07,21.0,21.15,19.0,20.35,36020,20.35
2018-02-06,19.7,20.85,19.55,19.8,434310,19.8
2018-02-05,21.0,22.2,21.0,21.0,17260,21.0
2018-02-02,21.5,22.0,21.5,22.0,13620,22.0
2018-02-01,22.75,22.75,22.5,22.5,12530,22.5
2018-01-31,23.0,23.0,22.0,22.8,176020,22.8
2018-01-30,22.85,22.85,22.3,22.6,2290,22.6
2018-01-29,22.1,22.85,22.1,22.5,45070,22.5
2018-01-26,23.4,23.45,22.1,22.35,248860,22.35
2018-01-25,23.45,23.45,22.15,23.45,87500,23.45
2018-01-24,,,,,0,23.2
2018-01-23,,,,,0,23.2
2018-01-22,23.0,23.0,22.1,22.95,21410,22.95
2018-01-19,23.4,23.4,22.8,23.2,16530,23.2
2018-01-18,22.1,23.4,22.1,23.3,59330,23.3
2018-01-17,23.7,23.7,23.0,23.45,9380,23.45
2018-01-16,23.85,23.85,23.5,23.5,3070,23.5
2018-01-15,23.85,23.85,23.5,23.5,5460,23.5
2018-01-12,23.75,23.75,23.05,23.3,50060,23.3
2018-01-11,23.5,23.75,23.4,23.75,118620,23.75
2018-01-10,23.3,24.0,23.0,23.9,227680,23.9
2018-01-09,23.8,24.0,23.3,24.0,140350,24.0
2018-01-08,23.9,23.9,23.7,23.9,5220,23.9
2018-01-05,23.15,23.5,23.0,23.0,132380,23.0
2018-01-04,23.15,24.0,23.15,24.0,73280,24.0
2018-01-03,24.0,24.4,23.5,24.0,27540,24.0
2018-01-02,23.95,24.0,23.95,24.0,33010,24.0
2017-12-29,24.1,24.6,23.8,24.6,3120,24.6
2017-12-28,24.6,24.65,24.0,24.65,15200,24.65
2017-12-27,24.5,24.6,24.15,24.5,58530,24.5
2017-12-26,24.1,24.6,24.0,24.6,5400,24.6
2017-12-25,24.5,24.7,24.4,24.7,82020,24.7
2017-12-22,24.1,24.45,24.1,24.45,5510,24.45
2017-12-21,24.2,24.7,24.15,24.4,45480,24.4
2017-12-20,24.2,24.95,24.1,24.15,57370,24.15
2017-12-19,24.05,24.95,24.05,24.95,124400,24.95
2017-12-18,24.5,25.2,24.15,25.2,30020,25.2
2017-12-15,23.6,25.7,23.6,25.1,66280,25.1
2017-12-14,24.5,24.5,24.4,24.5,2110,24.5
2017-12-13,24.85,24.85,24.1,24.8,6590,24.8
2017-12-12,24.9,24.9,23.85,24.85,19400,24.85
2017-12-11,25.0,25.0,23.8,24.85,85740,24.85
2017-12-08,25.5,25.5,25.45,25.45,23530,25.45
2017-12-07,25.6,25.7,25.45,25.45,228640,25.45
2017-12-06,25.8,25.8,25.8,25.8,0,25.8
2017-12-05,25.85,25.85,25.4,25.8,51440,25.8
2017-12-04,25.65,26.0,25.5,25.85,33200,25.85
2017-12-01,25.65,25.65,25.0,25.65,78370,25.65
2017-11-30,25.75,25.75,25.25,25.65,195870,25.65
2017-11-29,25.4,26.15,25.4,25.75,145970,25.75
2017-11-28,25.95,26.1,25.5,25.55,168100,25.55
2017-11-27,25.9,26.1,25.35,26.0,128520,26.0
2017-11-24,26.2,26.2,25.25,26.15,290350,26.15
2017-11-23,24.5,26.2,24.5,26.2,1033490,26.2
2017-11-22,24.5,24.5,23.9,24.5,53710,24.5
2017-11-21,24.15,24.85,24.0,24.5,150910,24.5
2017-11-20,24.95,25.0,24.9,24.9,14050,24.9
2017-11-17,24.6,25.35,24.6,25.0,265270,25.0
2017-11-16,25.5,25.5,24.25,24.9,689360,24.9
2017-11-15,22.6,24.15,22.6,24.15,337370,24.15
2017-11-14,22.5,22.7,22.5,22.6,99600,22.6
2017-11-13,22.5,22.85,22.5,22.6,169350,22.6
2017-11-10,22.65,22.8,22.5,22.6,192910,22.6
2017-11-09,22.7,22.8,22.45,22.7,159680,22.7
2017-11-08,22.6,22.8,22.5,22.8,21500,22.8
2017-11-07,22.45,22.9,22.4,22.8,87150,22.8
2017-11-06,23.0,23.1,22.65,22.8,43610,22.8
2017-11-03,22.45,23.0,22.4,22.9,115700,22.9
2017-11-02,22.6,23.3,22.6,23.0,146020,23.0
2017-11-01,23.3,23.35,22.75,23.0,72140,23.0
2017-10-31,24.0,24.0,22.6,23.35,309610,23.35
2017-10-30,22.6,23.9,22.6,23.3,18030,23.3
2017-10-27,23.2,23.25,22.6,23.25,23120,23.25
2017-10-26,22.5,23.4,22.5,23.3,3510,23.3
2017-10-25,23.2,23.5,23.0,23.1,32510,23.1
2017-10-24,23.65,23.65,23.65,23.65,100,23.65
2017-10-23,23.6,23.7,22.5,23.7,44120,23.7
2017-10-20,24.5,24.5,23.55,23.55,9340,23.55
2017-10-19,23.8,23.9,23.6,23.6,7440,23.6
2017-10-18,24.1,24.3,23.8,23.8,32480,23.8
2017-10-17,24.3,24.45,24.1,24.1,12830,24.1
2017-10-16,24.5,24.8,24.3,24.6,31320,24.6
2017-10-13,24.75,24.75,24.25,24.45,820,24.45
2017-10-12,24.3,24.85,24.0,24.65,84010,24.65
2017-10-11,24.4,25.0,24.3,24.6,267020,24.6
2017-10-10,24.0,25.0,24.0,24.5,204370,24.5
2017-10-09,24.0,24.2,23.65,24.2,62980,24.2
2017-10-06,24.1,24.2,23.8,24.0,38790,24.0
2017-10-05,24.1,24.4,23.9,24.2,28420,24.2
