date,open,high,low,close,volume
2018-04-26,,,,33.9,0
2018-04-24,33.95,33.95,33.9,33.9,2150
2018-04-23,33.7,34.0,33.6,34.0,3280
2018-04-20,34.0,34.4,33.9,34.0,15560
2018-04-19,34.4,34.4,33.8,34.0,6280
2018-04-18,34.4,34.4,34.0,34.0,16900
2018-04-17,34.0,34.0,34.0,34.0,20280
2018-04-16,34.1,34.1,33.5,34.0,2380
2018-04-13,34.5,34.5,33.9,34.05,650
2018-04-12,33.1,34.3,33.0,34.0,8710
2018-04-11,34.0,34.0,33.0,33.0,5260
2018-04-10,34.0,34.0,33.9,34.0,48060
2018-04-09,34.5,34.5,34.0,34.1,11220
2018-04-06,34.0,34.3,34.0,34.3,7280
2018-04-05,34.5,34.5,34.0,34.4,7300
2018-04-04,34.0,34.8,33.9,34.0,19660
2018-04-03,34.4,34.4,33.7,34.0,16620
2018-04-02,34.0,34.15,33.7,34.1,25460
2018-03-30,34.0,34.2,31.95,34.2,13230
2018-03-29,34.4,34.4,33.3,34.2,6030
2018-03-28,34.45,34.45,32.2,33.3,2200
2018-03-27,32.0,33.95,32.0,33.65,12950
2018-03-26,32.5,34.0,32.5,33.6,8570
2018-03-23,33.1,34.9,33.0,33.05,13240
2018-03-22,33.2,34.9,33.2,34.5,7780
2018-03-21,34.8,35.5,34.8,35.4,6310
2018-03-20,36.0,36.0,35.3,35.3,10700
2018-03-19,36.5,36.9,35.5,36.0,2310
2018-03-16,36.5,36.4,36.4,36.4,1400
2018-03-15,36.5,36.9,35.5,36.5,180
2018-03-14,35.9,36.9,35.1,36.5,370
2018-03-13,36.6,36.6,35.5,35.9,13660
2018-03-12,36.7,36.7,35.7,36.6,120
2018-03-09,37.1,37.1,35.0,36.7,2160
2018-03-08,37.0,37.3,36.5,37.15,11020
2018-03-07,34.5,36.9,34.5,36.4,10070
2018-03-06,33.0,35.0,32.8,34.5,6000
2018-03-05,33.15,33.3,32.8,33.2,7330
2018-03-02,32.7,32.9,32.7,32.8,5850
2018-03-01,32.8,33.0,32.1,32.9,11530
2018-02-28,33.2,33.2,32.05,32.8,8280
2018-02-27,33.15,33.2,32.3,32.5,6810
2018-02-26,32.4,33.5,31.5,33.25,3700
2018-02-23,31.8,32.45,31.8,32.0,5560
2018-02-22,32.35,32.4,31.8,32.0,6140
2018-02-21,33.5,33.5,31.6,32.0,5220
2018-02-13,32.45,32.45,31.0,32.0,11250
2018-02-12,33.0,34.0,32.0,32.45,7620
2018-02-09,33.4,34.9,33.0,33.0,6280
2018-02-08,35.5,35.5,34.1,34.1,7920
2018-02-07,35.9,35.9,34.4,35.8,3260
2018-02-06,35.9,36.0,34.45,35.9,22270
2018-02-05,37.0,37.5,36.0,37.0,10640
2018-02-02,37.5,38.0,37.0,37.65,230
2018-02-01,37.4,37.4,37.4,37.4,30
2018-01-31,36.25,37.5,35.5,37.5,10500
2018-01-30,37.5,37.95,37.0,37.5,3700
2018-01-29,39.0,39.0,36.0,37.5,14470
2018-01-26,44.0,45.34,42.67,43.13,20270
2018-01-25,43.34,44.54,42.0,42.67,28580
2018-01-22,44.67,45.4,42.6,42.67,36390
2018-01-19,44.74,48.6,44.6,45.4,12360
2018-01-18,47.66,47.66,45.86,45.87,9770
2018-01-17,46.13,46.2,45.33,46.13,89700
2018-01-16,42.67,43.4,42.67,43.2,10490
2018-01-15,43.0,43.94,43.0,43.6,2470
2018-01-12,45.07,45.27,42.4,45.07,4580
2018-01-11,42.54,45.27,42.54,45.27,880
