date,open,high,low,close,volume,adj_close
2017-11-10,,,,,96700,2.1
2017-11-09,,,,,71410,2.1
2017-11-08,,,,,250755,2.1
2017-11-07,,,,,146310,2.2
2017-11-06,,,,,249940,2.1
2017-11-03,2.0,2.1,2.0,2.1,281839,2.1
2017-11-02,2.1,2.2,2.0,2.1,188700,2.1
2017-11-01,2.1,2.2,2.0,2.1,477021,2.1
2017-10-31,2.1,2.2,2.1,2.1,436300,2.1
2017-10-30,2.2,2.3,2.1,2.2,716700,2.2
2017-10-27,2.2,2.3,2.2,2.3,327700,2.3
2017-10-26,2.2,2.3,2.2,2.2,623910,2.2
2017-10-25,2.3,2.3,2.2,2.2,113501,2.2
2017-10-24,2.2,2.3,2.2,2.3,323600,2.3
2017-10-23,2.3,2.3,2.2,2.3,196257,2.3
2017-10-20,2.3,2.4,2.2,2.2,176200,2.2
2017-10-19,2.3,2.4,2.3,2.3,88510,2.3
2017-10-18,2.3,2.4,2.2,2.3,488900,2.3
2017-10-17,2.3,2.3,2.2,2.3,92599,2.3
2017-10-16,2.3,2.4,2.3,2.3,154957,2.3
2017-10-13,2.3,2.4,2.3,2.3,317054,2.3
2017-10-12,2.3,2.4,2.3,2.3,65840,2.3
2017-10-11,2.4,2.4,2.3,2.3,102873,2.3
2017-10-10,2.4,2.4,2.3,2.4,434500,2.4
2017-10-09,2.4,2.4,2.3,2.3,155900,2.3
2017-10-06,2.3,2.4,2.3,2.4,378772,2.4
2017-10-05,2.4,2.4,2.3,2.4,193300,2.4
2017-10-04,2.3,2.4,2.3,2.3,229631,2.3
2017-10-03,2.4,2.5,2.3,2.4,240300,2.4
2017-10-02,2.5,2.5,2.4,2.4,585552,2.4
2017-09-29,2.5,2.5,2.4,2.5,133240,2.5
2017-09-28,2.5,2.5,2.4,2.5,462900,2.5
2017-09-27,2.4,2.5,2.4,2.4,265405,2.4
2017-09-26,2.4,2.6,2.4,2.5,214400,2.5
2017-09-25,2.4,2.6,2.4,2.5,319468,2.5
2017-09-22,2.5,2.6,2.4,2.5,598898,2.5
2017-09-21,2.4,2.6,2.4,2.6,322140,2.6
2017-09-20,2.5,2.6,2.4,2.4,422860,2.4
2017-09-19,2.5,2.6,2.4,2.5,1067332,2.5
2017-09-18,2.4,2.5,2.4,2.5,244524,2.5
2017-09-15,2.4,2.5,2.4,2.5,93800,2.5
2017-09-14,2.5,2.5,2.4,2.5,380700,2.5
2017-09-13,2.4,2.6,2.4,2.5,803852,2.5
2017-09-12,2.4,2.5,2.4,2.4,725324,2.4
2017-09-11,2.5,2.6,2.4,2.4,317300,2.4
2017-09-08,2.5,2.6,2.5,2.5,196306,2.5
2017-09-07,2.6,2.6,2.5,2.5,194080,2.5
2017-09-06,2.5,2.6,2.4,2.5,1194670,2.5
2017-09-05,2.6,2.6,2.5,2.6,246219,2.6
2017-09-01,2.6,2.6,2.5,2.5,211500,2.5
2017-08-31,2.6,2.6,2.5,2.5,146570,2.5
2017-08-30,2.6,2.6,2.5,2.5,348600,2.5
2017-08-29,2.5,2.6,2.5,2.6,415130,2.6
2017-08-28,2.6,2.6,2.5,2.6,372300,2.6
2017-08-25,2.6,2.6,2.5,2.6,995364,2.6
2017-08-24,2.5,2.6,2.5,2.6,576400,2.6
2017-08-23,2.5,2.6,2.5,2.5,345420,2.5
2017-08-22,2.6,2.6,2.5,2.6,737166,2.6
2017-08-21,2.7,2.7,2.5,2.5,629189,2.5
2017-08-18,2.6,2.7,2.5,2.6,1218750,2.6
