date,open,high,low,close,volume
2017-08-25,110.8,111.4,109.7,110.3,66880
2017-08-24,111.0,111.0,109.4,109.4,65640
2017-08-23,109.0,110.0,108.5,109.3,42050
2017-08-22,110.8,110.8,109.3,109.3,75350
2017-08-21,111.0,111.8,110.2,110.8,84500
2017-08-18,111.9,111.9,110.0,110.0,43050
2017-08-17,112.6,113.8,111.0,111.0,80380
2017-08-16,113.0,113.0,112.0,112.1,77980
2017-08-15,114.9,114.9,112.5,113.0,83340
2017-08-14,109.0,114.2,108.5,113.9,368400
2017-08-11,110.0,110.0,108.0,109.0,48830
2017-08-10,110.0,110.0,108.4,108.9,98430
2017-08-09,109.3,113.0,107.0,107.8,328770
2017-08-08,112.0,112.2,109.5,109.5,281050
2017-08-07,113.8,114.0,111.5,112.2,324750
2017-08-04,113.6,114.0,112.4,113.8,218420
2017-08-03,116.4,116.4,114.0,114.4,227970
2017-08-02,116.0,117.0,115.0,116.0,276950
2017-08-01,117.0,118.0,116.0,116.0,160250
2017-07-31,116.0,118.5,114.0,116.4,354460
2017-07-28,116.0,117.2,114.5,115.8,69670
2017-07-27,117.8,118.0,115.6,116.0,129130
2017-07-26,115.0,117.9,114.4,117.8,280700
2017-07-25,114.1,115.0,113.1,114.8,168350
2017-07-24,112.0,117.2,110.8,114.7,338800
2017-07-21,118.5,118.5,114.0,114.0,338190
2017-07-20,119.0,119.7,118.0,118.0,252040
2017-07-19,118.8,119.3,118.0,119.0,99250
2017-07-18,117.0,121.0,115.2,118.8,281920
2017-07-17,121.5,121.9,116.3,117.2,217290
2017-07-14,118.8,123.0,118.0,121.5,368620
2017-07-13,115.0,116.1,114.9,116.1,799020
2017-07-12,113.5,115.4,113.2,115.0,255920
2017-07-11,116.0,116.0,108.0,113.0,623110
2017-07-10,120.0,120.0,116.0,116.0,413580
2017-07-07,122.0,122.1,120.1,120.1,217530
2017-07-06,122.9,123.1,121.2,121.9,209320
2017-07-05,122.0,122.5,120.6,121.8,96340
2017-07-04,121.7,122.4,119.0,120.9,287730
2017-07-03,123.3,125.2,122.0,122.0,516590
2017-06-30,124.3,124.4,123.5,124.3,118360
2017-06-29,124.5,124.5,123.0,124.3,116190
2017-06-28,123.5,125.5,122.0,124.2,197350
2017-06-27,120.0,125.0,116.5,123.0,413960
2017-06-26,126.0,126.0,120.0,120.0,579880
2017-06-23,127.9,127.9,125.5,125.5,421850
2017-06-22,129.9,130.0,126.1,128.0,358980
2017-06-21,128.0,130.0,127.0,129.0,394410
2017-06-20,126.5,129.5,125.0,128.0,299510
2017-06-19,129.0,129.4,126.0,126.5,574070
2017-06-16,126.4,130.5,126.4,129.0,156210
2017-06-15,126.1,128.8,126.0,126.4,284060
2017-06-14,127.7,127.7,124.9,126.1,153050
2017-06-13,126.0,126.8,124.2,126.3,188080
2017-06-12,127.0,133.2,123.5,124.5,356720
2017-06-09,124.8,128.2,124.5,127.8,484600
2017-06-08,113.0,119.9,112.1,119.9,516370
2017-06-07,112.9,113.9,112.0,112.1,155000
2017-06-06,112.5,113.3,112.2,112.2,88340
2017-06-05,115.0,115.0,111.9,112.5,215450
2017-06-02,108.5,113.7,108.5,112.5,249680
2017-06-01,109.0,110.3,108.0,108.5,105930
2017-05-31,112.0,113.0,107.7,108.0,311050
2017-05-30,114.9,115.0,111.6,111.7,248440
2017-05-29,118.0,118.0,113.6,114.4,220100
2017-05-26,111.0,112.4,108.5,112.4,469690
2017-05-25,105.74,107.0,104.67,105.07,220270
2017-05-24,103.2,105.34,102.2,105.27,194060
2017-05-23,99.27,101.27,98.74,101.27,143830
2017-05-22,98.66,99.66,98.0,99.47,50310
2017-05-19,100.47,100.47,98.67,98.93,55370
2017-05-18,100.53,101.33,99.33,100.0,157820
2017-05-17,96.6,100.0,96.53,99.33,254850
2017-05-16,96.87,96.87,95.33,95.73,53740
2017-05-15,93.66,96.66,93.66,96.6,208030
2017-05-12,91.87,93.14,91.34,92.93,94830
2017-05-11,93.0,93.0,91.74,91.87,71040
2017-05-10,92.0,93.07,91.73,92.67,71980
2017-05-09,92.6,92.6,91.47,92.0,57440
2017-05-08,92.0,93.33,91.73,91.8,145860
2017-05-05,94.53,94.8,93.0,93.33,113270
2017-05-04,93.67,94.67,92.73,94.0,108910
2017-05-03,94.33,94.33,92.7,94.0,65920
2017-04-28,94.66,96.09,93.42,94.33,113420
