date,open,high,low,close,volume
2017-09-14,75.5,75.6,74.0,74.0,14630
2017-09-13,76.0,76.0,75.5,75.5,16000
2017-09-12,76.5,77.4,76.0,76.0,9530
2017-09-11,75.3,77.0,75.2,76.5,13750
2017-09-08,75.0,76.0,75.0,75.6,5140
2017-09-07,76.0,76.2,75.8,76.0,11320
2017-09-06,75.2,76.0,75.2,76.0,9402
2017-09-05,75.8,76.4,75.8,76.3,10679
2017-09-01,76.5,76.5,75.2,75.8,2604
2017-08-31,76.2,76.5,76.2,76.5,9600
2017-08-30,77.3,77.4,76.4,76.5,8140
2017-08-29,77.5,77.5,76.5,77.3,9830
2017-08-28,76.48,76.48,75.0,75.0,10400
2017-08-25,75.99,76.49,75.99,76.48,4200
2017-08-24,75.01,76.78,74.61,76.19,16525
2017-08-23,76.98,76.98,76.19,76.19,4732
2017-08-22,76.98,77.47,76.98,76.98,6439
2017-08-21,78.75,78.85,76.48,77.67,10210
2017-08-18,78.85,78.85,76.98,77.57,8760
2017-08-17,78.95,78.95,77.07,77.47,3400
2017-08-16,77.47,77.96,76.87,77.96,10200
2017-08-15,78.95,78.95,76.98,77.96,5600
2017-08-14,78.46,78.46,76.78,76.78,12135
2017-08-11,77.96,77.96,76.58,76.58,4700
2017-08-10,78.46,78.95,77.97,77.96,21700
2017-08-09,78.95,78.95,76.19,78.46,6610
2017-08-08,77.47,78.95,76.19,76.88,26120
2017-08-07,81.91,81.91,77.47,77.47,25360
2017-08-04,81.22,81.22,79.34,79.44,54988
2017-08-03,81.61,82.89,80.62,81.61,19765
2017-08-02,82.7,82.7,79.93,81.61,13920
2017-08-01,83.1,83.1,81.03,81.02,14302
2017-07-31,82.79,82.79,80.13,80.83,19520
2017-07-28,82.9,82.9,79.05,80.13,26810
2017-07-27,82.9,82.9,78.56,79.25,38132
2017-07-26,78.95,82.9,78.46,81.32,48181
2017-07-25,83.1,84.97,77.97,78.95,58610
2017-07-24,85.37,85.66,82.01,83.0,31460
2017-07-21,86.84,91.68,84.47,85.76,68898
2017-07-20,78.94,84.77,78.94,84.77,123296
2017-07-19,77.96,78.95,76.68,77.07,23905
2017-07-18,79.44,80.92,77.96,78.75,13245
2017-07-17,78.95,81.42,76.09,79.44,35767
2017-07-14,74.71,77.47,73.23,77.47,60590
2017-07-13,75.99,76.97,73.52,74.71,32719
2017-07-12,79.84,79.84,75.0,76.48,76609
2017-07-11,81.12,81.12,79.64,80.33,18610
2017-07-10,80.92,81.32,80.53,81.32,5790
2017-07-07,79.94,81.91,79.94,81.71,9340
2017-07-06,81.03,81.42,79.94,79.94,16200
2017-07-05,80.92,81.61,80.43,81.42,6750
2017-07-04,82.31,82.31,80.93,81.61,10090
2017-07-03,81.91,82.31,81.61,82.21,2810
2017-06-30,81.91,82.8,81.02,82.7,9000
2017-06-29,83.79,83.79,81.71,81.81,9650
2017-06-28,83.49,83.49,81.22,82.01,8770
2017-06-27,81.41,82.4,80.92,81.22,9465
2017-06-26,80.93,81.91,79.45,80.23,15300
2017-06-23,80.72,81.91,79.93,79.94,20910
2017-06-22,80.03,80.82,79.93,80.23,13700
2017-06-21,81.91,82.9,79.94,80.92,16030
2017-06-20,80.93,84.88,80.83,81.91,8000
2017-06-19,76.38,80.82,75.0,80.83,26430
2017-06-16,74.02,75.4,72.93,75.0,31312
2017-06-15,74.51,74.51,72.04,74.02,30900
2017-06-14,74.91,74.91,71.55,72.93,61410
2017-06-13,73.82,73.82,71.06,72.54,16910
2017-06-12,76.88,76.88,73.13,73.13,27620
2017-06-09,73.03,74.51,72.44,73.23,27210
2017-06-08,70.07,75.49,70.07,72.44,43180
2017-06-07,70.47,72.44,69.58,70.46,14214
2017-06-06,72.04,72.04,68.58,69.38,24900
2017-06-05,73.03,73.03,69.87,71.05,20515
2017-06-02,74.02,74.02,70.07,72.14,15360
2017-06-01,74.31,74.31,72.64,72.93,10860
2017-05-31,70.96,74.9,70.07,73.03,31900
2017-05-30,69.37,71.45,67.1,69.97,26115
2017-05-29,72.04,72.53,69.08,69.67,20182
2017-05-26,72.93,76.98,70.07,72.04,36143
2017-05-25,73.22,73.22,67.6,73.03,93338
2017-05-24,62.66,66.61,62.66,66.61,22100
2017-05-23,57.83,60.6,56.75,60.59,44253
2017-05-22,56.75,56.75,53.69,55.17,44349
2017-05-19,54.73,54.78,53.79,54.18,55950
2017-05-18,55.91,55.91,53.3,53.69,33404
2017-05-17,56.75,56.75,53.29,53.74,29600
2017-05-16,53.78,56.74,52.8,55.91,29417
2017-05-15,49.83,52.05,45.89,51.81,45125
2017-05-12,47.61,50.82,47.61,49.34,18806
2017-05-11,47.37,47.86,45.93,47.86,8710
2017-05-10,45.15,46.39,45.15,46.28,20652
2017-05-09,45.14,45.88,45.14,45.3,8320
2017-05-08,46.39,46.39,45.4,45.49,7705
2017-05-05,47.37,47.37,45.89,46.78,2420
2017-05-04,44.51,49.84,44.51,46.78,3920
2017-05-03,46.38,46.38,45.39,45.4,14550
2017-04-28,45.89,46.87,45.15,46.38,6000
2017-04-27,46.39,46.39,44.41,46.33,4970
2017-04-26,46.78,46.78,45.4,46.14,4420
2017-04-25,46.38,46.38,44.41,45.4,29006
2017-04-24,46.39,46.88,44.41,44.41,29145
2017-04-21,44.9,46.82,44.9,46.14,17600
2017-04-20,47.86,47.86,43.42,44.9,6900
2017-04-19,45.89,46.38,44.9,45.84,16995
2017-04-18,43.17,45.1,42.93,45.05,9721
2017-04-17,42.83,43.37,41.94,43.32,11802
2017-04-14,43.43,43.43,40.96,42.88,5000
2017-04-13,43.42,43.42,42.43,42.44,1500
2017-04-12,43.92,43.92,41.45,42.53,16056
2017-04-11,44.17,44.17,41.8,43.13,1972
2017-04-10,42.19,44.16,41.45,43.13,6000
2017-04-07,44.41,44.41,41.21,42.83,24049
2017-04-05,41.1,42.43,40.95,42.39,6600
2017-04-04,43.52,44.16,40.46,43.27,11253
2017-04-03,47.37,47.37,43.43,43.67,15039
2017-03-31,48.36,48.8,44.41,46.83,16367
2017-03-30,47.37,48.35,45.39,46.88,22379
2017-03-29,41.94,45.59,41.94,45.59,24800
