date,open,high,low,close,volume,adj_close
2017-11-13,,,,,2900,35.5
2017-11-10,,,,,4200,35.5
2017-11-09,,,,,4700,35.3
2017-11-08,,,,,43683,35.1
2017-11-07,,,,,1400,34.9
2017-11-06,,,,,9820,38.7
2017-11-03,39.5,43.0,39.2,43.0,21150,43.0
2017-11-02,36.5,39.9,36.3,39.5,38105,39.5
2017-11-01,33.0,36.3,33.0,36.3,21310,36.3
2017-10-31,31.2,34.3,31.2,33.0,47698,33.0
2017-10-30,30.1,31.4,30.1,31.2,10999,31.2
2017-10-27,29.3,30.1,29.2,30.1,7500,30.1
2017-10-26,29.0,29.4,28.7,29.3,10200,29.3
2017-10-25,28.9,29.0,28.9,29.0,2400,29.0
2017-10-24,28.4,28.9,28.3,28.9,7824,28.9
2017-10-23,28.0,28.4,28.0,28.4,9100,28.4
2017-10-20,27.4,28.1,27.4,28.0,5900,28.0
2017-10-19,27.2,27.4,27.2,27.4,4333,27.4
2017-10-18,25.3,27.2,25.0,27.2,34200,27.2
2017-10-17,25.7,25.8,25.3,25.3,25000,25.3
2017-10-16,25.9,26.1,25.8,25.8,21900,25.8
2017-10-13,25.8,25.9,25.3,25.9,34300,25.9
2017-10-12,25.6,25.8,25.6,25.8,14200,25.8
2017-10-11,24.9,25.7,24.9,25.6,39824,25.6
2017-10-10,24.1,24.9,24.1,24.9,40850,24.9
2017-10-09,23.4,24.1,23.3,24.1,47300,24.1
2017-10-06,23.0,23.5,22.9,23.4,42816,23.4
2017-10-05,22.4,23.2,22.3,23.0,51674,23.0
2017-10-04,22.0,22.6,21.9,22.4,68800,22.4
2017-10-03,21.4,22.4,21.3,22.0,72203,22.0
2017-10-02,20.4,21.4,20.4,21.4,71300,21.4
2017-09-29,19.7,20.6,19.6,20.5,67900,20.5
2017-09-28,19.7,20.0,19.7,19.7,54000,19.7
2017-09-27,19.5,19.5,19.2,19.3,41500,19.3
2017-09-26,17.8,17.8,17.8,17.8,20400,17.8
2017-09-25,15.9,16.2,15.9,16.2,2910,16.2
2017-09-22,14.8,14.8,14.5,14.8,26700,14.8
2017-09-21,13.5,13.5,13.5,13.5,12100,13.5
2017-09-20,23.8,24.0,23.6,23.9,31600,12.32
2017-09-19,23.5,23.8,23.5,23.8,30100,12.26
2017-09-18,23.5,23.6,23.5,23.5,34400,12.11
2017-09-15,23.0,23.5,22.8,23.5,100101,12.11
2017-09-14,22.3,23.3,22.3,23.0,101000,11.85
2017-09-13,22.8,23.2,22.7,22.9,97600,11.8
2017-09-12,22.5,22.8,22.3,22.8,96000,11.75
2017-09-11,22.4,22.6,22.3,22.4,107300,11.54
2017-09-08,22.4,22.8,22.3,22.5,89700,11.59
2017-09-07,22.2,22.8,22.1,22.5,110449,11.59
2017-09-06,22.2,22.5,22.1,22.2,100750,11.44
2017-09-05,21.8,22.4,21.6,22.2,108400,11.44
2017-09-01,22.2,22.2,21.9,21.9,35800,11.29
2017-08-31,22.2,22.4,22.1,22.2,106070,11.44
