date,open,high,low,close,volume,adj_close
2018-03-08,13.6,13.6,12.4,12.4,1300,12.4
2018-03-07,13.6,13.6,13.6,13.6,0,13.6
2018-03-06,13.6,13.6,13.6,13.6,0,13.6
2018-03-05,13.6,13.6,13.6,13.6,0,13.6
2018-03-02,13.6,13.6,13.6,13.6,100,13.6
2018-03-01,13.6,13.6,13.6,13.6,0,13.6
2018-02-28,13.6,13.6,13.6,13.6,2100,13.6
2018-02-27,15.1,15.1,15.1,15.1,0,15.1
2018-02-26,15.1,15.1,15.1,15.1,0,15.1
2018-02-23,15.1,15.1,15.1,15.1,0,15.1
2018-02-22,15.1,15.1,15.1,15.1,1300,15.1
2018-02-21,15.6,15.6,15.6,15.6,0,15.6
2018-02-13,15.6,15.6,15.6,15.6,0,15.6
2018-02-12,15.6,15.6,15.6,15.6,0,15.6
2018-02-09,15.6,15.6,15.6,15.6,0,15.6
2018-02-08,15.6,15.6,15.6,15.6,200,15.6
2018-02-07,14.2,14.2,14.2,14.2,0,14.2
2018-02-06,14.2,14.2,14.2,14.2,200,14.2
2018-02-05,13.8,13.8,13.8,13.8,1000,13.8
2018-02-02,14.3,14.3,14.3,14.3,0,14.3
2018-02-01,15.4,15.4,14.3,14.3,600,14.3
2018-01-31,15.4,15.4,14.0,14.0,600,14.0
2018-01-30,15.4,15.4,14.0,14.0,500,14.0
2018-01-29,15.4,15.4,14.0,14.0,9400,14.0
2018-01-26,14.0,14.0,14.0,14.0,100,14.0
2018-01-25,14.0,14.0,14.0,14.0,0,14.0
2018-01-24,14.6,14.6,14.0,14.0,200,14.0
2018-01-23,14.0,14.0,14.0,14.0,130,14.0
2018-01-22,14.6,14.6,14.6,14.6,0,14.6
2018-01-19,14.5,14.6,14.5,14.6,3000,14.6
2018-01-18,15.9,15.9,15.9,15.9,0,15.9
2018-01-17,14.1,15.9,13.5,15.9,1000,15.9
2018-01-16,13.5,14.9,13.5,14.5,800,14.5
2018-01-15,14.3,14.8,13.6,13.6,5400,13.6
2018-01-12,14.0,14.0,13.5,13.5,500,13.5
2018-01-11,14.0,14.0,14.0,14.0,0,14.0
2018-01-10,14.0,14.0,14.0,14.0,100,14.0
2018-01-09,14.7,14.7,14.7,14.7,0,14.7
2018-01-08,14.7,14.7,14.7,14.7,0,14.7
2018-01-05,14.7,14.7,14.7,14.7,0,14.7
2018-01-04,14.7,14.7,14.7,14.7,1000,14.7
2018-01-03,14.6,14.6,14.6,14.6,0,14.6
2018-01-02,14.6,14.6,14.6,14.6,0,14.6
2017-12-29,14.6,14.6,14.6,14.6,0,14.6
2017-12-28,14.6,14.6,14.6,14.6,1600,14.6
2017-12-27,14.6,14.6,14.6,14.6,0,14.6
2017-12-26,14.6,14.6,14.6,14.6,0,14.6
2017-12-25,14.6,14.6,14.6,14.6,200,14.6
2017-12-22,14.5,14.5,14.5,14.5,0,14.5
2017-12-21,14.5,14.5,14.5,14.5,0,14.5
2017-12-20,14.5,14.5,14.5,14.5,0,14.5
2017-12-19,14.5,14.5,14.5,14.5,200,13.2
2017-12-18,13.2,13.2,13.2,13.2,0,13.2
2017-12-15,13.2,13.2,13.2,13.2,100,13.2
2017-12-14,13.2,13.2,13.2,13.2,0,13.2
2017-12-13,13.2,13.2,13.2,13.2,0,13.2
2017-12-12,13.2,13.2,13.2,13.2,0,13.2
2017-12-11,13.2,13.2,13.2,13.2,0,13.2
2017-12-08,13.2,13.2,12.0,13.2,5900,13.2
2017-12-07,12.0,12.0,12.0,12.0,1000,12.2
2017-12-06,12.2,12.2,12.2,12.2,0,12.2
2017-12-05,12.2,12.2,12.2,12.2,0,12.2
2017-12-04,12.2,12.2,12.2,12.2,0,12.2
2017-12-01,12.2,12.2,12.2,12.2,0,12.2
2017-11-30,12.2,12.2,12.2,12.2,0,12.2
2017-11-29,12.2,12.2,12.2,12.2,200,12.2
2017-11-28,14.0,14.0,13.5,13.5,1100,13.5
2017-11-27,14.0,14.0,14.0,14.0,0,14.0
2017-11-24,14.0,14.0,14.0,14.0,200,14.0
2017-11-23,14.0,14.0,14.0,14.0,0,14.0
2017-11-22,14.0,14.0,14.0,14.0,0,14.0
2017-11-21,14.0,14.0,14.0,14.0,0,14.0
2017-11-20,14.0,14.0,14.0,14.0,0,14.0
2017-11-17,14.0,14.0,14.0,14.0,100,14.0
2017-11-16,14.6,14.6,14.6,14.6,0,14.6
2017-11-15,14.6,14.6,14.6,14.6,0,14.6
2017-11-14,14.6,14.6,14.6,14.6,0,14.6
2017-11-13,14.6,14.6,14.6,14.6,0,14.6
2017-11-10,14.6,14.6,14.6,14.6,100,14.6
2017-11-09,14.6,14.6,14.6,14.6,0,14.6
2017-11-08,14.6,14.6,14.6,14.6,0,14.6
2017-11-07,14.6,14.6,14.6,14.6,0,14.6
2017-11-06,14.6,14.6,14.6,14.6,0,14.6
2017-11-03,14.6,14.6,14.6,14.6,0,14.6
2017-11-02,14.7,14.7,14.6,14.6,1200,14.6
2017-11-01,16.2,16.2,16.2,16.2,200,16.2
2017-10-31,18.0,18.0,18.0,18.0,0,18.0
2017-10-30,18.0,18.0,18.0,18.0,200,18.0
2017-10-27,20.9,20.9,17.5,17.5,200,17.5
2017-10-26,19.0,19.0,19.0,19.0,0,19.0
2017-10-25,19.0,19.0,19.0,19.0,0,19.0
2017-10-24,19.0,19.0,19.0,19.0,100,19.0
2017-10-23,17.3,17.3,17.3,17.3,100,17.3
2017-10-20,15.8,15.8,15.8,15.8,0,15.8
2017-10-19,15.8,15.8,15.8,15.8,0,15.8
2017-10-18,15.8,15.8,15.8,15.8,0,15.8
2017-10-17,15.8,15.8,15.8,15.8,0,15.8
2017-10-16,15.8,15.8,15.8,15.8,1400,15.8
2017-10-13,15.9,15.9,15.9,15.9,0,15.9
2017-10-12,15.9,15.9,15.9,15.9,0,15.9
2017-10-11,15.9,15.9,15.9,15.9,0,15.9
2017-10-10,15.9,15.9,15.9,15.9,0,15.9
2017-10-09,15.9,15.9,15.9,15.9,0,15.9
2017-10-06,15.9,15.9,15.9,15.9,0,15.9
2017-10-05,15.9,15.9,15.9,15.9,0,15.9
2017-10-04,15.9,15.9,15.9,15.9,0,15.9
2017-10-03,15.9,15.9,15.9,15.9,0,15.9
2017-10-02,15.9,15.9,15.9,15.9,400,15.9
2017-09-29,15.5,15.5,14.5,14.5,2100,14.5
2017-09-28,14.1,14.1,14.1,14.1,4300,14.1
2017-09-27,12.9,12.9,12.9,12.9,0,12.9
2017-09-26,12.9,12.9,12.9,12.9,0,12.9
2017-09-25,12.9,12.9,12.9,12.9,0,12.9
2017-09-22,12.9,12.9,12.9,12.9,0,12.9
2017-09-21,12.9,12.9,12.9,12.9,0,12.9
2017-09-20,12.9,12.9,12.9,12.9,200,12.9
2017-09-19,14.0,14.0,14.0,14.0,0,14.0
2017-09-18,14.0,14.0,14.0,14.0,0,14.0
2017-09-15,13.9,14.0,13.9,14.0,400,14.0
2017-09-14,12.8,12.8,12.8,12.8,14800,12.8
2017-09-13,12.8,12.8,12.8,12.8,20200,12.8
2017-09-12,13.3,13.6,12.5,13.6,18100,13.6
2017-09-11,14.0,14.0,13.6,13.6,2400,13.6
2017-09-08,13.6,13.6,13.6,13.6,0,13.6
2017-09-07,15.0,15.0,13.6,13.6,12900,13.6
2017-09-06,14.9,16.4,14.9,15.1,4200,15.1
2017-09-05,16.4,16.4,16.4,16.4,0,16.4
2017-09-01,16.5,16.5,16.4,16.4,1800,16.4
2017-08-31,15.0,15.0,15.0,15.0,300,15.0
2017-08-30,18.0,18.0,16.5,16.5,7000,16.5
2017-08-29,18.0,18.0,16.5,16.5,6200,16.5
2017-08-28,18.0,18.0,17.9,17.9,1000,17.9
2017-08-25,18.0,18.0,18.0,18.0,0,18.0
2017-08-24,18.0,18.0,18.0,18.0,600,18.0
2017-08-23,18.0,18.0,18.0,18.0,700,18.0
2017-08-22,18.0,18.0,18.0,18.0,1600,18.0
2017-08-21,17.6,17.6,17.6,17.6,0,17.6
2017-08-18,17.6,17.6,17.6,17.6,0,17.6
2017-08-17,17.6,17.6,17.6,17.6,0,17.6
2017-08-16,17.6,17.6,17.6,17.6,0,17.6
2017-08-15,17.6,17.6,17.6,17.6,0,17.6
2017-08-14,17.6,17.6,17.6,17.6,0,17.6
2017-08-11,17.6,17.6,17.6,17.6,10,17.6
2017-08-10,17.6,17.6,17.6,17.6,0,17.6
2017-08-09,17.6,17.6,17.6,17.6,0,17.6
2017-08-08,17.6,17.6,17.6,17.6,900,17.6
2017-08-07,17.6,17.6,17.6,17.6,0,17.6
2017-08-04,17.6,17.6,17.6,17.6,600,17.6
2017-08-03,16.0,16.0,16.0,16.0,800,16.0
2017-08-02,17.1,17.1,17.1,17.1,0,17.1
2017-08-01,17.1,17.1,17.1,17.1,2000,17.1
2017-07-31,18.5,18.5,18.5,18.5,100,18.5
2017-07-28,20.2,20.2,20.2,20.2,1000,20.2
2017-07-27,20.3,20.3,20.2,20.2,3100,20.2
2017-07-26,19.5,20.0,18.5,18.5,4600,18.5
2017-07-25,18.8,19.0,18.8,19.0,900,19.0
2017-07-24,19.0,19.0,19.0,19.0,200,19.0
2017-07-21,19.0,19.0,19.0,19.0,250,19.0
2017-07-20,19.5,19.5,19.5,19.5,0,19.5
2017-07-19,19.5,19.5,19.5,19.5,0,19.5
2017-07-18,19.5,19.5,19.5,19.5,300,19.5
2017-07-17,19.5,19.5,19.5,19.5,100,19.5
2017-07-14,19.0,19.5,19.0,19.5,300,19.5
2017-07-13,19.0,19.0,19.0,19.0,1000,19.0
2017-07-12,19.8,19.8,19.8,19.8,400,19.8
2017-07-11,19.8,19.8,19.8,19.8,0,19.8
2017-07-10,19.8,19.8,19.8,19.8,0,19.8
2017-07-07,19.8,19.8,19.8,19.8,0,19.8
2017-07-06,19.8,19.8,19.8,19.8,0,19.8
2017-07-05,19.8,19.8,19.8,19.8,0,19.8
2017-07-04,19.8,19.8,19.8,19.8,5000,19.8
2017-07-03,18.0,18.0,18.0,18.0,0,18.0
2017-06-30,18.0,18.0,18.0,18.0,0,18.0
2017-06-29,18.0,18.0,18.0,18.0,0,18.0
2017-06-28,18.0,18.0,18.0,18.0,100,18.0
2017-06-27,20.0,20.0,20.0,20.0,0,20.0
2017-06-26,20.0,20.0,20.0,20.0,0,20.0
2017-06-23,20.0,20.0,20.0,20.0,100,20.0
2017-06-22,19.7,19.7,19.7,19.7,0,19.7
2017-06-21,19.7,19.7,19.7,19.7,0,19.7
2017-06-20,19.7,19.7,19.7,19.7,0,19.7
2017-06-19,19.7,19.7,19.7,19.7,0,19.7
2017-06-16,19.7,19.7,19.7,19.7,0,19.7
2017-06-15,19.7,19.7,19.7,19.7,4600,19.7
2017-06-14,19.0,19.5,19.0,19.5,6900,19.5
2017-06-13,19.0,19.0,19.0,19.0,0,19.0
2017-06-12,19.0,19.0,19.0,19.0,0,19.0
2017-06-09,19.0,19.0,19.0,19.0,100,19.0
2017-06-08,19.0,19.0,19.0,19.0,2000,19.0
2017-06-07,19.0,19.0,19.0,19.0,0,19.0
2017-06-06,19.0,19.0,19.0,19.0,0,19.0
2017-06-05,19.0,19.0,19.0,19.0,1200,19.0
2017-06-02,18.8,18.8,18.8,18.8,0,18.8
2017-06-01,18.8,18.8,18.8,18.8,0,18.8
2017-05-31,16.0,18.8,16.0,18.8,200,18.8
2017-05-30,19.0,19.0,17.1,17.1,1000,17.1
2017-05-29,19.0,19.0,19.0,19.0,0,19.0
2017-05-26,19.0,19.0,19.0,19.0,2700,19.0
2017-05-25,17.2,17.3,17.0,17.3,1400,17.3
2017-05-24,16.0,16.0,16.0,16.0,100,16.0
2017-05-23,17.6,17.6,17.6,17.6,10,17.6
2017-05-22,17.6,17.6,17.6,17.6,0,17.6
2017-05-19,17.6,17.6,17.6,17.6,200,17.6
2017-05-18,17.6,17.6,17.6,17.6,10,17.6
2017-05-17,17.6,17.6,17.6,17.6,220,17.6
2017-05-16,18.0,18.0,17.0,18.0,900,18.0
2017-05-15,18.0,18.0,18.0,18.0,0,18.0
2017-05-12,17.0,18.0,17.0,18.0,900,18.0
2017-05-11,17.7,18.0,17.7,18.0,710,17.0
2017-05-10,17.8,17.8,17.8,17.8,0,16.81
2017-05-09,17.3,17.8,17.3,17.8,200,16.81
2017-05-08,17.3,17.3,17.1,17.1,500,16.15
2017-05-05,17.0,17.3,17.0,17.3,1000,16.34
2017-05-04,17.0,17.0,17.0,17.0,300,16.06
2017-05-03,17.0,17.0,17.0,17.0,10,16.06
2017-04-28,17.0,17.0,17.0,17.0,0,16.06
2017-04-27,17.0,17.0,17.0,17.0,600,16.06
2017-04-26,18.5,18.5,18.5,18.5,100,17.47
2017-04-25,14.6,17.0,14.6,17.0,1300,16.06
2017-04-24,16.5,16.5,15.7,15.7,7700,14.83
2017-04-21,17.3,17.3,17.3,17.3,0,16.34
2017-04-20,17.3,17.3,17.3,17.3,300,16.34
2017-04-19,18.3,18.3,18.3,18.3,100,17.28
2017-04-18,18.3,18.3,18.3,18.3,0,17.28
2017-04-17,18.3,18.3,18.3,18.3,0,17.28
2017-04-14,18.4,18.5,18.3,18.3,4300,17.28
2017-04-13,20.3,20.3,20.3,20.3,500,19.17
2017-04-12,20.3,20.3,20.3,20.3,2800,19.17
2017-04-11,21.3,22.5,21.3,22.5,2000,21.25
2017-04-10,17.9,21.3,17.9,21.3,5000,20.12
2017-04-07,19.8,19.8,19.8,19.8,3730,18.7
2017-04-05,21.9,21.9,21.9,21.9,400,20.68
2017-04-04,24.3,24.3,24.3,24.3,100,22.95
2017-04-03,27.1,27.1,27.0,27.0,1500,25.5
2017-03-31,30.0,30.1,30.0,30.0,1520,28.33
2017-03-30,33.3,33.3,33.3,33.3,1000,31.45
2017-03-29,36.9,36.9,36.9,36.9,0,34.85
2017-03-28,36.9,36.9,36.9,36.9,0,34.85
2017-03-27,36.9,36.9,36.9,36.9,100,34.85
2017-03-24,34.8,34.8,34.8,34.8,0,32.87
2017-03-23,34.8,34.8,34.8,34.8,0,32.87
2017-03-22,34.8,34.8,34.8,34.8,0,32.87
2017-03-21,34.8,34.8,34.8,34.8,0,32.87
