date,open,high,low,close,volume,adj_close
2017-11-14,,,,,33580,38.9
2017-11-13,,,,,42790,39.0
2017-11-10,,,,,20210,39.3
2017-11-09,,,,,72090,39.5
2017-11-08,,,,,5550,39.8
2017-11-07,,,,,8780,39.8
2017-11-06,,,,,27960,39.9
2017-11-03,39.6,40.15,39.3,39.3,60260,39.3
2017-11-02,40.3,40.3,39.7,39.7,42270,39.7
2017-11-01,40.2,40.2,40.0,40.0,53710,40.0
2017-10-31,40.3,40.4,40.0,40.2,46810,40.2
2017-10-30,40.7,40.75,40.45,40.45,2500,40.45
2017-10-27,40.7,40.7,40.4,40.7,12640,40.7
2017-10-26,40.85,40.85,40.2,40.4,20610,40.4
2017-10-25,40.6,40.7,40.4,40.6,17620,40.6
2017-10-24,40.9,40.9,40.45,40.5,23590,40.5
2017-10-23,40.7,40.95,40.5,40.9,32050,40.9
2017-10-20,41.3,41.3,40.5,40.7,66280,40.7
2017-10-19,41.0,41.6,41.0,41.3,120970,41.3
2017-10-18,40.4,40.7,40.4,40.65,9680,40.65
2017-10-17,40.55,40.6,40.3,40.5,30620,40.5
2017-10-16,40.9,41.0,40.65,40.9,26670,40.9
2017-10-13,41.05,41.05,40.8,41.0,20100,41.0
2017-10-12,41.5,41.7,41.1,41.1,16530,41.1
2017-10-11,40.9,41.4,40.6,41.4,54960,41.4
2017-10-10,40.5,41.0,40.5,40.55,54980,40.55
2017-10-09,40.4,40.85,40.4,40.5,20540,40.5
2017-10-06,40.5,40.55,40.2,40.45,9550,40.45
2017-10-05,40.9,40.9,40.5,40.5,8670,40.5
2017-10-04,40.5,41.1,40.5,40.95,10120,40.95
2017-10-03,40.1,41.2,40.1,40.6,72630,40.6
2017-10-02,41.0,41.0,40.1,40.1,56180,40.1
2017-09-29,41.5,41.5,41.0,41.0,36760,41.0
2017-09-28,41.6,41.8,41.5,41.6,29830,41.6
2017-09-27,41.8,42.0,41.6,41.6,45420,41.6
2017-09-26,42.5,42.5,41.5,42.0,48840,42.0
2017-09-25,44.0,44.0,43.7,43.8,19030,41.8
2017-09-22,44.2,44.2,43.85,44.0,22900,41.99
2017-09-21,43.9,44.1,43.8,44.0,28810,41.99
2017-09-20,43.9,43.9,43.5,43.8,53910,41.8
2017-09-19,44.3,44.3,44.0,44.0,55780,41.99
2017-09-18,44.5,44.5,44.0,44.3,43950,42.28
2017-09-15,44.0,44.3,43.5,44.3,64980,42.28
2017-09-14,44.8,44.8,43.8,44.0,118970,41.99
2017-09-13,44.4,44.65,44.1,44.3,41890,42.28
2017-09-12,44.25,44.5,44.25,44.3,59020,42.28
2017-09-11,44.1,44.5,44.0,44.25,29400,42.23
2017-09-08,44.7,44.7,44.0,44.3,15830,42.28
2017-09-07,43.9,44.7,43.9,44.5,76140,42.47
2017-09-06,43.05,43.95,43.05,43.75,28930,41.75
2017-09-05,43.8,44.0,43.4,43.5,37260,41.52
2017-09-01,43.5,43.5,43.2,43.2,1520,41.23
2017-08-31,43.6,43.75,43.4,43.5,16270,41.52
2017-08-30,42.9,43.6,42.8,43.4,40320,41.42
2017-08-29,42.5,42.8,42.5,42.6,31190,40.66
2017-08-28,42.8,42.9,42.5,42.5,6100,40.56
2017-08-25,42.3,42.8,42.2,42.8,5040,40.85
2017-08-24,42.95,43.0,42.3,42.3,10250,40.37
2017-08-23,42.4,43.0,42.2,42.3,11740,40.37
2017-08-22,43.0,43.0,42.4,42.4,40110,40.47
2017-08-21,43.4,43.4,42.5,43.0,16760,41.04
2017-08-18,43.65,43.65,42.9,43.4,15690,41.42
2017-08-17,43.6,44.4,43.2,43.5,69930,41.52
2017-08-16,42.5,43.0,42.5,42.9,90660,40.94
2017-08-15,42.3,42.6,42.25,42.6,32280,40.66
2017-08-14,42.2,43.0,42.2,42.25,7500,40.32
2017-08-11,43.4,43.4,42.15,42.15,14460,40.23
2017-08-10,42.05,43.5,42.05,43.4,39330,41.42
2017-08-09,43.3,43.3,42.0,42.05,36590,40.13
2017-08-08,42.55,43.4,42.5,43.3,66930,41.32
2017-08-07,41.8,42.8,41.8,42.5,58980,40.56
2017-08-04,42.0,42.5,41.7,41.8,11780,39.89
2017-08-03,41.15,42.5,41.15,42.0,59800,40.08
2017-08-02,41.6,41.9,41.4,41.5,11180,39.61
2017-08-01,42.0,42.2,41.8,42.2,30070,40.27
2017-07-31,42.45,42.45,42.0,42.4,11330,40.47
2017-07-28,42.0,42.7,41.5,42.45,12730,40.51
2017-07-27,42.5,42.5,41.5,42.0,35960,40.08
2017-07-26,42.5,42.9,42.5,42.5,20980,40.56
2017-07-25,41.95,42.5,40.8,42.5,74320,40.56
2017-07-24,40.6,42.0,40.6,41.8,145080,39.89
2017-07-21,40.2,42.0,40.2,40.6,56470,38.75
2017-07-20,40.6,41.5,40.55,40.55,25760,38.7
2017-07-19,40.6,40.7,40.0,40.6,67570,38.75
2017-07-18,41.7,41.7,40.5,40.6,99480,38.75
2017-07-17,41.7,41.85,41.65,41.7,15220,39.8
2017-07-14,42.9,42.9,41.4,41.7,118380,39.8
2017-07-13,42.4,42.9,42.0,42.4,118900,40.47
2017-07-12,42.0,42.4,42.0,42.4,5150,40.47
2017-07-11,41.0,42.0,41.0,41.5,27150,39.61
2017-07-10,42.2,42.3,41.0,41.0,63760,39.13
2017-07-07,42.7,42.8,42.2,42.2,20660,40.27
2017-07-06,42.7,42.75,42.1,42.45,35920,40.51
2017-07-05,43.0,43.0,42.3,42.7,13670,40.75
2017-07-04,42.5,42.5,42.2,42.2,21920,40.27
2017-07-03,43.6,43.6,42.4,42.5,20680,40.56
2017-06-30,43.8,43.8,42.7,43.5,23960,41.52
2017-06-29,43.35,43.9,42.7,42.7,76040,40.75
2017-06-28,43.5,44.0,43.0,43.9,14540,41.9
2017-06-27,44.05,44.5,43.5,43.5,34130,41.52
2017-06-26,45.2,46.5,45.2,46.5,123080,42.47
2017-06-23,45.3,45.4,45.0,45.2,49510,41.28
2017-06-22,45.95,45.95,45.3,45.4,33300,41.47
2017-06-21,45.0,45.8,45.0,45.4,45030,41.47
2017-06-20,45.8,45.8,45.25,45.25,53510,41.33
2017-06-19,46.4,46.6,45.7,45.8,68520,41.83
2017-06-16,46.0,47.0,45.9,46.2,77030,42.2
2017-06-15,45.0,46.0,45.0,46.0,107460,42.02
2017-06-14,44.75,44.9,43.9,44.5,72750,40.64
