date,open,high,low,close,volume,adj_close
2018-03-15,,,,,7850,7.75
2018-03-14,7.99,8.0,7.51,7.98,10500,7.98
2018-03-13,7.27,8.0,7.26,8.0,5920,8.0
2018-03-12,7.8,7.8,7.8,7.8,0,7.8
2018-03-09,7.41,7.89,7.4,7.8,5510,7.8
2018-03-08,7.45,7.95,7.39,7.95,2920,7.95
2018-03-07,8.4,8.4,7.94,7.94,120,7.94
2018-03-06,8.0,8.0,8.0,8.0,0,8.0
2018-03-05,7.85,8.0,7.32,8.0,3090,8.0
2018-03-02,7.99,8.0,7.19,7.85,40450,7.85
2018-03-01,7.9,7.9,7.7,7.7,70,7.7
2018-02-28,8.18,8.18,8.18,8.18,23090,8.18
2018-02-27,8.79,8.79,8.79,8.79,10,8.79
2018-02-26,8.9,8.9,8.04,8.55,1850,8.55
2018-02-23,8.65,8.65,8.05,8.64,41700,8.64
2018-02-22,8.66,8.66,8.65,8.65,4240,8.65
2018-02-21,9.9,9.9,8.66,9.3,1790,9.3
2018-02-13,9.2,9.3,9.15,9.3,16500,9.3
2018-02-12,9.5,9.5,9.5,9.5,350,9.5
2018-02-09,8.9,8.9,8.9,8.9,0,8.9
2018-02-08,8.9,8.9,8.9,8.9,0,8.9
2018-02-07,8.9,8.94,8.8,8.9,2800,8.9
2018-02-06,8.37,8.37,8.37,8.37,10,8.37
2018-02-05,9.0,9.0,9.0,9.0,0,9.0
2018-02-02,9.0,9.1,8.9,9.0,4600,9.0
2018-02-01,8.98,9.0,8.8,9.0,4200,9.0
2018-01-31,8.9,8.9,7.78,8.9,540,8.9
2018-01-30,8.35,8.85,8.35,8.36,6200,8.36
2018-01-29,8.9,8.9,8.38,8.9,2170,8.9
2018-01-26,8.41,9.0,8.41,9.0,10420,9.0
2018-01-25,9.0,9.0,8.45,8.99,24190,8.99
2018-01-24,,,,,0,9.39
2018-01-23,,,,,0,9.39
2018-01-22,9.39,9.39,8.75,8.75,15030,8.75
2018-01-19,9.0,9.39,8.75,9.39,36930,9.39
2018-01-18,9.03,9.4,9.03,9.4,63800,9.4
2018-01-17,9.99,10.0,9.21,9.7,26300,9.7
2018-01-16,9.9,9.9,9.9,9.9,0,9.9
2018-01-15,9.3,9.9,9.3,9.9,4810,9.9
2018-01-12,10.0,10.0,10.0,10.0,30,10.0
2018-01-11,9.8,10.0,9.8,10.0,3500,10.0
2018-01-10,9.9,9.9,8.72,9.8,6210,9.8
2018-01-09,9.31,10.0,9.31,9.34,7130,9.34
