date,open,high,low,close,volume
2017-10-31,17.5,18.1,17.1,17.85,3731770
2017-10-30,18.52,18.57,17.19,17.19,4944260
2017-10-27,18.19,18.38,18.14,18.38,2483700
2017-10-26,18.72,18.72,18.0,18.24,2519450
2017-10-25,18.29,18.67,18.2,18.62,2117780
2017-10-24,18.39,18.48,18.0,18.1,4879490
2017-10-23,18.29,18.91,18.19,18.29,4040840
2017-10-20,19.24,19.43,18.57,18.81,4803910
2017-10-19,19.72,19.76,19.19,19.19,3767510
2017-10-18,20.19,20.33,19.62,19.62,7301800
2017-10-17,19.81,20.0,19.62,20.0,2362570
2017-10-16,20.1,20.34,19.81,19.81,2371100
2017-10-13,19.71,20.09,19.47,20.1,4062620
2017-10-12,20.0,20.1,19.62,19.71,2955660
2017-10-11,20.19,20.43,19.85,20.0,2944350
2017-10-10,19.72,20.24,19.62,20.14,4756320
2017-10-09,19.33,19.62,19.33,19.62,2602860
2017-10-06,19.28,19.47,19.28,19.33,1432380
2017-10-05,19.71,19.85,19.33,19.33,2518050
2017-10-04,18.81,19.52,18.81,19.52,2349630
2017-10-03,19.05,19.24,18.57,18.81,5193280
2017-10-02,19.81,20.0,19.14,19.24,3753940
2017-09-29,19.62,20.0,19.38,20.0,3183510
2017-09-28,20.57,20.77,19.24,19.52,9015590
2017-09-27,20.48,20.77,20.29,20.67,3816150
2017-09-26,20.48,20.57,20.14,20.48,2341920
2017-09-25,20.53,20.57,20.14,20.38,2771170
2017-09-22,19.72,20.48,19.72,20.43,5160030
2017-09-21,19.71,19.85,19.61,19.67,1154790
2017-09-20,19.43,19.72,19.38,19.71,2191560
2017-09-19,19.62,19.91,19.43,19.43,3400800
2017-09-18,19.33,20.0,19.33,19.62,4897660
2017-09-15,18.95,19.24,18.85,19.14,2080970
2017-09-14,19.28,19.38,18.95,18.95,2227040
2017-09-13,18.95,19.33,18.8,19.33,1930470
2017-09-12,18.48,18.91,18.38,18.9,2762810
2017-09-11,19.28,19.43,18.48,18.48,6029780
2017-09-08,19.52,19.71,19.38,19.38,2935560
2017-09-07,19.38,19.72,19.38,19.52,3282010
2017-09-06,19.62,19.72,19.29,19.48,3843210
2017-09-05,19.71,19.95,19.47,19.67,2765290
2017-09-01,19.43,19.72,19.43,19.71,2622350
2017-08-31,19.81,20.1,19.43,19.43,4768710
2017-08-30,19.24,19.81,19.24,19.62,3877990
2017-08-29,19.52,19.72,19.24,19.24,4857660
2017-08-28,19.34,19.76,19.15,19.62,5531400
2017-08-25,18.24,19.19,18.24,19.05,7567070
2017-08-24,18.1,18.48,18.0,18.24,2782130
2017-08-23,17.91,18.14,17.67,18.1,2247910
2017-08-22,18.34,18.39,17.72,17.81,3437640
2017-08-21,18.53,18.91,18.29,18.29,4237710
2017-08-18,18.0,18.52,17.9,18.43,3912560
2017-08-17,18.58,18.91,18.19,18.19,8075640
2017-08-16,17.67,18.67,17.62,18.48,4817450
2017-08-15,17.91,18.0,17.62,17.67,3045640
2017-08-14,17.33,17.62,17.28,17.62,2636310
2017-08-11,17.42,17.71,17.33,17.33,2137210
2017-08-10,17.05,17.67,17.05,17.52,2621680
2017-08-09,18.15,18.19,17.05,17.38,7224370
2017-08-08,18.66,18.76,18.14,18.29,4978400
2017-08-07,18.52,18.95,18.52,18.71,4746960
2017-08-04,18.24,18.43,18.0,18.38,3721040
2017-08-03,18.05,18.43,17.9,18.05,3744240
2017-08-02,17.86,18.24,17.53,18.0,4807270
2017-08-01,18.09,18.33,17.86,17.86,6927910
2017-07-31,17.33,18.24,17.24,18.19,6599430
2017-07-28,17.58,17.58,17.24,17.38,3506040
2017-07-27,17.09,17.8,17.04,17.48,10429060
2017-07-26,15.81,16.91,15.81,16.9,8128320
2017-07-25,15.52,15.86,15.52,15.81,1581660
2017-07-24,15.72,15.81,15.34,15.57,1926600
2017-07-21,15.95,16.09,15.76,15.86,5378520
2017-07-20,15.72,15.95,15.52,15.95,2314490
2017-07-19,15.57,15.95,15.52,15.62,2388720
2017-07-18,15.52,15.71,15.28,15.57,2787630
2017-07-17,15.91,16.15,15.62,15.71,4086590
2017-07-14,15.86,16.1,15.62,16.1,3190020
2017-07-13,15.1,15.96,14.96,15.86,5354870
2017-07-12,15.43,15.43,15.1,15.1,4386160
2017-07-11,15.81,16.0,15.05,15.43,8093640
2017-07-10,16.24,16.29,15.86,15.86,3231970
2017-07-07,16.48,16.62,16.15,16.19,5256540
2017-07-06,16.19,16.48,16.09,16.48,3868530
2017-07-05,16.24,16.34,16.05,16.19,4299960
