date,open,high,low,close,volume
2018-08-07,42.3,42.3,41.75,41.95,645810
2018-08-06,42.4,42.7,42.25,42.25,350030
2018-08-03,43.0,43.1,42.4,42.6,719840
2018-08-02,42.0,42.7,41.6,42.7,726710
2018-08-01,42.7,43.05,41.9,42.0,2431450
2018-07-31,43.3,43.5,42.8,42.8,1591210
2018-07-30,43.4,43.5,43.2,43.3,1197220
2018-07-27,42.9,43.9,42.55,43.3,1291840
2018-07-26,42.7,43.0,42.1,42.55,717640
2018-07-25,42.3,43.8,42.2,42.4,1326030
2018-07-24,42.0,42.45,41.4,42.2,1167460
2018-07-23,42.0,42.7,41.85,42.0,1111700
2018-07-20,42.3,42.3,41.25,41.6,851350
2018-07-19,42.2,42.9,42.2,42.5,753150
2018-07-18,42.0,42.9,41.9,42.9,1096080
2018-07-17,40.7,41.9,40.55,41.9,1297460
2018-07-16,41.1,41.5,40.65,40.9,645230
2018-07-13,39.5,40.8,39.3,40.6,1060620
2018-07-12,38.8,39.65,38.5,38.8,684480
2018-07-11,39.5,40.0,38.6,39.2,801770
2018-07-10,40.3,40.7,40.0,40.4,249100
2018-07-09,41.0,41.35,39.8,40.15,583920
2018-07-06,39.0,41.7,38.9,40.8,913260
2018-07-05,40.0,40.1,38.5,39.5,711240
2018-07-04,39.05,40.0,38.5,40.0,980200
2018-07-03,40.2,40.65,39.0,39.0,1351030
2018-07-02,41.5,41.9,40.0,40.2,979030
2018-06-29,42.5,43.0,41.5,41.5,759780
2018-06-28,44.3,44.3,42.5,42.5,1175250
2018-06-27,44.9,44.9,44.25,44.3,256990
2018-06-26,44.5,44.8,44.3,44.5,240850
2018-06-25,45.4,45.4,44.9,45.1,511540
2018-06-22,44.3,45.0,43.9,45.0,375270
2018-06-21,45.4,45.4,44.1,44.4,349770
2018-06-20,44.9,45.4,44.0,45.4,650560
2018-06-19,45.1,45.1,42.7,44.5,2015520
2018-06-18,46.9,46.9,45.4,45.4,693660
2018-06-15,46.3,46.7,46.25,46.5,442100
2018-06-14,47.0,47.25,46.6,46.6,460360
2018-06-13,46.0,46.9,46.0,46.8,452120
2018-06-12,47.5,47.5,45.7,46.3,1257200
2018-06-11,47.75,47.95,47.5,47.5,721890
2018-06-08,47.9,48.2,47.5,47.95,1050890
2018-06-07,48.9,48.9,47.7,47.8,1138280
2018-06-06,48.0,48.5,47.3,48.5,1017540
2018-06-05,47.5,48.1,47.2,47.8,1347750
2018-06-04,46.5,47.45,46.35,47.25,1150670
2018-06-01,46.0,46.7,45.7,46.45,1291490
2018-05-31,45.05,46.7,45.0,46.0,1105040
2018-05-30,47.3,47.3,45.4,45.45,1590980
2018-05-29,45.5,48.2,44.85,47.4,2350500
2018-05-28,47.2,48.2,45.5,45.5,2034970
2018-05-25,51.0,51.0,48.9,48.9,788360
2018-05-24,51.62,51.88,50.44,50.44,1035660
2018-05-23,50.86,51.71,50.44,51.37,1077080
2018-05-22,51.71,52.13,50.44,50.61,1101490
2018-05-21,51.88,52.9,51.71,51.71,1483830
2018-05-18,51.37,51.71,49.84,51.54,979930
2018-05-17,51.2,52.04,51.2,51.37,719700
2018-05-16,51.71,52.05,51.29,51.28,672930
2018-05-15,52.56,52.56,51.71,52.05,910810
2018-05-14,50.95,52.31,50.52,52.22,2012550
2018-05-11,49.17,50.44,49.17,50.44,1169610
2018-05-10,49.5,50.35,49.16,49.42,1546130
2018-05-09,49.67,50.09,49.25,49.5,1004740
2018-05-08,50.18,50.52,49.84,50.01,1114210
2018-05-07,49.84,50.52,49.67,50.52,878040
2018-05-04,49.59,50.02,49.34,49.84,1171180
2018-05-03,48.15,49.17,47.22,49.17,2162850
2018-05-02,49.0,49.17,48.15,48.32,1370180
2018-04-27,46.62,48.65,46.54,48.32,1597710
2018-04-26,48.23,48.91,46.62,46.62,2031810
2018-04-24,48.66,49.59,47.56,47.81,1850860
2018-04-23,51.96,52.3,48.48,49.17,1461440
2018-04-20,51.7,52.13,51.11,51.96,972550
2018-04-19,52.56,52.64,51.46,51.45,2377390
2018-04-18,52.81,53.32,52.48,52.56,1247240
2018-04-17,52.13,52.55,51.62,52.56,1105060
2018-04-16,52.56,52.9,51.63,51.79,1181050
2018-04-13,54.16,54.16,52.55,52.56,2146710
2018-04-12,53.4,53.91,52.64,53.91,1321110
2018-04-11,54.93,55.44,53.4,53.4,3296390
2018-04-10,53.91,55.27,53.82,54.59,4490010
2018-04-09,53.07,53.91,53.07,53.74,1502210
2018-04-06,54.42,54.5,53.15,53.15,3614250
2018-04-05,52.55,54.0,52.13,53.4,2874100
2018-04-04,52.56,53.24,52.22,52.3,2297950
2018-04-03,51.88,52.05,51.62,51.88,1140770
2018-04-02,52.13,52.3,51.7,52.13,2194820
2018-03-30,50.52,51.97,50.36,51.45,2434830
2018-03-29,50.35,50.61,50.01,50.44,827280
2018-03-28,50.1,50.36,49.85,49.93,660440
2018-03-27,50.77,50.94,50.01,50.44,993260
2018-03-26,49.67,50.35,49.67,50.18,940840
2018-03-23,50.02,50.53,49.17,49.67,2833670
2018-03-22,51.71,52.05,50.95,50.95,1264760
2018-03-21,51.96,52.38,51.71,51.71,999470
2018-03-20,51.03,52.81,50.86,51.96,2921440
2018-03-19,51.03,51.37,50.78,51.28,1337110
2018-03-16,51.37,51.54,50.61,50.95,1426890
2018-03-15,51.71,51.79,51.12,51.37,1189330
2018-03-14,50.95,51.54,50.36,51.54,2070230
2018-03-13,51.88,51.88,50.35,50.95,4159670
2018-03-12,52.56,53.07,52.05,52.05,1611250
2018-03-09,53.15,53.49,52.14,52.22,2068410
2018-03-08,52.56,52.98,51.97,52.73,1316600
2018-03-07,53.83,54.0,52.13,52.73,2000410
2018-03-06,52.98,53.66,52.3,53.66,2577540
2018-03-05,51.96,54.67,51.96,52.13,6025340
2018-03-02,51.29,51.96,50.86,51.79,1840930
2018-03-01,50.35,51.88,50.1,51.54,2114250
2018-02-28,50.18,51.2,50.1,50.69,1835710
2018-02-27,51.45,51.54,50.44,50.69,1415610
2018-02-26,51.7,52.38,51.2,51.2,2467750
2018-02-23,49.58,51.36,49.58,51.28,1607200
2018-02-22,50.27,50.43,49.33,49.5,1433060
2018-02-21,50.94,51.11,50.01,50.35,1574450
2018-02-13,49.33,50.26,48.99,50.01,1448350
2018-02-12,47.72,48.4,46.2,48.4,1166010
2018-02-09,44.5,46.62,44.5,46.62,2139970
2018-02-08,47.47,48.32,46.62,46.79,1709000
2018-02-07,48.31,48.57,47.47,47.98,1872960
2018-02-06,45.09,47.89,45.09,45.94,5312890
2018-02-05,50.95,51.54,48.4,48.4,3754890
2018-02-02,52.22,52.39,51.29,51.71,1671290
2018-02-01,53.32,53.83,52.22,52.22,2086500
2018-01-31,54.93,55.52,53.32,53.32,3988780
2018-01-30,50.69,54.25,50.43,54.25,4719350
2018-01-29,51.62,52.47,50.78,51.11,1335440
2018-01-26,52.55,52.55,51.28,51.54,1631780
2018-01-25,52.13,53.06,51.62,51.79,5368250
2018-01-22,50.44,52.13,50.35,51.62,2509650
2018-01-19,50.01,50.69,49.93,49.93,2002690
2018-01-18,49.42,50.01,48.82,50.01,3314290
2018-01-17,51.71,51.79,50.01,50.01,2259230
2018-01-16,51.63,52.13,51.12,51.71,1512380
2018-01-15,50.95,51.88,50.61,51.71,2296030
