date,open,high,low,close,volume
2018-06-26,79.9,79.9,75.0,79.0,27380
2018-06-25,78.0,80.8,77.5,79.2,51350
2018-06-22,74.5,81.0,74.5,79.0,20150
2018-06-21,83.5,83.5,79.9,80.0,65370
2018-06-20,75.5,82.5,75.5,82.5,44480
2018-06-19,86.0,86.0,81.1,81.1,59070
2018-06-18,86.8,87.1,82.1,87.1,10520
2018-06-15,89.0,89.0,87.1,87.1,1690
2018-06-14,91.0,91.0,87.0,87.0,18400
2018-06-13,88.5,90.7,88.5,90.0,92830
2018-06-12,90.1,90.1,88.0,89.0,31120
2018-06-11,90.0,90.0,89.8,90.0,43460
2018-06-08,90.0,90.0,89.0,89.9,31310
2018-06-07,90.0,91.0,89.3,90.0,120650
2018-06-06,89.1,89.3,89.0,89.3,14560
2018-06-05,89.0,90.0,89.0,89.1,41780
2018-06-04,90.3,90.3,88.5,89.0,36140
2018-06-01,90.4,90.4,89.5,90.3,37140
2018-05-31,87.0,90.5,87.0,90.4,30530
2018-05-30,91.0,91.0,87.0,87.0,89010
2018-05-29,92.0,92.0,87.0,91.0,48230
2018-05-28,93.6,93.6,90.5,91.3,31840
2018-05-25,93.6,94.1,93.6,93.6,185010
2018-05-24,98.8,98.8,93.0,93.6,186210
2018-05-23,90.88,94.11,90.88,92.35,148490
2018-05-22,94.11,95.88,91.82,91.82,188830
2018-05-21,94.06,94.06,91.76,91.82,58530
2018-05-18,93.82,94.11,93.06,93.82,35230
2018-05-17,94.11,94.11,92.94,93.82,40650
2018-05-16,94.11,94.11,92.35,92.35,113000
2018-05-15,91.18,94.06,88.82,92.35,82190
2018-05-14,90.06,93.82,88.53,88.53,40720
2018-05-11,91.77,92.06,90.06,90.06,23700
2018-05-10,90.59,91.06,89.71,91.06,89910
2018-05-09,88.24,90.3,87.65,89.65,96890
2018-05-08,91.17,91.17,87.65,88.24,59090
2018-05-07,91.06,91.06,82.47,89.41,67180
2018-05-04,86.47,90.59,86.47,87.65,57020
2018-05-03,91.94,98.53,91.94,92.35,261780
2018-05-02,98.82,98.82,97.94,98.82,657340
2018-04-27,94.42,94.42,90.3,94.41,2520730
2018-04-26,88.24,88.24,82.36,88.24,948210
