date,open,high,low,close,volume
2018-05-22,46.5,46.5,43.0,45.0,23750
2018-05-21,46.4,46.4,45.5,46.0,5760
2018-05-18,45.8,46.5,45.8,46.5,1480
2018-05-17,46.5,46.5,46.0,46.5,1420
2018-05-16,45.8,47.0,45.7,47.0,14230
2018-05-15,45.51,45.8,45.51,45.8,14150
2018-05-14,45.13,45.51,45.13,45.51,9090
2018-05-11,45.13,45.13,44.94,45.13,7400
2018-05-10,45.51,45.7,45.13,45.13,12230
2018-05-09,45.51,45.8,45.51,45.51,70650
2018-05-08,45.99,45.99,45.51,45.51,14860
2018-05-07,45.7,45.7,44.93,45.7,1240
2018-05-04,45.7,45.8,44.84,45.7,3210
2018-05-03,46.47,46.47,44.93,45.8,2990
2018-05-02,47.43,47.43,45.99,46.85,170
2018-04-27,44.84,47.91,43.93,47.81,29250
2018-04-26,44.74,45.41,43.78,44.84,14260
2018-04-24,45.89,45.89,44.55,44.74,4930
2018-04-23,45.99,45.99,44.55,44.55,32260
2018-04-20,45.03,45.89,44.55,45.89,5370
2018-04-19,,,,45.99,0
2018-04-18,44.55,46.95,44.55,45.99,22180
2018-04-17,45.41,45.41,44.36,44.55,1000
2018-04-16,45.03,45.51,43.88,44.55,25210
2018-04-13,43.79,45.71,43.79,45.03,43820
2018-04-12,43.79,43.79,43.12,43.79,3450
2018-04-11,44.65,44.65,43.11,43.79,18850
2018-04-10,45.32,45.32,44.55,45.03,4650
2018-04-09,44.07,45.51,44.07,45.32,6840
2018-04-06,45.99,45.99,44.55,45.51,420
2018-04-05,43.69,46.71,43.69,45.99,61600
2018-04-04,43.69,43.69,43.11,43.69,62200
2018-04-03,43.88,44.26,43.59,43.59,26680
2018-04-02,44.02,44.55,43.78,44.36,5740
2018-03-30,45.03,45.03,44.07,44.55,8770
2018-03-29,44.79,45.03,44.07,45.03,9630
2018-03-28,44.07,45.03,44.07,45.03,1350
2018-03-27,45.27,45.27,42.11,45.27,19880
2018-03-26,45.7,45.7,45.27,45.27,2080
2018-03-23,45.8,45.94,45.27,45.7,580
2018-03-22,46.28,46.57,45.99,46.28,8560
2018-03-21,46.28,46.28,45.99,46.28,2270
