date,open,high,low,close,volume
2018-04-17,,,,29.25,0
2018-04-16,28.75,29.35,28.6,29.25,768760
2018-04-13,29.0,29.2,28.7,29.2,1028170
2018-04-12,28.6,29.1,28.5,28.75,1220060
2018-04-11,30.0,30.15,29.15,29.2,1449030
2018-04-10,30.4,30.4,29.9,30.0,1161230
2018-04-09,30.4,31.1,30.35,30.35,537570
2018-04-06,30.0,31.15,29.9,30.4,1087950
2018-04-05,30.1,30.25,29.95,30.0,672150
2018-04-04,30.8,30.8,30.05,30.05,917330
2018-04-03,30.0,30.4,29.9,30.35,795510
2018-04-02,30.65,30.75,30.0,30.0,1221940
2018-03-30,30.85,30.85,30.45,30.75,740610
2018-03-29,31.4,31.5,30.65,30.85,893560
2018-03-28,31.0,31.5,30.6,31.2,1622330
2018-03-27,30.5,30.95,29.9,30.7,1130310
2018-03-26,30.0,30.9,29.5,30.0,780800
2018-03-23,29.8,30.5,29.4,30.5,1217870
2018-03-22,31.5,31.5,30.7,30.7,582170
2018-03-21,30.3,31.25,30.3,31.05,1312720
2018-03-20,30.3,30.35,29.8,30.3,1313720
2018-03-19,31.1,31.55,30.0,30.5,1510780
2018-03-16,31.1,32.5,31.05,31.1,1567350
2018-03-15,32.1,32.2,31.5,31.5,1150380
2018-03-14,31.5,32.1,31.35,32.1,1429430
2018-03-13,32.5,32.5,31.1,31.5,1105500
2018-03-12,32.5,33.2,31.0,32.5,2254840
2018-03-09,35.5,35.5,32.3,33.0,2248430
2018-03-08,34.9,35.06,34.25,34.5,2768230
2018-03-07,35.31,35.96,34.58,34.74,1633850
2018-03-06,35.31,35.56,35.11,35.31,1217030
2018-03-05,36.53,36.53,35.07,35.07,2292950
2018-03-02,34.58,35.72,34.5,35.72,2095170
2018-03-01,34.34,35.31,34.09,34.5,1955670
2018-02-28,34.58,34.99,33.77,33.77,2057200
2018-02-27,35.39,35.55,34.74,34.99,1138670
2018-02-26,36.53,36.53,35.23,35.31,3058040
2018-02-23,33.69,34.74,33.52,34.74,1237420
2018-02-22,33.93,34.54,33.28,33.28,846990
2018-02-21,33.81,34.09,33.28,34.05,407430
2018-02-13,32.47,33.77,32.47,33.28,637240
2018-02-12,31.66,33.28,31.66,32.43,507750
2018-02-09,30.85,32.47,30.44,31.66,872640
2018-02-08,32.47,32.47,31.25,31.5,481440
2018-02-07,32.88,33.12,32.11,32.43,699780
2018-02-06,31.66,32.47,31.34,31.66,2086620
2018-02-05,33.68,35.14,33.52,33.69,1180690
2018-02-02,34.9,34.9,34.09,34.17,897050
2018-02-01,35.72,35.88,34.5,34.66,732920
2018-01-31,35.72,36.73,35.07,35.64,1871530
