date,open,high,low,close,volume
2017-09-11,13.55,13.6,13.5,13.5,2930
2017-09-08,13.15,13.6,13.0,13.6,66720
2017-09-07,13.4,13.5,13.1,13.1,5380
2017-09-06,13.35,13.4,13.3,13.35,4310
2017-09-05,13.3,13.35,12.8,13.35,40860
2017-09-01,12.75,13.35,12.75,12.8,20020
2017-08-31,13.15,13.3,13.15,13.3,850
2017-08-30,13.5,13.5,12.8,12.8,4020
2017-08-29,12.9,13.35,12.85,12.9,13270
2017-08-28,13.45,13.45,12.7,13.4,2120
2017-08-25,13.45,13.5,12.8,13.25,45190
2017-08-24,13.1,13.5,12.85,12.9,88760
2017-08-23,13.15,13.15,12.85,12.85,6430
2017-08-22,13.1,13.1,13.1,13.1,30
2017-08-21,12.8,13.25,12.75,12.8,40270
2017-08-18,13.05,13.4,12.1,13.0,74080
2017-08-17,13.35,13.4,13.0,13.0,32440
2017-08-16,13.1,13.35,13.0,13.05,8140
2017-08-15,12.95,13.5,12.95,13.4,6180
2017-08-14,13.25,13.3,13.0,13.0,18360
2017-08-11,13.45,13.45,13.15,13.15,6300
2017-08-10,13.45,13.5,13.45,13.5,7100
2017-08-09,12.6,13.45,12.6,13.45,3330
2017-08-08,12.95,13.5,12.95,13.4,116470
2017-08-07,13.1,13.1,13.1,13.1,10770
2017-08-04,13.5,13.6,13.0,13.55,23710
2017-08-03,13.4,13.5,13.0,13.5,32210
2017-08-02,13.1,13.45,13.05,13.45,5870
2017-08-01,12.95,13.6,12.95,13.5,16190
2017-07-31,13.55,13.6,13.55,13.6,2220
2017-07-28,13.6,13.6,13.1,13.1,2010
2017-07-27,12.9,14.25,12.9,13.45,12840
2017-07-26,13.4,13.4,12.9,13.4,5960
2017-07-25,13.0,13.5,12.9,13.5,23850
2017-07-24,13.45,13.55,13.45,13.5,3340
2017-07-21,13.5,13.55,13.45,13.45,1320
2017-07-20,13.5,13.5,13.1,13.5,3430
2017-07-19,13.05,13.5,13.05,13.5,470
2017-07-18,13.55,13.55,13.4,13.5,260
2017-07-17,13.45,13.55,13.1,13.5,7680
2017-07-14,13.35,13.5,13.05,13.1,18110
2017-07-13,13.2,13.3,12.95,13.05,36600
2017-07-12,13.65,13.65,13.15,13.6,77720
2017-07-11,13.25,13.65,13.25,13.65,6210
2017-07-10,13.65,13.65,13.65,13.65,1200
2017-07-07,13.5,13.7,13.4,13.65,36350
2017-07-06,13.55,13.7,13.3,13.7,83760
2017-07-05,13.3,13.55,13.05,13.55,73250
2017-07-04,13.0,13.3,13.0,13.3,67930
2017-07-03,12.85,13.0,12.85,13.0,3510
2017-06-30,12.85,13.1,12.8,13.1,59870
2017-06-29,12.95,13.2,12.85,12.85,76970
2017-06-28,13.05,13.1,12.85,13.1,62860
2017-06-27,12.8,13.15,12.8,13.05,37430
2017-06-26,12.95,13.0,12.95,13.0,2500
2017-06-23,12.9,13.0,12.9,12.9,10850
2017-06-22,13.0,13.1,12.95,13.1,6030
2017-06-21,13.15,13.15,13.15,13.15,25910
2017-06-20,13.1,13.2,12.9,13.15,12070
2017-06-19,12.65,13.1,12.65,13.1,25800
2017-06-16,13.2,13.2,12.7,12.85,19840
2017-06-15,12.65,13.3,12.65,13.2,88980
2017-06-14,12.45,12.95,12.45,12.95,79090
2017-06-13,12.55,12.8,12.5,12.8,56920
2017-06-12,12.5,12.9,12.5,12.9,14910
2017-06-09,12.7,12.9,12.6,12.85,26300
2017-06-08,12.5,12.7,12.15,12.7,55880
2017-06-07,12.15,12.6,12.15,12.55,79050
2017-06-06,12.35,12.45,12.1,12.45,3990
2017-06-05,12.05,12.5,12.05,12.5,64500
2017-06-02,12.3,12.35,11.95,12.35,14150
2017-06-01,12.45,12.45,12.05,12.35,26640
2017-05-31,12.4,12.5,12.3,12.5,10840
2017-05-30,12.55,12.55,12.15,12.45,16270
2017-05-29,12.45,12.55,12.45,12.55,510
2017-05-26,12.55,12.55,12.3,12.55,5280
2017-05-25,12.5,12.6,12.45,12.6,35660
2017-05-24,12.2,12.55,12.2,12.55,137110
2017-05-23,11.8,12.2,11.8,12.2,130030
2017-05-22,12.0,12.1,11.75,11.85,25730
2017-05-19,12.05,12.05,12.0,12.05,12910
2017-05-18,11.8,12.0,11.8,12.0,37080
2017-05-17,11.84,11.89,11.7,11.8,44340
2017-05-16,11.75,11.89,11.66,11.84,47230
2017-05-15,11.8,11.85,11.62,11.66,90100
2017-05-12,11.85,11.98,11.53,11.8,10660
2017-05-11,11.75,11.8,11.62,11.8,14770
2017-05-10,11.8,11.89,11.7,11.8,29030
2017-05-09,11.44,11.89,11.35,11.75,63280
2017-05-08,11.58,11.58,11.26,11.44,37470
2017-05-05,11.53,11.53,11.53,11.53,110
2017-05-04,11.57,11.62,11.57,11.62,2500
2017-05-03,11.26,11.58,11.08,11.57,11840
2017-04-28,11.53,11.58,11.35,11.53,19470
2017-04-27,11.25,11.53,10.98,11.53,11340
2017-04-26,11.07,11.53,10.62,11.39,1430
2017-04-25,11.35,11.4,11.35,11.39,90
2017-04-24,11.35,11.35,11.35,11.35,10
2017-04-21,11.3,11.3,11.03,11.3,2020
2017-04-20,11.44,11.44,11.03,11.44,4230
2017-04-19,11.25,11.39,11.25,11.39,25900
2017-04-18,11.03,11.31,11.03,11.3,870
2017-04-17,11.25,11.25,10.98,11.26,2560
2017-04-14,11.25,11.3,11.25,11.3,4080
2017-04-13,11.12,11.3,11.12,11.3,52980
2017-04-12,11.08,11.17,11.03,11.12,40960
2017-04-11,10.99,11.08,10.85,11.08,4160
2017-04-10,10.98,11.12,10.8,10.99,10290
2017-04-07,10.8,11.03,10.8,11.03,8810
2017-04-05,11.12,11.12,10.89,11.03,3320
2017-04-04,11.04,11.17,10.85,11.03,3480
2017-04-03,10.89,10.99,10.8,10.99,8310
2017-03-31,10.85,10.94,10.76,10.94,21900
2017-03-30,10.72,11.26,10.72,10.94,9860
2017-03-29,10.99,10.99,10.54,10.81,9250
2017-03-28,10.81,10.81,10.71,10.81,4820
2017-03-27,11.17,11.17,10.76,10.76,3110
2017-03-24,10.76,11.26,10.76,10.81,15670
2017-03-23,10.76,10.9,10.72,10.76,10190
2017-03-22,10.81,10.94,10.67,10.81,6160
2017-03-21,10.9,10.9,10.71,10.76,16540
2017-03-20,10.72,11.04,10.72,10.76,19500
2017-03-17,10.81,11.26,10.72,10.81,29530
2017-03-16,10.9,11.08,10.54,10.81,48230
2017-03-15,10.76,10.81,10.58,10.81,25350
