date,open,high,low,close,volume
2018-09-06,13.5,13.5,13.5,13.5,200
2018-09-05,13.85,13.9,13.05,13.5,910
2018-09-04,13.9,13.9,13.9,13.9,390
2018-08-31,13.45,13.45,13.2,13.2,690
2018-08-30,13.05,13.5,13.0,13.0,1320
2018-08-29,12.8,13.95,12.8,13.95,770
2018-08-28,12.7,13.35,12.7,13.35,450
2018-08-27,13.4,13.4,13.4,13.4,4240
2018-08-24,12.55,13.45,12.55,13.45,490
2018-08-23,13.2,13.2,12.8,13.2,420
2018-08-22,12.95,13.2,12.2,13.2,9020
2018-08-21,13.35,13.35,12.25,12.85,280
2018-08-20,12.45,12.9,12.3,12.75,640
2018-08-17,12.7,13.25,12.5,12.5,270
2018-08-16,12.65,12.65,12.65,12.65,390
2018-08-15,13.25,13.4,13.25,13.4,590
2018-08-14,13.05,14.0,13.05,13.05,7880
2018-08-13,14.0,14.0,14.0,14.0,90
2018-08-10,13.1,13.85,13.1,13.85,340
2018-08-09,14.0,14.0,12.65,14.0,17970
2018-08-08,13.55,13.55,13.55,13.55,130
2018-08-07,13.6,14.35,13.6,14.35,180
2018-08-06,14.6,14.6,14.6,14.6,110
2018-08-03,13.95,14.6,13.7,14.6,1230
2018-08-02,14.2,14.2,14.2,14.2,330
2018-08-01,14.0,14.2,14.0,14.2,270
2018-07-31,13.4,13.85,13.4,13.85,410
2018-07-30,13.4,13.95,13.2,13.95,970
2018-07-27,13.55,14.05,13.55,14.05,410
2018-07-26,14.1,14.1,13.4,14.0,310
2018-07-25,14.1,14.1,14.1,14.1,320
2018-07-24,14.3,14.3,14.3,14.3,200
2018-07-23,14.3,14.4,13.55,14.3,3170
2018-07-20,13.65,13.65,13.65,13.65,140
2018-07-19,13.8,13.8,13.6,13.6,120
2018-07-18,13.85,13.85,13.1,13.75,730
2018-07-17,13.85,13.85,13.85,13.85,160
2018-07-16,12.9,13.85,12.9,13.85,70
2018-07-13,14.2,14.2,13.8,13.8,310
2018-07-12,13.9,13.9,13.55,13.9,380
2018-07-11,14.3,14.6,13.5,13.5,290
2018-07-10,14.2,14.2,14.2,14.2,200
2018-07-09,14.2,14.2,14.2,14.2,210
2018-07-06,13.65,14.2,13.6,14.2,3180
2018-07-05,14.6,14.6,14.6,14.6,100
2018-07-04,14.6,14.6,14.6,14.6,210
2018-07-03,14.2,14.2,14.2,14.2,200
2018-07-02,14.2,14.2,14.2,14.2,100
2018-06-29,14.2,14.2,14.2,14.2,330
2018-06-28,14.0,14.2,14.0,14.2,270
2018-06-27,,,,14.0,0
2018-06-26,,,,14.0,0
2018-06-25,13.5,14.0,13.5,14.0,40
2018-06-22,13.95,14.0,13.95,14.0,1330
2018-06-21,13.95,14.6,13.6,13.6,1320
2018-06-20,13.7,14.2,13.65,13.65,2420
2018-06-19,13.8,13.8,13.8,13.8,240
2018-06-18,14.4,14.4,14.4,14.4,500
2018-06-15,14.4,14.4,14.4,14.4,210
2018-06-14,14.0,14.0,14.0,14.0,100
2018-06-13,13.45,14.0,13.45,14.0,610
2018-06-12,13.75,13.75,13.75,13.75,450
2018-06-11,14.0,14.15,14.0,14.15,170
2018-06-08,14.0,14.0,13.65,13.65,320
2018-06-07,13.75,13.9,13.7,13.7,2150
2018-06-06,13.7,14.7,13.7,14.7,950
