date,open,high,low,close,volume
2018-10-23,15.8,16.5,15.4,16.1,111770
2018-10-22,16.5,16.5,15.8,15.8,64610
2018-10-19,16.65,16.95,16.4,16.4,88410
2018-10-18,16.85,17.25,16.5,16.95,212030
2018-10-17,16.85,17.0,16.55,16.85,54520
2018-10-16,15.95,16.9,15.95,16.9,120770
2018-10-15,16.1,16.1,15.35,15.8,89840
2018-10-12,15.6,16.1,15.0,16.0,281690
2018-10-11,15.7,16.2,15.25,15.7,382770
2018-10-10,17.25,17.3,16.2,16.2,380880
2018-10-09,17.7,17.9,17.2,17.25,190940
2018-10-08,18.25,18.4,17.5,17.5,208150
2018-10-05,18.75,18.8,18.4,18.4,156120
2018-10-04,18.7,19.0,18.3,18.7,153160
2018-10-03,18.15,18.7,18.15,18.6,128580
2018-10-02,18.0,18.4,18.0,18.15,121050
2018-10-01,18.4,18.8,18.05,18.3,333590
2018-09-28,19.0,19.2,18.5,18.5,158790
2018-09-27,18.85,19.5,18.55,19.0,470820
2018-09-26,17.3,18.5,17.2,18.5,556600
2018-09-25,17.3,17.3,17.0,17.3,148190
2018-09-24,17.15,17.3,17.05,17.2,150970
2018-09-21,17.4,17.55,17.0,17.15,258240
2018-09-20,17.4,17.4,17.1,17.4,183760
2018-09-19,17.7,17.8,17.2,17.3,269120
2018-09-18,16.9,17.5,16.65,17.5,463080
2018-09-17,16.6,17.2,16.6,16.85,190330
2018-09-14,16.05,16.5,16.05,16.4,155870
2018-09-13,15.95,16.2,15.8,16.0,161640
2018-09-12,16.3,16.4,16.1,16.3,83780
2018-09-11,16.65,16.9,16.35,16.35,178070
2018-09-10,15.85,16.7,15.75,16.4,294940
2018-09-07,15.4,15.9,15.3,15.7,89000
2018-09-06,15.35,15.45,15.1,15.25,54760
2018-09-05,15.25,15.55,15.2,15.45,73090
2018-09-04,15.4,15.65,15.25,15.25,29290
2018-08-31,15.9,15.9,15.3,15.3,66420
2018-08-30,15.7,15.9,15.55,15.9,61770
2018-08-29,15.6,15.7,15.5,15.5,13730
2018-08-28,15.6,16.0,15.6,15.7,48980
2018-08-27,15.8,16.1,15.55,15.85,134280
2018-08-24,15.2,15.7,15.2,15.6,127820
2018-08-23,15.2,15.2,15.0,15.2,36630
2018-08-22,15.35,15.35,15.0,15.2,75180
2018-08-21,15.1,15.35,15.0,15.1,73290
2018-08-20,15.3,15.4,15.0,15.1,49100
2018-08-17,15.6,15.6,15.3,15.3,48030
2018-08-16,15.6,15.7,15.3,15.3,66490
2018-08-15,14.9,15.7,14.9,15.6,177190
2018-08-14,15.25,15.25,14.9,14.9,226760
2018-08-13,15.75,15.75,15.1,15.25,258770
2018-08-10,15.2,15.4,15.2,15.2,82710
2018-08-09,15.3,15.55,15.2,15.3,106220
2018-08-08,15.2,15.7,15.2,15.6,55750
2018-08-07,15.6,15.8,15.4,15.6,41070
2018-08-06,15.6,15.85,15.5,15.75,37510
2018-08-03,15.55,15.9,15.4,15.6,268990
2018-08-02,16.2,16.2,15.2,15.75,149300
2018-08-01,16.5,16.5,16.1,16.1,117640
2018-07-31,16.65,16.85,16.0,16.6,150290
2018-07-30,16.5,16.7,16.3,16.65,52800
2018-07-27,16.3,16.6,16.0,16.5,47080
2018-07-26,16.7,16.8,16.4,16.4,40710
2018-07-25,16.6,16.8,16.3,16.8,95470
2018-07-24,17.3,17.9,16.9,16.9,112140
2018-07-23,17.9,18.4,17.1,17.9,115580
2018-07-20,17.4,18.5,17.4,18.0,125550
2018-07-19,16.5,17.6,16.5,17.6,366900
2018-07-18,16.0,16.45,16.0,16.45,50600
2018-07-17,16.3,16.45,16.1,16.1,69650
2018-07-16,16.4,16.9,16.2,16.4,37540
2018-07-13,16.9,16.9,16.35,16.4,30700
2018-07-12,16.3,16.75,16.2,16.3,32030
2018-07-11,16.9,17.0,16.2,16.6,40150
2018-07-10,16.7,17.0,16.6,16.9,165940
2018-07-09,16.75,16.75,16.3,16.45,15650
2018-07-06,16.6,16.6,15.8,16.0,105420
2018-07-05,16.1,16.85,16.0,16.3,222060
2018-07-04,15.7,16.0,15.7,16.0,61100
2018-07-03,15.8,16.2,15.7,15.8,113030
2018-07-02,15.8,16.0,15.3,15.8,37510
2018-06-29,15.6,16.0,15.5,15.8,18360
2018-06-28,16.0,16.0,15.5,15.8,20920
2018-06-27,16.0,16.4,16.0,16.1,30430
2018-06-26,16.5,16.5,16.05,16.25,4970
2018-06-25,16.7,16.7,16.2,16.5,16570
2018-06-22,16.0,16.9,16.0,16.7,149080
2018-06-21,15.9,16.3,15.6,16.0,7520
2018-06-20,15.5,16.2,15.35,16.0,57610
2018-06-19,15.3,16.1,14.8,15.5,98870
2018-06-18,16.8,16.8,15.8,15.8,14630
2018-06-15,16.5,16.9,16.5,16.8,62420
2018-06-14,16.6,16.7,16.35,16.55,7240
2018-06-13,16.2,16.7,16.2,16.6,162640
2018-06-12,15.7,16.2,15.45,16.0,130480
2018-06-11,17.1,17.3,16.2,16.3,102030
2018-06-08,17.2,17.3,16.85,17.3,50940
2018-06-07,16.6,17.65,16.4,17.5,188660
2018-06-06,16.55,16.55,16.0,16.5,62670
2018-06-05,15.6,16.5,15.35,16.5,158250
2018-06-04,15.5,15.75,15.0,15.5,103380
2018-06-01,15.2,15.75,14.9,15.5,168100
2018-05-31,14.7,15.05,14.7,14.85,84820
2018-05-30,14.7,15.0,14.6,14.7,167560
2018-05-29,15.0,15.0,14.1,14.7,96070
2018-05-28,15.7,15.7,14.6,14.6,184550
2018-05-25,15.8,15.9,15.5,15.5,55480
2018-05-24,15.5,16.05,15.5,15.8,43640
2018-05-23,15.5,15.9,15.2,15.5,49780
2018-05-22,16.3,16.6,15.6,15.65,162730
2018-05-21,17.3,17.3,16.6,16.7,44870
2018-05-18,16.8,17.2,16.65,17.15,88220
2018-05-17,17.8,17.8,17.2,17.2,12980
2018-05-16,17.1,18.0,17.0,17.8,79660
2018-05-15,16.7,17.1,16.7,17.0,21800
2018-05-14,16.5,17.1,16.5,16.95,28020
2018-05-11,16.4,17.0,16.4,16.95,44690
2018-05-10,16.6,17.2,16.6,16.95,19440
2018-05-09,17.0,17.4,17.0,17.15,23640
2018-05-08,17.45,17.5,17.0,17.0,33640
2018-05-07,16.4,17.5,16.4,17.4,41790
2018-05-04,16.0,16.4,15.9,16.4,84090
2018-05-03,16.3,16.5,16.0,16.0,99460
2018-05-02,17.05,17.5,16.5,16.5,27640
2018-04-27,16.5,17.15,16.5,17.05,23930
2018-04-26,17.35,17.6,16.7,17.0,66910
2018-04-24,17.4,17.6,17.3,17.35,279880
2018-04-23,19.0,20.0,18.55,18.55,227530
2018-04-20,20.1,20.35,19.7,19.9,28260
2018-04-19,20.4,20.4,19.6,20.0,34060
2018-04-18,20.2,20.8,20.0,20.4,37580
2018-04-17,19.7,20.2,19.7,20.2,109130
2018-04-16,19.7,19.9,19.5,19.6,66830
2018-04-13,20.5,20.5,19.6,20.0,22240
2018-04-12,19.6,21.0,19.6,20.5,64470
2018-04-11,21.0,21.2,20.5,20.5,361070
2018-04-10,23.0,23.1,21.55,22.0,115620
