date,open,high,low,close,volume
2018-09-14,36.3,37.5,36.1,37.0,261200
2018-09-13,36.6,36.6,36.0,36.3,202450
2018-09-12,36.2,37.2,36.1,36.4,272170
2018-09-11,33.8,36.2,33.8,36.2,461460
2018-09-10,33.5,34.5,33.3,33.85,112460
2018-09-07,33.55,33.95,33.2,33.55,131090
2018-09-06,34.0,34.1,33.2,33.55,172280
2018-09-05,33.9,34.2,32.2,34.0,293330
2018-09-04,34.1,35.0,33.8,33.9,153690
2018-08-31,34.4,34.55,33.9,34.05,217960
2018-08-30,35.2,35.2,34.0,34.5,195350
2018-08-29,33.8,34.5,33.6,34.4,185930
2018-08-28,32.1,33.5,31.95,33.3,265970
2018-08-27,31.55,32.0,31.55,31.6,236270
2018-08-24,31.9,31.95,31.3,31.55,152840
2018-08-23,32.2,32.25,31.6,31.75,150740
2018-08-22,31.4,32.5,31.05,31.6,183220
2018-08-21,30.7,31.35,30.7,31.35,331050
2018-08-20,29.4,30.95,29.4,30.2,138850
2018-08-17,28.8,30.25,28.8,29.4,104990
2018-08-16,27.8,28.4,27.7,28.4,80150
2018-08-15,27.35,28.3,27.35,27.8,34630
2018-08-14,27.85,28.0,27.75,27.75,33290
2018-08-13,28.6,28.6,28.1,28.2,15620
2018-08-10,29.0,29.0,28.6,28.6,112870
2018-08-09,29.3,29.5,28.85,29.0,29690
2018-08-08,29.0,29.0,28.6,29.0,33050
2018-08-07,28.2,29.0,28.2,28.6,52270
2018-08-06,29.39,29.78,29.3,29.57,97490
2018-08-03,29.39,29.78,29.22,29.3,43660
2018-08-02,29.66,29.66,28.87,29.39,63200
2018-08-01,30.44,30.87,29.31,29.57,89120
2018-07-31,31.3,31.73,30.21,30.22,145760
2018-07-30,31.3,32.39,31.3,31.43,57820
2018-07-27,31.83,32.57,31.83,31.91,73370
2018-07-26,31.39,32.0,31.3,31.61,166650
2018-07-25,30.96,31.74,30.96,31.3,127390
2018-07-24,30.83,30.96,30.09,30.96,109640
2018-07-23,30.83,30.92,29.57,30.83,167960
2018-07-20,29.48,30.0,29.13,29.57,103370
2018-07-19,30.17,30.69,29.13,29.13,88390
2018-07-18,28.7,30.39,28.7,30.17,123930
2018-07-17,29.04,29.13,28.69,29.13,15930
2018-07-16,29.04,29.13,28.69,29.04,43680
2018-07-13,28.7,29.13,28.53,29.04,42490
2018-07-12,28.7,29.05,28.44,28.7,45000
2018-07-11,28.61,28.7,28.09,28.7,69520
2018-07-10,28.26,28.7,28.18,28.61,33380
2018-07-09,29.74,29.74,28.61,28.61,39250
2018-07-06,28.52,29.57,28.52,29.48,23350
2018-07-05,29.57,29.66,28.48,29.09,117580
2018-07-04,29.74,29.74,28.78,29.57,33720
2018-07-03,30.86,31.04,29.56,29.74,73990
2018-07-02,29.3,30.43,28.7,30.43,160200
2018-06-29,28.69,30.39,28.26,30.0,344830
2018-06-28,28.96,29.22,28.26,28.52,116860
2018-06-27,31.04,31.04,29.22,29.22,145210
2018-06-26,31.3,31.3,29.48,30.61,183470
2018-06-25,31.83,32.09,31.57,31.65,37090
2018-06-22,32.09,32.35,31.31,31.83,87200
2018-06-21,32.17,32.3,31.91,32.09,65670
2018-06-20,33.04,33.04,31.91,32.17,68830
2018-06-19,32.43,33.74,31.56,32.17,222690
2018-06-18,33.66,33.66,33.13,33.13,71630
2018-06-15,33.13,33.91,33.13,33.83,67200
2018-06-14,33.74,33.91,33.04,33.13,118090
2018-06-13,33.48,33.74,33.35,33.74,58890
2018-06-12,34.35,34.35,32.7,33.48,188420
2018-06-11,34.3,34.69,34.26,34.35,79720
2018-06-08,35.13,35.13,34.43,34.43,169860
2018-06-07,34.78,36.09,34.78,35.13,411610
2018-06-06,34.61,34.7,34.0,34.35,105150
2018-06-05,34.7,35.57,34.44,34.7,216500
2018-06-04,34.35,34.7,34.09,34.61,112670
2018-06-01,33.83,35.22,33.48,34.35,94250
2018-05-31,33.22,34.35,33.22,33.83,72630
2018-05-30,33.21,33.74,33.04,33.48,127630
2018-05-29,32.17,33.57,32.0,33.04,140370
2018-05-28,34.35,34.39,32.0,32.0,319340
2018-05-25,35.66,36.53,34.4,34.39,161310
2018-05-24,35.39,35.65,34.61,34.7,114210
2018-05-23,33.91,34.95,33.48,34.61,138500
2018-05-22,34.78,35.13,33.65,33.91,248280
2018-05-21,37.31,37.31,34.87,34.91,64540
2018-05-18,35.65,35.65,34.87,35.57,69060
2018-05-17,34.87,36.44,34.78,35.65,153560
2018-05-16,35.91,35.91,34.78,34.87,74660
2018-05-15,34.27,35.92,34.27,35.91,179350
2018-05-14,33.66,33.83,33.14,33.57,99380
2018-05-11,33.92,34.18,33.13,33.57,100520
2018-05-10,34.83,34.87,34.09,34.09,151120
2018-05-09,34.44,35.65,34.35,34.96,132810
2018-05-08,34.0,34.69,33.91,34.35,159790
2018-05-07,33.3,34.78,33.04,34.52,127360
2018-05-04,34.78,35.22,33.91,34.0,165170
2018-05-03,34.61,34.61,32.22,34.52,680160
