date,open,high,low,close,volume
2018-07-18,3.4,3.6,3.4,3.5,360300
2018-07-17,3.4,3.5,3.3,3.5,278700
2018-07-16,3.4,3.5,3.4,3.4,117809
2018-07-13,3.4,3.4,3.3,3.4,102749
2018-07-12,3.3,3.4,3.3,3.4,83803
2018-07-11,3.4,3.5,3.3,3.3,208531
2018-07-10,3.4,3.5,3.4,3.4,361200
2018-07-09,3.4,3.5,3.4,3.4,169839
2018-07-06,3.4,3.5,3.4,3.5,449200
2018-07-05,3.5,3.5,3.3,3.4,91600
2018-07-04,3.5,3.5,3.4,3.5,71113
2018-07-03,3.7,3.7,3.5,3.5,207600
2018-07-02,3.8,3.8,3.6,3.7,263318
2018-06-29,3.8,3.8,3.7,3.8,26970
2018-06-28,3.9,3.9,3.7,3.8,216230
2018-06-27,4.22,4.31,4.13,4.31,259290
2018-06-26,4.22,4.22,4.13,4.22,164418
2018-06-25,4.13,4.31,4.13,4.22,289700
2018-06-22,4.22,4.22,4.13,4.13,178400
2018-06-21,4.22,4.31,4.13,4.22,270100
2018-06-20,4.13,4.31,4.13,4.31,184000
2018-06-19,4.4,4.4,4.13,4.22,484900
2018-06-18,4.31,4.4,4.22,4.31,144230
2018-06-15,4.31,4.4,4.22,4.31,149222
2018-06-14,4.31,4.49,4.31,4.4,122900
2018-06-13,4.31,4.49,4.31,4.4,344200
2018-06-12,4.4,4.4,4.12,4.31,433550
2018-06-11,4.5,4.5,4.32,4.4,105100
2018-06-08,4.59,4.59,4.41,4.5,232450
2018-06-07,4.5,4.78,4.41,4.59,874000
2018-06-06,4.22,4.59,4.13,4.5,361108
2018-06-05,4.22,4.31,4.13,4.22,350300
2018-06-04,4.13,4.22,4.13,4.22,246000
2018-06-01,4.04,4.13,4.04,4.13,94100
2018-05-31,4.04,4.22,4.04,4.04,135300
2018-05-30,4.13,4.13,4.04,4.13,196800
2018-05-29,3.94,4.12,3.85,4.13,247750
2018-05-28,4.13,4.13,3.85,3.94,124700
2018-05-25,4.13,4.22,4.13,4.13,205400
2018-05-24,4.13,4.22,4.04,4.13,81900
2018-05-23,4.04,4.22,4.04,4.13,160700
2018-05-22,4.22,4.22,4.04,4.13,226700
2018-05-21,4.22,4.31,4.13,4.22,200600
2018-05-18,4.22,4.31,4.13,4.31,219800
2018-05-17,4.31,4.4,4.22,4.22,168400
2018-05-16,4.41,4.5,4.22,4.4,192100
2018-05-15,4.22,4.59,4.22,4.5,539000
2018-05-14,4.13,4.22,4.13,4.22,144926
2018-05-11,4.04,4.13,4.04,4.13,125000
2018-05-10,4.13,4.13,4.04,4.04,252108
2018-05-09,4.13,4.22,4.04,4.13,240200
2018-05-08,4.13,4.22,3.94,4.13,378400
2018-05-07,4.31,4.31,4.04,4.22,651700
2018-05-04,4.31,4.31,4.13,4.22,172100
2018-05-03,4.5,4.5,4.22,4.31,141828
2018-05-02,4.5,4.5,4.32,4.5,761000
2018-04-27,4.5,4.59,4.32,4.5,144200
2018-04-26,4.68,4.77,4.31,4.5,641600
2018-04-24,4.77,4.86,4.68,4.77,104670
2018-04-23,4.95,5.04,4.77,4.77,191960
2018-04-20,5.05,5.05,4.87,4.95,250100
2018-04-19,5.23,5.23,4.95,5.05,445100
2018-04-18,5.41,5.5,5.23,5.23,230600
2018-04-17,5.5,5.5,5.32,5.41,280600
2018-04-16,5.59,5.59,5.32,5.41,83550
2018-04-13,5.41,5.78,5.41,5.41,283100
2018-04-12,5.41,5.5,5.32,5.41,230800
2018-04-11,5.51,5.69,5.32,5.41,396460
2018-04-10,5.96,5.96,5.59,5.6,639210
2018-04-09,5.69,6.15,5.69,5.96,963823
2018-04-06,5.14,5.6,5.14,5.6,968578
2018-04-05,5.14,5.14,5.05,5.14,316200
2018-04-04,4.96,5.14,4.96,5.14,674000
2018-04-03,5.05,5.05,4.87,5.05,267500
2018-04-02,5.05,5.14,4.96,5.05,140400
2018-03-30,5.14,5.14,4.96,5.14,152110
2018-03-29,5.14,5.14,4.96,5.05,199910
2018-03-28,5.23,5.23,5.05,5.14,168990
2018-03-27,5.32,5.32,5.14,5.14,206800
2018-03-26,5.23,5.32,5.14,5.23,185665
2018-03-23,5.32,5.32,5.13,5.23,288900
2018-03-22,5.41,5.41,5.32,5.41,183100
2018-03-21,5.41,5.5,5.32,5.41,158000
2018-03-20,5.59,5.59,5.41,5.5,124530
2018-03-19,5.5,5.59,5.41,5.5,91400
2018-03-16,5.59,5.59,5.41,5.41,159842
2018-03-15,5.6,5.6,5.51,5.5,149100
2018-03-14,5.51,5.6,5.51,5.6,135428
2018-03-13,5.6,5.69,5.51,5.6,123300
2018-03-12,5.6,5.69,5.51,5.6,13630
2018-03-09,5.69,5.78,5.6,5.6,108500
2018-03-08,5.6,5.69,5.51,5.69,35900
2018-03-07,5.6,5.6,5.51,5.6,131410
2018-03-06,5.51,5.6,5.42,5.6,107810
2018-03-05,5.69,5.69,5.51,5.6,129200
2018-03-02,5.69,5.69,5.51,5.69,104100
2018-03-01,5.69,5.69,5.51,5.69,196720
2018-02-28,5.69,5.78,5.6,5.6,104400
2018-02-27,5.78,5.78,5.6,5.6,136100
2018-02-26,5.87,5.87,5.69,5.78,250700
2018-02-23,5.87,5.87,5.78,5.78,52500
2018-02-22,5.87,5.87,5.78,5.87,35700
2018-02-21,5.96,5.96,5.78,5.78,87800
2018-02-13,5.87,5.87,5.78,5.87,50600
2018-02-12,5.69,5.87,5.69,5.78,387700
2018-02-09,5.69,5.78,5.6,5.69,70501
2018-02-08,5.87,5.87,5.69,5.78,158200
2018-02-07,5.69,5.87,5.69,5.78,126420
2018-02-06,5.87,5.96,5.41,5.69,253400
2018-02-05,6.15,6.15,5.97,5.96,121200
2018-02-02,6.15,6.15,6.06,6.06,70200
2018-02-01,6.24,6.24,6.15,6.24,107400
2018-01-31,6.24,6.33,6.15,6.24,132800
2018-01-30,6.24,6.24,6.06,6.24,122400
2018-01-29,6.33,6.33,6.15,6.24,168800
2018-01-26,6.51,6.51,6.23,6.24,180123
2018-01-25,6.6,6.69,6.42,6.51,150500
2018-01-22,6.61,6.61,6.33,6.42,256700
2018-01-19,6.42,6.7,6.42,6.61,491800
2018-01-18,6.61,6.61,6.43,6.42,332433
2018-01-17,6.7,6.7,6.42,6.61,181500
2018-01-16,6.7,6.79,6.61,6.7,265400
2018-01-15,6.7,6.79,6.7,6.7,212000
2018-01-12,6.88,6.97,6.7,6.79,222200
2018-01-11,6.79,6.88,6.7,6.79,308600
2018-01-10,6.79,6.88,6.79,6.79,180485
2018-01-09,6.88,6.97,6.69,6.79,410100
2018-01-08,6.97,7.06,6.88,6.97,232328
2018-01-05,7.16,7.16,6.98,7.06,298400
2018-01-04,7.16,7.16,7.07,7.16,137400
2018-01-03,7.06,7.34,6.97,7.16,686300
2018-01-02,7.16,7.25,6.98,7.06,341325
2017-12-29,6.97,7.25,6.88,7.16,294003
2017-12-28,6.88,6.97,6.79,6.97,154308
2017-12-27,6.88,6.97,6.79,6.88,95900
2017-12-26,6.88,6.88,6.79,6.88,170400
2017-12-25,6.97,6.97,6.79,6.88,83525
2017-12-22,6.97,6.97,6.79,6.97,126458
2017-12-21,6.97,6.97,6.88,6.97,65500
2017-12-20,7.06,7.06,6.78,6.97,322153
2017-12-19,7.06,7.15,6.88,7.06,465135
2017-12-18,7.15,7.15,6.97,7.06,196600
2017-12-15,7.25,7.34,7.07,7.06,364738
2017-12-14,6.7,7.25,6.7,7.16,832978
2017-12-13,6.7,6.7,6.61,6.7,206100
2017-12-12,6.79,6.79,6.61,6.7,180200
2017-12-11,6.79,6.88,6.79,6.79,257500
2017-12-08,6.79,6.88,6.7,6.88,208900
2017-12-07,6.79,6.88,6.7,6.79,128848
2017-12-06,6.7,6.79,6.61,6.79,154000
2017-12-05,6.79,6.88,6.7,6.79,170323
2017-12-04,6.88,6.97,6.79,6.88,257866
2017-12-01,6.97,6.97,6.69,6.88,310009
2017-11-30,6.88,6.97,6.88,6.97,111706
2017-11-29,6.88,7.06,6.88,6.88,113695
2017-11-28,6.98,7.16,6.88,7.06,284510
2017-11-27,6.79,7.16,6.79,7.16,483604
2017-11-24,6.33,7.06,6.33,6.79,662826
2017-11-23,6.33,6.42,6.33,6.42,28200
2017-11-22,6.42,6.51,6.33,6.42,185000
2017-11-21,6.42,6.51,6.33,6.42,100126
2017-11-20,6.42,6.51,6.33,6.51,95501
2017-11-17,6.42,6.51,6.33,6.42,117900
2017-11-16,6.33,6.51,6.33,6.42,114704
2017-11-15,6.51,6.51,6.33,6.42,160664
2017-11-14,6.33,6.51,6.33,6.51,206200
2017-11-13,6.51,6.6,6.33,6.33,192008
2017-11-10,6.51,6.51,6.42,6.42,53305
2017-11-09,6.52,6.61,6.43,6.51,99800
2017-11-08,6.43,6.61,6.43,6.61,127742
2017-11-07,6.52,6.61,6.43,6.61,192700
2017-11-06,6.33,6.7,6.33,6.61,301300
2017-11-03,6.33,6.33,6.15,6.33,75230
2017-11-02,6.24,6.42,6.24,6.33,85200
2017-11-01,6.42,6.42,6.24,6.42,32300
2017-10-31,6.42,6.51,6.33,6.42,88000
2017-10-30,6.42,6.51,6.42,6.42,125358
2017-10-27,6.33,6.51,6.33,6.42,56261
2017-10-26,6.42,6.51,6.33,6.42,156300
2017-10-25,6.42,6.51,6.33,6.33,107920
2017-10-24,6.42,6.51,6.42,6.51,78400
2017-10-23,6.51,6.51,6.42,6.51,209900
2017-10-20,6.7,6.7,6.52,6.51,143400
2017-10-19,6.79,6.79,6.61,6.7,127700
2017-10-18,6.79,6.79,6.7,6.79,36370
2017-10-17,6.79,6.79,6.7,6.79,180600
2017-10-16,6.79,6.79,6.61,6.79,79023
2017-10-13,6.7,6.79,6.61,6.79,44702
2017-10-12,6.79,6.79,6.7,6.7,62500
2017-10-11,6.88,6.88,6.7,6.79,128270
2017-10-10,6.88,6.88,6.79,6.88,52208
2017-10-09,6.88,6.97,6.79,6.79,109500
2017-10-06,6.79,6.88,6.79,6.88,113628
2017-10-05,6.79,6.88,6.79,6.79,131900
2017-10-04,6.88,6.88,6.7,6.79,70008
2017-10-03,6.88,6.97,6.7,6.79,155700
2017-10-02,6.88,6.88,6.79,6.88,101600
2017-09-29,6.88,6.88,6.79,6.79,169300
2017-09-28,6.88,6.97,6.79,6.79,287842
2017-09-27,6.97,6.97,6.79,6.79,216000
2017-09-26,7.06,7.06,6.97,6.97,100220
2017-09-25,7.15,7.15,6.97,7.06,93100
2017-09-22,7.06,7.06,6.97,7.06,38100
2017-09-21,7.16,7.16,6.98,7.06,119250
2017-09-20,7.16,7.16,6.98,7.16,147170
2017-09-19,7.16,7.16,7.07,7.16,87300
2017-09-18,7.06,7.24,7.06,7.16,124218
2017-09-15,7.06,7.06,6.97,7.06,9800
2017-09-14,6.97,7.15,6.97,6.97,230670
2017-09-13,6.97,7.06,6.97,7.06,148000
2017-09-12,6.88,7.06,6.88,6.97,159860
2017-09-11,6.97,7.06,6.88,6.88,72558
2017-09-08,7.06,7.15,6.97,7.06,176400
2017-09-07,7.07,7.16,7.07,7.06,191450
2017-09-06,7.16,7.16,7.07,7.16,93000
2017-09-05,7.25,7.25,7.07,7.16,233760
2017-09-01,7.16,7.25,7.16,7.25,64309
2017-08-31,7.25,7.34,7.16,7.25,66402
2017-08-30,7.43,7.43,7.15,7.25,214000
2017-08-29,7.34,7.52,7.34,7.43,298390
2017-08-28,7.34,7.42,7.25,7.34,245514
2017-08-25,7.34,7.43,7.26,7.25,129620
2017-08-24,7.43,7.43,7.34,7.43,275020
2017-08-23,7.51,7.51,7.34,7.43,233200
2017-08-22,7.43,7.52,7.34,7.51,304411
2017-08-21,7.43,7.43,7.34,7.43,22410
2017-08-18,7.43,7.52,7.34,7.43,209000
2017-08-17,7.51,7.6,7.34,7.43,369227
2017-08-16,7.51,7.51,7.42,7.51,273150
2017-08-15,7.69,7.69,7.43,7.51,334925
2017-08-14,7.77,7.77,7.34,7.6,901102
2017-08-11,7.25,7.34,7.25,7.34,114314
2017-08-10,7.25,7.42,7.25,7.34,258400
