date,adj_open,adj_high,adj_low,adj_close,volume
2018-03-30,,,,15.6,0
2018-03-29,,,,15.6,0
2018-03-28,,,,15.6,0
2018-03-27,,,,15.6,0
2018-03-26,,,,15.6,0
2018-03-23,,,,15.6,0
2018-03-22,15.6,15.6,15.6,15.6,100
2018-03-21,14.4,14.4,14.4,14.4,800
2018-03-20,,,,15.9,0
2018-03-19,,,,15.9,0
2018-03-16,15.9,15.9,15.9,15.9,183
2018-03-15,,,,15.4,0
2018-03-14,,,,15.4,0
2018-03-13,,,,15.4,0
2018-03-12,,,,15.4,0
2018-03-09,15.4,15.4,15.4,15.4,100
2018-03-08,,,,14.1,0
2018-03-07,,,,14.1,0
2018-03-06,14.1,14.1,14.1,14.1,100
2018-03-05,12.9,12.9,12.9,12.9,103
2018-03-02,11.8,11.8,11.8,11.8,30
2018-03-01,,,,11.8,0
2018-02-28,,,,11.8,0
2018-02-27,,,,11.8,0
2018-02-26,,,,11.8,0
2018-02-23,,,,11.8,0
2018-02-22,11.8,11.8,11.8,11.8,400
2018-02-21,,,,10.8,0
2018-02-13,10.8,10.8,10.8,10.8,500
2018-02-12,,,,9.9,0
2018-02-09,9.9,9.9,9.9,9.9,1000
2018-02-08,,,,11.0,0
2018-02-07,,,,11.0,0
2018-02-06,,,,11.0,0
2018-02-05,11.0,11.0,11.0,11.0,100
2018-02-02,,,,11.9,0
2018-02-01,11.9,11.9,11.9,11.9,100
2018-01-31,12.9,12.9,12.9,12.9,10
2018-01-30,,,,12.9,0
2018-01-29,12.9,12.9,12.9,12.9,100
2018-01-26,14.0,14.0,14.0,14.0,90
2018-01-25,,,,15.5,0
2018-01-22,,,,15.5,0
2018-01-19,,,,15.5,0
2018-01-18,,,,15.5,0
2018-01-17,15.5,15.5,15.5,15.5,2000
2018-01-16,,,,15.7,0
2018-01-15,15.7,15.7,15.7,15.7,500
2018-01-12,15.4,15.4,15.2,15.2,1200
2018-01-11,15.5,15.5,15.5,15.5,60
2018-01-10,,,,15.5,0
2018-01-09,,,,15.5,0
2018-01-08,15.5,15.5,15.5,15.5,50
2018-01-05,,,,15.5,0
2018-01-04,,,,15.5,0
2018-01-03,,,,15.5,0
2018-01-02,15.5,15.5,15.5,15.5,100
2017-12-29,,,,14.4,0
2017-12-28,14.4,14.4,14.4,14.4,100
2017-12-27,,,,13.2,0
2017-12-26,13.2,13.2,13.2,13.2,100
2017-12-25,12.3,12.3,12.0,12.0,1300
2017-12-22,12.7,12.7,12.6,12.6,3200
2017-12-21,13.9,13.9,13.9,13.9,900
2017-12-20,,,,14.4,0
2017-12-19,,,,14.4,0
2017-12-18,,,,14.4,0
2017-12-15,14.4,14.4,14.4,14.4,260
2017-12-14,14.8,14.8,14.4,14.4,700
2017-12-13,14.9,14.9,14.9,14.9,100
2017-12-12,,,,15.0,0
2017-12-11,,,,15.0,0
2017-12-08,15.0,15.0,15.0,15.0,33
2017-12-07,,,,15.0,0
2017-12-06,,,,15.0,0
2017-12-05,,,,15.0,0
2017-12-04,14.8,15.0,14.8,15.0,200
2017-12-01,,,,15.0,0
2017-11-30,15.0,15.0,15.0,15.0,33
2017-11-29,15.0,15.0,15.0,15.0,200
2017-11-28,15.0,15.0,15.0,15.0,1100
2017-11-27,15.0,15.0,15.0,15.0,200
2017-11-24,,,,15.5,0
