date,open,high,low,close,volume
2018-06-12,24.45,24.45,24.35,24.35,6120
2018-06-11,24.5,24.55,24.45,24.45,4580
2018-06-08,24.5,24.55,24.45,24.55,6910
2018-06-07,24.45,24.55,24.45,24.5,4070
2018-06-06,24.5,24.5,24.4,24.5,5090
2018-06-05,24.5,24.5,24.4,24.5,4490
2018-06-04,24.3,24.5,24.3,24.5,6140
2018-06-01,24.35,24.4,24.35,24.4,5570
2018-05-31,24.35,24.35,24.0,24.35,17630
2018-05-30,24.05,24.35,24.0,24.35,7460
2018-05-29,24.2,24.3,24.2,24.3,8960
2018-05-28,24.2,24.25,24.1,24.2,4410
2018-05-25,24.3,24.3,24.1,24.2,6350
2018-05-24,24.3,24.35,24.15,24.3,8410
2018-05-23,24.25,24.3,24.25,24.3,8580
2018-05-22,24.05,24.25,24.0,24.25,26050
2018-05-21,24.0,24.45,23.5,24.0,29590
2018-05-18,25.5,26.0,24.5,24.6,32250
2018-05-17,26.1,26.8,25.8,26.0,195340
2018-05-16,25.8,25.8,25.75,25.8,178780
2018-05-15,24.0,24.15,24.0,24.15,300
2018-05-14,22.6,22.6,22.6,22.6,500
2018-05-11,21.15,21.15,21.15,21.15,500
2018-05-10,19.8,19.8,19.8,19.8,100
