date,open,high,low,close,volume
2018-07-30,,,,9.0,0
2018-07-27,,,,9.0,0
2018-07-26,,,,9.0,0
2018-07-25,,,,9.0,0
2018-07-24,,,,9.0,0
2018-07-23,,,,9.0,0
2018-07-20,9.0,9.0,9.0,9.0,720
2018-07-19,9.5,9.5,9.0,9.0,10500
2018-07-18,9.5,9.5,9.5,9.5,5040
2018-07-17,,,,9.5,0
2018-07-16,9.2,9.5,9.2,9.5,4020
2018-07-13,,,,9.5,0
2018-07-12,9.5,9.5,9.5,9.5,5020
2018-07-11,9.2,9.5,9.2,9.5,410
2018-07-10,8.9,9.2,8.9,9.2,290
2018-07-09,,,,9.5,0
2018-07-06,,,,9.5,0
2018-07-05,9.1,9.5,9.1,9.5,4510
2018-07-04,9.4,9.5,9.0,9.1,20020
2018-07-03,9.5,9.5,9.5,9.5,20
2018-07-02,,,,9.5,0
2018-06-29,9.5,9.5,9.5,9.5,20
2018-06-28,10.1,10.1,10.1,10.1,10
2018-06-27,,,,9.7,0
2018-06-26,9.7,9.7,9.7,9.7,10
2018-06-25,,,,9.3,0
2018-06-22,,,,9.3,0
2018-06-21,9.3,9.3,9.3,9.3,1000
2018-06-20,9.9,9.9,9.9,9.9,10
2018-06-19,9.3,9.3,9.3,9.3,1010
2018-06-18,9.31,9.8,9.31,9.8,1020
2018-06-15,9.3,9.3,9.3,9.3,2640
2018-06-14,9.4,9.4,9.3,9.3,3160
2018-06-13,9.3,10.25,9.1,10.0,7230
2018-06-12,,,,9.6,0
2018-06-11,,,,9.6,0
2018-06-08,9.5,9.6,9.5,9.6,240
2018-06-07,10.2,10.2,10.2,10.2,200
2018-06-06,9.6,9.6,9.6,9.6,100
2018-06-05,9.5,9.51,9.5,9.51,1580
2018-06-04,,,,9.9,0
2018-06-01,9.6,9.9,9.5,9.9,660
2018-05-31,9.82,9.9,9.82,9.82,2490
2018-05-30,10.55,10.55,10.55,10.55,10
2018-05-29,,,,9.9,0
2018-05-28,9.22,9.9,9.22,9.9,1010
2018-05-25,9.8,9.9,9.8,9.9,2190
2018-05-24,10.4,10.4,10.4,10.4,10
2018-05-23,9.8,9.8,9.8,9.8,50
2018-05-22,9.91,9.91,9.91,9.91,10
2018-05-21,,,,10.65,0
2018-05-18,11.15,11.15,9.73,10.65,120
2018-05-17,11.95,11.95,10.45,10.45,8010
2018-05-16,11.2,11.2,11.2,11.2,10
2018-05-15,10.3,10.5,9.62,10.5,12920
2018-05-14,10.3,10.3,10.3,10.3,100
2018-05-11,,,,10.6,0
2018-05-10,10.2,10.6,10.2,10.6,42100
2018-05-09,10.95,10.95,10.8,10.95,7400
2018-05-08,,,,10.25,0
2018-05-07,,,,10.25,0
2018-05-04,10.25,10.25,10.25,10.25,10
2018-05-03,,,,9.6,0
2018-05-02,,,,9.6,0
2018-04-27,9.6,9.6,9.6,9.6,100
2018-04-26,,,,10.2,0
2018-04-24,,,,10.2,0
2018-04-23,,,,10.2,0
2018-04-20,10.0,10.2,10.0,10.2,8650
2018-04-19,9.5,10.15,9.5,10.15,2900
2018-04-18,9.5,9.5,9.5,9.5,200
2018-04-17,9.5,9.5,9.5,9.5,190
2018-04-16,,,,9.81,0
2018-04-13,10.0,10.25,9.81,9.81,20400
2018-04-12,9.6,10.25,9.6,10.25,9000
2018-04-11,9.6,10.05,9.6,9.6,34220
2018-04-10,9.41,9.41,9.4,9.4,7000
2018-04-09,9.4,9.8,9.4,9.41,3130
2018-04-06,9.6,9.9,9.4,9.5,29660
2018-04-05,,,,10.0,0
2018-04-04,9.8,10.0,9.3,10.0,1050
2018-04-03,10.0,10.0,9.77,9.77,4740
2018-04-02,10.5,10.5,10.5,10.5,10
2018-03-30,9.4,10.0,9.4,9.95,19630
2018-03-29,9.6,10.1,9.1,10.0,91100
2018-03-28,8.28,9.45,8.28,9.45,87080
2018-03-27,9.4,9.49,8.84,8.84,53710
2018-03-26,9.5,9.5,9.5,9.5,10
2018-03-23,9.76,9.76,8.6,9.3,14980
2018-03-22,9.14,9.14,9.0,9.14,56450
2018-03-21,8.55,8.56,8.55,8.55,13000
2018-03-20,7.8,8.0,7.8,8.0,43010
2018-03-19,8.4,8.4,8.2,8.2,2300
2018-03-16,8.5,8.6,8.1,8.1,9100
2018-03-15,8.5,8.5,8.5,8.5,10
2018-03-14,,,,8.5,0
2018-03-13,8.5,8.5,8.5,8.5,400
2018-03-12,8.4,8.49,8.4,8.49,1200
2018-03-09,8.55,8.55,8.15,8.15,1010
2018-03-08,8.7,8.7,8.7,8.7,70
2018-03-07,,,,8.36,0
2018-03-06,8.36,8.36,8.36,8.36,10
2018-03-05,7.76,7.83,7.75,7.82,13320
2018-03-02,,,,8.3,0
2018-03-01,8.3,8.3,8.2,8.3,4030
2018-02-28,8.6,8.6,8.3,8.3,2910
2018-02-27,8.36,8.36,8.36,8.36,16570
2018-02-26,8.8,8.8,7.82,7.82,2610
2018-02-23,8.4,8.4,8.4,8.4,1100
2018-02-22,8.87,8.87,8.87,8.87,30120
2018-02-21,,,,9.53,0
2018-02-13,9.53,9.53,9.53,9.53,20
2018-02-12,,,,8.92,0
2018-02-09,,,,8.92,0
2018-02-08,,,,8.92,0
2018-02-07,8.92,8.92,8.92,8.92,10
2018-02-06,,,,8.34,0
2018-02-05,7.6,8.34,7.6,8.34,110
2018-02-02,,,,7.8,0
2018-02-01,7.8,7.8,7.8,7.8,500
2018-01-31,8.0,8.0,8.0,8.0,1500
2018-01-30,8.0,8.0,8.0,8.0,3000
2018-01-29,8.3,8.3,8.3,8.3,3210
2018-01-26,7.91,8.6,7.91,8.6,40
2018-01-25,8.0,8.5,8.0,8.5,5090
2018-01-22,8.4,8.4,8.4,8.4,30
2018-01-19,8.25,8.25,8.01,8.01,15220
2018-01-18,8.0,8.0,8.0,8.0,4790
2018-01-17,8.6,8.6,8.6,8.6,500
2018-01-16,8.35,8.9,8.35,8.9,8500
2018-01-15,8.34,8.34,8.33,8.33,510
2018-01-12,7.8,8.13,7.8,7.8,5380
2018-01-11,7.35,8.4,7.35,7.6,8540
2018-01-10,8.0,8.3,7.87,7.87,8420
2018-01-09,8.46,8.46,8.46,8.46,2050
2018-01-08,9.09,9.09,9.09,9.09,10
2018-01-05,8.1,8.5,8.1,8.5,2010
2018-01-04,8.5,8.5,8.5,8.5,10
2018-01-03,6.98,8.0,6.98,8.0,120
2018-01-02,7.5,7.5,7.5,7.5,5680
2017-12-29,7.5,7.5,7.5,7.5,3310
2017-12-28,8.02,8.02,7.5,7.5,14910
2017-12-27,8.0,8.0,7.35,7.5,26070
2017-12-26,,,,7.9,0
2017-12-25,,,,7.9,0
2017-12-22,7.9,7.9,7.9,7.9,10
2017-12-21,7.44,7.44,7.44,7.44,130
2017-12-20,8.9,8.9,8.0,8.0,30
2017-12-19,,,,8.56,0
2017-12-18,8.56,8.56,8.56,8.56,10
2017-12-15,7.5,8.01,7.5,8.01,190
2017-12-14,7.5,7.5,7.5,7.5,1300
2017-12-13,6.55,7.49,6.52,7.01,13580
2017-12-12,6.9,7.3,6.9,7.0,5910
2017-12-11,7.91,7.91,6.89,7.4,8240
2017-12-08,6.45,7.4,6.45,7.4,12660
2017-12-07,6.89,7.5,6.89,6.92,2060
2017-12-06,7.5,7.5,7.4,7.4,970
2017-12-05,7.8,7.8,7.8,7.8,2000
2017-12-04,7.17,8.23,7.17,8.0,20650
2017-12-01,7.62,7.71,7.62,7.7,3380
2017-11-30,8.8,8.8,8.19,8.19,110
2017-11-29,,,,8.8,0
2017-11-28,8.8,8.8,8.7,8.8,300
2017-11-27,9.0,9.0,9.0,9.0,1610
2017-11-24,8.8,8.8,8.5,8.5,8410
2017-11-23,9.0,9.0,9.0,9.0,10010
2017-11-22,8.7,9.0,8.7,9.0,120
2017-11-21,9.0,9.0,9.0,9.0,10
2017-11-20,,,,9.0,0
2017-11-17,9.6,9.6,9.0,9.0,20450
2017-11-16,,,,9.0,0
2017-11-15,,,,9.0,0
2017-11-14,9.0,9.0,9.0,9.0,1660
2017-11-13,9.8,9.8,9.0,9.4,19110
2017-11-10,9.4,9.4,9.4,9.4,10
2017-11-09,9.0,9.2,8.7,9.2,8260
2017-11-08,8.2,9.0,8.2,9.0,12190
2017-11-07,8.5,8.5,8.2,8.5,4550
2017-11-06,8.0,8.17,8.0,8.17,21650
2017-11-03,7.64,7.64,7.64,7.64,2000
2017-11-02,7.9,8.2,7.85,8.2,950
2017-11-01,7.8,7.9,7.8,7.9,260
2017-10-31,8.0,8.0,7.5,7.5,430
2017-10-30,8.0,8.0,8.0,8.0,170
2017-10-27,8.5,8.5,8.5,8.5,20
2017-10-26,8.5,8.5,8.5,8.5,3260
2017-10-25,8.39,8.39,7.83,8.2,520
2017-10-24,8.58,8.58,8.2,8.2,1910
2017-10-23,8.07,8.67,8.07,8.67,4840
2017-10-20,8.06,8.67,8.06,8.67,520
2017-10-19,8.67,8.67,8.67,8.67,110
2017-10-18,8.38,8.66,8.38,8.67,6600
2017-10-17,9.32,9.32,8.15,8.16,20840
2017-10-16,8.89,8.89,8.76,8.76,9530
2017-10-13,7.92,8.31,7.77,8.31,31990
2017-10-12,7.74,7.77,7.74,7.77,8820
2017-10-11,7.17,7.45,7.08,7.27,5120
2017-10-10,7.46,7.46,7.46,7.45,550
2017-10-09,,,,7.27,0
2017-10-06,7.15,7.27,7.15,7.27,50
2017-10-05,8.01,8.39,7.63,7.64,15580
2017-10-04,,,,8.2,0
2017-10-03,7.8,8.2,7.8,8.2,1330
2017-10-02,8.38,8.38,7.73,8.39,6560
2017-09-29,,,,8.29,0
2017-09-28,8.13,9.32,8.13,8.29,10890
2017-09-27,8.14,8.74,8.14,8.74,16810
2017-09-26,8.75,8.75,8.75,8.75,10
2017-09-25,8.23,8.76,8.23,8.57,16770
2017-09-22,8.2,8.23,8.2,8.23,77480
2017-09-21,6.7,7.69,6.7,7.7,53100
2017-09-20,6.8,7.2,6.8,7.19,27580
2017-09-19,6.73,6.73,6.73,6.73,14780
2017-09-18,6.52,6.73,6.29,6.29,25300
2017-09-15,6.11,6.29,6.11,6.29,110
2017-09-14,5.88,5.88,5.88,5.88,10
2017-09-13,6.24,6.28,5.5,5.5,6100
2017-09-12,5.87,6.52,5.87,5.87,1740
2017-09-11,6.19,6.29,6.19,6.29,1020
2017-09-08,6.24,6.62,6.24,6.62,20
2017-09-07,,,,6.71,0
2017-09-06,6.24,6.71,6.24,6.71,370
2017-09-05,5.87,6.71,5.87,6.71,30
2017-09-01,6.71,6.71,6.28,6.28,50
2017-08-31,6.28,6.28,6.28,6.28,4000
2017-08-30,6.24,6.24,5.87,5.87,1100
2017-08-29,6.29,6.52,6.25,6.25,13800
2017-08-28,6.29,6.29,6.29,6.29,4990
2017-08-25,6.31,6.75,6.15,6.29,25100
2017-08-24,6.06,6.31,6.06,6.31,8210
2017-08-23,6.28,6.28,5.9,5.9,33440
2017-08-22,5.96,6.28,5.87,5.87,32740
2017-08-21,5.87,5.87,5.87,5.87,21300
2017-08-18,6.04,6.05,5.87,5.87,9070
2017-08-17,5.77,5.87,5.77,5.87,5000
2017-08-16,5.68,5.68,5.63,5.68,1080
2017-08-15,5.68,5.68,5.68,5.68,540
2017-08-14,5.3,5.68,5.3,5.68,1030
2017-08-11,,,,5.68,0
2017-08-10,,,,5.68,0
2017-08-09,,,,5.68,0
2017-08-08,,,,5.68,0
2017-08-07,,,,5.68,0
2017-08-04,,,,5.68,0
2017-08-03,,,,5.68,0
2017-08-02,,,,5.68,0
2017-08-01,,,,5.68,0
2017-07-31,,,,5.68,0
2017-07-28,,,,5.68,0
2017-07-27,5.78,5.78,5.69,5.68,130
2017-07-26,5.2,5.78,5.2,5.78,1310
2017-07-25,,,,5.59,0
2017-07-24,5.59,5.59,5.59,5.59,5700
2017-07-21,,,,5.87,0
2017-07-20,,,,5.87,0
2017-07-19,5.87,5.87,5.87,5.87,10
2017-07-18,,,,5.87,0
2017-07-17,5.6,5.87,5.6,5.87,130
2017-07-14,5.6,5.6,5.6,5.6,5270
2017-07-13,5.61,5.61,5.61,5.61,10
2017-07-12,,,,5.96,0
2017-07-11,5.69,5.97,5.64,5.96,5010
2017-07-10,6.06,6.06,6.06,6.06,10
2017-07-07,6.06,6.06,6.06,6.06,10
2017-07-06,5.73,5.77,5.73,5.78,17780
2017-07-05,5.42,5.42,5.42,5.42,100
2017-07-04,5.68,5.76,5.68,5.76,3020
2017-07-03,5.68,5.68,5.6,5.6,730
2017-06-30,,,,5.59,0
2017-06-29,,,,5.59,0
2017-06-28,5.76,5.76,5.59,5.59,1200
2017-06-27,5.76,5.76,5.76,5.76,10
2017-06-26,5.76,5.76,5.76,5.76,80
2017-06-23,,,,5.77,0
2017-06-22,5.77,5.77,5.77,5.77,210
2017-06-21,,,,5.78,0
2017-06-20,5.6,5.78,5.6,5.78,900
2017-06-19,,,,5.59,0
2017-06-16,5.59,5.59,5.59,5.59,230
