date,open,high,low,close,volume
2017-10-18,41.5,41.6,41.0,41.0,10500
2017-10-17,41.5,41.5,41.0,41.4,2900
2017-10-16,41.5,41.5,41.2,41.2,1300
2017-10-13,41.5,41.5,41.5,41.5,800
2017-10-12,41.5,41.5,41.3,41.5,2900
2017-10-11,41.4,41.5,41.3,41.5,4300
2017-10-10,41.4,41.5,41.3,41.5,8700
2017-10-09,41.7,41.7,41.3,41.7,8400
2017-10-06,41.9,41.9,41.7,41.7,16700
2017-10-05,42.3,42.3,41.5,41.7,14130
2017-10-04,41.3,42.0,41.3,41.9,7300
2017-10-03,41.7,41.8,41.2,41.3,52900
2017-10-02,43.0,43.0,41.2,41.7,85420
2017-09-29,43.7,43.8,43.1,43.5,1000
2017-09-28,43.1,44.0,43.0,43.5,18600
2017-09-27,43.5,43.5,43.0,43.1,24900
2017-09-26,44.5,44.5,43.5,43.5,27720
2017-09-25,45.0,45.2,44.5,44.5,7000
2017-09-22,43.0,44.5,43.0,44.5,41000
2017-09-21,43.0,43.1,42.5,43.0,15800
2017-09-20,42.6,43.0,42.5,43.0,15003
2017-09-19,42.0,42.9,41.8,42.5,30990
2017-09-18,41.4,42.2,41.3,42.0,33600
2017-09-15,41.2,41.9,41.2,41.8,6608
2017-09-14,41.2,42.3,41.2,41.3,9991
2017-09-13,41.86,41.86,41.15,41.36,83610
2017-09-12,42.36,42.36,41.79,41.86,36653
2017-09-11,42.5,42.79,42.22,42.36,33000
2017-09-08,42.29,42.79,42.29,42.36,5750
2017-09-07,42.5,42.5,41.5,42.5,39603
2017-09-06,42.86,42.86,42.5,42.5,36600
2017-09-05,42.93,43.15,42.65,42.93,33202
2017-09-01,43.14,43.28,42.85,42.86,20700
2017-08-31,43.14,43.36,43.07,43.14,38500
2017-08-30,43.14,43.28,43.0,43.0,16800
2017-08-29,42.93,43.14,42.79,43.14,18600
2017-08-28,42.21,43.57,42.14,42.93,69601
2017-08-25,42.0,42.14,41.57,42.14,13800
2017-08-24,41.57,42.28,41.57,42.14,24800
2017-08-23,42.43,42.5,41.58,41.57,45900
2017-08-22,41.57,42.36,41.43,42.29,39441
2017-08-21,40.86,41.65,40.08,41.43,29800
2017-08-18,40.29,40.29,40.08,40.29,3801
2017-08-17,40.5,40.57,40.07,40.29,11500
2017-08-16,40.79,41.36,40.36,40.5,20600
2017-08-15,41.28,41.71,40.71,40.79,31651
2017-08-14,38.57,40.72,38.57,40.71,86202
2017-08-11,37.93,37.93,37.86,37.93,5270
2017-08-10,38.5,38.5,37.85,37.93,3276
2017-08-09,38.21,38.21,37.86,38.14,14328
2017-08-08,38.28,38.85,38.21,38.5,12061
2017-08-07,38.29,38.86,37.93,38.21,24600
2017-08-04,37.65,38.93,37.65,38.86,21100
2017-08-03,37.64,37.93,37.28,37.86,13300
2017-08-02,37.86,37.86,37.29,37.64,26319
2017-08-01,39.14,39.35,37.85,37.86,23519
2017-07-31,39.29,39.64,39.07,39.21,61900
2017-07-28,39.29,39.65,39.29,39.5,50820
2017-07-27,38.5,39.64,38.43,39.29,114821
2017-07-26,37.14,38.5,37.14,38.5,60119
2017-07-25,37.15,37.22,36.79,37.07,33800
2017-07-24,37.0,37.28,36.78,37.29,45300
2017-07-21,38.57,38.86,36.5,37.14,44160
2017-07-20,34.93,38.36,34.93,38.07,94863
2017-07-19,34.93,34.93,34.86,34.93,4600
2017-07-18,34.86,34.93,34.86,34.86,6172
2017-07-17,35.21,35.21,34.85,34.86,17855
2017-07-14,35.21,35.21,35.07,35.14,10800
2017-07-13,35.14,35.21,35.14,35.21,18300
2017-07-12,35.14,35.35,35.14,35.21,5500
2017-07-11,35.14,35.14,35.07,35.14,4803
2017-07-10,35.14,35.21,35.14,35.14,6106
2017-07-07,35.43,35.43,35.14,35.14,6400
2017-07-06,35.07,35.28,35.07,35.07,13500
2017-07-05,35.21,35.28,35.0,35.07,7900
2017-07-04,34.85,35.14,34.85,35.14,2800
2017-07-03,34.57,34.86,34.57,34.71,300
2017-06-30,34.57,34.57,34.5,34.57,8606
2017-06-29,34.57,34.57,34.43,34.57,7100
2017-06-28,34.57,34.64,34.57,34.57,13100
2017-06-27,34.65,34.65,34.58,34.57,17500
2017-06-26,34.86,34.93,34.64,34.79,15800
2017-06-23,34.72,35.22,34.64,34.93,30762
2017-06-22,34.79,35.07,34.72,34.93,10400
2017-06-21,34.79,34.93,34.71,34.93,21480
2017-06-20,35.0,35.14,34.71,35.0,15500
2017-06-19,34.93,35.0,34.86,35.0,18210
2017-06-16,35.0,35.0,34.86,34.93,9800
2017-06-15,35.0,35.07,34.71,35.07,37900
2017-06-14,34.86,35.0,34.79,35.0,31100
2017-06-13,35.07,35.14,34.64,35.0,33800
2017-06-12,35.0,35.14,34.71,35.14,28700
2017-06-09,35.35,35.35,35.0,35.0,10000
2017-06-08,35.0,35.21,35.0,35.14,9200
2017-06-07,35.21,35.35,34.78,35.21,11300
2017-06-06,35.21,35.35,35.0,35.21,11450
2017-06-05,35.57,35.57,34.93,35.21,16300
2017-06-02,35.71,35.71,34.92,35.0,29500
2017-06-01,35.0,35.85,34.85,35.71,26453
2017-05-31,35.0,35.21,34.93,35.21,9547
2017-05-30,34.93,35.35,34.93,35.14,4485
2017-05-29,35.0,35.14,34.64,35.14,12600
2017-05-26,34.93,35.0,34.79,35.0,2710
2017-05-25,34.86,34.93,34.79,34.93,12519
2017-05-24,35.0,35.0,34.86,35.0,8500
2017-05-23,34.93,35.0,34.79,35.0,19500
2017-05-22,35.0,35.15,34.86,35.0,30500
2017-05-19,35.07,35.28,34.92,35.29,21900
2017-05-18,35.0,35.29,34.93,35.21,21150
2017-05-17,35.35,35.35,34.93,35.29,22511
2017-05-16,34.93,35.72,34.86,35.14,36700
2017-05-15,35.14,35.5,34.93,34.93,18001
2017-05-12,35.21,35.57,34.78,35.5,17808
2017-05-11,35.64,35.64,35.21,35.21,25900
2017-05-10,36.43,36.43,35.43,35.57,23436
2017-05-09,36.36,36.36,35.57,36.0,15951
2017-05-08,35.15,37.15,35.15,36.43,14600
2017-05-05,34.71,35.35,34.64,34.86,27440
2017-05-04,35.79,35.86,34.43,34.64,93449
2017-05-03,37.14,37.86,35.72,35.79,61940
2017-04-28,38.21,38.5,37.85,38.43,24400
2017-04-27,36.36,38.43,36.29,38.21,85100
2017-04-26,36.29,36.36,36.22,36.36,39900
2017-04-25,36.29,36.36,36.29,36.29,22600
2017-04-24,36.43,36.43,36.29,36.29,13640
2017-04-21,36.43,36.43,36.28,36.29,37600
2017-04-20,36.43,36.64,36.43,36.64,19600
2017-04-19,36.43,36.64,36.43,36.64,38000
2017-04-18,36.79,36.79,36.43,36.64,19900
2017-04-17,36.79,36.79,36.43,36.43,17650
2017-04-14,36.15,36.79,36.07,36.79,14300
2017-04-13,36.64,37.07,36.43,36.86,23900
2017-04-12,36.93,37.0,36.64,36.64,16500
2017-04-11,37.5,37.5,36.93,36.93,6200
2017-04-10,36.5,37.21,36.5,37.14,10900
2017-04-07,36.79,37.0,36.5,37.0,6400
2017-04-05,36.5,37.5,36.5,37.0,18600
2017-04-04,36.57,37.14,35.93,36.43,22700
2017-04-03,36.64,37.41,36.43,36.5,37800
2017-03-31,36.43,36.92,36.43,36.64,24300
2017-03-30,37.48,37.48,36.43,36.78,54600
2017-03-29,37.48,37.97,37.34,37.62,11200
2017-03-28,38.39,38.39,37.48,37.48,27100
2017-03-27,37.83,40.84,37.83,38.04,69900
2017-03-24,37.13,37.13,36.85,37.13,20920
2017-03-23,36.99,37.13,36.78,36.92,23116
2017-03-22,37.83,38.18,36.99,36.99,26810
2017-03-21,36.85,38.25,36.85,37.9,92060
2017-03-20,37.48,37.48,36.78,36.85,28400
2017-03-17,38.11,38.11,36.92,37.48,35800
2017-03-16,38.39,38.46,37.83,38.18,49000
2017-03-15,38.18,38.88,37.9,38.39,43500
2017-03-14,36.43,38.39,36.36,38.18,118923
2017-03-13,36.64,36.78,36.22,36.57,52600
2017-03-10,34.68,37.13,34.68,36.71,103999
2017-03-09,33.7,34.68,33.7,34.54,22030
2017-03-08,33.98,33.98,33.42,33.63,23300
2017-03-07,33.42,33.98,33.42,33.84,16550
2017-03-06,33.77,33.84,33.28,33.42,29990
2017-03-03,33.91,33.91,33.77,33.77,15600
2017-03-02,33.91,33.98,33.91,33.91,5900
2017-03-01,33.91,33.98,33.84,33.91,17000
2017-02-28,34.05,34.26,33.91,33.91,7060
2017-02-27,33.98,33.98,33.7,33.98,11000
2017-02-24,34.19,34.33,33.91,33.98,5600
2017-02-23,33.98,34.26,33.84,34.19,5400
2017-02-22,34.68,34.68,33.84,33.91,38900
2017-02-21,35.03,35.03,34.68,34.96,33600
2017-02-20,34.4,35.24,34.4,35.03,37500
2017-02-17,34.54,34.54,33.91,34.33,36400
2017-02-16,33.7,34.54,33.56,34.4,29210
2017-02-15,31.46,33.84,31.46,33.7,20800
2017-02-14,34.05,34.12,33.77,33.77,15605
2017-02-13,34.19,34.26,34.12,34.19,13650
2017-02-10,34.33,34.54,34.19,34.33,9567
2017-02-09,34.33,34.89,32.93,34.54,13650
2017-02-08,34.68,34.68,34.19,34.54,22901
2017-02-07,35.1,35.1,34.47,34.47,56700
2017-02-06,35.03,35.1,34.75,35.1,18305
2017-02-03,35.03,35.03,34.68,34.96,15400
2017-02-02,35.73,35.73,34.89,35.03,26500
2017-01-25,35.03,35.38,34.33,35.38,24500
2017-01-24,35.73,35.94,35.03,35.45,18701
2017-01-23,35.17,35.87,35.17,35.73,20360
2017-01-20,34.96,35.03,32.23,35.03,121741
2017-01-19,31.88,31.88,31.88,31.88,3160
