date,open,high,low,close,volume
2018-04-20,63.0,63.0,62.6,63.0,1580
2018-04-19,62.5,63.0,62.5,62.9,3870
2018-04-18,62.5,63.0,62.5,62.5,6310
2018-04-17,62.9,63.5,62.9,62.9,10610
2018-04-16,63.5,63.5,62.9,62.9,3460
2018-04-13,65.0,65.0,62.9,62.9,11880
2018-04-12,64.0,64.0,62.1,62.9,29440
2018-04-11,63.0,63.1,62.6,63.0,8520
2018-04-10,63.5,63.5,62.6,62.6,29130
2018-04-09,63.5,63.5,63.0,63.5,40620
2018-04-06,63.0,63.4,62.9,63.0,2910
2018-04-05,63.5,63.5,62.8,62.8,4550
2018-04-04,63.5,63.5,63.3,63.3,1190
2018-04-03,63.0,63.1,63.0,63.0,16900
2018-04-02,63.0,63.8,62.7,63.0,14690
2018-03-30,63.0,63.0,63.0,63.0,2210
2018-03-29,63.5,63.5,63.0,63.0,8280
2018-03-28,62.8,63.0,62.7,63.0,6050
2018-03-27,63.0,63.6,63.0,63.5,27500
2018-03-26,63.5,63.8,63.5,63.5,11630
2018-03-23,62.5,63.9,62.5,63.8,2760
2018-03-22,63.7,63.7,63.4,63.5,6790
2018-03-21,64.3,64.3,63.4,63.4,21330
2018-03-20,63.0,63.5,63.0,63.4,4400
2018-03-19,64.0,64.0,63.0,63.0,11910
2018-03-16,62.6,63.5,63.0,63.5,11000
2018-03-15,63.0,63.5,62.5,62.6,7410
2018-03-14,62.0,63.1,62.0,63.0,11460
2018-03-13,63.0,63.0,63.0,63.0,12500
2018-03-12,63.5,63.5,62.5,63.5,17410
2018-03-09,63.5,63.5,63.4,63.4,17210
2018-03-08,63.5,63.5,63.5,63.5,15130
2018-03-07,63.7,63.7,63.2,63.5,29360
2018-03-06,63.7,63.7,63.5,63.7,22920
2018-03-05,64.3,64.3,63.5,63.5,20640
2018-03-02,63.9,63.9,63.5,63.8,8920
2018-03-01,63.4,64.0,63.0,63.9,9830
2018-02-28,63.4,63.4,61.9,63.4,22290
2018-02-27,62.0,63.5,61.0,63.5,37640
2018-02-26,62.6,62.6,61.8,62.0,53980
2018-02-23,63.7,63.7,62.6,62.6,9020
2018-02-22,63.0,63.5,63.0,63.0,18430
2018-02-21,62.5,63.0,62.5,63.0,22970
2018-02-13,62.6,63.0,62.6,63.0,14050
2018-02-12,63.0,63.0,62.0,62.6,11190
2018-02-09,58.5,62.2,58.5,61.5,6570
2018-02-08,61.5,62.8,61.5,61.9,13580
2018-02-07,64.0,64.0,63.0,63.0,11980
2018-02-06,61.4,62.0,59.0,61.4,31900
2018-02-05,62.0,63.5,62.0,62.0,9350
2018-02-02,64.0,64.0,63.5,64.0,13890
2018-02-01,65.0,65.0,64.0,64.9,6860
2018-01-31,65.0,65.0,62.0,64.5,28190
2018-01-30,61.8,65.0,61.8,64.6,42780
2018-01-29,65.0,65.5,64.1,65.0,25830
2018-01-26,64.4,65.5,64.4,65.5,8400
2018-01-25,66.0,66.0,64.4,64.4,62660
2018-01-22,65.6,67.0,65.0,65.4,25060
2018-01-19,67.4,67.4,67.0,67.2,19910
2018-01-18,67.0,67.0,65.5,67.0,9360
2018-01-17,67.5,67.5,67.0,67.0,1210
2018-01-16,68.9,68.9,67.0,67.8,7820
2018-01-15,66.2,68.4,66.0,68.4,28510
2018-01-12,66.0,66.5,65.7,66.0,31050
2018-01-11,66.3,66.3,65.7,66.0,12710
2018-01-10,65.7,66.5,65.7,66.3,34110
2018-01-09,65.8,65.9,65.5,65.7,21060
2018-01-08,65.0,65.8,65.0,65.8,5110
2018-01-05,66.0,66.1,65.5,65.5,9630
2018-01-04,66.0,66.2,66.0,66.0,29740
2018-01-03,66.2,66.2,65.0,66.0,41890
2018-01-02,65.5,65.5,64.5,65.5,4770
2017-12-29,65.9,66.1,65.0,66.0,8230
2017-12-28,65.0,65.9,65.0,65.9,6440
2017-12-27,65.2,65.8,65.0,65.8,5900
2017-12-26,66.5,66.5,65.0,65.2,8920
2017-12-25,66.2,66.8,65.0,66.0,5720
2017-12-22,65.5,66.5,65.5,66.2,9910
2017-12-21,65.3,65.5,65.3,65.3,13850
2017-12-20,66.0,66.2,65.5,66.0,9930
2017-12-19,65.5,66.3,65.5,66.2,9540
2017-12-18,66.5,66.6,65.5,66.4,17380
2017-12-15,65.0,66.5,65.0,66.5,19410
2017-12-14,65.0,65.0,64.5,65.0,24010
2017-12-13,66.0,66.0,64.0,65.0,22350
2017-12-12,66.2,66.2,63.5,64.0,27360
2017-12-11,66.3,66.7,66.0,66.0,4930
2017-12-08,66.7,67.0,66.6,66.8,15580
2017-12-07,66.9,66.9,66.0,66.5,17270
2017-12-06,66.0,66.7,65.5,66.3,6200
2017-12-05,66.7,66.7,66.3,66.3,10750
2017-12-04,66.3,66.7,66.3,66.7,27590
2017-12-01,66.5,66.8,66.0,66.3,19020
2017-11-30,67.2,67.9,66.5,66.8,15470
2017-11-29,66.0,67.7,66.0,66.8,8150
2017-11-28,66.5,67.5,66.0,66.5,19520
2017-11-27,67.39,67.49,65.6,66.0,23790
2017-11-24,66.5,67.39,66.3,67.39,22880
2017-11-23,68.09,68.09,67.09,67.39,21070
2017-11-22,67.49,69.48,67.49,68.98,24790
2017-11-21,72.45,72.45,66.49,67.69,73670
2017-11-20,69.97,73.84,69.47,70.96,131320
2017-11-17,67.49,69.47,66.1,69.47,67530
2017-11-16,66.99,67.98,66.79,67.49,66190
2017-11-15,64.41,66.99,63.02,66.99,119270
2017-11-14,63.02,64.41,62.62,62.62,23570
2017-11-13,62.43,63.03,62.03,63.02,16820
2017-11-10,62.53,62.53,61.83,62.43,4200
2017-11-09,63.02,63.02,62.42,62.43,11550
2017-11-08,62.03,63.02,62.03,62.52,4780
2017-11-07,63.02,63.02,62.42,63.02,4080
2017-11-06,61.73,62.72,61.53,62.72,17310
2017-11-03,61.53,62.03,61.34,62.03,17420
2017-11-02,62.33,62.33,61.83,62.03,14850
2017-11-01,61.83,62.13,61.83,62.03,6510
2017-10-31,61.14,62.03,61.14,61.83,8470
2017-10-30,62.52,62.52,61.63,61.83,20920
2017-10-27,61.93,63.22,61.93,63.02,2300
2017-10-26,62.52,63.42,61.83,62.82,12410
2017-10-25,62.52,63.02,62.52,63.02,12040
2017-10-24,62.52,63.02,62.02,62.52,11240
2017-10-23,63.72,64.02,62.53,62.62,16930
2017-10-20,64.41,64.51,63.42,63.42,18740
2017-10-19,63.02,66.0,62.52,65.4,28600
2017-10-18,63.02,63.02,63.02,63.02,4220
2017-10-17,63.02,63.42,63.02,63.02,6850
2017-10-16,62.03,63.82,61.93,63.02,26210
2017-10-13,61.83,62.53,61.83,62.13,1630
2017-10-12,61.83,62.23,61.73,62.23,4130
2017-10-11,62.13,62.33,62.03,62.03,18450
2017-10-10,62.13,62.23,62.13,62.13,12210
2017-10-09,62.13,62.53,62.13,62.13,7720
2017-10-06,63.32,63.32,62.13,62.13,6430
2017-10-05,62.32,62.92,62.32,62.92,1230
2017-10-04,62.03,63.22,62.03,62.52,5560
2017-10-03,62.52,63.02,62.02,63.02,12750
2017-10-02,62.52,62.72,61.83,62.62,7030
2017-09-29,61.33,62.52,61.33,62.52,33990
2017-09-28,61.53,61.83,61.33,61.83,6330
2017-09-27,61.83,61.83,61.23,61.83,27900
2017-09-26,62.43,62.43,61.34,61.83,110410
2017-09-25,61.54,62.53,61.54,62.03,68090
2017-09-22,62.53,63.32,62.13,62.23,7320
2017-09-21,62.52,63.31,62.22,63.32,15220
2017-09-20,63.02,63.41,62.52,62.52,16080
