date,open,high,low,close,volume,adj_close
2018-03-30,63.0,64.0,61.5,61.9,5900,61.9
2018-03-29,61.0,61.5,60.0,61.0,5700,61.0
2018-03-28,58.7,58.7,58.7,58.7,200,58.7
2018-03-27,58.0,59.0,58.0,58.7,9700,58.7
2018-03-26,59.0,62.0,58.0,58.0,15300,58.0
2018-03-23,61.0,61.0,58.0,59.0,18200,59.0
2018-03-22,62.0,62.0,62.0,62.0,1100,62.0
2018-03-21,62.5,62.5,61.7,62.4,7400,62.4
2018-03-20,65.0,67.0,62.4,62.4,400,62.4
2018-03-19,63.9,66.0,62.0,64.0,2500,64.0
2018-03-16,64.0,65.0,61.7,62.0,11500,62.0
2018-03-15,62.0,63.7,62.0,63.7,2500,63.7
2018-03-14,62.0,63.0,62.0,62.0,8200,62.0
2018-03-13,62.0,62.7,61.9,62.5,4500,62.5
2018-03-12,61.5,62.5,61.5,62.5,13900,62.5
2018-03-09,61.4,62.0,61.3,61.6,10900,61.6
2018-03-08,62.0,62.0,61.6,61.6,6500,61.6
2018-03-07,61.8,62.0,61.7,61.8,12700,61.8
2018-03-06,61.9,63.9,61.6,63.9,8400,63.9
2018-03-05,63.0,65.0,61.7,65.0,6200,65.0
2018-03-02,61.4,63.5,61.4,63.0,4100,63.0
2018-03-01,68.0,68.0,62.0,62.0,5900,62.0
2018-02-28,64.5,66.5,64.0,66.5,10400,66.5
2018-02-27,68.0,68.0,63.5,63.5,7870,63.5
2018-02-26,63.0,65.0,63.0,65.0,3000,65.0
2018-02-23,63.5,65.9,62.5,63.0,6500,63.0
2018-02-22,63.0,65.8,63.0,65.7,7300,65.7
2018-02-21,67.0,68.5,61.5,65.8,1300,65.8
2018-02-13,63.0,65.0,61.6,62.4,7200,62.4
2018-02-12,61.0,61.5,59.0,61.5,4900,61.5
2018-02-09,58.0,60.9,58.0,60.9,1400,60.9
2018-02-08,63.4,63.4,61.0,61.0,6800,61.0
2018-02-07,63.4,63.4,60.0,61.8,10600,61.8
2018-02-06,60.5,62.9,57.5,61.8,51200,61.8
2018-02-05,62.5,63.8,61.0,63.8,4100,63.8
2018-02-02,65.0,65.0,61.2,63.9,2100,63.9
2018-02-01,64.1,66.0,63.9,63.9,17900,63.9
2018-01-31,65.5,71.0,63.0,71.0,13500,71.0
2018-01-30,66.0,66.0,61.0,64.8,8200,64.8
2018-01-29,70.0,71.9,65.0,66.0,58100,66.0
2018-01-26,69.8,71.9,69.5,71.9,3300,71.9
2018-01-25,75.0,75.0,69.6,71.9,1000,71.9
2018-01-24,70.5,71.3,69.5,71.3,1500,71.3
2018-01-23,70.8,72.0,70.8,71.0,19500,71.0
2018-01-22,71.3,71.3,69.0,71.0,9700,71.0
2018-01-19,69.4,70.5,69.4,70.5,8200,70.5
2018-01-18,69.9,69.9,68.0,68.0,2700,68.0
2018-01-17,68.2,69.9,68.0,68.0,12700,68.0
2018-01-16,68.4,69.0,68.1,68.7,16000,68.7
2018-01-15,66.0,68.5,65.7,68.5,17300,68.5
2018-01-12,64.8,66.5,64.8,66.0,7500,66.0
2018-01-11,66.5,66.5,64.0,65.3,5800,65.3
2018-01-10,66.5,66.5,65.0,65.1,8500,65.1
2018-01-09,65.5,66.5,65.0,66.5,5800,66.5
2018-01-08,66.0,66.0,65.1,65.4,700,65.4
2018-01-05,65.2,66.8,65.0,66.6,5700,66.6
2018-01-04,68.0,68.0,65.0,66.9,2600,66.9
2018-01-03,65.4,66.0,65.3,65.5,4500,65.5
2018-01-02,66.0,67.0,65.5,67.0,10700,67.0
2017-12-29,68.9,68.9,66.0,67.2,5300,67.2
2017-12-28,66.5,68.0,66.5,67.0,3800,67.0
2017-12-27,69.0,69.0,68.0,68.2,1500,68.2
2017-12-26,65.7,68.9,65.0,68.9,3900,68.9
2017-12-25,66.0,66.9,65.0,66.9,12600,66.9
2017-12-22,68.6,69.0,68.5,69.0,1500,69.0
2017-12-21,66.5,70.0,66.5,69.3,15200,69.3
2017-12-20,65.9,66.9,65.9,66.9,5500,66.9
2017-12-19,65.8,66.0,65.0,66.0,6100,66.0
2017-12-18,65.0,66.0,65.0,65.8,1800,65.8
2017-12-15,65.0,66.0,65.0,66.0,5900,66.0
2017-12-14,65.0,66.0,65.0,66.0,14100,66.0
2017-12-13,65.5,66.0,65.0,65.0,6570,65.0
2017-12-12,65.6,66.9,65.0,66.9,8900,66.5
2017-12-11,68.0,68.0,65.4,66.5,1800,66.5
2017-12-08,67.5,67.5,65.2,66.0,7500,66.0
2017-12-07,66.1,66.5,66.0,66.0,3100,66.0
2017-12-06,69.0,69.0,66.1,66.1,7100,66.5
2017-12-05,68.0,68.1,66.5,66.5,1400,66.5
2017-12-04,67.5,68.3,67.5,68.3,300,68.3
2017-12-01,67.1,68.5,66.5,68.5,7100,68.5
2017-11-30,67.1,67.2,67.0,67.1,2300,67.1
2017-11-29,67.1,68.0,67.0,68.0,6600,68.0
2017-11-28,67.7,72.0,67.0,68.0,4600,68.0
2017-11-27,68.0,68.0,67.0,67.8,1300,67.8
2017-11-24,68.0,68.0,67.0,67.7,2400,67.7
2017-11-23,68.9,68.9,67.0,67.0,2300,67.0
2017-11-22,66.6,68.5,66.6,68.5,4200,68.5
2017-11-21,66.2,68.0,65.4,68.0,6900,68.0
2017-11-20,68.0,69.9,65.0,69.9,20400,69.9
2017-11-17,71.0,71.0,69.0,71.0,2700,71.0
2017-11-16,71.3,71.3,71.0,71.0,1500,71.0
2017-11-15,74.0,74.0,70.0,71.3,2700,71.3
2017-11-14,72.5,72.5,69.8,71.4,1200,71.4
2017-11-13,74.0,74.0,68.5,69.9,5600,69.9
2017-11-10,71.5,71.5,68.0,68.5,10100,68.5
2017-11-09,70.0,70.0,68.5,68.5,4830,68.5
2017-11-08,68.0,68.5,66.1,67.9,11000,67.9
2017-11-07,67.3,68.8,67.0,68.0,7600,68.0
2017-11-06,65.1,68.8,65.0,68.8,14600,68.8
2017-11-03,69.0,69.0,65.0,65.0,2100,65.0
2017-11-02,68.1,68.1,66.1,66.1,11300,66.1
2017-11-01,70.0,71.0,68.9,68.9,5500,68.9
2017-10-31,70.0,70.0,66.0,69.0,9200,69.0
2017-10-30,72.0,75.0,71.1,71.1,47200,71.1
2017-10-27,78.0,79.0,78.0,79.0,2400,79.0
2017-10-26,77.5,79.0,77.5,79.0,4300,79.0
2017-10-25,79.0,80.0,78.5,78.8,4400,78.8
2017-10-24,82.0,82.0,78.0,78.5,10600,78.5
2017-10-23,77.0,77.8,77.0,77.8,2800,77.8
2017-10-20,78.5,78.5,77.0,77.0,3800,77.0
2017-10-19,79.5,79.5,75.1,78.5,9500,78.5
2017-10-18,79.9,79.9,75.1,75.1,3100,75.1
2017-10-17,76.0,80.0,72.0,79.0,32500,79.0
2017-10-16,70.0,74.0,70.0,74.0,33400,74.0
2017-10-13,67.5,68.5,67.5,67.5,2400,67.5
2017-10-12,68.0,69.0,67.5,67.5,3000,67.5
2017-10-11,66.8,67.5,66.8,67.5,4600,67.5
2017-10-10,66.8,66.8,66.6,66.8,8200,66.8
2017-10-09,66.4,67.0,66.0,67.0,16300,67.0
2017-10-06,67.0,67.0,66.5,66.5,1900,66.5
2017-10-05,67.0,67.0,67.0,67.0,0,67.0
2017-10-04,67.3,67.3,67.0,67.0,500,67.0
2017-10-03,67.5,67.7,66.5,67.4,9200,67.4
2017-10-02,67.0,68.5,66.0,67.4,4400,67.4
2017-09-29,66.6,66.8,66.6,66.7,1900,66.7
