date,open,high,low,close,volume
2018-05-16,9.9,9.9,9.75,9.89,183210
2018-05-15,9.9,10.0,9.89,9.89,47450
2018-05-14,10.0,10.0,9.86,10.0,103010
2018-05-11,10.0,10.1,9.86,10.05,70050
2018-05-10,10.0,10.25,9.95,9.95,146140
2018-05-09,10.15,10.3,10.0,10.1,130770
2018-05-08,10.4,10.45,10.1,10.3,138660
2018-05-07,9.99,10.5,9.91,10.4,728930
2018-05-04,9.8,10.0,9.8,9.82,25800
2018-05-03,9.82,10.0,9.5,9.8,155220
2018-05-02,9.81,10.1,9.81,9.81,212500
2018-04-27,9.96,10.1,9.81,10.1,167890
2018-04-26,9.96,10.35,9.94,9.96,170250
2018-04-24,10.1,10.5,10.1,10.4,156130
2018-04-23,10.1,10.5,9.99,10.1,678550
2018-04-20,9.88,9.99,9.85,9.94,77890
2018-04-19,10.0,10.0,9.8,9.9,202470
2018-04-18,10.15,10.15,9.93,10.0,185380
2018-04-17,10.0,10.2,9.98,10.05,85700
2018-04-16,10.2,10.2,9.93,10.2,30680
2018-04-13,9.81,10.25,9.81,10.2,146270
2018-04-12,9.62,10.0,9.62,9.8,129660
2018-04-11,10.15,10.15,9.7,9.9,231940
2018-04-10,10.3,10.3,9.97,9.97,72600
2018-04-09,10.4,10.55,10.2,10.2,235550
2018-04-06,9.8,10.4,9.8,10.4,609720
2018-04-05,9.89,9.89,9.6,9.75,38850
2018-04-04,9.66,9.9,9.65,9.7,125360
2018-04-03,9.65,9.9,9.5,9.9,133120
2018-04-02,9.75,9.8,9.6,9.69,45540
2018-03-30,9.8,9.9,9.6,9.8,175790
2018-03-29,9.81,9.88,9.77,9.8,135740
2018-03-28,9.9,9.9,9.78,9.85,118150
2018-03-27,9.85,10.0,9.85,9.88,110770
2018-03-26,9.98,9.98,9.8,9.9,42760
2018-03-23,9.7,10.0,9.5,9.98,119480
2018-03-22,10.1,10.5,9.6,10.15,129570
2018-03-21,10.2,10.2,10.0,10.15,51660
2018-03-20,10.05,10.3,10.0,10.2,51230
2018-03-19,10.1,10.2,10.05,10.05,51290
2018-03-16,10.05,10.3,10.05,10.05,39370
2018-03-15,9.98,10.3,9.98,10.3,85420
2018-03-14,9.96,10.2,9.96,9.98,28150
2018-03-13,10.0,10.0,9.92,10.0,104540
2018-03-12,10.0,10.2,10.0,10.0,103980
2018-03-09,10.1,10.25,10.0,10.1,83390
2018-03-08,10.1,10.15,9.95,10.1,85730
2018-03-07,10.05,10.2,9.95,10.15,121480
2018-03-06,10.15,10.3,9.9,10.15,115320
2018-03-05,10.15,10.3,10.0,10.2,138300
2018-03-02,10.25,10.3,10.15,10.25,96530
2018-03-01,10.25,10.35,10.2,10.3,53620
2018-02-28,10.2,10.5,10.2,10.35,210450
2018-02-27,10.5,10.5,10.3,10.45,91150
2018-02-26,10.6,10.75,10.45,10.6,183480
2018-02-23,10.15,10.6,10.15,10.6,217170
2018-02-22,10.2,10.3,10.15,10.2,122540
2018-02-21,10.15,10.3,10.1,10.3,62530
2018-02-13,10.0,10.15,9.92,10.15,273390
2018-02-12,9.99,10.1,9.72,10.1,205080
2018-02-09,9.31,9.91,9.31,9.9,57240
2018-02-08,9.81,9.97,9.7,9.91,348000
2018-02-07,9.52,10.0,9.52,9.98,333030
2018-02-06,9.5,9.5,8.86,9.5,1046190
2018-02-05,9.52,10.2,9.52,9.52,373150
2018-02-02,10.2,10.45,10.1,10.1,257990
2018-02-01,10.5,10.5,10.15,10.2,114370
2018-01-31,10.5,10.65,10.4,10.4,213070
2018-01-30,10.05,10.5,10.05,10.5,484520
2018-01-29,10.65,10.7,10.2,10.2,392640
2018-01-26,10.55,10.65,10.4,10.65,392120
2018-01-25,10.55,10.7,10.3,10.65,383230
2018-01-22,10.65,10.85,10.5,10.55,182950
2018-01-19,10.5,10.65,10.4,10.45,410810
2018-01-18,10.6,10.6,10.3,10.5,785910
2018-01-17,10.95,10.95,10.65,10.65,226270
2018-01-16,10.8,10.95,10.7,10.9,488870
2018-01-15,10.6,10.95,10.6,10.85,402920
2018-01-12,10.6,10.7,10.5,10.6,591980
2018-01-11,10.7,10.7,10.55,10.55,332930
2018-01-10,10.75,10.9,10.6,10.7,284980
2018-01-09,10.5,10.85,10.45,10.65,396540
2018-01-08,10.7,10.8,10.45,10.45,791660
2018-01-05,11.0,11.0,10.7,10.7,545720
2018-01-04,10.9,11.15,10.9,11.0,683180
2018-01-03,11.3,11.3,10.9,10.95,615460
2018-01-02,11.3,11.5,11.0,11.3,505720
2017-12-29,10.95,11.1,10.9,11.0,245920
2017-12-28,11.0,11.15,10.9,11.0,313810
2017-12-27,10.9,11.1,10.9,11.0,294750
2017-12-26,10.8,11.15,10.7,11.0,468720
2017-12-25,11.0,11.1,10.5,10.7,401470
2017-12-22,11.45,11.45,11.05,11.1,460160
2017-12-21,11.75,11.8,11.25,11.45,554250
2017-12-20,10.85,11.55,10.85,11.55,2144820
2017-12-19,10.6,11.0,10.55,10.8,619050
2017-12-18,10.55,10.7,10.45,10.55,216160
2017-12-15,10.35,10.5,10.35,10.45,156140
2017-12-14,10.4,10.6,10.3,10.4,271800
2017-12-13,10.55,10.6,10.3,10.3,339110
2017-12-12,10.8,10.8,10.2,10.65,492360
2017-12-11,10.8,10.9,10.7,10.7,602790
2017-12-08,10.5,11.0,10.35,10.8,1494790
2017-12-07,10.55,10.55,10.2,10.5,367950
2017-12-06,10.4,10.6,10.2,10.4,256090
2017-12-05,10.5,10.8,10.3,10.3,562390
2017-12-04,10.9,10.9,10.45,10.5,851110
2017-12-01,10.7,10.9,10.5,10.9,242650
2017-11-30,11.0,11.25,10.8,10.8,688790
2017-11-29,10.2,10.8,10.15,10.8,1369130
2017-11-28,10.3,10.5,10.0,10.1,238710
2017-11-27,9.85,10.55,9.82,10.3,382660
2017-11-24,9.65,9.98,9.45,9.9,333440
2017-11-23,9.8,9.83,9.66,9.7,200190
2017-11-22,9.89,9.89,9.75,9.78,13630
2017-11-21,9.75,9.9,9.6,9.71,382980
2017-11-20,9.92,9.92,9.5,9.89,181620
2017-11-17,9.91,9.95,9.85,9.92,198690
2017-11-16,9.95,9.95,9.9,9.9,107790
2017-11-15,9.88,9.95,9.82,9.95,292290
2017-11-14,10.0,10.0,9.88,9.88,67140
2017-11-13,10.0,10.05,9.8,9.9,192350
2017-11-10,10.15,10.15,10.0,10.0,154250
2017-11-09,10.1,10.25,9.99,10.15,184420
2017-11-08,10.05,10.3,9.9,10.1,212890
2017-11-07,9.71,10.1,9.71,9.96,89280
2017-11-06,9.93,10.0,9.93,9.94,103050
2017-11-03,9.95,9.95,9.72,9.9,123960
2017-11-02,9.7,9.99,9.7,9.8,429450
2017-11-01,10.0,10.1,9.7,9.7,259710
2017-10-31,10.0,10.2,9.8,10.0,163160
2017-10-30,10.3,10.3,9.9,10.0,377520
2017-10-27,10.2,10.4,10.15,10.35,190190
2017-10-26,10.55,10.55,10.3,10.4,148080
2017-10-25,10.55,10.8,10.55,10.55,205140
2017-10-24,9.92,10.8,9.92,10.8,1113550
2017-10-23,10.45,10.45,9.9,10.1,358190
2017-10-20,10.75,10.8,10.3,10.3,474890
2017-10-19,10.75,10.9,10.7,10.75,158590
2017-10-18,10.95,11.0,10.75,10.75,132490
