date,open,high,low,close,volume
2018-07-03,18.1,18.1,18.1,18.1,160
2018-07-02,18.6,18.6,18.4,18.4,1150
2018-06-29,18.5,19.0,18.45,19.0,1090
2018-06-28,18.75,18.8,17.5,18.5,2220
2018-06-27,18.75,18.75,18.75,18.75,170
2018-06-26,18.75,18.75,18.75,18.75,140
2018-06-25,18.75,18.75,18.75,18.75,280
2018-06-22,18.75,18.75,18.7,18.7,800
2018-06-21,18.7,19.85,18.65,18.7,320
2018-06-20,19.75,19.8,18.65,18.65,21370
2018-06-19,18.0,19.75,18.0,18.6,41100
2018-06-18,18.0,19.75,17.8,18.6,82030
2018-06-15,18.5,18.5,18.5,18.5,200
2018-06-14,19.0,19.0,18.5,18.5,1330
2018-06-13,18.0,19.0,18.0,19.0,1430
2018-06-12,19.0,19.0,19.0,19.0,500
2018-06-11,17.4,19.0,16.75,19.0,1470
2018-06-08,18.0,18.0,18.0,18.0,1000
2018-06-07,18.0,18.0,18.0,18.0,400
2018-06-06,17.7,17.7,17.6,17.6,2190
2018-06-05,17.7,18.0,17.6,18.0,230
2018-06-04,18.2,18.2,18.15,18.15,1250
2018-06-01,17.55,18.2,17.55,18.2,70
2018-05-31,17.25,18.1,17.1,18.1,530
2018-05-30,17.5,17.5,17.1,17.1,1260
2018-05-29,17.55,17.55,17.5,17.5,210
2018-05-28,17.7,17.75,17.6,17.7,5720
2018-05-25,17.9,17.9,17.75,17.75,410
2018-05-24,19.0,19.0,17.85,17.9,1270
2018-05-23,17.9,17.9,17.85,17.9,310
2018-05-22,18.0,18.0,18.0,18.0,40
2018-05-21,17.9,18.8,17.9,18.8,290
2018-05-18,17.9,19.0,17.9,19.0,1130
2018-05-17,19.0,19.1,19.0,19.1,240
2018-05-16,17.9,18.0,17.85,18.0,1010
2018-05-15,18.2,18.5,18.2,18.5,230
2018-05-14,18.0,18.0,18.0,18.0,2000
2018-05-11,18.0,18.0,18.0,18.0,1000
2018-05-10,18.0,18.1,17.8,18.0,800
2018-05-09,18.2,18.2,18.1,18.2,680
2018-05-08,18.3,18.3,18.0,18.2,1140
2018-05-07,18.3,18.3,18.2,18.2,680
2018-05-04,18.4,18.4,18.2,18.2,310
2018-05-03,18.5,18.5,18.4,18.4,230
2018-05-02,18.6,18.6,18.3,18.5,1280
2018-04-27,18.45,19.25,18.45,19.25,620
2018-04-26,18.8,18.9,18.65,18.65,1570
2018-04-24,18.55,19.0,18.0,18.9,920
2018-04-23,18.5,19.0,18.45,19.0,400
2018-04-20,18.5,19.0,18.0,19.0,1260
2018-04-19,18.5,18.5,18.5,18.5,380
2018-04-18,18.55,18.55,18.45,18.5,920
2018-04-17,18.65,18.65,18.6,18.65,500
2018-04-16,18.5,18.95,18.5,18.95,210
2018-04-13,18.6,18.6,18.45,18.5,390
2018-04-12,19.2,19.2,18.5,18.5,650
2018-04-11,19.3,19.3,18.6,19.2,500
2018-04-10,18.7,18.8,18.6,18.65,1140
