date,open,high,low,close,volume,adj_close
2018-01-18,,,,,27610,11.7
2018-01-17,,,,,135350,11.3
2018-01-16,,,,,287010,11.9
2018-01-15,,,,,4150,11.3
2018-01-12,,,,,37280,11.3
2018-01-11,,,,,68450,11.3
2018-01-10,,,,,89250,11.6
2018-01-09,,,,,130240,11.6
2018-01-08,,,,,112210,11.3
2018-01-05,,,,,54390,11.15
2018-01-04,,,,,46490,11.15
2018-01-03,,,,,146820,11.4
2018-01-02,,,,,47510,11.25
2017-12-29,,,,,20000,11.5
2017-12-28,,,,,28590,11.6
2017-12-27,,,,,24930,11.5
2017-12-26,,,,,46440,11.4
2017-12-25,,,,,27320,11.45
2017-12-22,,,,,37600,11.6
2017-12-21,,,,,103730,11.6
2017-12-20,,,,,73670,11.45
2017-12-19,,,,,70920,11.75
2017-12-18,,,,,69890,11.8
2017-12-15,,,,,110950,11.85
2017-12-14,,,,,108270,11.7
2017-12-13,,,,,99990,11.65
2017-12-12,,,,,105220,11.8
2017-12-11,,,,,112440,11.35
2017-12-08,,,,,122640,11.7
2017-12-07,,,,,103000,11.6
2017-12-06,,,,,69100,11.4
2017-12-05,,,,,167440,11.6
2017-12-04,,,,,125500,12.0
2017-12-01,,,,,146100,12.0
2017-11-30,,,,,486620,12.1
2017-11-29,,,,,122450,11.35
2017-11-28,,,,,87880,11.35
2017-11-27,,,,,137580,11.45
2017-11-24,,,,,77310,11.35
2017-11-23,,,,,75410,11.4
2017-11-22,,,,,67880,11.4
2017-11-21,,,,,69700,11.5
2017-11-20,,,,,78750,11.4
2017-11-17,,,,,182130,11.45
2017-11-16,,,,,58240,11.4
2017-11-15,,,,,79180,11.5
2017-11-14,,,,,40520,11.3
2017-11-13,,,,,26510,11.3
2017-11-10,,,,,34780,11.45
2017-11-09,,,,,46390,11.45
2017-11-08,,,,,90650,11.2
2017-11-07,,,,,56630,11.65
2017-11-06,,,,,145980,11.75
2017-11-03,,,,,44610,11.4
2017-11-02,,,,,46240,11.4
2017-11-01,,,,,60460,11.4
2017-10-31,,,,,73500,11.4
2017-10-30,,,,,42190,11.1
2017-10-27,,,,,25490,11.75
2017-10-26,,,,,94470,11.9
2017-10-25,,,,,54170,12.0
2017-10-24,,,,,32840,11.5
2017-10-23,,,,,71510,11.0
2017-10-20,,,,,39860,11.5
2017-10-19,,,,,38340,11.5
2017-10-18,,,,,34710,11.5
2017-10-17,,,,,80480,11.95
2017-10-16,,,,,45220,11.95
2017-10-13,,,,,76960,11.8
2017-10-12,,,,,41480,11.45
2017-10-11,,,,,48770,11.5
2017-10-10,,,,,30140,11.6
2017-10-09,,,,,42040,11.65
2017-10-06,,,,,41140,11.35
2017-10-05,,,,,17090,11.4
2017-10-04,,,,,27490,11.85
2017-10-03,,,,,36270,11.5
2017-10-02,,,,,19780,11.2
2017-09-29,,,,,61580,11.2
2017-09-28,,,,,208830,11.45
2017-09-27,,,,,252470,11.5
2017-09-26,,,,,142360,12.2
2017-09-25,,,,,50320,12.0
2017-09-22,,,,,111900,12.15
2017-09-21,,,,,146910,12.1
2017-09-20,,,,,39220,12.25
2017-09-19,,,,,164180,12.35
2017-09-18,,,,,174550,12.45
2017-09-15,,,,,75210,12.4
2017-09-14,,,,,184530,12.45
2017-09-13,,,,,281850,12.3
2017-09-12,,,,,142030,12.0
2017-09-11,,,,,207680,11.8
2017-09-08,,,,,381610,12.0
2017-09-07,12.7,12.9,12.65,12.65,338980,12.65
2017-09-06,12.3,12.7,12.3,12.45,322910,12.45
2017-09-05,12.1,12.6,12.1,12.25,418260,12.25
2017-09-01,11.8,12.85,11.8,12.3,137680,12.3
2017-08-31,12.05,12.2,11.8,12.05,102280,12.05
2017-08-30,12.85,12.85,12.0,12.05,330020,12.05
2017-08-29,12.05,12.05,12.05,12.05,83500,12.05
2017-08-28,10.8,11.4,10.8,11.3,103880,11.3
2017-08-25,11.0,11.2,10.8,11.0,47450,11.0
2017-08-24,10.75,11.3,10.75,11.25,920,11.25
2017-08-23,10.75,11.0,10.75,10.95,24650,10.95
2017-08-22,10.9,10.9,10.7,10.8,19360,10.8
2017-08-21,10.75,11.0,10.7,11.0,12000,11.0
2017-08-18,10.7,10.9,10.7,10.9,35240,10.9
2017-08-17,10.6,11.05,10.6,10.85,54130,10.85
2017-08-16,10.9,10.9,10.4,10.85,27350,10.85
2017-08-15,11.35,11.35,10.7,10.9,57810,10.9
2017-08-14,11.3,11.5,11.0,11.35,14100,11.35
2017-08-11,11.2,11.4,10.6,11.4,28010,11.4
2017-08-10,10.85,11.5,10.85,11.2,20030,11.2
2017-08-09,11.35,11.6,10.8,10.85,25100,10.85
2017-08-08,11.2,11.35,10.8,11.25,164610,11.25
2017-08-07,10.0,10.65,10.0,10.65,115050,10.65
2017-08-04,9.96,10.0,9.6,9.96,25600,9.96
2017-08-03,9.96,10.65,9.96,9.96,37840,9.96
2017-08-02,10.5,10.5,9.96,9.96,144980,9.96
2017-08-01,10.65,11.0,10.55,10.7,43610,10.7
2017-07-31,11.5,11.5,10.75,11.3,64710,11.3
2017-07-28,10.5,10.75,10.15,10.75,87250,10.75
2017-07-27,9.59,10.05,9.42,10.05,61590,10.05
2017-07-26,9.4,9.55,9.4,9.42,35320,9.42
2017-07-25,9.41,9.6,9.35,9.58,6720,9.58
2017-07-24,9.7,9.7,9.41,9.5,590,9.5
2017-07-21,9.8,9.8,9.4,9.41,7510,9.41
2017-07-20,9.4,9.5,9.3,9.5,12940,9.5
2017-07-19,9.3,9.5,9.3,9.4,8380,9.4
2017-07-18,9.59,9.59,9.3,9.32,4070,9.32
2017-07-17,9.58,9.59,9.5,9.58,19450,9.58
2017-07-14,9.2,9.6,9.2,9.5,16780,9.5
2017-07-13,9.6,9.6,9.22,9.53,13270,9.53
2017-07-12,9.59,9.59,9.12,9.15,9520,9.15
2017-07-11,9.65,9.69,9.25,9.25,10450,9.25
2017-07-10,9.68,9.71,9.68,9.7,630,9.7
2017-07-07,9.35,9.8,9.35,9.6,11790,9.6
2017-07-06,9.35,9.35,9.1,9.35,8970,9.35
2017-07-05,9.1,9.39,9.1,9.39,3570,9.39
2017-07-04,9.4,9.4,9.1,9.39,2030,9.39
2017-07-03,9.2,9.4,9.2,9.35,9220,9.35
2017-06-30,9.1,9.35,9.1,9.35,2010,9.35
2017-06-29,9.4,9.4,9.1,9.39,3060,9.39
2017-06-28,9.3,9.3,9.05,9.28,11730,9.28
2017-06-27,9.16,9.3,9.16,9.3,3030,9.3
2017-06-26,9.3,9.5,9.22,9.3,11020,9.3
2017-06-23,9.5,9.5,9.16,9.4,7580,9.4
2017-06-22,9.38,9.6,9.3,9.5,13100,9.5
2017-06-21,9.15,9.49,9.01,9.1,11780,9.1
2017-06-20,9.0,9.5,9.0,9.01,23340,9.01
2017-06-19,9.05,9.2,9.0,9.2,9960,9.2
2017-06-16,9.3,9.3,9.0,9.19,8230,9.19
2017-06-15,9.4,9.4,9.18,9.3,4340,9.3
2017-06-14,9.1,9.4,9.1,9.39,8480,9.39
2017-06-13,9.18,9.48,9.16,9.2,11720,9.2
2017-06-12,9.0,9.24,9.0,9.23,5320,9.23
2017-06-09,9.0,9.15,8.93,9.14,11900,9.14
2017-06-08,9.1,9.25,9.0,9.01,6310,9.01
2017-06-07,9.2,9.29,9.1,9.18,23480,9.18
2017-06-06,9.11,9.35,9.11,9.3,12360,9.3
2017-06-05,9.5,9.5,9.13,9.13,7600,9.13
2017-06-02,9.7,9.7,9.7,9.7,10,9.7
2017-06-01,9.2,9.35,9.2,9.2,16630,9.2
2017-05-31,9.3,9.5,9.3,9.5,3000,9.5
2017-05-30,9.3,9.5,9.3,9.49,6350,9.49
2017-05-29,9.84,9.84,9.16,9.3,14540,9.3
2017-05-26,9.9,9.9,9.17,9.29,42830,9.29
2017-05-25,9.39,9.4,9.3,9.3,7620,9.3
2017-05-24,9.2,9.49,9.2,9.4,3460,9.4
2017-05-23,9.4,9.45,9.31,9.31,11330,9.31
2017-05-22,9.6,9.6,9.31,9.44,8730,9.44
2017-05-19,9.4,9.65,9.33,9.35,19100,9.35
2017-05-18,9.43,9.7,9.3,9.4,28940,9.4
2017-05-17,9.8,9.8,9.5,9.8,10730,9.8
2017-05-16,9.4,9.95,9.4,9.8,15460,9.8
2017-05-15,10.0,10.0,9.1,9.3,86080,9.3
2017-05-12,9.7,9.7,9.2,9.5,12180,9.5
2017-05-11,9.5,9.5,9.0,9.2,95090,9.2
2017-05-10,9.9,9.9,9.5,9.52,14230,9.52
2017-05-09,10.25,10.25,9.7,9.8,6710,9.8
2017-05-08,9.85,9.99,9.61,9.61,7280,9.61
2017-05-05,10.5,10.5,9.5,9.9,10500,9.9
2017-05-04,9.66,10.0,9.66,10.0,24980,10.0
2017-05-03,9.05,9.68,9.05,9.66,18540,9.66
2017-04-28,9.36,9.4,9.05,9.05,49330,9.05
2017-04-27,9.65,9.65,9.36,9.36,44370,9.36
2017-04-26,10.2,10.2,9.7,9.75,35780,9.75
2017-04-25,10.1,10.1,9.5,9.98,50600,9.98
2017-04-24,9.98,10.1,9.71,9.9,26150,9.9
2017-04-21,10.05,10.3,9.98,9.98,64680,9.98
2017-04-20,10.9,10.9,10.3,10.3,67880,10.3
2017-04-19,10.5,10.5,10.0,10.4,75480,10.4
2017-04-18,10.0,10.15,9.7,10.15,125630,10.15
2017-04-17,9.5,9.5,9.5,9.5,114750,9.5
2017-04-14,8.5,8.88,8.4,8.88,106210,8.88
2017-04-13,8.15,8.3,7.56,8.3,29240,8.3
2017-04-12,7.73,8.09,7.73,7.76,5960,7.76
2017-04-11,7.9,8.14,7.9,8.14,14800,8.14
2017-04-10,8.4,8.4,8.2,8.2,14300,8.2
2017-04-07,8.59,8.59,8.12,8.2,25420,8.2
2017-04-05,7.9,8.12,7.9,8.12,60540,8.12
2017-04-04,7.59,8.0,7.59,7.59,11550,7.59
2017-04-03,7.5,7.5,7.25,7.5,14870,7.5
2017-03-31,7.31,7.48,7.26,7.26,9390,7.26
2017-03-30,7.6,7.6,7.35,7.4,8800,7.4
2017-03-29,7.59,7.59,7.35,7.5,21890,7.5
2017-03-28,7.39,7.59,7.32,7.5,13140,7.5
2017-03-27,7.3,7.4,7.3,7.39,3900,7.39
2017-03-24,7.3,7.3,7.1,7.29,4360,7.29
2017-03-23,7.39,7.39,6.9,6.9,13270,6.9
2017-03-22,7.16,7.25,7.15,7.15,11530,7.15
2017-03-21,7.08,7.44,7.08,7.44,3440,7.44
2017-03-20,7.79,7.79,7.16,7.6,36140,7.6
2017-03-17,7.35,7.75,7.1,7.69,10030,7.69
2017-03-16,7.35,7.6,7.35,7.6,210,7.6
2017-03-15,7.75,7.75,7.2,7.7,6500,7.7
2017-03-14,7.23,7.68,7.23,7.68,4010,7.68
2017-03-13,8.0,8.0,7.68,7.68,31010,7.68
2017-03-10,7.5,7.69,7.24,7.49,62880,7.49
2017-03-09,7.5,7.78,7.34,7.78,2410,7.78
2017-03-08,7.35,8.0,7.0,7.89,15540,7.89
2017-03-07,7.41,7.96,7.41,7.5,40,7.5
2017-03-06,7.99,7.99,7.44,7.96,4130,7.96
2017-03-03,7.6,7.99,7.4,7.99,2140,7.99
2017-03-02,8.0,8.0,7.68,7.95,1890,7.95
2017-03-01,7.68,7.68,7.68,7.68,2800,7.68
2017-02-28,8.0,8.0,7.68,7.68,130,7.68
2017-02-27,9.49,9.49,8.25,8.25,3510,8.25
2017-02-24,8.87,8.87,8.87,8.87,10,8.87
2017-02-23,8.29,8.29,8.29,8.29,10,8.29
2017-02-22,7.85,7.85,7.45,7.75,1220,7.75
2017-02-21,7.12,7.8,7.12,7.6,7290,7.6
2017-02-20,7.01,7.6,7.01,7.6,29700,7.6
2017-02-17,7.25,7.25,7.25,7.25,0,7.25
2017-02-16,7.3,7.3,7.25,7.25,70,7.25
2017-02-15,7.0,7.0,7.0,7.0,50,7.0
2017-02-14,7.4,7.4,7.0,7.0,820,7.0
2017-02-13,7.4,7.4,7.4,7.4,0,7.4
2017-02-10,7.15,7.4,7.15,7.4,290,7.4
2017-02-09,7.4,7.4,7.4,7.4,2150,7.4
2017-02-08,7.4,7.82,7.4,7.82,2550,7.82
