date,open,high,low,close,volume,adj_close
2018-03-23,4.0,4.0,3.9,4.0,16700,4.0
2018-03-22,3.9,4.0,3.9,3.9,49000,3.9
2018-03-21,3.9,4.0,3.8,3.9,45300,3.9
2018-03-20,4.0,4.0,3.9,3.9,26400,3.9
2018-03-19,3.9,4.0,3.9,4.0,34200,4.0
2018-03-16,3.9,4.0,3.8,3.9,69200,3.9
2018-03-15,3.9,4.0,3.9,4.0,26800,4.0
2018-03-14,4.0,4.0,3.9,3.9,40200,3.9
2018-03-13,4.0,4.0,4.0,4.0,86800,4.0
2018-03-12,4.0,4.0,3.9,4.0,53600,4.0
2018-03-09,4.0,4.0,4.0,4.0,31000,4.0
2018-03-08,4.0,4.1,3.9,4.1,24500,4.1
2018-03-07,4.0,4.1,4.0,4.0,33400,4.0
2018-03-06,4.0,4.1,4.0,4.1,48300,4.1
2018-03-05,4.0,4.1,4.0,4.1,60700,4.1
2018-03-02,4.1,4.1,4.0,4.1,40700,4.1
2018-03-01,4.0,4.1,4.0,4.1,51000,4.1
2018-02-28,4.1,4.1,4.0,4.0,32300,4.0
2018-02-27,4.1,4.1,4.0,4.1,51200,4.1
2018-02-26,4.2,4.2,4.0,4.1,40600,4.1
2018-02-23,4.2,4.2,4.0,4.2,50600,4.2
2018-02-22,4.2,4.2,4.0,4.2,73100,4.2
2018-02-21,4.1,4.2,4.1,4.2,90706,4.2
2018-02-13,4.1,4.1,4.0,4.1,64700,4.1
2018-02-12,3.9,4.0,3.9,4.0,76500,4.0
2018-02-09,3.9,4.0,3.7,3.9,92300,3.9
2018-02-08,4.0,4.1,4.0,4.0,55500,4.0
2018-02-07,4.0,4.0,3.9,4.0,61200,4.0
2018-02-06,3.9,4.0,3.7,3.9,144300,3.9
2018-02-05,4.2,4.2,4.0,4.1,92800,4.1
2018-02-02,4.2,4.2,4.1,4.2,44400,4.2
2018-02-01,4.2,4.3,4.2,4.2,73800,4.2
2018-01-31,4.3,4.4,4.2,4.2,93600,4.2
2018-01-30,4.3,4.4,4.2,4.4,118500,4.4
2018-01-29,4.3,4.4,4.2,4.2,94700,4.2
2018-01-26,4.4,4.4,4.2,4.3,115500,4.3
2018-01-25,4.2,4.4,4.2,4.4,110600,4.4
2018-01-24,4.2,4.4,4.2,4.3,171890,4.3
2018-01-23,4.3,4.4,4.2,4.2,188130,4.2
2018-01-22,4.4,4.4,4.2,4.2,136600,4.2
2018-01-19,4.4,4.5,4.3,4.5,81800,4.5
2018-01-18,4.3,4.4,4.2,4.4,93800,4.4
2018-01-17,4.4,4.5,4.3,4.3,72300,4.3
2018-01-16,4.5,4.6,4.3,4.5,135200,4.5
2018-01-15,4.8,4.8,4.5,4.6,88900,4.6
2018-01-12,4.7,4.9,4.6,4.8,146000,4.8
2018-01-11,4.3,4.7,4.3,4.7,497900,4.7
2018-01-10,4.2,4.5,4.2,4.3,283700,4.3
2018-01-09,4.3,4.3,4.1,4.2,167300,4.2
2018-01-08,4.2,4.3,4.1,4.3,100200,4.3
2018-01-05,4.4,4.5,4.1,4.2,124300,4.2
2018-01-04,4.2,4.4,4.1,4.4,168100,4.4
2018-01-03,4.2,4.2,4.1,4.2,87490,4.2
2018-01-02,4.2,4.2,4.1,4.1,72300,4.1
2017-12-29,4.2,4.2,4.1,4.2,67100,4.2
2017-12-28,4.2,4.2,4.1,4.2,111600,4.2
2017-12-27,4.2,4.2,4.1,4.1,101900,4.1
2017-12-26,4.1,4.2,4.0,4.2,109000,4.2
