date,open,high,low,close,volume
2018-09-14,41.5,44.4,41.5,44.4,179000
2018-09-13,41.0,41.5,41.0,41.5,23360
2018-09-12,40.3,41.2,40.3,41.2,59300
2018-09-11,40.25,41.0,40.25,40.3,29510
2018-09-10,40.3,40.3,40.25,40.3,5520
2018-09-07,40.3,41.1,40.2,40.3,37640
2018-09-06,41.0,41.0,40.3,40.3,20130
2018-09-05,40.4,40.4,40.4,40.4,6500
2018-09-04,40.5,40.5,40.4,40.4,38790
2018-08-31,40.3,40.5,40.3,40.4,5430
2018-08-30,40.5,40.55,40.5,40.5,48820
2018-08-29,41.0,41.0,40.5,40.5,20430
2018-08-28,40.5,40.6,40.5,40.55,32200
2018-08-27,40.5,41.0,40.5,40.5,11640
2018-08-24,40.5,40.5,40.4,40.5,3780
2018-08-23,40.45,40.5,40.4,40.4,5630
2018-08-22,40.8,40.8,40.55,40.55,30
2018-08-21,40.8,40.8,40.4,40.4,17020
2018-08-20,40.5,40.75,40.3,40.75,9560
2018-08-17,40.4,40.45,40.4,40.45,1060
2018-08-16,40.8,40.8,40.2,40.3,8120
2018-08-15,40.9,40.9,40.2,40.4,14200
2018-08-14,40.5,40.5,40.2,40.2,10020
2018-08-13,40.5,40.5,40.2,40.3,1160
2018-08-10,40.5,40.5,40.3,40.3,14600
2018-08-09,40.95,40.95,40.5,40.5,11640
2018-08-08,40.4,40.5,40.0,40.5,13060
2018-08-07,40.5,40.55,40.5,40.5,4620
2018-08-06,41.0,41.0,40.3,40.3,810
2018-08-03,40.5,40.5,40.2,40.2,9990
2018-08-02,41.1,41.1,40.5,41.0,1020
2018-08-01,40.5,41.2,40.5,40.55,13690
2018-07-31,41.0,41.2,41.0,41.2,7220
2018-07-30,41.1,41.2,40.9,41.2,14070
2018-07-27,41.7,41.7,41.2,41.2,1030
2018-07-26,41.3,41.3,40.2,41.0,30430
2018-07-25,41.8,41.8,40.2,40.2,15620
2018-07-24,41.7,41.7,40.8,41.0,24710
