date,open,high,low,close,volume,adj_close
2017-11-10,7.4,7.6,7.4,7.6,0,
2017-11-09,7.5,7.5,7.5,7.5,0,
2017-11-08,7.4,7.5,7.2,7.5,0,
2017-11-07,7.4,7.6,7.4,7.5,0,
2017-11-06,8.0,8.2,8.0,8.2,0,
2017-11-03,7.4,7.5,7.4,7.5,0,
2017-11-02,7.4,7.6,7.3,7.5,0,
2017-11-01,7.7,7.7,7.4,7.4,0,
2017-10-31,7.4,7.7,7.4,7.5,0,
2017-10-30,7.5,7.6,7.5,7.6,0,
2017-10-27,7.6,7.6,7.6,7.6,0,
2017-10-26,7.5,7.6,7.4,7.6,34300,7.6
2017-10-25,7.6,7.6,7.6,7.6,39013,7.6
2017-10-24,7.6,7.7,7.6,7.7,11166,7.7
2017-10-23,7.5,7.7,7.5,7.7,14200,7.7
2017-10-20,7.7,7.8,7.7,7.8,5200,7.8
2017-10-19,7.6,7.7,7.5,7.7,12000,7.7
2017-10-18,7.6,7.7,7.6,7.6,18922,7.6
2017-10-17,7.7,7.7,7.6,7.6,5700,7.6
2017-10-16,7.6,7.7,7.6,7.6,11500,7.6
2017-10-13,7.7,7.7,7.7,7.7,5500,7.7
2017-10-12,7.7,7.7,7.6,7.7,8400,7.7
2017-10-11,7.7,7.7,7.7,7.7,15600,7.7
2017-10-10,7.7,7.9,7.6,7.8,13122,7.8
2017-10-09,7.6,7.8,7.6,7.8,300,7.8
2017-10-06,7.8,7.8,7.6,7.8,6700,7.8
2017-10-05,8.1,8.1,8.1,8.1,3059,7.6
2017-10-04,8.2,8.2,8.2,8.2,7029,7.69
2017-10-03,8.0,8.1,8.0,8.1,19900,7.6
2017-10-02,8.1,8.1,8.1,8.1,7600,7.6
2017-09-29,8.1,8.3,8.1,8.2,22114,7.69
2017-09-28,8.3,8.3,8.3,8.3,1225,7.79
2017-09-27,8.1,8.3,8.1,8.3,14350,7.79
2017-09-26,8.4,8.4,8.2,8.4,36850,7.88
