date,open,high,low,close,volume,adj_close
2017-12-20,,,,,600,89.0
2017-12-19,90.0,90.0,89.1,89.5,9000,89.5
2017-12-18,90.0,90.5,90.0,90.0,4200,89.8
2017-12-15,89.4,89.8,89.0,89.8,3400,89.4
2017-12-14,89.3,89.4,89.0,89.4,1000,89.3
2017-12-13,89.5,89.5,89.0,89.3,700,89.3
2017-12-12,92.6,92.6,89.0,89.0,6000,93.0
2017-12-11,90.5,93.5,89.8,93.0,2000,90.5
2017-12-08,89.9,90.5,89.9,90.5,3000,90.5
2017-12-07,89.9,91.0,89.9,89.9,23300,89.9
2017-12-06,89.5,90.0,89.5,89.9,17600,89.9
2017-12-05,89.8,89.9,89.2,89.5,11300,89.5
2017-12-04,89.0,90.0,89.0,89.4,17800,89.4
2017-12-01,87.6,89.1,87.6,88.8,16100,88.8
2017-11-30,89.4,89.4,87.5,87.5,7900,87.5
2017-11-29,89.0,89.5,88.7,89.4,2200,89.4
2017-11-28,89.4,89.4,89.4,89.4,100,89.4
2017-11-27,89.5,89.5,89.1,89.5,17400,89.5
2017-11-24,89.3,89.9,89.3,89.3,10200,89.3
2017-11-23,89.4,89.4,89.0,89.3,6900,89.3
2017-11-22,90.0,90.0,89.0,89.4,5200,89.4
2017-11-21,90.5,90.5,89.2,89.5,8100,89.5
2017-11-20,89.6,89.6,89.2,89.2,12000,89.2
2017-11-17,89.6,90.0,89.2,89.2,23700,89.2
2017-11-16,89.5,89.6,89.0,89.6,21300,89.6
2017-11-15,89.5,90.0,89.4,89.6,23200,89.6
2017-11-14,89.5,89.9,89.5,89.9,15800,89.9
2017-11-13,89.5,90.0,89.5,89.5,11000,89.5
2017-11-10,89.5,90.0,89.5,89.5,31300,89.5
2017-11-09,89.5,89.6,89.1,89.5,2110,89.5
2017-11-08,89.6,89.6,89.0,89.6,800,89.6
2017-11-07,91.7,91.7,89.5,90.0,9500,90.0
2017-11-06,89.0,89.9,89.0,89.6,12300,89.6
2017-11-03,89.0,90.0,87.2,89.4,28400,89.4
2017-11-02,91.9,91.9,89.0,89.0,3400,89.0
2017-11-01,86.2,90.9,86.2,89.2,7000,89.2
2017-10-31,90.8,90.8,90.4,90.4,2400,90.4
2017-10-30,90.9,90.9,89.0,89.7,17100,89.7
2017-10-27,90.0,90.9,90.0,90.9,2100,90.9
2017-10-26,90.6,91.0,90.5,91.0,2700,91.0
2017-10-25,92.0,92.0,90.0,91.8,12000,91.8
2017-10-24,90.1,92.9,86.2,90.5,27500,90.5
2017-10-23,91.0,91.6,90.0,91.0,5300,91.0
2017-10-20,92.5,94.0,91.8,91.8,6300,91.8
2017-10-19,92.0,92.5,90.3,92.0,8210,92.0
2017-10-18,92.4,92.4,91.2,91.3,4000,91.3
2017-10-17,92.5,92.9,92.0,92.4,11900,92.4
2017-10-16,93.8,95.0,91.1,92.5,7400,92.5
2017-10-13,91.9,91.9,91.3,91.3,1700,91.3
2017-10-12,92.5,92.5,90.6,91.9,13700,91.9
2017-10-11,94.5,94.5,92.5,93.0,7700,93.0
2017-10-10,93.4,94.9,93.4,94.1,20500,94.1
2017-10-09,92.5,94.0,92.5,93.5,12500,93.5
2017-10-06,92.0,92.9,90.1,92.5,9700,92.5
2017-10-05,90.0,92.0,88.5,92.0,52300,92.0
2017-10-04,89.0,90.0,89.0,89.9,5900,89.9
2017-10-03,88.6,90.9,88.1,89.0,15800,89.0
2017-10-02,88.0,88.7,88.0,88.0,4000,88.0
2017-09-29,88.0,88.5,87.6,88.0,19100,88.0
2017-09-28,87.9,88.5,86.3,88.0,20300,88.0
2017-09-27,85.8,88.0,85.5,88.0,27600,88.0
2017-09-26,83.7,85.8,83.7,85.8,11000,85.8
2017-09-25,84.0,88.0,83.6,83.7,40900,83.7
2017-09-22,84.2,84.2,84.0,84.0,20100,84.0
2017-09-21,85.4,85.5,84.0,84.2,18300,84.2
2017-09-20,85.5,85.5,84.0,85.5,24000,85.5
2017-09-19,84.0,86.0,83.5,85.5,18300,85.5
2017-09-18,82.5,90.7,82.5,83.6,11100,83.6
2017-09-15,82.8,82.8,82.5,82.5,10800,82.5
2017-09-14,82.0,82.8,82.0,82.8,31184,82.8
2017-09-13,82.1,82.9,81.9,82.0,41100,82.0
2017-09-12,81.4,82.8,81.0,82.8,29100,82.8
2017-09-11,84.0,84.0,81.1,84.0,10200,84.0
2017-09-08,84.0,84.1,83.8,84.0,5800,84.0
2017-09-07,84.5,84.5,83.8,84.0,8100,84.0
2017-09-06,84.5,84.6,84.0,84.5,4300,84.5
2017-09-05,85.0,85.0,84.5,84.5,8600,84.5
2017-09-01,85.0,85.0,84.3,84.7,8700,84.7
2017-08-31,89.5,89.5,87.9,88.3,53100,88.3
2017-08-30,90.0,90.0,89.1,89.5,21400,89.5
2017-08-29,90.0,90.0,89.0,89.9,18957,89.9
2017-08-28,89.9,90.1,89.9,89.9,15200,89.9
2017-08-25,90.0,91.0,89.0,89.0,43000,89.0
2017-08-24,90.7,91.0,90.0,90.1,30500,90.1
2017-08-23,90.0,90.2,89.5,90.0,49230,90.0
2017-08-22,89.0,90.0,88.5,89.5,2310,89.5
2017-08-21,90.1,90.5,90.0,90.0,37038,90.0
2017-08-18,90.1,91.4,90.0,91.0,39440,91.0
2017-08-17,92.0,92.0,90.1,90.1,31200,90.1
2017-08-16,90.5,93.0,90.3,92.0,38200,92.0
2017-08-15,88.8,90.7,88.8,90.3,49700,90.3
2017-08-14,89.9,89.9,88.8,88.8,4800,88.8
2017-08-11,89.5,89.6,89.4,89.4,2486,89.4
2017-08-10,89.9,90.0,89.9,90.0,4800,90.0
2017-08-09,90.0,92.0,89.0,89.5,53500,89.5
2017-08-08,89.0,89.0,88.0,88.2,9700,88.2
2017-08-07,88.9,89.2,88.6,88.7,9600,88.7
2017-08-04,89.0,89.0,89.0,89.0,3800,89.0
2017-08-03,88.9,89.4,88.6,89.0,8400,89.0
2017-08-02,89.0,89.0,88.6,88.6,3820,88.6
2017-08-01,90.9,90.9,88.8,90.0,6100,90.0
2017-07-31,92.0,92.0,90.0,91.0,3800,91.0
2017-07-28,92.0,92.0,92.0,92.0,2100,92.0
2017-07-27,88.0,92.0,88.0,92.0,9600,92.0
2017-07-26,94.5,94.5,85.0,88.0,35900,88.0
2017-07-25,94.0,95.0,94.0,94.0,3300,94.0
2017-07-24,95.0,95.0,94.5,94.5,2523,94.5
2017-07-21,96.0,96.0,95.5,95.7,3760,95.7
2017-07-20,95.6,95.6,95.5,95.5,800,95.5
2017-07-19,95.0,96.0,95.0,96.0,4700,96.0
2017-07-18,96.0,96.0,94.9,94.9,14110,94.9
2017-07-17,94.1,95.0,94.0,94.9,1235,94.9
2017-07-14,96.0,96.5,95.0,95.0,3700,95.0
2017-07-13,94.1,96.0,94.1,96.0,2090,96.0
2017-07-12,96.0,97.0,95.4,97.0,7700,97.0
2017-07-11,95.0,95.6,95.0,95.4,5310,95.4
2017-07-10,95.5,95.5,95.0,95.0,4400,95.0
2017-07-07,95.5,95.5,95.4,95.4,3370,95.4
2017-07-06,96.0,96.0,95.0,95.5,6017,95.5
2017-07-05,96.0,96.0,95.9,96.0,4532,96.0
2017-07-04,96.0,96.0,95.3,95.5,9000,95.5
2017-07-03,96.0,96.0,94.5,95.3,14328,95.3
2017-06-30,95.0,95.2,95.0,95.1,11496,95.1
2017-06-29,95.0,95.4,95.0,95.2,3430,95.2
2017-06-28,95.8,95.8,88.0,95.0,5729,95.0
2017-06-27,96.0,96.0,95.7,95.8,6904,95.8
2017-06-26,95.5,95.8,95.0,95.8,6399,95.8
2017-06-23,95.8,95.8,95.8,95.8,4212,95.8
2017-06-22,97.0,97.0,95.8,95.8,12700,95.8
2017-06-21,96.0,96.0,95.7,95.8,8200,95.8
2017-06-20,95.7,97.0,95.7,96.0,2505,96.0
2017-06-19,96.0,96.0,95.0,95.7,4475,95.7
2017-06-16,96.5,96.5,95.6,95.6,7043,95.6
2017-06-15,95.3,97.0,95.3,96.7,2390,96.7
2017-06-14,95.5,95.8,95.3,95.4,10519,95.4
2017-06-13,97.6,97.6,94.0,96.0,5614,96.0
2017-06-12,98.0,98.0,96.4,97.0,5337,97.0
2017-06-09,97.0,98.6,96.6,98.4,3580,98.4
2017-06-08,100.0,100.0,96.6,96.6,28720,96.6
2017-06-07,99.7,99.7,99.0,99.4,3880,99.4
2017-06-06,99.3,99.5,98.7,99.5,31656,99.5
2017-06-05,99.3,99.3,99.0,99.0,5530,99.0
2017-06-02,99.3,99.8,99.0,99.3,6831,99.3
2017-06-01,100.0,100.0,98.9,99.3,8196,99.3
2017-05-31,97.0,98.9,97.0,98.9,2339,98.9
2017-05-30,99.0,99.0,97.0,97.0,5434,97.0
2017-05-29,102.0,102.0,97.0,98.0,19798,98.0
2017-05-26,102.0,102.0,101.8,102.0,7365,102.0
2017-05-25,101.6,101.7,101.5,101.5,7549,101.5
2017-05-24,101.7,101.7,100.0,101.7,13300,101.7
2017-05-23,101.2,101.7,101.2,101.7,17101,101.7
2017-05-22,101.3,101.8,101.2,101.2,15105,101.2
2017-05-19,99.9,102.0,99.8,101.2,113010,101.2
2017-05-18,100.0,100.0,99.8,99.9,3805,99.9
2017-05-17,89.9,100.0,89.9,99.8,12445,99.8
2017-05-16,100.2,100.5,99.8,99.8,47000,99.8
2017-05-15,101.4,101.4,95.0,99.8,22510,99.8
2017-05-12,100.0,100.1,99.9,99.9,7400,99.9
2017-05-11,99.2,101.5,99.1,100.3,3410,100.3
2017-05-10,103.0,104.3,102.7,103.6,32205,100.0
2017-05-09,103.1,103.7,102.2,103.0,8900,99.42
2017-05-08,105.6,105.6,103.5,103.5,11775,99.9
2017-05-05,101.8,107.0,101.8,103.1,22610,99.52
2017-05-04,103.5,103.5,101.7,102.0,11200,98.46
2017-05-03,103.0,103.9,102.0,103.5,10650,99.9
2017-04-28,92.8,101.9,92.8,100.0,31900,96.53
2017-04-27,91.0,92.8,90.0,92.8,20500,89.58
2017-04-26,90.1,91.0,90.0,91.0,15200,87.84
2017-04-25,91.0,91.0,90.0,90.2,10000,87.07
2017-04-24,94.0,94.0,88.0,90.5,28400,87.36
2017-04-21,91.0,91.9,89.6,91.0,27200,87.84
2017-04-20,93.0,93.0,90.0,90.0,10460,86.87
