date,open,high,low,close,volume,adj_close
2018-01-18,,,,,800,8.8
2018-01-17,,,,,0,8.9
2018-01-16,,,,,0,8.9
2018-01-15,,,,,0,8.9
2018-01-12,,,,,0,8.9
2018-01-11,,,,,100,8.9
2018-01-10,,,,,0,8.5
2018-01-09,,,,,2800,8.5
2018-01-08,,,,,100,7.8
2018-01-05,,,,,1400,7.1
2018-01-04,,,,,500,7.1
2018-01-03,,,,,0,6.5
2018-01-02,,,,,600,6.5
2017-12-29,,,,,600,7.1
2017-12-28,,,,,1100,7.0
2017-12-27,,,,,600,7.3
2017-12-26,,,,,300,8.1
2017-12-25,,,,,0,9.0
2017-12-22,,,,,500,9.0
2017-12-21,,,,,0,9.9
2017-12-20,,,,,0,9.9
2017-12-19,,,,,100,9.0
2017-12-18,,,,,0,9.0
2017-12-15,,,,,0,9.0
2017-12-14,,,,,0,9.0
2017-12-13,,,,,0,9.0
2017-12-12,,,,,100,9.4
2017-12-11,,,,,0,9.4
2017-12-08,,,,,0,9.4
2017-12-07,,,,,0,9.4
2017-12-06,,,,,0,9.4
2017-12-05,,,,,0,9.4
2017-12-04,,,,,0,9.4
2017-12-01,,,,,0,9.4
2017-11-30,,,,,0,9.4
2017-11-29,,,,,0,9.4
2017-11-28,,,,,0,9.4
2017-11-27,,,,,0,9.4
2017-11-24,,,,,0,9.4
2017-11-23,,,,,0,9.4
2017-11-22,,,,,0,9.4
2017-11-21,,,,,0,9.4
2017-11-20,,,,,1700,9.4
2017-11-17,,,,,0,9.6
2017-11-16,,,,,0,9.6
2017-11-15,,,,,0,9.6
2017-11-14,,,,,0,9.6
2017-11-13,,,,,0,9.6
2017-11-10,,,,,0,9.6
2017-11-09,,,,,0,9.6
2017-11-08,,,,,1700,9.6
2017-11-07,,,,,0,8.8
2017-11-06,,,,,0,8.8
2017-11-03,,,,,0,8.8
2017-11-02,,,,,0,8.8
2017-11-01,,,,,0,8.8
2017-10-31,,,,,0,8.8
2017-10-30,,,,,0,8.8
2017-10-27,8.8,8.8,8.8,8.8,0,8.8
2017-10-26,8.8,8.8,8.8,8.8,0,8.8
2017-10-25,8.8,8.8,8.8,8.8,0,8.8
2017-10-24,8.8,8.8,8.8,8.8,0,8.8
2017-10-23,8.8,8.8,8.8,8.8,0,8.8
2017-10-20,8.8,8.8,8.8,8.8,0,8.8
2017-10-19,8.8,8.8,8.8,8.8,0,8.8
2017-10-18,8.8,8.8,8.8,8.8,0,8.8
2017-10-17,8.8,8.8,8.8,8.8,0,8.8
2017-10-16,8.8,8.8,8.8,8.8,0,8.8
2017-10-13,8.8,8.8,8.8,8.8,0,8.8
2017-10-12,8.8,8.8,8.8,8.8,0,8.8
2017-10-11,8.8,8.8,8.8,8.8,0,8.8
2017-10-10,8.8,8.8,8.8,8.8,0,8.8
2017-10-09,8.8,8.8,8.8,8.8,0,8.8
2017-10-06,8.8,8.8,8.8,8.8,0,8.8
2017-10-05,8.8,8.8,8.8,8.8,0,8.8
2017-10-04,8.8,8.8,8.8,8.8,0,8.8
2017-10-03,8.8,8.8,8.8,8.8,0,8.8
2017-10-02,8.8,8.8,8.8,8.8,100,8.8
2017-09-29,8.0,8.0,8.0,8.0,0,8.0
2017-09-28,8.0,8.0,8.0,8.0,0,8.0
2017-09-27,8.0,8.0,8.0,8.0,0,8.0
2017-09-26,8.0,8.0,8.0,8.0,0,8.0
2017-09-25,8.0,8.0,8.0,8.0,0,8.0
2017-09-22,8.0,8.0,8.0,8.0,0,8.0
2017-09-21,8.0,8.0,8.0,8.0,0,8.0
2017-09-20,8.0,8.0,8.0,8.0,0,8.0
2017-09-19,8.0,8.0,8.0,8.0,0,8.0
2017-09-18,8.0,8.0,8.0,8.0,200,8.0
2017-09-15,7.3,7.3,7.3,7.3,0,7.3
2017-09-14,7.3,7.3,7.3,7.3,0,7.3
2017-09-13,7.3,7.3,7.3,7.3,0,7.3
2017-09-12,7.3,7.3,7.3,7.3,0,7.3
2017-09-11,7.3,7.3,7.3,7.3,0,7.3
2017-09-08,7.3,7.3,7.3,7.3,0,7.3
2017-09-07,7.3,7.3,7.3,7.3,0,7.3
2017-09-06,8.1,8.1,7.3,7.3,300,7.3
2017-09-05,8.1,8.1,8.1,8.1,100,8.1
2017-09-01,9.0,9.0,9.0,9.0,0,9.0
2017-08-31,9.0,9.0,9.0,9.0,0,9.0
2017-08-30,9.0,9.0,9.0,9.0,0,9.0
2017-08-29,9.0,9.0,9.0,9.0,0,9.0
2017-08-28,9.0,9.0,9.0,9.0,0,9.0
2017-08-25,9.0,9.0,9.0,9.0,0,9.0
2017-08-24,9.0,9.0,9.0,9.0,0,9.0
2017-08-23,9.0,9.0,9.0,9.0,0,9.0
2017-08-22,9.0,9.0,9.0,9.0,0,9.0
2017-08-21,9.0,9.0,9.0,9.0,0,9.0
2017-08-18,9.0,9.0,9.0,9.0,0,9.0
2017-08-17,9.0,9.0,9.0,9.0,0,9.0
2017-08-16,9.0,9.0,9.0,9.0,0,9.0
2017-08-15,9.0,9.0,9.0,9.0,200,9.0
2017-08-14,10.0,10.0,10.0,10.0,0,10.0
2017-08-11,9.0,10.0,9.0,10.0,1700,10.0
2017-08-10,10.0,10.0,10.0,10.0,0,10.0
2017-08-09,10.0,10.0,10.0,10.0,0,10.0
2017-08-08,10.0,10.0,10.0,10.0,0,10.0
