date,open,high,low,close,volume
2017-10-18,35.75,35.75,34.8,34.8,842440
2017-10-17,35.4,35.7,35.2,35.45,354590
2017-10-16,36.05,36.05,35.35,35.4,645240
2017-10-13,36.3,36.5,36.0,36.0,597360
2017-10-12,36.5,36.7,36.0,36.5,549790
2017-10-11,36.4,36.7,36.2,36.4,596230
2017-10-10,35.95,36.45,35.95,36.4,572630
2017-10-09,35.8,36.1,35.55,35.95,458300
2017-10-06,35.3,35.85,35.1,35.55,458980
2017-10-05,36.05,36.2,35.3,35.3,762930
2017-10-04,36.5,36.5,35.7,36.3,624180
2017-10-03,36.85,36.95,35.55,36.5,955210
2017-10-02,35.25,36.5,35.25,36.5,1125960
2017-09-29,35.0,35.3,34.6,35.25,456290
2017-09-28,34.8,35.1,34.7,34.9,228760
2017-09-27,34.8,35.2,34.6,34.8,436710
2017-09-26,35.2,35.2,34.75,34.75,429220
2017-09-25,35.7,35.7,35.1,35.35,265460
2017-09-22,35.0,35.45,34.8,35.3,581180
2017-09-21,34.8,35.0,34.6,35.0,506340
2017-09-20,35.4,35.4,34.35,34.5,460240
2017-09-19,33.1,35.5,32.9,34.8,908900
2017-09-18,33.3,33.5,33.0,33.2,351040
2017-09-15,33.3,33.4,32.8,33.2,150130
2017-09-14,33.0,33.4,33.0,33.2,388670
2017-09-13,32.7,33.1,32.65,32.85,247850
2017-09-12,32.5,32.6,32.3,32.6,213170
2017-09-11,32.55,33.0,32.35,32.6,212270
2017-09-08,33.15,33.15,32.6,33.05,325290
2017-09-07,33.5,33.5,32.8,33.2,383350
2017-09-06,33.25,33.4,33.0,33.2,326850
2017-09-05,33.1,33.5,32.7,33.2,249840
2017-09-01,33.15,33.2,31.15,33.1,546830
2017-08-31,32.95,33.3,32.9,33.05,728940
2017-08-30,32.2,32.8,32.1,32.75,514580
2017-08-29,31.95,32.25,31.75,32.1,682440
2017-08-28,30.65,31.7,30.65,31.25,262020
2017-08-25,30.7,31.2,30.5,30.65,168590
2017-08-24,30.7,31.2,30.7,30.7,127660
2017-08-23,31.1,31.4,30.9,31.0,81080
2017-08-22,31.0,31.5,31.0,31.3,227390
2017-08-21,31.1,31.8,31.1,31.35,112900
2017-08-18,31.4,31.4,31.0,31.3,234320
