date,open,high,low,close,volume
2018-06-08,5.0,5.2,5.0,5.2,9200
2018-06-07,5.1,5.1,5.1,5.1,500
2018-06-06,5.1,5.1,5.1,5.1,29100
2018-06-05,5.0,5.2,5.0,5.2,11800
2018-06-04,4.9,5.2,4.9,5.2,9200
2018-06-01,4.9,4.9,4.9,4.9,400
2018-05-31,,,,5.0,0
2018-05-30,5.0,5.0,5.0,5.0,100
2018-05-29,5.0,5.0,4.6,4.6,3700
2018-05-28,4.9,4.9,4.8,4.8,14300
2018-05-25,4.9,4.9,4.9,4.9,2700
2018-05-24,5.0,5.0,4.9,4.9,4953
2018-05-23,5.0,5.2,4.9,5.2,9700
2018-05-22,5.0,5.0,5.0,5.0,700
2018-05-21,5.1,5.2,5.1,5.2,700
2018-05-18,5.1,5.1,5.1,5.1,286
2018-05-17,,,,5.2,0
2018-05-16,,,,5.2,0
2018-05-15,5.2,5.2,5.2,5.2,1
2018-05-14,5.0,5.2,5.0,5.2,2100
2018-05-11,5.0,5.1,5.0,5.1,4000
2018-05-10,5.0,5.0,5.0,5.0,200
2018-05-09,5.1,5.1,5.1,5.1,1000
2018-05-08,5.3,5.3,5.3,5.3,100
2018-05-07,5.2,5.2,5.2,5.2,410
2018-05-04,5.0,5.0,5.0,5.0,2400
2018-05-03,5.4,5.4,5.3,5.3,300
2018-05-02,5.8,5.8,5.8,5.8,100
2018-04-27,,,,5.4,0
2018-04-26,,,,5.4,0
2018-04-24,,,,5.4,0
2018-04-23,5.4,5.4,5.4,5.4,200
2018-04-20,5.3,5.3,5.3,5.3,215
2018-04-19,,,,5.2,0
2018-04-18,5.2,5.2,5.2,5.2,8
2018-04-17,,,,5.2,0
2018-04-16,5.2,5.2,5.2,5.2,100
2018-04-13,5.1,5.3,5.1,5.1,3500
2018-04-12,5.2,5.2,5.2,5.2,100
2018-04-11,5.3,5.3,5.3,5.3,700
2018-04-10,5.2,5.2,5.0,5.1,9300
2018-04-09,5.3,5.3,5.2,5.2,600
2018-04-06,5.3,5.3,5.3,5.3,600
2018-04-05,5.2,5.2,5.2,5.2,150
2018-04-04,5.1,5.1,5.0,5.1,3125
2018-04-03,5.2,5.2,5.2,5.2,6800
2018-04-02,5.2,5.3,5.2,5.3,2100
2018-03-30,5.2,5.3,5.2,5.3,4100
2018-03-29,5.2,5.2,5.2,5.2,5000
2018-03-28,,,,5.2,0
2018-03-27,5.1,5.2,5.1,5.2,3800
2018-03-26,5.1,5.2,5.0,5.1,4800
2018-03-23,5.0,5.0,4.9,4.9,6200
2018-03-22,5.1,5.2,4.9,5.2,17400
2018-03-21,5.0,5.2,4.9,5.2,9500
2018-03-20,5.1,5.2,5.0,5.0,4364
2018-03-19,5.1,5.1,4.9,4.9,4480
2018-03-16,5.1,5.2,5.0,5.2,3436
2018-03-15,5.1,5.1,5.1,5.1,500
2018-03-14,5.2,5.3,5.2,5.2,672
2018-03-13,5.1,5.2,5.1,5.2,2200
2018-03-12,5.1,5.1,4.9,4.9,10700
2018-03-09,5.1,5.2,5.1,5.2,500
2018-03-08,5.2,5.2,5.1,5.1,4300
2018-03-07,5.1,5.1,5.1,5.1,100
2018-03-06,5.2,5.2,5.1,5.1,1400
2018-03-05,5.2,5.2,5.2,5.2,605
2018-03-02,5.2,5.2,5.2,5.2,61
2018-03-01,5.2,5.2,5.0,5.2,908
2018-02-28,5.2,5.2,5.2,5.2,700
2018-02-27,5.1,5.3,5.1,5.3,200
2018-02-26,5.1,5.1,5.1,5.1,207
2018-02-23,5.1,5.3,5.1,5.3,1900
2018-02-22,5.1,5.1,5.1,5.1,3100
2018-02-21,5.4,5.4,5.4,5.4,100
2018-02-13,5.2,5.4,5.2,5.4,1200
2018-02-12,,,,5.2,0
2018-02-09,4.9,5.2,4.9,5.2,1500
2018-02-08,4.9,5.2,4.9,5.2,1200
2018-02-07,5.2,5.2,5.2,5.2,29
2018-02-06,,,,5.2,0
2018-02-05,5.1,5.2,5.1,5.2,9600
2018-02-02,5.0,5.1,5.0,5.1,5300
2018-02-01,5.1,5.1,5.0,5.1,3200
2018-01-31,5.1,5.2,5.1,5.2,2000
2018-01-30,5.2,5.2,5.1,5.2,3800
2018-01-29,5.1,5.2,5.1,5.2,4489
2018-01-26,5.2,5.3,5.1,5.3,1733
2018-01-25,5.3,5.4,5.2,5.2,13172
2018-01-22,4.9,5.2,4.9,5.0,23800
2018-01-19,4.8,4.9,4.8,4.9,1152
2018-01-18,4.8,4.9,4.8,4.9,2131
2018-01-17,4.8,4.9,4.8,4.9,6800
2018-01-16,4.8,4.9,4.8,4.9,3210
2018-01-15,4.9,4.9,4.8,4.9,6100
2018-01-12,5.0,5.0,4.9,4.9,1644
2018-01-11,4.9,4.9,4.7,4.9,16250
2018-01-10,4.8,4.8,4.8,4.8,6900
2018-01-09,4.8,4.8,4.8,4.8,2305
2018-01-08,4.8,4.8,4.8,4.8,500
2018-01-05,4.8,4.9,4.8,4.9,4000
2018-01-04,4.8,4.9,4.8,4.9,6400
2018-01-03,4.8,4.9,4.7,4.9,2100
2018-01-02,4.8,4.8,4.8,4.8,3020
2017-12-29,4.9,4.9,4.7,4.9,859
2017-12-28,4.7,4.7,4.7,4.7,3400
2017-12-27,4.8,4.8,4.7,4.8,18100
2017-12-26,4.7,4.7,4.7,4.7,1144
2017-12-25,4.6,4.8,4.6,4.8,41300
2017-12-22,4.6,4.6,4.6,4.6,700
2017-12-21,4.9,4.9,4.9,4.9,100
2017-12-20,4.6,4.7,4.6,4.7,300
2017-12-19,4.5,4.8,4.5,4.8,10800
2017-12-18,4.6,4.6,4.5,4.6,16000
2017-12-15,4.6,4.6,4.6,4.6,1000
2017-12-14,4.7,4.7,4.7,4.7,13600
2017-12-13,,,,4.8,0
2017-12-12,4.5,4.8,4.5,4.8,5800
2017-12-11,4.6,4.8,4.5,4.8,300
2017-12-08,4.8,4.8,4.8,4.8,147
2017-12-07,4.5,4.8,4.5,4.8,477
2017-12-06,4.5,4.7,4.5,4.7,10633
2017-12-05,4.4,4.8,4.4,4.5,710
2017-12-04,4.7,4.8,4.7,4.8,200
2017-12-01,4.7,4.7,4.7,4.7,11300
2017-11-30,4.6,4.7,4.6,4.7,34400
2017-11-29,4.9,4.9,4.6,4.6,200
2017-11-28,4.6,4.6,4.5,4.6,3720
2017-11-27,4.6,4.6,4.6,4.6,170
2017-11-24,4.7,4.7,4.7,4.7,100
2017-11-23,4.6,5.0,4.5,4.9,6300
2017-11-22,5.0,5.0,5.0,5.0,64
2017-11-21,4.6,5.0,4.6,5.0,6300
2017-11-20,4.6,4.7,4.6,4.7,32900
2017-11-17,4.7,4.9,4.7,4.9,2800
2017-11-16,4.7,4.7,4.7,4.7,900
2017-11-15,5.0,5.0,4.7,4.8,4200
2017-11-14,4.6,4.9,4.6,4.9,12105
2017-11-13,4.5,4.5,4.5,4.5,100
2017-11-10,4.8,4.8,4.8,4.8,2200
2017-11-09,,,,4.6,0
2017-11-08,4.6,4.7,4.6,4.6,712
2017-11-07,4.6,4.9,4.6,4.9,200
2017-11-06,5.0,5.0,4.6,4.9,300
