date,open,high,low,close,volume
2018-07-24,47.0,47.0,46.0,46.0,170
2018-07-23,47.75,47.5,47.0,47.0,190
2018-07-20,47.7,47.75,47.75,47.75,10
2018-07-19,47.85,47.85,47.65,47.7,30
2018-07-18,47.55,47.55,47.55,47.55,30
2018-07-17,45.0,45.0,45.0,45.0,10
2018-07-16,,,,47.0,0
2018-07-13,47.1,47.1,47.0,47.0,1070
2018-07-12,47.1,48.85,47.1,47.1,110
2018-07-11,50.0,50.0,47.0,47.0,20
2018-07-10,49.85,49.85,48.8,48.8,400
2018-07-09,46.65,47.5,46.65,47.5,1010
2018-07-06,49.9,49.9,49.9,49.9,20
2018-07-05,47.0,47.1,47.0,47.0,4200
2018-07-04,46.4,50.0,46.4,50.0,1190
2018-07-03,48.5,49.8,47.0,49.8,1300
2018-07-02,49.0,49.0,48.5,48.5,90
2018-06-29,50.4,50.5,50.4,50.5,30
2018-06-28,48.0,49.0,48.0,49.0,330
2018-06-27,45.8,51.0,45.8,51.0,1350
2018-06-26,49.0,49.0,49.0,49.0,400
2018-06-25,49.0,49.0,48.0,48.0,20
2018-06-22,44.4,49.0,44.4,49.0,1090
2018-06-21,49.45,49.45,47.5,47.5,1700
2018-06-20,50.0,50.0,50.0,50.0,10
2018-06-19,48.5,48.5,46.0,48.0,1900
2018-06-18,48.9,49.1,48.5,49.1,70
2018-06-15,48.95,49.0,48.9,48.9,120
2018-06-14,48.3,49.2,47.0,48.8,11560
2018-06-13,49.0,49.5,48.4,48.4,230
2018-06-12,50.8,50.8,48.6,49.0,480
2018-06-11,49.95,49.95,48.1,49.95,1520
2018-06-08,48.0,49.7,48.0,49.7,7210
2018-06-07,51.0,51.0,51.0,51.0,10
2018-06-06,50.0,50.5,49.0,50.3,1240
2018-06-05,50.9,52.0,47.4,50.0,4430
2018-06-04,54.0,54.8,50.9,50.9,70
2018-06-01,54.5,54.5,54.5,54.5,10
2018-05-31,52.0,52.0,48.0,51.0,2950
2018-05-30,55.2,58.0,51.5,51.5,1120
2018-05-29,55.2,55.2,55.2,55.2,20
2018-05-28,55.0,55.0,52.0,52.0,30
2018-05-25,55.0,55.0,52.9,54.9,740
2018-05-24,57.0,57.0,52.0,56.8,1080
2018-05-23,53.9,53.9,52.0,53.9,30
